Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand MGI ID,Receptor MGI ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000001,A2m Lrp1,A2m,Lrp1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-A2m%20Lrp1-based-on-Pubmed-ID-10652313,%2012194978,%201702392-in-mouse",A2m (A2mp),"Lrp1 (CD91, A2mr, b2b1554Clo)",MGI:2449119,MGI:96828,ENSMUSG00000030111,ENSMUSG00000040249,"A2M (FWP007, S863-7, CPAMD5)","LRP1 (APR, A2MR, LRP, CD91, LRP1A, APOER, IGFBP3R1, IGFBP-3R)",secreted,cell membrane
CDB15:0000002,Ace Bdkrb2,Ace,Bdkrb2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Ace%20Bdkrb2-based-on-Pubmed-ID-10748135-in-mouse,Ace (CD143),"Bdkrb2 (B2, B(2), kinin B2, BK2R, B2R)",MGI:87874,MGI:102845,ENSMUSG00000020681,ENSMUSG00000021070,"ACE (DCP1, ACE1, CD143)",BDKRB2 (BK-2),"secreted, cell membrane",cell membrane
CDB15:0000003,Adam10 Epha3,Adam10,Epha3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam10%20Epha3-based-on-Pubmed-ID-16239146,%2019823572-in-mouse","Adam10 (kuz, kuzbanian, 1700031C13Rik)","Epha3 (Tyro4, Mek4, Hek4, Hek, Cek4, End3)",MGI:109548,MGI:99612,ENSMUSG00000054693,ENSMUSG00000052504,"ADAM10 (kuz, MADM, HsT18717, CD156C)","EPHA3 (ETK, ETK1, TYRO4, HEK, HEK4)",cell membrane,cell membrane
CDB15:0000004,Adam12 Itga9,Adam12,Itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam12%20Itga9-based-on-Pubmed-ID-10944520-in-mouse,"Adam12 (Mltna, ADAM12, 5830403F22Rik)","Itga9 (2610002H11Rik, D9Ertd428e, 6720458D17Rik)",MGI:105378,MGI:104756,ENSMUSG00000054555,ENSMUSG00000039115,"ADAM12 (MCMPMltna, MLTN)","ITGA9 (RLC, ITGA4L, ALPHA-RLC)","secreted, cell membrane",cell membrane
CDB15:0000005,Adam12 Itgb1,Adam12,Itgb1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam12%20Itgb1-based-on-Pubmed-ID-10944520-in-mouse,"Adam12 (Mltna, ADAM12, 5830403F22Rik)","Itgb1 (CD29, beta1 integrin, 4633401G24Rik, Fnrb, Gm9863)",MGI:105378,MGI:96610,ENSMUSG00000054555,ENSMUSG00000025809,"ADAM12 (MCMPMltna, MLTN)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)","secreted, cell membrane",cell membrane
CDB15:0000006,Adam12 Sdc4,Adam12,Sdc4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam12%20Sdc4-based-on-Pubmed-ID-12509413-in-mouse,"Adam12 (Mltna, ADAM12, 5830403F22Rik)","Sdc4 (ryudocan, Synd4, syndecan-4, S4)",MGI:105378,MGI:1349164,ENSMUSG00000054555,ENSMUSG00000017009,"ADAM12 (MCMPMltna, MLTN)","SDC4 (SYND4, amphiglycan, ryudocan)","secreted, cell membrane",cell membrane
CDB15:0000007,Adam15 Itga5,Adam15,Itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itga5-based-on-Pubmed-ID-9914169-in-mouse,"Adam15 (metargidin, MDC15)","Itga5 (Fnra, Cd49e)",MGI:1333882,MGI:96604,ENSMUSG00000028041,ENSMUSG00000000555,ADAM15 (MDC15),"ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000008,Adam15 Itga9,Adam15,Itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itga9-based-on-Pubmed-ID-10944520-in-mouse,"Adam15 (metargidin, MDC15)","Itga9 (2610002H11Rik, D9Ertd428e, 6720458D17Rik)",MGI:1333882,MGI:104756,ENSMUSG00000028041,ENSMUSG00000039115,ADAM15 (MDC15),"ITGA9 (RLC, ITGA4L, ALPHA-RLC)",cell membrane,cell membrane
CDB15:0000009,Adam15 Itgav,Adam15,Itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itgav-based-on-Pubmed-ID-9516430,%209914169-in-mouse","Adam15 (metargidin, MDC15)","Itgav (vitronectin receptor alpha polypeptide  (VNRA), CD51, alphav-integrin, 1110004F14Rik, 2610028E01Rik, D430040G12Rik)",MGI:1333882,MGI:96608,ENSMUSG00000028041,ENSMUSG00000027087,ADAM15 (MDC15),"ITGAV (VNRA, MSK8, VTNR, CD51)",cell membrane,cell membrane
CDB15:0000010,Adam15 Itgb1,Adam15,Itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itgb1-based-on-Pubmed-ID-10944520,%209914169-in-mouse","Adam15 (metargidin, MDC15)","Itgb1 (CD29, beta1 integrin, 4633401G24Rik, Fnrb, Gm9863)",MGI:1333882,MGI:96610,ENSMUSG00000028041,ENSMUSG00000025809,ADAM15 (MDC15),"ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
