tissue,annotation_level,celltype,marker
PBMC,L1,Monocyte,SERPINA1
PBMC,L1,Monocyte,PSAP
PBMC,L1,Monocyte,MNDA
PBMC,L1,Monocyte,AIF1
PBMC,L1,Monocyte,TYROBP
PBMC,L1,Monocyte,LYZ
PBMC,L1,Monocyte,NEAT1
PBMC,L1,Monocyte,S100A9
PBMC,L1,Monocyte,FCN1
PBMC,L1,CD4+ T Cell,LDHB
PBMC,L1,CD4+ T Cell,CD4
PBMC,L1,CD4+ T Cell,MAL
PBMC,L1,CD4+ T Cell,LTB
PBMC,L1,CD4+ T Cell,TRAC
PBMC,L1,CD4+ T Cell,CD3G
PBMC,L1,CD4+ T Cell,TMSB10
PBMC,L1,CD4+ T Cell,CD3D
PBMC,L1,CD4+ T Cell,TPT1
PBMC,L1,CD8+ T Cell,CD8A
PBMC,L1,CD8+ T Cell,TRAC
PBMC,L1,CD8+ T Cell,HCST
PBMC,L1,CD8+ T Cell,CD3G
PBMC,L1,CD8+ T Cell,CTSW
PBMC,L1,CD8+ T Cell,LINC02446
PBMC,L1,CD8+ T Cell,TMSB10
PBMC,L1,CD8+ T Cell,CD3E
PBMC,L1,CD8+ T Cell,CD3D
PBMC,L1,natural Killer Cell,GNLY
PBMC,L1,natural Killer Cell,GZMB
PBMC,L1,natural Killer Cell,KLRD1
PBMC,L1,natural Killer Cell,PRF1
PBMC,L1,natural Killer Cell,CD247
PBMC,L1,natural Killer Cell,FCER1G
PBMC,L1,natural Killer Cell,TYROBP
PBMC,L1,natural Killer Cell,CST7
PBMC,L1,natural Killer Cell,KLRF1
PBMC,L1,B Cell,IGHM
PBMC,L1,B Cell,CD79B
PBMC,L1,B Cell,CD74
PBMC,L1,B Cell,MEF2C
PBMC,L1,B Cell,BANK1
PBMC,L1,B Cell,TNFRSF13C
PBMC,L1,B Cell,MS4A1
PBMC,L1,B Cell,RALGPS2
PBMC,L1,B Cell,HLA-DQA1
PBMC,L1,other T Cell,GZMK
PBMC,L1,other T Cell,TRGC2
PBMC,L1,other T Cell,GZMA
PBMC,L1,other T Cell,NKG7
PBMC,L1,other T Cell,KLRB1
PBMC,L1,other T Cell,TRDC
PBMC,L1,other T Cell,CST7
PBMC,L1,other T Cell,KLRG1
PBMC,L1,other T Cell,LYAR
PBMC,L1,dendritic Cell,CST3
PBMC,L1,dendritic Cell,CCDC88A
PBMC,L1,dendritic Cell,HLA-DPA1
PBMC,L1,dendritic Cell,HLA-DQB1
PBMC,L1,dendritic Cell,HLA-DRA
PBMC,L1,dendritic Cell,HLA-DPB1
PBMC,L1,dendritic Cell,HLA-DMA
PBMC,L1,dendritic Cell,HLA-DQA1
PBMC,L1,dendritic Cell,HLA-DRB1
PBMC,L2,Intermediate B Cell,IGHM
PBMC,L2,Intermediate B Cell,CD79B
PBMC,L2,Intermediate B Cell,AIM2
PBMC,L2,Intermediate B Cell,CD79A
PBMC,L2,Intermediate B Cell,BANK1
PBMC,L2,Intermediate B Cell,TNFRSF13B
PBMC,L2,Intermediate B Cell,IGHD
PBMC,L2,Intermediate B Cell,LINC01857
PBMC,L2,Intermediate B Cell,RALGPS2
PBMC,L2,Memory B Cell,LINC01781
PBMC,L2,Memory B Cell,AIM2
PBMC,L2,Memory B Cell,CD79A
PBMC,L2,Memory B Cell,BANK1
PBMC,L2,Memory B Cell,TNFRSF13C
PBMC,L2,Memory B Cell,TEX9
PBMC,L2,Memory B Cell,SSPN
PBMC,L2,Memory B Cell,RALGPS2
PBMC,L2,Memory B Cell,COCH
PBMC,L2,Naive B Cell,CD79B
PBMC,L2,Naive B Cell,CD79A
PBMC,L2,Naive B Cell,IL4R
PBMC,L2,Naive B Cell,TCL1A
PBMC,L2,Naive B Cell,BTG1
PBMC,L2,Naive B Cell,CXCR4
PBMC,L2,Naive B Cell,YBX3
PBMC,L2,Naive B Cell,IGHD
PBMC,L2,Naive B Cell,MS4A1
PBMC,L2,Plasmablast,NT5DC2
PBMC,L2,Plasmablast,CPNE5
PBMC,L2,Plasmablast,TNFRSF13B
PBMC,L2,Plasmablast,HRASLS2
PBMC,L2,Plasmablast,TNFRSF17
PBMC,L2,Plasmablast,TXNDC5
PBMC,L2,Plasmablast,DERL3
PBMC,L2,Plasmablast,POU2AF1
PBMC,L2,Plasmablast,MZB1
PBMC,L2,CD4+ Cytotoxic T,ITGB1
PBMC,L2,CD4+ Cytotoxic T,FGFBP2
PBMC,L2,CD4+ Cytotoxic T,GNLY
PBMC,L2,CD4+ Cytotoxic T,CD4
PBMC,L2,CD4+ Cytotoxic T,IL32
PBMC,L2,CD4+ Cytotoxic T,GZMA
PBMC,L2,CD4+ Cytotoxic T,NKG7
PBMC,L2,CD4+ Cytotoxic T,B2M
PBMC,L2,CD4+ Cytotoxic T,CST7
PBMC,L2,CD4+ Naive T,LEF1
PBMC,L2,CD4+ Naive T,LDHB
PBMC,L2,CD4+ Naive T,CD4
PBMC,L2,CD4+ Naive T,PIK3IP1
PBMC,L2,CD4+ Naive T,MAL
PBMC,L2,CD4+ Naive T,NOSIP
PBMC,L2,CD4+ Naive T,CCR7
PBMC,L2,CD4+ Naive T,FHIT
PBMC,L2,CD4+ Naive T,IL7R
PBMC,L2,CD4+ Proliferating T,ASPM
PBMC,L2,CD4+ Proliferating T,CENPF
PBMC,L2,CD4+ Proliferating T,RRM2
PBMC,L2,CD4+ Proliferating T,TPX2
PBMC,L2,CD4+ Proliferating T,PTTG1
PBMC,L2,CD4+ Proliferating T,TOP2A
PBMC,L2,CD4+ Proliferating T,NUSAP1
PBMC,L2,CD4+ Proliferating T,PCLAF
PBMC,L2,CD4+ Proliferating T,TYMS
PBMC,L2,CD4+ Central Memory T,ITGB1
PBMC,L2,CD4+ Central Memory T,LDHB
PBMC,L2,CD4+ Central Memory T,CD4
PBMC,L2,CD4+ Central Memory T,IL32
PBMC,L2,CD4+ Central Memory T,MAL
PBMC,L2,CD4+ Central Memory T,LTB
PBMC,L2,CD4+ Central Memory T,TRAC
PBMC,L2,CD4+ Central Memory T,AQP3
PBMC,L2,CD4+ Central Memory T,TMSB10
PBMC,L2,CD4+ Effector Memory T,FYB1
PBMC,L2,CD4+ Effector Memory T,GZMK
PBMC,L2,CD4+ Effector Memory T,IL32
PBMC,L2,CD4+ Effector Memory T,CCL5
PBMC,L2,CD4+ Effector Memory T,GZMA
PBMC,L2,CD4+ Effector Memory T,LTB
PBMC,L2,CD4+ Effector Memory T,TRAC
PBMC,L2,CD4+ Effector Memory T,KLRB1
PBMC,L2,CD4+ Effector Memory T,AQP3
PBMC,L2,Regulatory T,FCRL3
PBMC,L2,Regulatory T,CD4
PBMC,L2,Regulatory T,AC133644.2
PBMC,L2,Regulatory T,IL2RA
PBMC,L2,Regulatory T,CTLA4
PBMC,L2,Regulatory T,IKZF2
PBMC,L2,Regulatory T,TIGIT
PBMC,L2,Regulatory T,FOXP3
PBMC,L2,Regulatory T,LAIR2
PBMC,L2,CD8+ Naive T,LEF1
PBMC,L2,CD8+ Naive T,OXNAD1
PBMC,L2,CD8+ Naive T,CD8A
PBMC,L2,CD8+ Naive T,CRTAM
PBMC,L2,CD8+ Naive T,NOSIP
PBMC,L2,CD8+ Naive T,RGS10
PBMC,L2,CD8+ Naive T,CCR7
PBMC,L2,CD8+ Naive T,S100B
PBMC,L2,CD8+ Naive T,LINC02446
PBMC,L2,CD8+ Proliferating T,RRM2
PBMC,L2,CD8+ Proliferating T,CLSPN
PBMC,L2,CD8+ Proliferating T,CD8B
PBMC,L2,CD8+ Proliferating T,TK1
PBMC,L2,CD8+ Proliferating T,TRAC
PBMC,L2,CD8+ Proliferating T,CD3G
PBMC,L2,CD8+ Proliferating T,PCLAF
PBMC,L2,CD8+ Proliferating T,TYMS
PBMC,L2,CD8+ Proliferating T,CD3D
PBMC,L2,CD8+ Central Memory T,KRT1
PBMC,L2,CD8+ Central Memory T,NELL2
PBMC,L2,CD8+ Central Memory T,ANXA1
PBMC,L2,CD8+ Central Memory T,LDHB
PBMC,L2,CD8+ Central Memory T,CD8A
PBMC,L2,CD8+ Central Memory T,TRAC
PBMC,L2,CD8+ Central Memory T,YBX3
PBMC,L2,CD8+ Central Memory T,LINC02446
PBMC,L2,CD8+ Central Memory T,IL7R
PBMC,L2,CD8+ Effector Memory T,GZMK
PBMC,L2,CD8+ Effector Memory T,TRGC2
PBMC,L2,CD8+ Effector Memory T,CD8B
PBMC,L2,CD8+ Effector Memory T,CD8A
PBMC,L2,CD8+ Effector Memory T,NKG7
PBMC,L2,CD8+ Effector Memory T,TRAC
PBMC,L2,CD8+ Effector Memory T,KLRD1
PBMC,L2,CD8+ Effector Memory T,GZMH
PBMC,L2,CD8+ Effector Memory T,CST7
PBMC,L2,AXL+ Dendritic Cell,CLEC4C
PBMC,L2,AXL+ Dendritic Cell,SCT
PBMC,L2,AXL+ Dendritic Cell,AXL
PBMC,L2,AXL+ Dendritic Cell,SCN9A
PBMC,L2,AXL+ Dendritic Cell,IL3RA
PBMC,L2,AXL+ Dendritic Cell,LGMN
PBMC,L2,AXL+ Dendritic Cell,DNASE1L3
PBMC,L2,AXL+ Dendritic Cell,GAS6
PBMC,L2,AXL+ Dendritic Cell,LILRA4
PBMC,L2,Conventional Dendritic Cell 1,XCR1
PBMC,L2,Conventional Dendritic Cell 1,FLT3
PBMC,L2,Conventional Dendritic Cell 1,ENPP1
PBMC,L2,Conventional Dendritic Cell 1,CADM1
PBMC,L2,Conventional Dendritic Cell 1,CLNK
PBMC,L2,Conventional Dendritic Cell 1,DNASE1L3
PBMC,L2,Conventional Dendritic Cell 1,C1ORF54
PBMC,L2,Conventional Dendritic Cell 1,NDRG2
PBMC,L2,Conventional Dendritic Cell 1,IDO1
PBMC,L2,Conventional Dendritic Cell 2,GSN
PBMC,L2,Conventional Dendritic Cell 2,SLC38A1
PBMC,L2,Conventional Dendritic Cell 2,CLEC10A
PBMC,L2,Conventional Dendritic Cell 2,CD1C
PBMC,L2,Conventional Dendritic Cell 2,NDRG2
PBMC,L2,Conventional Dendritic Cell 2,PLD4
PBMC,L2,Conventional Dendritic Cell 2,AFF3
PBMC,L2,Conventional Dendritic Cell 2,ENHO
PBMC,L2,Conventional Dendritic Cell 2,HLA-DQA1
PBMC,L2,Plasmacytoid Dendritic Cell,SMPD3
PBMC,L2,Plasmacytoid Dendritic Cell,SPIB
PBMC,L2,Plasmacytoid Dendritic Cell,IRF4
PBMC,L2,Plasmacytoid Dendritic Cell,IL3RA
PBMC,L2,Plasmacytoid Dendritic Cell,TPM2
PBMC,L2,Plasmacytoid Dendritic Cell,SERPINF1
PBMC,L2,Plasmacytoid Dendritic Cell,LILRA4
PBMC,L2,Plasmacytoid Dendritic Cell,PLD4
PBMC,L2,Plasmacytoid Dendritic Cell,MZB1
PBMC,L2,CD14+ Monocyte,IL1B
PBMC,L2,CD14+ Monocyte,VCAN
PBMC,L2,CD14+ Monocyte,G0S2
PBMC,L2,CD14+ Monocyte,CD14
PBMC,L2,CD14+ Monocyte,LYZ
PBMC,L2,CD14+ Monocyte,S100A12
PBMC,L2,CD14+ Monocyte,CTSS
PBMC,L2,CD14+ Monocyte,FCN1
PBMC,L2,CD14+ Monocyte,S100A8
PBMC,L2,CD16+ Monocyte,LST1
PBMC,L2,CD16+ Monocyte,MS4A7
PBMC,L2,CD16+ Monocyte,FCGR3A
PBMC,L2,CD16+ Monocyte,PTPRC
PBMC,L2,CD16+ Monocyte,IFITM3
PBMC,L2,CD16+ Monocyte,AIF1
PBMC,L2,CD16+ Monocyte,HES4
PBMC,L2,CD16+ Monocyte,IER5
PBMC,L2,CD16+ Monocyte,RHOC
PBMC,L2,CD56-dim Natural Killer,FGFBP2
PBMC,L2,CD56-dim Natural Killer,SPON2
