celltype,metaprogram_id,metaprogram_description,url,gene
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,APLP2
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,APMAP
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,APP
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,ATP6AP1
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,ATP6AP2
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,AZGP1
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,CFI
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,CLU
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,CTSA
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,CTSL
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,DDOST
MALIGNANT,METAPROGRAM_10,PROTEIN_MATURATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION,EPCAM
