celltype,metaprogram_description,gene
MACROPHAGES,Lipid-associated,APOE
MACROPHAGES,Monocyte/Secreted,IL1B
MACROPHAGES,Cell-cycle,STMN1
MACROPHAGES,Interferon,CXCL10
MACROPHAGES,MES/Glycolysis,SPP1
MACROPHAGES,MAC1,FCN1
MACROPHAGES,Stress/HSP,JUN
MACROPHAGES,MAC2,FABP4
MACROPHAGES,Proteasomal-degradation,NME1
MACROPHAGES,MAC3,C3
MACROPHAGES,MYC/Mitochondria,NME1
MACROPHAGES,Unfolded-protein-response,HSPA5
MACROPHAGES,Respiration,ISG15
MACROPHAGES,Lipid-associated,C1QB
MACROPHAGES,Monocyte/Secreted,CXCL2
MACROPHAGES,Cell-cycle,CKS1B
MACROPHAGES,Interferon,ISG15
MACROPHAGES,MES/Glycolysis,GPNMB
MACROPHAGES,MAC1,CD52
MACROPHAGES,Stress/HSP,DNAJB1
MACROPHAGES,MAC2,MARCO
MACROPHAGES,Proteasomal-degradation,FABP5
MACROPHAGES,MAC3,OLFML3
MACROPHAGES,MYC/Mitochondria,NHP2
MACROPHAGES,Unfolded-protein-response,MANF
MACROPHAGES,Respiration,CCL2
MACROPHAGES,Lipid-associated,LGMN
MACROPHAGES,Monocyte/Secreted,G0S2
MACROPHAGES,Cell-cycle,HMGB2
MACROPHAGES,Interferon,GBP1
MACROPHAGES,MES/Glycolysis,S100A10
MACROPHAGES,MAC1,FCGR3A
MACROPHAGES,Stress/HSP,HSPA1B
MACROPHAGES,MAC2,RBP4
MACROPHAGES,Proteasomal-degradation,HSPA5
MACROPHAGES,MAC3,C1QC
MACROPHAGES,MYC/Mitochondria,C1QBP
MACROPHAGES,Unfolded-protein-response,HSP90B1
MACROPHAGES,Respiration,COX7B
MACROPHAGES,Lipid-associated,APOC1
MACROPHAGES,Monocyte/Secreted,CXCL8
MACROPHAGES,Cell-cycle,TUBB
MACROPHAGES,Interferon,IFIT3
MACROPHAGES,MES/Glycolysis,FABP5
MACROPHAGES,MAC1,IFITM2
MACROPHAGES,Stress/HSP,HSPA1A
MACROPHAGES,MAC2,PCOLCE2
MACROPHAGES,Proteasomal-degradation,CCT5
MACROPHAGES,MAC3,C1QB
MACROPHAGES,MYC/Mitochondria,PHB
MACROPHAGES,Unfolded-protein-response,SDF2L1
MACROPHAGES,Respiration,NDUFB2
MACROPHAGES,Lipid-associated,C1QC
MACROPHAGES,Monocyte/Secreted,CXCL3
MACROPHAGES,Cell-cycle,TK1
MACROPHAGES,Interferon,MX1
MACROPHAGES,MES/Glycolysis,CSTB
MACROPHAGES,MAC1,CFP
MACROPHAGES,Stress/HSP,FOS
MACROPHAGES,MAC2,INHBA
MACROPHAGES,Proteasomal-degradation,MANF
MACROPHAGES,MAC3,PLD4
MACROPHAGES,MYC/Mitochondria,SDF2L1
MACROPHAGES,Unfolded-protein-response,OSTC
MACROPHAGES,Respiration,POLR2L
MACROPHAGES,Lipid-associated,C1QA
MACROPHAGES,Monocyte/Secreted,S100A8
MACROPHAGES,Cell-cycle,PTTG1
MACROPHAGES,Interferon,TNFSF10
MACROPHAGES,MES/Glycolysis,LGALS1
MACROPHAGES,MAC1,LILRB2
MACROPHAGES,Stress/HSP,GADD45B
MACROPHAGES,MAC2,CES1
MACROPHAGES,Proteasomal-degradation,SDF2L1
MACROPHAGES,MAC3,FCGBP
MACROPHAGES,MYC/Mitochondria,DCTPP1
MACROPHAGES,Unfolded-protein-response,PDIA4
MACROPHAGES,Respiration,S100A8
MACROPHAGES,Lipid-associated,GPNMB
MACROPHAGES,Monocyte/Secreted,BCL2A1
MACROPHAGES,Cell-cycle,PCNA
MACROPHAGES,Interferon,IFIT2
MACROPHAGES,MES/Glycolysis,S100A6
MACROPHAGES,MAC1,LINC01272
MACROPHAGES,Stress/HSP,HSPH1
MACROPHAGES,MAC2,CCL18
MACROPHAGES,Proteasomal-degradation,PRDX1
MACROPHAGES,MAC3,GPR34
MACROPHAGES,MYC/Mitochondria,SRM
MACROPHAGES,Unfolded-protein-response,PDIA6
MACROPHAGES,Respiration,ATOX1
MACROPHAGES,Lipid-associated,RNASE1
MACROPHAGES,Monocyte/Secreted,FCN1
MACROPHAGES,Cell-cycle,H2AFZ
MACROPHAGES,Interferon,ISG20
MACROPHAGES,MES/Glycolysis,C15ORF48
MACROPHAGES,MAC1,LILRA5
MACROPHAGES,Stress/HSP,HSPA6
MACROPHAGES,MAC2,CD52
MACROPHAGES,Proteasomal-degradation,PSMA4
MACROPHAGES,MAC3,LPAR6
MACROPHAGES,MYC/Mitochondria,CCT2
MACROPHAGES,Unfolded-protein-response,SPCS2
MACROPHAGES,Respiration,ATP5J2
MACROPHAGES,Lipid-associated,PLD3
MACROPHAGES,Monocyte/Secreted,VCAN
MACROPHAGES,Cell-cycle,HMGN2
MACROPHAGES,Interferon,EPSTI1
MACROPHAGES,MES/Glycolysis,FN1
MACROPHAGES,MAC1,S100A4
MACROPHAGES,Stress/HSP,RGS2
MACROPHAGES,MAC2,FN1
MACROPHAGES,Proteasomal-degradation,SPP1
MACROPHAGES,MAC3,CCL3
MACROPHAGES,MYC/Mitochondria,CORO1A
MACROPHAGES,Unfolded-protein-response,CRELD2
MACROPHAGES,Respiration,BLVRB
MACROPHAGES,Lipid-associated,LIPA
MACROPHAGES,Monocyte/Secreted,IER3
MACROPHAGES,Cell-cycle,TUBA1B
MACROPHAGES,Interferon,GBP5
MACROPHAGES,MES/Glycolysis,ANXA2
MACROPHAGES,MAC1,S100A9
MACROPHAGES,Stress/HSP,HSPB1
MACROPHAGES,MAC2,GCHFR
MACROPHAGES,Proteasomal-degradation,ATP6V0D1
MACROPHAGES,MAC3,CCL4
MACROPHAGES,MYC/Mitochondria,FABP5
MACROPHAGES,Unfolded-protein-response,DNAJB9
MACROPHAGES,Respiration,CHCHD10
MACROPHAGES,Lipid-associated,PLTP
MACROPHAGES,Monocyte/Secreted,CCL3
MACROPHAGES,Cell-cycle,TYMS
MACROPHAGES,Interferon,IFI35
MACROPHAGES,MES/Glycolysis,PLIN2
MACROPHAGES,MAC1,SERPINA1
MACROPHAGES,Stress/HSP,IER2
MACROPHAGES,MAC2,LPL
MACROPHAGES,Proteasomal-degradation,FBP1
MACROPHAGES,MAC3,C1QA
MACROPHAGES,MYC/Mitochondria,MRPL12
MACROPHAGES,Unfolded-protein-response,TMED2
MACROPHAGES,Respiration,FABP5
MACROPHAGES,Lipid-associated,FOLR2
MACROPHAGES,Monocyte/Secreted,EREG
MACROPHAGES,Cell-cycle,DUT
MACROPHAGES,Interferon,IFIT1
MACROPHAGES,MES/Glycolysis,FBP1
MACROPHAGES,MAC1,TIMP1
MACROPHAGES,Stress/HSP,RHOB
MACROPHAGES,MAC2,MCEMP1
MACROPHAGES,Proteasomal-degradation,MDH1
MACROPHAGES,MAC3,LTC4S
MACROPHAGES,MYC/Mitochondria,PA2G4
MACROPHAGES,Unfolded-protein-response,TRAM1
MACROPHAGES,Respiration,MRPL41
MACROPHAGES,Lipid-associated,NUPR1
MACROPHAGES,Monocyte/Secreted,TIMP1
MACROPHAGES,Cell-cycle,SMC4
MACROPHAGES,Interferon,IFI44L
MACROPHAGES,MES/Glycolysis,S100A9
MACROPHAGES,MAC1,WARS
MACROPHAGES,Stress/HSP,ATF3
MACROPHAGES,MAC2,PHLDA3
MACROPHAGES,Proteasomal-degradation,VSIG4
MACROPHAGES,MAC3,RGS1
MACROPHAGES,MYC/Mitochondria,SPP1
MACROPHAGES,Unfolded-protein-response,VIMP
MACROPHAGES,Respiration,NDUFA3
MACROPHAGES,Lipid-associated,CTSD
MACROPHAGES,Monocyte/Secreted,CCL20
