miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT003135,mmu-miR-122-5p,mmu,Cd320,54219.0,mmu,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18158304.0
MIRT003135,mmu-miR-122-5p,mmu,Cd320,54219.0,mmu,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18158304.0
MIRT003134,mmu-miR-122-5p,mmu,Ndrg3,29812.0,mmu,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18158304.0
MIRT003134,mmu-miR-122-5p,mmu,Ndrg3,29812.0,mmu,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18158304.0
MIRT003134,mmu-miR-122-5p,mmu,Ndrg3,29812.0,mmu,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18158304.0
MIRT003133,mmu-miR-122-5p,mmu,Aldoa,11674.0,mmu,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18158304.0
MIRT003132,mmu-miR-122-5p,mmu,Bckdk,12041.0,mmu,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18158304.0
MIRT003132,mmu-miR-122-5p,mmu,Bckdk,12041.0,mmu,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18158304.0
MIRT003132,mmu-miR-122-5p,mmu,Bckdk,12041.0,mmu,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18158304.0
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17179747.0
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Luciferase reporter assay//Western blot,Non-Functional MTI,17179747.0
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Luciferase reporter assay//Western blot,Non-Functional MTI,17179747.0
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17179747.0
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17179747.0
MIRT003122,mmu-miR-122-5p,mmu,Apob,238055.0,mmu,Western blot,Functional MTI,16459310.0
MIRT003080,hsa-miR-122-5p,hsa,GYS1,2997.0,hsa,qRT-PCR//Western blot//Northern blot,Functional MTI,18073344.0
MIRT003731,hsa-miR-519b-3p,hsa,ELAVL1,1994.0,hsa,qRT-PCR//Western blot,Functional MTI,19088191.0
MIRT003731,hsa-miR-519b-3p,hsa,ELAVL1,1994.0,hsa,qRT-PCR//Western blot,Functional MTI,19088191.0
MIRT003732,hsa-miR-519c-3p,hsa,ELAVL1,1994.0,hsa,qRT-PCR//Western blot,Functional MTI,19088191.0
MIRT003732,hsa-miR-519c-3p,hsa,ELAVL1,1994.0,hsa,qRT-PCR//Western blot,Functional MTI,19088191.0
MIRT003733,hsa-miR-519a-3p,hsa,ELAVL1,1994.0,hsa,qRT-PCR//Western blot,Functional MTI,19088191.0
MIRT003733,hsa-miR-519a-3p,hsa,ELAVL1,1994.0,hsa,qRT-PCR//Western blot,Functional MTI,19088191.0
MIRT003060,hsa-miR-143-3p,hsa,FNDC3B,64778.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,19472311.0
MIRT003050,hsa-let-7i-5p,hsa,TLR4,7099.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,17660297.0
MIRT003050,hsa-let-7i-5p,hsa,TLR4,7099.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,17660297.0
MIRT003042,hsa-miR-338-3p,hsa,ZBTB18,10472.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003042,hsa-miR-338-3p,hsa,ZBTB18,10472.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003041,hsa-miR-338-3p,hsa,DAB2IP,153090.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003041,hsa-miR-338-3p,hsa,DAB2IP,153090.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003041,hsa-miR-338-3p,hsa,DAB2IP,153090.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003041,hsa-miR-338-3p,hsa,DAB2IP,153090.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003040,hsa-miR-338-3p,hsa,MAP1A,4130.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003040,hsa-miR-338-3p,hsa,MAP1A,4130.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003040,hsa-miR-338-3p,hsa,MAP1A,4130.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003039,hsa-miR-338-3p,hsa,NOVA1,4857.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003039,hsa-miR-338-3p,hsa,NOVA1,4857.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003038,hsa-miR-338-3p,hsa,UBE2Q1,55585.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003038,hsa-miR-338-3p,hsa,UBE2Q1,55585.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003038,hsa-miR-338-3p,hsa,UBE2Q1,55585.0,hsa,qRT-PCR//Western blot,Functional MTI,18684991.0
MIRT003031,hsa-miR-92a-3p,hsa,ITGA5,3678.0,hsa,Luciferase reporter assay//Western blot//Microarray,Functional MTI,19460962.0
MIRT003029,hsa-miR-29b-3p,hsa,DNMT3A,1788.0,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317.0
MIRT003028,hsa-miR-29c-3p,hsa,DNMT3A,1788.0,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317.0
MIRT003027,hsa-miR-29a-3p,hsa,DNMT3B,1789.0,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317.0
MIRT003027,hsa-miR-29a-3p,hsa,DNMT3B,1789.0,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317.0
MIRT003027,hsa-miR-29a-3p,hsa,DNMT3B,1789.0,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317.0
MIRT003026,hsa-miR-29b-3p,hsa,DNMT3B,1789.0,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317.0
MIRT003025,hsa-miR-29c-3p,hsa,DNMT3B,1789.0,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317.0
MIRT003742,hsa-miR-20a-5p,hsa,RUNX1,861.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,17589498.0
MIRT003743,hsa-miR-106a-5p,hsa,RUNX1,861.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,17589498.0
MIRT003742,hsa-miR-20a-5p,hsa,RUNX1,861.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,17589498.0
MIRT003743,hsa-miR-106a-5p,hsa,RUNX1,861.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,17589498.0
MIRT003021,hsa-miR-29a-3p,hsa,DNMT3A,1788.0,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317.0
MIRT000137,hsa-miR-221-3p,hsa,CDKN1B,1027.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17569667.0
MIRT000137,hsa-miR-221-3p,hsa,CDKN1B,1027.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17569667.0
MIRT000131,hsa-miR-222-3p,hsa,CDKN1B,1027.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17569667.0
MIRT000131,hsa-miR-222-3p,hsa,CDKN1B,1027.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,17569667.0
MIRT003007,hsa-miR-155-5p,hsa,TP53INP1,94241.0,hsa,Western blot//Luciferase reporter assay,Functional MTI,17911264.0
MIRT002979,rno-miR-26a-5p,rno,Map2,25595.0,rno,Western blot,Functional MTI,17592044.0
MIRT003750,mmu-miR-106a-5p,mmu,Arid4b,94246.0,mmu,Luciferase reporter assay//Western blot,Functional MTI,17575136.0
MIRT003750,mmu-miR-106a-5p,mmu,Arid4b,94246.0,mmu,Luciferase reporter assay//Western blot,Functional MTI,17575136.0
MIRT003947,rno-miR-1-3p,rno,Hspd1,63868.0,rno,Western blot,Functional MTI,17715156.0
MIRT003946,rno-miR-1-3p,rno,Hspa4,266759.0,rno,qRT-PCR//Western blot,Functional MTI,17715156.0
MIRT002898,rno-miR-133a-3p,rno,Casp9,58918.0,rno,Western blot,Functional MTI,17715156.0
MIRT002894,rno-miR-1-3p,rno,Hcn2,114244.0,rno,Reporter assay//real-timeRT-PCR//Western blot,Functional MTI,17516552.0
MIRT002893,rno-miR-1-3p,rno,Hcn4,59266.0,rno,Reporter assay//real-timeRT-PCR//Western blot,Functional MTI,17516552.0
MIRT002892,rno-miR-133a-3p,rno,Hcn2,114244.0,rno,Reporter assay//real-timeRT-PCR//Western blot,Functional MTI,17516552.0
MIRT002493,mmu-miR-23b-3p,mmu,Hes1,15205.0,mmu,Unknown//Western blot,Functional MTI,14510471.0
