Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
192610,DataSet_289,human,CD33,OCI-AML3,BSCL2,Acute myeloid leukemia,9,117,117,Acute myeloid leukemia,human,APA
193010,DataSet_289,human,CD33,OCI-AML3,HNRNPUL2-BSCL2,Acute myeloid leukemia,9,0,0,Acute myeloid leukemia,human,APA
192561,DataSet_289,human,CD33,OCI-AML3,ASCC1,Acute myeloid leukemia,9,81,81,Acute myeloid leukemia,human,APA
192974,DataSet_289,human,CD33,OCI-AML3,GNAI1,Acute myeloid leukemia,8,136,136,Acute myeloid leukemia,human,APA
192990,DataSet_289,human,CD33,OCI-AML3,GSTZ1,Acute myeloid leukemia,8,72,72,Acute myeloid leukemia,human,APA
192631,DataSet_289,human,CD33,OCI-AML3,C2CD3,Acute myeloid leukemia,8,31,31,Acute myeloid leukemia,human,APA
192995,DataSet_289,human,CD33,OCI-AML3,HCG18,Acute myeloid leukemia,7,0,0,Acute myeloid leukemia,human,APA
193709,DataSet_289,human,CD33,OCI-AML3,TSPOAP1-AS1,Acute myeloid leukemia,7,0,0,Acute myeloid leukemia,human,APA
192781,DataSet_289,human,CD33,OCI-AML3,EHBP1L1,Acute myeloid leukemia,7,16,4,Acute myeloid leukemia,human,APA
193557,DataSet_289,human,CD33,OCI-AML3,SMPD4,Acute myeloid leukemia,7,56,49,Acute myeloid leukemia,human,APA
193757,DataSet_289,human,CD33,OCI-AML3,USP8,Acute myeloid leukemia,7,24,6,Acute myeloid leukemia,human,APA
193610,DataSet_289,human,CD33,OCI-AML3,SUPT4H1,Acute myeloid leukemia,7,21,0,Acute myeloid leukemia,human,APA
193108,DataSet_289,human,CD33,OCI-AML3,LRPPRC,Acute myeloid leukemia,7,84,84,Acute myeloid leukemia,human,APA
193595,DataSet_289,human,CD33,OCI-AML3,STAT1,Acute myeloid leukemia,7,42,42,Acute myeloid leukemia,human,APA
192902,DataSet_289,human,CD33,OCI-AML3,EXD2,Acute myeloid leukemia,7,49,49,Acute myeloid leukemia,human,APA
193287,DataSet_289,human,CD33,OCI-AML3,PARP10,Acute myeloid leukemia,6,78,3,Acute myeloid leukemia,human,APA
192721,DataSet_289,human,CD33,OCI-AML3,CUL7,Acute myeloid leukemia,6,33,26,Acute myeloid leukemia,human,APA
193040,DataSet_289,human,CD33,OCI-AML3,IP6K2,Acute myeloid leukemia,6,24,18,Acute myeloid leukemia,human,APA
