Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
283130,DataSet_396,human,FAM120A,LAM 621-101,SLC3A2,Angiomyolipoma,9,153,153,Angiomyolipoma,human,APA
282919,DataSet_396,human,FAM120A,LAM 621-101,PPP2R2A,Angiomyolipoma,8,40,32,Angiomyolipoma,human,APA
282692,DataSet_396,human,FAM120A,LAM 621-101,MSL3,Angiomyolipoma,8,128,128,Angiomyolipoma,human,APA
281884,DataSet_396,human,FAM120A,LAM 621-101,ALDH3A2,Angiomyolipoma,8,56,62,Angiomyolipoma,human,APA
282422,DataSet_396,human,FAM120A,LAM 621-101,G3BP1,Angiomyolipoma,8,174,161,Angiomyolipoma,human,APA
282096,DataSet_396,human,FAM120A,LAM 621-101,CHMP1A,Angiomyolipoma,8,64,64,Angiomyolipoma,human,APA
281937,DataSet_396,human,FAM120A,LAM 621-101,ATG12,Angiomyolipoma,8,8,8,Angiomyolipoma,human,APA
281956,DataSet_396,human,FAM120A,LAM 621-101,AZIN1,Angiomyolipoma,8,80,80,Angiomyolipoma,human,APA
283228,DataSet_396,human,FAM120A,LAM 621-101,SULT1A3,Angiomyolipoma,7,23,15,Angiomyolipoma,human,APA
282536,DataSet_396,human,FAM120A,LAM 621-101,IRF7,Angiomyolipoma,7,35,35,Angiomyolipoma,human,APA
283064,DataSet_396,human,FAM120A,LAM 621-101,SBF2,Angiomyolipoma,7,0,0,Angiomyolipoma,human,APA
283065,DataSet_396,human,FAM120A,LAM 621-101,SBF2-AS1,Angiomyolipoma,7,0,0,Angiomyolipoma,human,APA
282104,DataSet_396,human,FAM120A,LAM 621-101,CLIP4,Angiomyolipoma,7,113,11,Angiomyolipoma,human,APA
282070,DataSet_396,human,FAM120A,LAM 621-101,CDK5RAP2,Angiomyolipoma,7,63,63,Angiomyolipoma,human,APA
283141,DataSet_396,human,FAM120A,LAM 621-101,SLX1A-SULT1A3,Angiomyolipoma,7,0,0,Angiomyolipoma,human,APA
283244,DataSet_396,human,FAM120A,LAM 621-101,TARBP2,Angiomyolipoma,7,21,21,Angiomyolipoma,human,APA
283253,DataSet_396,human,FAM120A,LAM 621-101,TCF4,Angiomyolipoma,7,0,0,Angiomyolipoma,human,APA
283229,DataSet_396,human,FAM120A,LAM 621-101,SULT1A4,Angiomyolipoma,6,12,10,Angiomyolipoma,human,APA
282554,DataSet_396,human,FAM120A,LAM 621-101,KIFC3,Angiomyolipoma,6,12,12,Angiomyolipoma,human,APA
283070,DataSet_396,human,FAM120A,LAM 621-101,SCHIP1,Angiomyolipoma,6,12,12,Angiomyolipoma,human,APA
283320,DataSet_396,human,FAM120A,LAM 621-101,TPD52L1,Angiomyolipoma,6,54,54,Angiomyolipoma,human,APA
281890,DataSet_396,human,FAM120A,LAM 621-101,AMZ2,Angiomyolipoma,6,48,48,Angiomyolipoma,human,APA
282458,DataSet_396,human,FAM120A,LAM 621-101,GMPPA,Angiomyolipoma,6,54,54,Angiomyolipoma,human,APA
282486,DataSet_396,human,FAM120A,LAM 621-101,HCG18,Angiomyolipoma,6,0,0,Angiomyolipoma,human,APA
282532,DataSet_396,human,FAM120A,LAM 621-101,IQCJ-SCHIP1,Angiomyolipoma,6,42,42,Angiomyolipoma,human,APA
282637,DataSet_396,human,FAM120A,LAM 621-101,MCRIP1,Angiomyolipoma,6,40,40,Angiomyolipoma,human,APA
282265,DataSet_396,human,FAM120A,LAM 621-101,ENSG00000230551,Angiomyolipoma,6,0,0,Angiomyolipoma,human,APA
282678,DataSet_396,human,FAM120A,LAM 621-101,MLF1,Angiomyolipoma,6,102,102,Angiomyolipoma,human,APA
282947,DataSet_396,human,FAM120A,LAM 621-101,PSMD1,Angiomyolipoma,6,12,12,Angiomyolipoma,human,APA
282768,DataSet_396,human,FAM120A,LAM 621-101,OAS1,Angiomyolipoma,6,84,72,Angiomyolipoma,human,APA
282778,DataSet_396,human,FAM120A,LAM 621-101,OSBPL2,Angiomyolipoma,6,60,60,Angiomyolipoma,human,APA
282925,DataSet_396,human,FAM120A,LAM 621-101,PPP6R3,Angiomyolipoma,6,4,4,Angiomyolipoma,human,APA
282363,DataSet_396,human,FAM120A,LAM 621-101,EPN2,Angiomyolipoma,6,78,0,Angiomyolipoma,human,APA
282364,DataSet_396,human,FAM120A,LAM 621-101,ERAP1,Angiomyolipoma,6,0,0,Angiomyolipoma,human,APA
282256,DataSet_396,human,FAM120A,LAM 621-101,ENSA,Angiomyolipoma,6,55,25,Angiomyolipoma,human,APA
282174,DataSet_396,human,FAM120A,LAM 621-101,DDX19B,Angiomyolipoma,6,42,42,Angiomyolipoma,human,APA
281990,DataSet_396,human,FAM120A,LAM 621-101,BTBD3,Angiomyolipoma,6,54,0,Angiomyolipoma,human,APA
282038,DataSet_396,human,FAM120A,LAM 621-101,CCDC14,Angiomyolipoma,6,42,36,Angiomyolipoma,human,APA
282133,DataSet_396,human,FAM120A,LAM 621-101,CREBZF,Angiomyolipoma,6,0,0,Angiomyolipoma,human,APA
282138,DataSet_396,human,FAM120A,LAM 621-101,CSNK1A1,Angiomyolipoma,6,42,42,Angiomyolipoma,human,APA
282168,DataSet_396,human,FAM120A,LAM 621-101,DDB1,Angiomyolipoma,6,54,54,Angiomyolipoma,human,APA
283470,DataSet_396,human,FAM120A,LAM 621-101,ZNF415,Angiomyolipoma,6,41,26,Angiomyolipoma,human,APA
283142,DataSet_396,human,FAM120A,LAM 621-101,SLX1B-SULT1A4,Angiomyolipoma,6,0,0,Angiomyolipoma,human,APA
283340,DataSet_396,human,FAM120A,LAM 621-101,TRNT1,Angiomyolipoma,5,15,15,Angiomyolipoma,human,APA
283393,DataSet_396,human,FAM120A,LAM 621-101,VAMP1,Angiomyolipoma,5,0,0,Angiomyolipoma,human,APA
283172,DataSet_396,human,FAM120A,LAM 621-101,SNX11,Angiomyolipoma,5,30,25,Angiomyolipoma,human,APA
282935,DataSet_396,human,FAM120A,LAM 621-101,PRKRIP1,Angiomyolipoma,5,10,10,Angiomyolipoma,human,APA
283074,DataSet_396,human,FAM120A,LAM 621-101,SEC14L1,Angiomyolipoma,5,40,30,Angiomyolipoma,human,APA
283160,DataSet_396,human,FAM120A,LAM 621-101,SNHG5,Angiomyolipoma,5,0,0,Angiomyolipoma,human,APA
282941,DataSet_396,human,FAM120A,LAM 621-101,PROS1,Angiomyolipoma,5,24,24,Angiomyolipoma,human,APA
283265,DataSet_396,human,FAM120A,LAM 621-101,TGIF1,Angiomyolipoma,5,100,27,Angiomyolipoma,human,APA
