Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
202972,DataSet_3,human,IGF2BP2,UMUC3,ATP5MC3,Bladder carcinoma,2,6,6,Bladder carcinoma,human,APA
202988,DataSet_3,human,IGF2BP2,UMUC3,NAP1L1,Bladder carcinoma,2,22,6,Bladder carcinoma,human,APA
202998,DataSet_3,human,IGF2BP2,UMUC3,SNHG5,Bladder carcinoma,2,0,0,Bladder carcinoma,human,APA
202996,DataSet_3,human,IGF2BP2,UMUC3,RPL39,Bladder carcinoma,2,2,2,Bladder carcinoma,human,APA
202978,DataSet_3,human,IGF2BP2,UMUC3,EMP3,Bladder carcinoma,2,10,6,Bladder carcinoma,human,APA
202980,DataSet_3,human,IGF2BP2,UMUC3,ENSG00000271793,Bladder carcinoma,2,0,0,Bladder carcinoma,human,APA
202991,DataSet_3,human,IGF2BP2,UMUC3,RARS1,Bladder carcinoma,2,2,2,Bladder carcinoma,human,APA
202985,DataSet_3,human,IGF2BP2,UMUC3,KTN1,Bladder carcinoma,2,18,0,Bladder carcinoma,human,APA
202990,DataSet_3,human,IGF2BP2,UMUC3,PSMD11,Bladder carcinoma,2,0,0,Bladder carcinoma,human,APA
202999,DataSet_3,human,IGF2BP2,UMUC3,TMA7,Bladder carcinoma,1,1,1,Bladder carcinoma,human,APA
202997,DataSet_3,human,IGF2BP2,UMUC3,RPS18,Bladder carcinoma,1,2,2,Bladder carcinoma,human,APA
202995,DataSet_3,human,IGF2BP2,UMUC3,RPL14,Bladder carcinoma,1,3,3,Bladder carcinoma,human,APA
202994,DataSet_3,human,IGF2BP2,UMUC3,RPL10A,Bladder carcinoma,1,1,1,Bladder carcinoma,human,APA
202993,DataSet_3,human,IGF2BP2,UMUC3,RPL10,Bladder carcinoma,1,7,3,Bladder carcinoma,human,APA
202992,DataSet_3,human,IGF2BP2,UMUC3,ROMO1,Bladder carcinoma,1,5,5,Bladder carcinoma,human,APA
