Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
124814,DataSet_200,human,PUS1,MDA-MB-231,LGALS8,Breast Adenocarcinoma,9,90,90,Breast adenocarcinoma,human,APA
125484,DataSet_200,human,PUS1,MDA-MB-231,TACC2,Breast Adenocarcinoma,9,135,135,Breast adenocarcinoma,human,APA
124247,DataSet_200,human,PUS1,MDA-MB-231,CHMP1A,Breast Adenocarcinoma,9,72,72,Breast adenocarcinoma,human,APA
124248,DataSet_200,human,PUS1,MDA-MB-231,CHN1,Breast Adenocarcinoma,8,96,80,Breast adenocarcinoma,human,APA
124919,DataSet_200,human,PUS1,MDA-MB-231,MIF4GD,Breast Adenocarcinoma,8,89,63,Breast adenocarcinoma,human,APA
124818,DataSet_200,human,PUS1,MDA-MB-231,LINC01002,Breast Adenocarcinoma,8,0,0,Breast adenocarcinoma,human,APA
124293,DataSet_200,human,PUS1,MDA-MB-231,CRYL1,Breast Adenocarcinoma,8,32,32,Breast adenocarcinoma,human,APA
124457,DataSet_200,human,PUS1,MDA-MB-231,ENSG00000256028,Breast Adenocarcinoma,7,0,0,Breast adenocarcinoma,human,APA
125287,DataSet_200,human,PUS1,MDA-MB-231,SAMHD1,Breast Adenocarcinoma,7,0,0,Breast adenocarcinoma,human,APA
124665,DataSet_200,human,PUS1,MDA-MB-231,GNAI1,Breast Adenocarcinoma,7,119,119,Breast adenocarcinoma,human,APA
124712,DataSet_200,human,PUS1,MDA-MB-231,HMBS,Breast Adenocarcinoma,7,70,70,Breast adenocarcinoma,human,APA
124735,DataSet_200,human,PUS1,MDA-MB-231,IFT22,Breast Adenocarcinoma,7,42,42,Breast adenocarcinoma,human,APA
124278,DataSet_200,human,PUS1,MDA-MB-231,COPG2,Breast Adenocarcinoma,7,2,2,Breast adenocarcinoma,human,APA
124262,DataSet_200,human,PUS1,MDA-MB-231,CLIP4,Breast Adenocarcinoma,7,113,11,Breast adenocarcinoma,human,APA
125559,DataSet_200,human,PUS1,MDA-MB-231,TMEM30A,Breast Adenocarcinoma,7,42,42,Breast adenocarcinoma,human,APA
124195,DataSet_200,human,PUS1,MDA-MB-231,CC2D1A,Breast Adenocarcinoma,7,28,28,Breast adenocarcinoma,human,APA
124095,DataSet_200,human,PUS1,MDA-MB-231,ARPP19,Breast Adenocarcinoma,7,84,77,Breast adenocarcinoma,human,APA
124086,DataSet_200,human,PUS1,MDA-MB-231,ARL6IP4,Breast Adenocarcinoma,7,56,56,Breast adenocarcinoma,human,APA
125332,DataSet_200,human,PUS1,MDA-MB-231,SH3YL1,Breast Adenocarcinoma,7,55,39,Breast adenocarcinoma,human,APA
125433,DataSet_200,human,PUS1,MDA-MB-231,SPIRE1,Breast Adenocarcinoma,6,24,16,Breast adenocarcinoma,human,APA
125119,DataSet_200,human,PUS1,MDA-MB-231,PLSCR3,Breast Adenocarcinoma,6,36,36,Breast adenocarcinoma,human,APA
124790,DataSet_200,human,PUS1,MDA-MB-231,KLHL2,Breast Adenocarcinoma,6,30,30,Breast adenocarcinoma,human,APA
125137,DataSet_200,human,PUS1,MDA-MB-231,PPHLN1,Breast Adenocarcinoma,6,63,35,Breast adenocarcinoma,human,APA
124753,DataSet_200,human,PUS1,MDA-MB-231,IP6K2,Breast Adenocarcinoma,6,144,65,Breast adenocarcinoma,human,APA
125041,DataSet_200,human,PUS1,MDA-MB-231,NT5C,Breast Adenocarcinoma,6,30,30,Breast adenocarcinoma,human,APA
124719,DataSet_200,human,PUS1,MDA-MB-231,HNRNPA3,Breast Adenocarcinoma,6,0,0,Breast adenocarcinoma,human,APA
124908,DataSet_200,human,PUS1,MDA-MB-231,MFSD8,Breast Adenocarcinoma,6,194,98,Breast adenocarcinoma,human,APA
124668,DataSet_200,human,PUS1,MDA-MB-231,GOLT1B,Breast Adenocarcinoma,6,12,12,Breast adenocarcinoma,human,APA
124909,DataSet_200,human,PUS1,MDA-MB-231,MGAT1,Breast Adenocarcinoma,6,0,0,Breast adenocarcinoma,human,APA
124646,DataSet_200,human,PUS1,MDA-MB-231,GCC2,Breast Adenocarcinoma,6,0,0,Breast adenocarcinoma,human,APA
124970,DataSet_200,human,PUS1,MDA-MB-231,MTHFR,Breast Adenocarcinoma,6,43,35,Breast adenocarcinoma,human,APA
125460,DataSet_200,human,PUS1,MDA-MB-231,STAT5A,Breast Adenocarcinoma,6,60,60,Breast adenocarcinoma,human,APA
124988,DataSet_200,human,PUS1,MDA-MB-231,MYO9B,Breast Adenocarcinoma,6,28,16,Breast adenocarcinoma,human,APA
124044,DataSet_200,human,PUS1,MDA-MB-231,ALS2,Breast Adenocarcinoma,6,219,31,Breast adenocarcinoma,human,APA
125502,DataSet_200,human,PUS1,MDA-MB-231,TBC1D20,Breast Adenocarcinoma,6,72,72,Breast adenocarcinoma,human,APA
124387,DataSet_200,human,PUS1,MDA-MB-231,DYNC1I2,Breast Adenocarcinoma,6,48,48,Breast adenocarcinoma,human,APA
125696,DataSet_200,human,PUS1,MDA-MB-231,YARS1,Breast Adenocarcinoma,6,12,12,Breast adenocarcinoma,human,APA
124118,DataSet_200,human,PUS1,MDA-MB-231,BACE1,Breast Adenocarcinoma,6,55,45,Breast adenocarcinoma,human,APA
124357,DataSet_200,human,PUS1,MDA-MB-231,DMTF1,Breast Adenocarcinoma,6,30,30,Breast adenocarcinoma,human,APA
124119,DataSet_200,human,PUS1,MDA-MB-231,BACE1-AS,Breast Adenocarcinoma,6,0,0,Breast adenocarcinoma,human,APA
124345,DataSet_200,human,PUS1,MDA-MB-231,DENND2B,Breast Adenocarcinoma,6,126,0,Breast adenocarcinoma,human,APA
124342,DataSet_200,human,PUS1,MDA-MB-231,DEF8,Breast Adenocarcinoma,6,72,27,Breast adenocarcinoma,human,APA
125534,DataSet_200,human,PUS1,MDA-MB-231,TLDC2,Breast Adenocarcinoma,6,6,0,Breast adenocarcinoma,human,APA
125544,DataSet_200,human,PUS1,MDA-MB-231,TMEM120A,Breast Adenocarcinoma,6,20,19,Breast adenocarcinoma,human,APA
125556,DataSet_200,human,PUS1,MDA-MB-231,TMEM256-PLSCR3,Breast Adenocarcinoma,6,0,0,Breast adenocarcinoma,human,APA
125032,DataSet_200,human,PUS1,MDA-MB-231,NONO,Breast Adenocarcinoma,5,80,80,Breast adenocarcinoma,human,APA
125036,DataSet_200,human,PUS1,MDA-MB-231,NPLOC4,Breast Adenocarcinoma,5,30,30,Breast adenocarcinoma,human,APA
125725,DataSet_200,human,PUS1,MDA-MB-231,ZMYM3,Breast Adenocarcinoma,5,29,17,Breast adenocarcinoma,human,APA
125640,DataSet_200,human,PUS1,MDA-MB-231,UIMC1,Breast Adenocarcinoma,5,20,20,Breast adenocarcinoma,human,APA
125020,DataSet_200,human,PUS1,MDA-MB-231,NF1,Breast Adenocarcinoma,5,45,40,Breast adenocarcinoma,human,APA
125044,DataSet_200,human,PUS1,MDA-MB-231,NUMB,Breast Adenocarcinoma,5,70,70,Breast adenocarcinoma,human,APA
125135,DataSet_200,human,PUS1,MDA-MB-231,PPARG,Breast Adenocarcinoma,5,85,85,Breast adenocarcinoma,human,APA
125111,DataSet_200,human,PUS1,MDA-MB-231,PLCE1,Breast Adenocarcinoma,5,0,0,Breast adenocarcinoma,human,APA
125592,DataSet_200,human,PUS1,MDA-MB-231,TRNT1,Breast Adenocarcinoma,5,15,15,Breast adenocarcinoma,human,APA
125587,DataSet_200,human,PUS1,MDA-MB-231,TRIQK,Breast Adenocarcinoma,5,75,65,Breast adenocarcinoma,human,APA
125461,DataSet_200,human,PUS1,MDA-MB-231,STBD1,Breast Adenocarcinoma,5,5,5,Breast adenocarcinoma,human,APA
125171,DataSet_200,human,PUS1,MDA-MB-231,PSME3IP1,Breast Adenocarcinoma,5,35,35,Breast adenocarcinoma,human,APA
125201,DataSet_200,human,PUS1,MDA-MB-231,RAB3GAP1,Breast Adenocarcinoma,5,20,15,Breast adenocarcinoma,human,APA
125522,DataSet_200,human,PUS1,MDA-MB-231,TFG,Breast Adenocarcinoma,5,100,100,Breast adenocarcinoma,human,APA
125271,DataSet_200,human,PUS1,MDA-MB-231,RPS6KA3,Breast Adenocarcinoma,5,60,55,Breast adenocarcinoma,human,APA
125298,DataSet_200,human,PUS1,MDA-MB-231,SCHIP1,Breast Adenocarcinoma,5,10,10,Breast adenocarcinoma,human,APA
125012,DataSet_200,human,PUS1,MDA-MB-231,NEDD4L,Breast Adenocarcinoma,5,120,120,Breast adenocarcinoma,human,APA
124005,DataSet_200,human,PUS1,MDA-MB-231,AATF,Breast Adenocarcinoma,5,30,30,Breast adenocarcinoma,human,APA
124979,DataSet_200,human,PUS1,MDA-MB-231,MXI1,Breast Adenocarcinoma,5,120,120,Breast adenocarcinoma,human,APA
124647,DataSet_200,human,PUS1,MDA-MB-231,GCNT2,Breast Adenocarcinoma,5,25,25,Breast adenocarcinoma,human,APA
124138,DataSet_200,human,PUS1,MDA-MB-231,BIVM,Breast Adenocarcinoma,5,30,30,Breast adenocarcinoma,human,APA
124139,DataSet_200,human,PUS1,MDA-MB-231,BIVM-ERCC5,Breast Adenocarcinoma,5,10,0,Breast adenocarcinoma,human,APA
124174,DataSet_200,human,PUS1,MDA-MB-231,CACTIN,Breast Adenocarcinoma,5,0,0,Breast adenocarcinoma,human,APA
124260,DataSet_200,human,PUS1,MDA-MB-231,CLIP1,Breast Adenocarcinoma,5,35,35,Breast adenocarcinoma,human,APA
124330,DataSet_200,human,PUS1,MDA-MB-231,DCAF6,Breast Adenocarcinoma,5,20,20,Breast adenocarcinoma,human,APA
124389,DataSet_200,human,PUS1,MDA-MB-231,DYRK1A,Breast Adenocarcinoma,5,45,40,Breast adenocarcinoma,human,APA
124592,DataSet_200,human,PUS1,MDA-MB-231,FAM214B,Breast Adenocarcinoma,5,35,35,Breast adenocarcinoma,human,APA
124593,DataSet_200,human,PUS1,MDA-MB-231,FAM47E-STBD1,Breast Adenocarcinoma,5,10,10,Breast adenocarcinoma,human,APA
124571,DataSet_200,human,PUS1,MDA-MB-231,ETNK1,Breast Adenocarcinoma,5,10,10,Breast adenocarcinoma,human,APA
124029,DataSet_200,human,PUS1,MDA-MB-231,AHDC1,Breast Adenocarcinoma,5,0,0,Breast adenocarcinoma,human,APA
124682,DataSet_200,human,PUS1,MDA-MB-231,GSK3B,Breast Adenocarcinoma,5,42,32,Breast adenocarcinoma,human,APA
