Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
41971,DataSet_14,human,MAGOHB,ChagoK1,CTNND1,Bronchogenic carcinoma,9,324,324,Bronchogenic carcinoma,human,APA
42463,DataSet_14,human,MAGOHB,ChagoK1,MCCC2,Bronchogenic carcinoma,9,108,108,Bronchogenic carcinoma,human,APA
47625,DataSet_15,human,MAGOHB,ChagoK1,GMPPA,Bronchogenic carcinoma,9,81,81,Bronchogenic carcinoma,human,APA
48337,DataSet_15,human,MAGOHB,ChagoK1,PRKAG2,Bronchogenic carcinoma,9,90,80,Bronchogenic carcinoma,human,APA
47002,DataSet_15,human,MAGOHB,ChagoK1,CAST,Bronchogenic carcinoma,9,0,0,Bronchogenic carcinoma,human,APA
42167,DataSet_14,human,MAGOHB,ChagoK1,ENSG00000288534,Bronchogenic carcinoma,9,0,0,Bronchogenic carcinoma,human,APA
42217,DataSet_14,human,MAGOHB,ChagoK1,FDXR,Bronchogenic carcinoma,9,72,72,Bronchogenic carcinoma,human,APA
42469,DataSet_14,human,MAGOHB,ChagoK1,ME2,Bronchogenic carcinoma,9,45,45,Bronchogenic carcinoma,human,APA
42864,DataSet_14,human,MAGOHB,ChagoK1,RPS6KA3,Bronchogenic carcinoma,9,108,99,Bronchogenic carcinoma,human,APA
47793,DataSet_15,human,MAGOHB,ChagoK1,KDM5B,Bronchogenic carcinoma,9,54,54,Bronchogenic carcinoma,human,APA
48124,DataSet_15,human,MAGOHB,ChagoK1,NSD2,Bronchogenic carcinoma,9,61,36,Bronchogenic carcinoma,human,APA
42389,DataSet_14,human,MAGOHB,ChagoK1,KRAS,Bronchogenic carcinoma,9,54,54,Bronchogenic carcinoma,human,APA
42457,DataSet_14,human,MAGOHB,ChagoK1,MARK3,Bronchogenic carcinoma,8,200,175,Bronchogenic carcinoma,human,APA
47850,DataSet_15,human,MAGOHB,ChagoK1,LINC01002,Bronchogenic carcinoma,8,0,0,Bronchogenic carcinoma,human,APA
48075,DataSet_15,human,MAGOHB,ChagoK1,NDRG2,Bronchogenic carcinoma,8,135,135,Bronchogenic carcinoma,human,APA
46856,DataSet_15,human,MAGOHB,ChagoK1,ARHGEF9,Bronchogenic carcinoma,8,183,183,Bronchogenic carcinoma,human,APA
48306,DataSet_15,human,MAGOHB,ChagoK1,POMT1,Bronchogenic carcinoma,8,128,128,Bronchogenic carcinoma,human,APA
48079,DataSet_15,human,MAGOHB,ChagoK1,NDUFB5,Bronchogenic carcinoma,8,48,48,Bronchogenic carcinoma,human,APA
48600,DataSet_15,human,MAGOHB,ChagoK1,SLC6A15,Bronchogenic carcinoma,8,102,45,Bronchogenic carcinoma,human,APA
43093,DataSet_14,human,MAGOHB,ChagoK1,TMEM231,Bronchogenic carcinoma,8,48,48,Bronchogenic carcinoma,human,APA
47731,DataSet_15,human,MAGOHB,ChagoK1,IDE,Bronchogenic carcinoma,8,80,80,Bronchogenic carcinoma,human,APA
47528,DataSet_15,human,MAGOHB,ChagoK1,FAM219B,Bronchogenic carcinoma,8,40,32,Bronchogenic carcinoma,human,APA
48460,DataSet_15,human,MAGOHB,ChagoK1,RNH1,Bronchogenic carcinoma,8,72,72,Bronchogenic carcinoma,human,APA
48918,DataSet_15,human,MAGOHB,ChagoK1,UBE2F-SCLY,Bronchogenic carcinoma,8,6,6,Bronchogenic carcinoma,human,APA
41793,DataSet_14,human,MAGOHB,ChagoK1,BCOR,Bronchogenic carcinoma,8,96,88,Bronchogenic carcinoma,human,APA
41781,DataSet_14,human,MAGOHB,ChagoK1,BBIP1,Bronchogenic carcinoma,8,80,80,Bronchogenic carcinoma,human,APA
46748,DataSet_15,human,MAGOHB,ChagoK1,ACER3,Bronchogenic carcinoma,8,40,40,Bronchogenic carcinoma,human,APA
47354,DataSet_15,human,MAGOHB,ChagoK1,ENSG00000256028,Bronchogenic carcinoma,7,0,0,Bronchogenic carcinoma,human,APA
48576,DataSet_15,human,MAGOHB,ChagoK1,SLC25A26,Bronchogenic carcinoma,7,56,56,Bronchogenic carcinoma,human,APA
