Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
167437,DataSet_25,human,ADAR1,THP-1,PIGV,Childhood acute monocytic leukemia,9,153,153,Childhood acute monocytic leukemia,human,APA
166906,DataSet_25,human,ADAR1,THP-1,CUL2,Childhood acute monocytic leukemia,9,0,0,Childhood acute monocytic leukemia,human,APA
166818,DataSet_25,human,ADAR1,THP-1,CAST,Childhood acute monocytic leukemia,9,0,0,Childhood acute monocytic leukemia,human,APA
167766,DataSet_25,human,ADAR1,THP-1,TRIQK,Childhood acute monocytic leukemia,9,135,117,Childhood acute monocytic leukemia,human,APA
167725,DataSet_25,human,ADAR1,THP-1,TK2,Childhood acute monocytic leukemia,8,184,184,Childhood acute monocytic leukemia,human,APA
166734,DataSet_25,human,ADAR1,THP-1,ARHGAP4,Childhood acute monocytic leukemia,8,32,32,Childhood acute monocytic leukemia,human,APA
167640,DataSet_25,human,ADAR1,THP-1,SMARCA2,Childhood acute monocytic leukemia,8,104,104,Childhood acute monocytic leukemia,human,APA
167013,DataSet_25,human,ADAR1,THP-1,ENSG00000260851,Childhood acute monocytic leukemia,8,0,0,Childhood acute monocytic leukemia,human,APA
166949,DataSet_25,human,ADAR1,THP-1,DNAJB1,Childhood acute monocytic leukemia,8,153,153,Childhood acute monocytic leukemia,human,APA
167182,DataSet_25,human,ADAR1,THP-1,IFT22,Childhood acute monocytic leukemia,7,42,42,Childhood acute monocytic leukemia,human,APA
166887,DataSet_25,human,ADAR1,THP-1,CRELD1,Childhood acute monocytic leukemia,7,91,91,Childhood acute monocytic leukemia,human,APA
167278,DataSet_25,human,ADAR1,THP-1,MCM4,Childhood acute monocytic leukemia,7,49,49,Childhood acute monocytic leukemia,human,APA
167583,DataSet_25,human,ADAR1,THP-1,SEC14L1,Childhood acute monocytic leukemia,7,34,26,Childhood acute monocytic leukemia,human,APA
167049,DataSet_25,human,ADAR1,THP-1,ENSG00000288550,Childhood acute monocytic leukemia,7,0,0,Childhood acute monocytic leukemia,human,APA
167059,DataSet_25,human,ADAR1,THP-1,ERAP1,Childhood acute monocytic leukemia,7,3,2,Childhood acute monocytic leukemia,human,APA
167063,DataSet_25,human,ADAR1,THP-1,ERGIC1,Childhood acute monocytic leukemia,7,28,28,Childhood acute monocytic leukemia,human,APA
167153,DataSet_25,human,ADAR1,THP-1,GSTZ1,Childhood acute monocytic leukemia,7,63,63,Childhood acute monocytic leukemia,human,APA
166875,DataSet_25,human,ADAR1,THP-1,COPA,Childhood acute monocytic leukemia,7,42,42,Childhood acute monocytic leukemia,human,APA
167061,DataSet_25,human,ADAR1,THP-1,ERCC5,Childhood acute monocytic leukemia,6,12,12,Childhood acute monocytic leukemia,human,APA
167078,DataSet_25,human,ADAR1,THP-1,FAM107B,Childhood acute monocytic leukemia,6,96,66,Childhood acute monocytic leukemia,human,APA
167848,DataSet_25,human,ADAR1,THP-1,ZNF385A,Childhood acute monocytic leukemia,6,36,36,Childhood acute monocytic leukemia,human,APA
166708,DataSet_25,human,ADAR1,THP-1,AIMP1,Childhood acute monocytic leukemia,6,78,78,Childhood acute monocytic leukemia,human,APA
166733,DataSet_25,human,ADAR1,THP-1,ARHGAP17,Childhood acute monocytic leukemia,6,18,18,Childhood acute monocytic leukemia,human,APA
167644,DataSet_25,human,ADAR1,THP-1,SMN1,Childhood acute monocytic leukemia,5,12,12,Childhood acute monocytic leukemia,human,APA
167297,DataSet_25,human,ADAR1,THP-1,MFSD8,Childhood acute monocytic leukemia,5,65,65,Childhood acute monocytic leukemia,human,APA
167410,DataSet_25,human,ADAR1,THP-1,PACRGL,Childhood acute monocytic leukemia,5,55,55,Childhood acute monocytic leukemia,human,APA
167789,DataSet_25,human,ADAR1,THP-1,UIMC1,Childhood acute monocytic leukemia,5,20,20,Childhood acute monocytic leukemia,human,APA
167402,DataSet_25,human,ADAR1,THP-1,OCRL,Childhood acute monocytic leukemia,5,10,10,Childhood acute monocytic leukemia,human,APA
167218,DataSet_25,human,ADAR1,THP-1,KDSR,Childhood acute monocytic leukemia,5,15,15,Childhood acute monocytic leukemia,human,APA
167387,DataSet_25,human,ADAR1,THP-1,NSD3,Childhood acute monocytic leukemia,5,13,13,Childhood acute monocytic leukemia,human,APA
167274,DataSet_25,human,ADAR1,THP-1,MATR3,Childhood acute monocytic leukemia,5,30,30,Childhood acute monocytic leukemia,human,APA
167776,DataSet_25,human,ADAR1,THP-1,TXNDC15,Childhood acute monocytic leukemia,5,15,15,Childhood acute monocytic leukemia,human,APA
166756,DataSet_25,human,ADAR1,THP-1,ATF7IP,Childhood acute monocytic leukemia,5,76,4,Childhood acute monocytic leukemia,human,APA
166771,DataSet_25,human,ADAR1,THP-1,AVL9,Childhood acute monocytic leukemia,5,15,15,Childhood acute monocytic leukemia,human,APA
166775,DataSet_25,human,ADAR1,THP-1,BANP,Childhood acute monocytic leukemia,5,40,40,Childhood acute monocytic leukemia,human,APA
166783,DataSet_25,human,ADAR1,THP-1,BIVM,Childhood acute monocytic leukemia,5,30,30,Childhood acute monocytic leukemia,human,APA
166983,DataSet_25,human,ADAR1,THP-1,ENSG00000230551,Childhood acute monocytic leukemia,5,0,0,Childhood acute monocytic leukemia,human,APA
