Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
4098,DataSet_11,human,SHQ1,HPB-ALL,DDX20,Childhood T acute lymphoblastic leukemia,9,27,27,Childhood T acute lymphoblastic leukemia,human,APA
16312,DataSet_12,human,SHQ1,KOPTK1,ENSG00000269987,Childhood T acute lymphoblastic leukemia,9,0,0,Childhood T acute lymphoblastic leukemia,human,APA
4564,DataSet_11,human,SHQ1,HPB-ALL,HSF4,Childhood T acute lymphoblastic leukemia,9,56,28,Childhood T acute lymphoblastic leukemia,human,APA
16111,DataSet_12,human,SHQ1,KOPTK1,DLG1,Childhood T acute lymphoblastic leukemia,9,333,333,Childhood T acute lymphoblastic leukemia,human,APA
17647,DataSet_12,human,SHQ1,KOPTK1,TMUB2,Childhood T acute lymphoblastic leukemia,9,88,88,Childhood T acute lymphoblastic leukemia,human,APA
4045,DataSet_11,human,SHQ1,HPB-ALL,COPS7A,Childhood T acute lymphoblastic leukemia,9,54,54,Childhood T acute lymphoblastic leukemia,human,APA
17717,DataSet_12,human,SHQ1,KOPTK1,TUG1,Childhood T acute lymphoblastic leukemia,9,0,0,Childhood T acute lymphoblastic leukemia,human,APA
3850,DataSet_11,human,SHQ1,HPB-ALL,ASAH1,Childhood T acute lymphoblastic leukemia,9,153,153,Childhood T acute lymphoblastic leukemia,human,APA
15847,DataSet_12,human,SHQ1,KOPTK1,BARD1,Childhood T acute lymphoblastic leukemia,9,54,48,Childhood T acute lymphoblastic leukemia,human,APA
4338,DataSet_11,human,SHQ1,HPB-ALL,ENSG00000284707,Childhood T acute lymphoblastic leukemia,8,0,0,Childhood T acute lymphoblastic leukemia,human,APA
3856,DataSet_11,human,SHQ1,HPB-ALL,ASNS,Childhood T acute lymphoblastic leukemia,8,60,49,Childhood T acute lymphoblastic leukemia,human,APA
3788,DataSet_11,human,SHQ1,HPB-ALL,ALDH3A2,Childhood T acute lymphoblastic leukemia,8,56,64,Childhood T acute lymphoblastic leukemia,human,APA
4660,DataSet_11,human,SHQ1,HPB-ALL,LINC01002,Childhood T acute lymphoblastic leukemia,8,0,0,Childhood T acute lymphoblastic leukemia,human,APA
3807,DataSet_11,human,SHQ1,HPB-ALL,ANKZF1,Childhood T acute lymphoblastic leukemia,8,29,0,Childhood T acute lymphoblastic leukemia,human,APA
5493,DataSet_11,human,SHQ1,HPB-ALL,WFS1,Childhood T acute lymphoblastic leukemia,8,56,50,Childhood T acute lymphoblastic leukemia,human,APA
