Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
284416,DataSet_40,human,ADAR,K562,ADAR,Chronic myelogenous leukemia,9,126,126,Chronic myelogenous leukemia,human,APA
285190,DataSet_40,human,ADAR,K562,THRB,Chronic myelogenous leukemia,8,80,80,Chronic myelogenous leukemia,human,APA
284959,DataSet_40,human,ADAR,K562,PHGDH,Chronic myelogenous leukemia,8,48,48,Chronic myelogenous leukemia,human,APA
284605,DataSet_40,human,ADAR,K562,DNAJB1,Chronic myelogenous leukemia,8,153,153,Chronic myelogenous leukemia,human,APA
284468,DataSet_40,human,ADAR,K562,AZIN1,Chronic myelogenous leukemia,7,70,70,Chronic myelogenous leukemia,human,APA
284660,DataSet_40,human,ADAR,K562,ENSG00000261460,Chronic myelogenous leukemia,7,0,0,Chronic myelogenous leukemia,human,APA
284893,DataSet_40,human,ADAR,K562,MTO1,Chronic myelogenous leukemia,7,56,56,Chronic myelogenous leukemia,human,APA
284748,DataSet_40,human,ADAR,K562,GRB10,Chronic myelogenous leukemia,7,91,91,Chronic myelogenous leukemia,human,APA
284482,DataSet_40,human,ADAR,K562,BSG,Chronic myelogenous leukemia,7,7,7,Chronic myelogenous leukemia,human,APA
284657,DataSet_40,human,ADAR,K562,ENSG00000260729,Chronic myelogenous leukemia,7,7,0,Chronic myelogenous leukemia,human,APA
285157,DataSet_40,human,ADAR,K562,SRSF11,Chronic myelogenous leukemia,7,32,25,Chronic myelogenous leukemia,human,APA
284765,DataSet_40,human,ADAR,K562,HEXA,Chronic myelogenous leukemia,7,70,49,Chronic myelogenous leukemia,human,APA
284684,DataSet_40,human,ADAR,K562,ENSG00000285130,Chronic myelogenous leukemia,6,6,6,Chronic myelogenous leukemia,human,APA
284614,DataSet_40,human,ADAR,K562,DYNC1I2,Chronic myelogenous leukemia,6,48,48,Chronic myelogenous leukemia,human,APA
284757,DataSet_40,human,ADAR,K562,HADH,Chronic myelogenous leukemia,6,48,48,Chronic myelogenous leukemia,human,APA
284783,DataSet_40,human,ADAR,K562,IFITM1,Chronic myelogenous leukemia,6,58,58,Chronic myelogenous leukemia,human,APA
284697,DataSet_40,human,ADAR,K562,ENSG00000288681,Chronic myelogenous leukemia,6,6,6,Chronic myelogenous leukemia,human,APA
284826,DataSet_40,human,ADAR,K562,LRBA,Chronic myelogenous leukemia,6,42,42,Chronic myelogenous leukemia,human,APA
285197,DataSet_40,human,ADAR,K562,TJP2,Chronic myelogenous leukemia,6,48,48,Chronic myelogenous leukemia,human,APA
284773,DataSet_40,human,ADAR,K562,HNRNPU,Chronic myelogenous leukemia,5,45,45,Chronic myelogenous leukemia,human,APA
284796,DataSet_40,human,ADAR,K562,KANSL2,Chronic myelogenous leukemia,5,20,20,Chronic myelogenous leukemia,human,APA
284841,DataSet_40,human,ADAR,K562,MAN2A2,Chronic myelogenous leukemia,5,30,25,Chronic myelogenous leukemia,human,APA
