Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
58079,DataSet_162,human,ESRP2,OS-RC-2,AIFM1,Clear cell renal cell carcinoma,9,108,108,Clear cell renal cell carcinoma,human,APA
58022,DataSet_162,human,ESRP2,OS-RC-2,ACSL4,Clear cell renal cell carcinoma,9,81,81,Clear cell renal cell carcinoma,human,APA
58033,DataSet_162,human,ESRP2,OS-RC-2,ACVR1,Clear cell renal cell carcinoma,9,144,144,Clear cell renal cell carcinoma,human,APA
58040,DataSet_162,human,ESRP2,OS-RC-2,ADAR,Clear cell renal cell carcinoma,9,126,126,Clear cell renal cell carcinoma,human,APA
58044,DataSet_162,human,ESRP2,OS-RC-2,ADD1,Clear cell renal cell carcinoma,9,48,40,Clear cell renal cell carcinoma,human,APA
59463,DataSet_162,human,ESRP2,OS-RC-2,ENSG00000284989,Clear cell renal cell carcinoma,31,0,0,Clear cell renal cell carcinoma,human,APA
62017,DataSet_162,human,ESRP2,OS-RC-2,ST3GAL3,Clear cell renal cell carcinoma,30,1020,990,Clear cell renal cell carcinoma,human,APA
58985,DataSet_162,human,ESRP2,OS-RC-2,DLG1,Clear cell renal cell carcinoma,25,925,925,Clear cell renal cell carcinoma,human,APA
58173,DataSet_162,human,ESRP2,OS-RC-2,APTX,Clear cell renal cell carcinoma,25,335,335,Clear cell renal cell carcinoma,human,APA
58335,DataSet_162,human,ESRP2,OS-RC-2,BBS2,Clear cell renal cell carcinoma,24,280,280,Clear cell renal cell carcinoma,human,APA
61957,DataSet_162,human,ESRP2,OS-RC-2,SPG7,Clear cell renal cell carcinoma,24,286,286,Clear cell renal cell carcinoma,human,APA
59503,DataSet_162,human,ESRP2,OS-RC-2,ENSG00000288550,Clear cell renal cell carcinoma,22,0,0,Clear cell renal cell carcinoma,human,APA
58813,DataSet_162,human,ESRP2,OS-RC-2,CRELD1,Clear cell renal cell carcinoma,22,296,283,Clear cell renal cell carcinoma,human,APA
60390,DataSet_162,human,ESRP2,OS-RC-2,MARK3,Clear cell renal cell carcinoma,21,526,476,Clear cell renal cell carcinoma,human,APA
59025,DataSet_162,human,ESRP2,OS-RC-2,DPAGT1,Clear cell renal cell carcinoma,21,133,131,Clear cell renal cell carcinoma,human,APA
