Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
2266,DataSet_108,human,AFF1,HCT116,ENSG00000260729,Colon adenocarcinoma,9,8,0,Colon adenocarcinoma,human,APA
2361,DataSet_108,human,AFF1,HCT116,ENSG00000288550,Colon adenocarcinoma,9,4,0,Colon adenocarcinoma,human,APA
3396,DataSet_108,human,AFF1,HCT116,ST3GAL5,Colon adenocarcinoma,9,117,117,Colon adenocarcinoma,human,APA
2674,DataSet_108,human,AFF1,HCT116,LCOR,Colon adenocarcinoma,9,117,117,Colon adenocarcinoma,human,APA
2067,DataSet_108,human,AFF1,HCT116,CLK1,Colon adenocarcinoma,9,27,27,Colon adenocarcinoma,human,APA
2846,DataSet_108,human,AFF1,HCT116,MXI1,Colon adenocarcinoma,8,192,192,Colon adenocarcinoma,human,APA
2431,DataSet_108,human,AFF1,HCT116,FGFR1,Colon adenocarcinoma,8,83,55,Colon adenocarcinoma,human,APA
2534,DataSet_108,human,AFF1,HCT116,HEXA,Colon adenocarcinoma,8,80,56,Colon adenocarcinoma,human,APA
2269,DataSet_108,human,AFF1,HCT116,ENSG00000261460,Colon adenocarcinoma,8,0,0,Colon adenocarcinoma,human,APA
1937,DataSet_108,human,AFF1,HCT116,BRIP1,Colon adenocarcinoma,7,42,42,Colon adenocarcinoma,human,APA
2549,DataSet_108,human,AFF1,HCT116,HOXB3,Colon adenocarcinoma,7,48,48,Colon adenocarcinoma,human,APA
2093,DataSet_108,human,AFF1,HCT116,CRELD1,Colon adenocarcinoma,7,146,123,Colon adenocarcinoma,human,APA
3401,DataSet_108,human,AFF1,HCT116,STAT2,Colon adenocarcinoma,7,21,21,Colon adenocarcinoma,human,APA
2267,DataSet_108,human,AFF1,HCT116,ENSG00000260851,Colon adenocarcinoma,7,0,0,Colon adenocarcinoma,human,APA
1996,DataSet_108,human,AFF1,HCT116,CCDC82,Colon adenocarcinoma,7,161,161,Colon adenocarcinoma,human,APA
2208,DataSet_108,human,AFF1,HCT116,ELP3,Colon adenocarcinoma,7,35,35,Colon adenocarcinoma,human,APA
3456,DataSet_108,human,AFF1,HCT116,TEKT4P2,Colon adenocarcinoma,7,0,0,Colon adenocarcinoma,human,APA
3469,DataSet_108,human,AFF1,HCT116,TK2,Colon adenocarcinoma,7,161,161,Colon adenocarcinoma,human,APA
2569,DataSet_108,human,AFF1,HCT116,IFITM1,Colon adenocarcinoma,7,66,66,Colon adenocarcinoma,human,APA
3598,DataSet_108,human,AFF1,HCT116,UGP2,Colon adenocarcinoma,7,42,42,Colon adenocarcinoma,human,APA
3107,DataSet_108,human,AFF1,HCT116,PROM1,Colon adenocarcinoma,7,24,0,Colon adenocarcinoma,human,APA
3647,DataSet_108,human,AFF1,HCT116,WFS1,Colon adenocarcinoma,7,49,49,Colon adenocarcinoma,human,APA
2362,DataSet_108,human,AFF1,HCT116,ENSG00000288681,Colon adenocarcinoma,7,7,7,Colon adenocarcinoma,human,APA
2458,DataSet_108,human,AFF1,HCT116,FXYD5,Colon adenocarcinoma,6,36,36,Colon adenocarcinoma,human,APA
2506,DataSet_108,human,AFF1,HCT116,GPS1,Colon adenocarcinoma,6,32,32,Colon adenocarcinoma,human,APA
2438,DataSet_108,human,AFF1,HCT116,FKRP,Colon adenocarcinoma,6,92,4,Colon adenocarcinoma,human,APA
2435,DataSet_108,human,AFF1,HCT116,FHL1,Colon adenocarcinoma,6,90,84,Colon adenocarcinoma,human,APA
2541,DataSet_108,human,AFF1,HCT116,HNRNPA2B1,Colon adenocarcinoma,6,0,0,Colon adenocarcinoma,human,APA
2985,DataSet_108,human,AFF1,HCT116,PCBP4,Colon adenocarcinoma,6,36,36,Colon adenocarcinoma,human,APA
2529,DataSet_108,human,AFF1,HCT116,HEATR3,Colon adenocarcinoma,6,6,6,Colon adenocarcinoma,human,APA
2412,DataSet_108,human,AFF1,HCT116,FAR2,Colon adenocarcinoma,6,36,30,Colon adenocarcinoma,human,APA
2547,DataSet_108,human,AFF1,HCT116,HOXB-AS1,Colon adenocarcinoma,6,0,0,Colon adenocarcinoma,human,APA
2557,DataSet_108,human,AFF1,HCT116,HSF4,Colon adenocarcinoma,6,37,24,Colon adenocarcinoma,human,APA
2929,DataSet_108,human,AFF1,HCT116,NR2F1-AS1,Colon adenocarcinoma,6,0,0,Colon adenocarcinoma,human,APA
2682,DataSet_108,human,AFF1,HCT116,LIG4,Colon adenocarcinoma,6,114,114,Colon adenocarcinoma,human,APA
2685,DataSet_108,human,AFF1,HCT116,LINC00467,Colon adenocarcinoma,6,0,0,Colon adenocarcinoma,human,APA
2725,DataSet_108,human,AFF1,HCT116,MALT1,Colon adenocarcinoma,6,12,12,Colon adenocarcinoma,human,APA
2761,DataSet_108,human,AFF1,HCT116,MEST,Colon adenocarcinoma,6,54,54,Colon adenocarcinoma,human,APA
2834,DataSet_108,human,AFF1,HCT116,MTHFD2,Colon adenocarcinoma,6,72,72,Colon adenocarcinoma,human,APA
3080,DataSet_108,human,AFF1,HCT116,PPID,Colon adenocarcinoma,6,0,0,Colon adenocarcinoma,human,APA
2280,DataSet_108,human,AFF1,HCT116,ENSG00000264324,Colon adenocarcinoma,6,0,0,Colon adenocarcinoma,human,APA
3103,DataSet_108,human,AFF1,HCT116,PRKD2,Colon adenocarcinoma,6,30,30,Colon adenocarcinoma,human,APA
3623,DataSet_108,human,AFF1,HCT116,VCP,Colon adenocarcinoma,6,54,54,Colon adenocarcinoma,human,APA
3668,DataSet_108,human,AFF1,HCT116,ZBTB38,Colon adenocarcinoma,6,90,0,Colon adenocarcinoma,human,APA
2380,DataSet_108,human,AFF1,HCT116,ETFDH,Colon adenocarcinoma,6,72,72,Colon adenocarcinoma,human,APA
3441,DataSet_108,human,AFF1,HCT116,TATDN3,Colon adenocarcinoma,6,40,40,Colon adenocarcinoma,human,APA
1964,DataSet_108,human,AFF1,HCT116,C6orf136,Colon adenocarcinoma,6,33,43,Colon adenocarcinoma,human,APA
2000,DataSet_108,human,AFF1,HCT116,CCSER2,Colon adenocarcinoma,6,30,15,Colon adenocarcinoma,human,APA
2113,DataSet_108,human,AFF1,HCT116,CUL2,Colon adenocarcinoma,6,0,0,Colon adenocarcinoma,human,APA
3255,DataSet_108,human,AFF1,HCT116,SCARB2,Colon adenocarcinoma,6,0,0,Colon adenocarcinoma,human,APA
3676,DataSet_108,human,AFF1,HCT116,ZDHHC14,Colon adenocarcinoma,6,12,12,Colon adenocarcinoma,human,APA
2302,DataSet_108,human,AFF1,HCT116,ENSG00000269915,Colon adenocarcinoma,6,0,0,Colon adenocarcinoma,human,APA
2372,DataSet_108,human,AFF1,HCT116,EPS8L2,Colon adenocarcinoma,6,36,36,Colon adenocarcinoma,human,APA
1859,DataSet_108,human,AFF1,HCT116,ARHGEF9,Colon adenocarcinoma,6,132,122,Colon adenocarcinoma,human,APA
2915,DataSet_108,human,AFF1,HCT116,NMNAT3,Colon adenocarcinoma,5,45,45,Colon adenocarcinoma,human,APA
2897,DataSet_108,human,AFF1,HCT116,NEPRO,Colon adenocarcinoma,5,8,6,Colon adenocarcinoma,human,APA
3690,DataSet_108,human,AFF1,HCT116,ZNF195,Colon adenocarcinoma,5,55,0,Colon adenocarcinoma,human,APA
3640,DataSet_108,human,AFF1,HCT116,WDR20,Colon adenocarcinoma,5,23,9,Colon adenocarcinoma,human,APA
