Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
71314,DataSet_169,human,DHX36,NTERA-2,NRXN1,Embryonal carcinoma,9,117,117,Embryonal carcinoma,human,APA
70767,DataSet_169,human,DHX36,NTERA-2,CRYL1,Embryonal carcinoma,9,36,36,Embryonal carcinoma,human,APA
70591,DataSet_169,human,DHX36,NTERA-2,ARL13B,Embryonal carcinoma,9,117,117,Embryonal carcinoma,human,APA
70952,DataSet_169,human,DHX36,NTERA-2,ENSG00000288550,Embryonal carcinoma,8,0,0,Embryonal carcinoma,human,APA
70763,DataSet_169,human,DHX36,NTERA-2,CRELD1,Embryonal carcinoma,8,154,144,Embryonal carcinoma,human,APA
71198,DataSet_169,human,DHX36,NTERA-2,MCPH1,Embryonal carcinoma,7,34,25,Embryonal carcinoma,human,APA
70811,DataSet_169,human,DHX36,NTERA-2,DISP1,Embryonal carcinoma,7,0,0,Embryonal carcinoma,human,APA
70824,DataSet_169,human,DHX36,NTERA-2,DNAJB1,Embryonal carcinoma,7,133,133,Embryonal carcinoma,human,APA
71034,DataSet_169,human,DHX36,NTERA-2,GNAI1,Embryonal carcinoma,7,119,119,Embryonal carcinoma,human,APA
70852,DataSet_169,human,DHX36,NTERA-2,EIF2AK3,Embryonal carcinoma,7,28,28,Embryonal carcinoma,human,APA
71658,DataSet_169,human,DHX36,NTERA-2,TASOR,Embryonal carcinoma,7,30,26,Embryonal carcinoma,human,APA
71032,DataSet_169,human,DHX36,NTERA-2,GMPPA,Embryonal carcinoma,6,54,54,Embryonal carcinoma,human,APA
71411,DataSet_169,human,DHX36,NTERA-2,PPP2R3C,Embryonal carcinoma,6,12,12,Embryonal carcinoma,human,APA
71160,DataSet_169,human,DHX36,NTERA-2,LINC02882,Embryonal carcinoma,6,0,0,Embryonal carcinoma,human,APA
70615,DataSet_169,human,DHX36,NTERA-2,BANP,Embryonal carcinoma,6,48,48,Embryonal carcinoma,human,APA
71025,DataSet_169,human,DHX36,NTERA-2,GGCX,Embryonal carcinoma,5,24,24,Embryonal carcinoma,human,APA
70994,DataSet_169,human,DHX36,NTERA-2,FGD5-AS1,Embryonal carcinoma,5,0,0,Embryonal carcinoma,human,APA
70532,DataSet_169,human,DHX36,NTERA-2,ABI2,Embryonal carcinoma,5,40,35,Embryonal carcinoma,human,APA
70984,DataSet_169,human,DHX36,NTERA-2,FAM53C,Embryonal carcinoma,5,16,0,Embryonal carcinoma,human,APA
71342,DataSet_169,human,DHX36,NTERA-2,PARP9,Embryonal carcinoma,5,26,21,Embryonal carcinoma,human,APA
70934,DataSet_169,human,DHX36,NTERA-2,ENSG00000284048,Embryonal carcinoma,5,0,0,Embryonal carcinoma,human,APA
71344,DataSet_169,human,DHX36,NTERA-2,PBRM1,Embryonal carcinoma,5,40,40,Embryonal carcinoma,human,APA
71378,DataSet_169,human,DHX36,NTERA-2,PIDD1,Embryonal carcinoma,5,10,10,Embryonal carcinoma,human,APA
71448,DataSet_169,human,DHX36,NTERA-2,RAB3GAP1,Embryonal carcinoma,5,20,15,Embryonal carcinoma,human,APA
71538,DataSet_169,human,DHX36,NTERA-2,SETD5,Embryonal carcinoma,5,32,32,Embryonal carcinoma,human,APA
71545,DataSet_169,human,DHX36,NTERA-2,SH3D19,Embryonal carcinoma,5,35,35,Embryonal carcinoma,human,APA
71575,DataSet_169,human,DHX36,NTERA-2,SLC7A7,Embryonal carcinoma,5,40,35,Embryonal carcinoma,human,APA
71635,DataSet_169,human,DHX36,NTERA-2,STK25,Embryonal carcinoma,5,35,35,Embryonal carcinoma,human,APA
71651,DataSet_169,human,DHX36,NTERA-2,SZT2,Embryonal carcinoma,5,10,10,Embryonal carcinoma,human,APA
71665,DataSet_169,human,DHX36,NTERA-2,TCF4,Embryonal carcinoma,5,0,0,Embryonal carcinoma,human,APA
70935,DataSet_169,human,DHX36,NTERA-2,ENSG00000284691,Embryonal carcinoma,5,5,5,Embryonal carcinoma,human,APA
70527,DataSet_169,human,DHX36,NTERA-2,ABHD14B,Embryonal carcinoma,5,25,25,Embryonal carcinoma,human,APA
71837,DataSet_169,human,DHX36,NTERA-2,ZNF707,Embryonal carcinoma,5,40,25,Embryonal carcinoma,human,APA
70585,DataSet_169,human,DHX36,NTERA-2,ARHGEF28,Embryonal carcinoma,5,30,30,Embryonal carcinoma,human,APA
70680,DataSet_169,human,DHX36,NTERA-2,CCDC88B,Embryonal carcinoma,5,15,15,Embryonal carcinoma,human,APA
70640,DataSet_169,human,DHX36,NTERA-2,BTD,Embryonal carcinoma,5,60,45,Embryonal carcinoma,human,APA
70592,DataSet_169,human,DHX36,NTERA-2,ARMC8,Embryonal carcinoma,5,48,27,Embryonal carcinoma,human,APA
70835,DataSet_169,human,DHX36,NTERA-2,DUSP22,Embryonal carcinoma,5,21,19,Embryonal carcinoma,human,APA
70569,DataSet_169,human,DHX36,NTERA-2,AP1G2,Embryonal carcinoma,5,6,0,Embryonal carcinoma,human,APA
70779,DataSet_169,human,DHX36,NTERA-2,CYB561A3,Embryonal carcinoma,5,18,18,Embryonal carcinoma,human,APA
71301,DataSet_169,human,DHX36,NTERA-2,NIN,Embryonal carcinoma,4,20,16,Embryonal carcinoma,human,APA
70689,DataSet_169,human,DHX36,NTERA-2,CCSAP,Embryonal carcinoma,4,12,12,Embryonal carcinoma,human,APA
