Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
258584,DataSet_370,human,USP39,A2780,ZNF692,Endometrioid carcinoma of ovary,9,38,28,Endometrioid carcinoma of ovary,human,APA
257125,DataSet_370,human,USP39,A2780,ATR,Endometrioid carcinoma of ovary,9,18,18,Endometrioid carcinoma of ovary,human,APA
257982,DataSet_370,human,USP39,A2780,PCBP1-AS1,Endometrioid carcinoma of ovary,9,0,0,Endometrioid carcinoma of ovary,human,APA
257191,DataSet_370,human,USP39,A2780,CCDC88A,Endometrioid carcinoma of ovary,9,0,0,Endometrioid carcinoma of ovary,human,APA
257566,DataSet_370,human,USP39,A2780,FAM219B,Endometrioid carcinoma of ovary,8,40,32,Endometrioid carcinoma of ovary,human,APA
257447,DataSet_370,human,USP39,A2780,ENSG00000260007,Endometrioid carcinoma of ovary,8,8,8,Endometrioid carcinoma of ovary,human,APA
257171,DataSet_370,human,USP39,A2780,CALML4,Endometrioid carcinoma of ovary,8,32,32,Endometrioid carcinoma of ovary,human,APA
257131,DataSet_370,human,USP39,A2780,BARD1,Endometrioid carcinoma of ovary,8,48,48,Endometrioid carcinoma of ovary,human,APA
257639,DataSet_370,human,USP39,A2780,GORAB,Endometrioid carcinoma of ovary,8,16,16,Endometrioid carcinoma of ovary,human,APA
258385,DataSet_370,human,USP39,A2780,TMEM67,Endometrioid carcinoma of ovary,8,104,104,Endometrioid carcinoma of ovary,human,APA
257695,DataSet_370,human,USP39,A2780,IFITM1,Endometrioid carcinoma of ovary,7,66,66,Endometrioid carcinoma of ovary,human,APA
258066,DataSet_370,human,USP39,A2780,PPP6R3,Endometrioid carcinoma of ovary,7,5,5,Endometrioid carcinoma of ovary,human,APA
257046,DataSet_370,human,USP39,A2780,AHDC1,Endometrioid carcinoma of ovary,7,0,0,Endometrioid carcinoma of ovary,human,APA
257320,DataSet_370,human,USP39,A2780,DCTN1,Endometrioid carcinoma of ovary,7,63,63,Endometrioid carcinoma of ovary,human,APA
257531,DataSet_370,human,USP39,A2780,ENSG00000288681,Endometrioid carcinoma of ovary,7,7,7,Endometrioid carcinoma of ovary,human,APA
257530,DataSet_370,human,USP39,A2780,ENSG00000288678,Endometrioid carcinoma of ovary,7,7,7,Endometrioid carcinoma of ovary,human,APA
258092,DataSet_370,human,USP39,A2780,PTP4A2,Endometrioid carcinoma of ovary,7,10,0,Endometrioid carcinoma of ovary,human,APA
257469,DataSet_370,human,USP39,A2780,ENSG00000264324,Endometrioid carcinoma of ovary,7,7,7,Endometrioid carcinoma of ovary,human,APA
258333,DataSet_370,human,USP39,A2780,TACC2,Endometrioid carcinoma of ovary,6,76,76,Endometrioid carcinoma of ovary,human,APA
257896,DataSet_370,human,USP39,A2780,MYH10,Endometrioid carcinoma of ovary,6,54,54,Endometrioid carcinoma of ovary,human,APA
257964,DataSet_370,human,USP39,A2780,OSBPL3,Endometrioid carcinoma of ovary,6,24,24,Endometrioid carcinoma of ovary,human,APA
257807,DataSet_370,human,USP39,A2780,MAGEA2B,Endometrioid carcinoma of ovary,6,54,6,Endometrioid carcinoma of ovary,human,APA
257892,DataSet_370,human,USP39,A2780,MTO1,Endometrioid carcinoma of ovary,6,48,48,Endometrioid carcinoma of ovary,human,APA
257047,DataSet_370,human,USP39,A2780,AHI1,Endometrioid carcinoma of ovary,6,6,66,Endometrioid carcinoma of ovary,human,APA
258049,DataSet_370,human,USP39,A2780,POMGNT1,Endometrioid carcinoma of ovary,6,60,58,Endometrioid carcinoma of ovary,human,APA
257554,DataSet_370,human,USP39,A2780,FAM107B,Endometrioid carcinoma of ovary,6,96,66,Endometrioid carcinoma of ovary,human,APA
257735,DataSet_370,human,USP39,A2780,KAT6B,Endometrioid carcinoma of ovary,6,120,0,Endometrioid carcinoma of ovary,human,APA
258369,DataSet_370,human,USP39,A2780,TMEM147-AS1,Endometrioid carcinoma of ovary,6,0,0,Endometrioid carcinoma of ovary,human,APA
258425,DataSet_370,human,USP39,A2780,TSC1,Endometrioid carcinoma of ovary,6,66,66,Endometrioid carcinoma of ovary,human,APA
258060,DataSet_370,human,USP39,A2780,PPM1N,Endometrioid carcinoma of ovary,6,42,42,Endometrioid carcinoma of ovary,human,APA
257262,DataSet_370,human,USP39,A2780,CNTRL,Endometrioid carcinoma of ovary,6,25,21,Endometrioid carcinoma of ovary,human,APA
257258,DataSet_370,human,USP39,A2780,CMTR2,Endometrioid carcinoma of ovary,6,35,4,Endometrioid carcinoma of ovary,human,APA
258106,DataSet_370,human,USP39,A2780,RAB15,Endometrioid carcinoma of ovary,6,36,36,Endometrioid carcinoma of ovary,human,APA
257246,DataSet_370,human,USP39,A2780,CIRBP,Endometrioid carcinoma of ovary,6,130,58,Endometrioid carcinoma of ovary,human,APA
258241,DataSet_370,human,USP39,A2780,SLC22A5,Endometrioid carcinoma of ovary,6,36,36,Endometrioid carcinoma of ovary,human,APA
258417,DataSet_370,human,USP39,A2780,TRIM52,Endometrioid carcinoma of ovary,5,9,9,Endometrioid carcinoma of ovary,human,APA
257683,DataSet_370,human,USP39,A2780,HOXB-AS3,Endometrioid carcinoma of ovary,5,0,0,Endometrioid carcinoma of ovary,human,APA
258383,DataSet_370,human,USP39,A2780,TMEM51,Endometrioid carcinoma of ovary,5,30,25,Endometrioid carcinoma of ovary,human,APA
258290,DataSet_370,human,USP39,A2780,SP100,Endometrioid carcinoma of ovary,5,45,20,Endometrioid carcinoma of ovary,human,APA
258270,DataSet_370,human,USP39,A2780,SMG7,Endometrioid carcinoma of ovary,5,35,35,Endometrioid carcinoma of ovary,human,APA
257750,DataSet_370,human,USP39,A2780,KIF5A,Endometrioid carcinoma of ovary,5,10,10,Endometrioid carcinoma of ovary,human,APA
257776,DataSet_370,human,USP39,A2780,LIG4,Endometrioid carcinoma of ovary,5,95,95,Endometrioid carcinoma of ovary,human,APA
258222,DataSet_370,human,USP39,A2780,SH3D19,Endometrioid carcinoma of ovary,5,35,35,Endometrioid carcinoma of ovary,human,APA
257775,DataSet_370,human,USP39,A2780,LIAS,Endometrioid carcinoma of ovary,5,35,30,Endometrioid carcinoma of ovary,human,APA
257651,DataSet_370,human,USP39,A2780,GTDC1,Endometrioid carcinoma of ovary,5,45,45,Endometrioid carcinoma of ovary,human,APA
258151,DataSet_370,human,USP39,A2780,RNASEH2C,Endometrioid carcinoma of ovary,5,10,10,Endometrioid carcinoma of ovary,human,APA
258143,DataSet_370,human,USP39,A2780,RHOT2,Endometrioid carcinoma of ovary,5,16,7,Endometrioid carcinoma of ovary,human,APA
257829,DataSet_370,human,USP39,A2780,MED13L,Endometrioid carcinoma of ovary,5,19,9,Endometrioid carcinoma of ovary,human,APA
257931,DataSet_370,human,USP39,A2780,NME6,Endometrioid carcinoma of ovary,5,70,54,Endometrioid carcinoma of ovary,human,APA
258091,DataSet_370,human,USP39,A2780,PTK2,Endometrioid carcinoma of ovary,5,73,48,Endometrioid carcinoma of ovary,human,APA
257643,DataSet_370,human,USP39,A2780,GPR137,Endometrioid carcinoma of ovary,5,42,10,Endometrioid carcinoma of ovary,human,APA
257208,DataSet_370,human,USP39,A2780,CDIN1,Endometrioid carcinoma of ovary,5,0,0,Endometrioid carcinoma of ovary,human,APA
257056,DataSet_370,human,USP39,A2780,AKT3,Endometrioid carcinoma of ovary,5,35,35,Endometrioid carcinoma of ovary,human,APA
257638,DataSet_370,human,USP39,A2780,GON4L,Endometrioid carcinoma of ovary,5,20,20,Endometrioid carcinoma of ovary,human,APA
257110,DataSet_370,human,USP39,A2780,ATF2,Endometrioid carcinoma of ovary,5,40,40,Endometrioid carcinoma of ovary,human,APA
257290,DataSet_370,human,USP39,A2780,CTC-338M12.4,Endometrioid carcinoma of ovary,5,0,0,Endometrioid carcinoma of ovary,human,APA
257182,DataSet_370,human,USP39,A2780,CCDC150,Endometrioid carcinoma of ovary,5,10,10,Endometrioid carcinoma of ovary,human,APA
257044,DataSet_370,human,USP39,A2780,AGAP3,Endometrioid carcinoma of ovary,4,14,13,Endometrioid carcinoma of ovary,human,APA
257325,DataSet_370,human,USP39,A2780,DDX58,Endometrioid carcinoma of ovary,4,16,16,Endometrioid carcinoma of ovary,human,APA
257304,DataSet_370,human,USP39,A2780,CYTOR,Endometrioid carcinoma of ovary,4,0,0,Endometrioid carcinoma of ovary,human,APA
257298,DataSet_370,human,USP39,A2780,CXXC1,Endometrioid carcinoma of ovary,4,20,20,Endometrioid carcinoma of ovary,human,APA
257279,DataSet_370,human,USP39,A2780,CREM,Endometrioid carcinoma of ovary,4,99,35,Endometrioid carcinoma of ovary,human,APA
257226,DataSet_370,human,USP39,A2780,CEP85,Endometrioid carcinoma of ovary,4,16,16,Endometrioid carcinoma of ovary,human,APA
257187,DataSet_370,human,USP39,A2780,CCDC39,Endometrioid carcinoma of ovary,4,9,6,Endometrioid carcinoma of ovary,human,APA
257203,DataSet_370,human,USP39,A2780,CD9,Endometrioid carcinoma of ovary,4,40,40,Endometrioid carcinoma of ovary,human,APA
257899,DataSet_370,human,USP39,A2780,MYO18A,Endometrioid carcinoma of ovary,4,14,9,Endometrioid carcinoma of ovary,human,APA
257160,DataSet_370,human,USP39,A2780,C17orf80,Endometrioid carcinoma of ovary,4,23,15,Endometrioid carcinoma of ovary,human,APA
257107,DataSet_370,human,USP39,A2780,ASRGL1,Endometrioid carcinoma of ovary,4,8,8,Endometrioid carcinoma of ovary,human,APA
257067,DataSet_370,human,USP39,A2780,AMOTL2,Endometrioid carcinoma of ovary,4,40,0,Endometrioid carcinoma of ovary,human,APA
257060,DataSet_370,human,USP39,A2780,ALG13,Endometrioid carcinoma of ovary,4,24,23,Endometrioid carcinoma of ovary,human,APA
257328,DataSet_370,human,USP39,A2780,DENND2B,Endometrioid carcinoma of ovary,4,28,28,Endometrioid carcinoma of ovary,human,APA
257903,DataSet_370,human,USP39,A2780,NADK,Endometrioid carcinoma of ovary,4,18,8,Endometrioid carcinoma of ovary,human,APA
257505,DataSet_370,human,USP39,A2780,ENSG00000282951,Endometrioid carcinoma of ovary,4,0,0,Endometrioid carcinoma of ovary,human,APA
257809,DataSet_370,human,USP39,A2780,MAGEA6,Endometrioid carcinoma of ovary,4,16,4,Endometrioid carcinoma of ovary,human,APA
257662,DataSet_370,human,USP39,A2780,HEMK1,Endometrioid carcinoma of ovary,4,16,16,Endometrioid carcinoma of ovary,human,APA
257604,DataSet_370,human,USP39,A2780,FTSJ1,Endometrioid carcinoma of ovary,4,0,0,Endometrioid carcinoma of ovary,human,APA
257715,DataSet_370,human,USP39,A2780,INTS11,Endometrioid carcinoma of ovary,4,46,1,Endometrioid carcinoma of ovary,human,APA
257723,DataSet_370,human,USP39,A2780,IQSEC2,Endometrioid carcinoma of ovary,4,22,22,Endometrioid carcinoma of ovary,human,APA
257588,DataSet_370,human,USP39,A2780,FHL2,Endometrioid carcinoma of ovary,4,32,32,Endometrioid carcinoma of ovary,human,APA
257532,DataSet_370,human,USP39,A2780,ENSG00000288684,Endometrioid carcinoma of ovary,4,4,4,Endometrioid carcinoma of ovary,human,APA
257508,DataSet_370,human,USP39,A2780,ENSG00000284879,Endometrioid carcinoma of ovary,4,0,0,Endometrioid carcinoma of ovary,human,APA
257806,DataSet_370,human,USP39,A2780,MAGEA2,Endometrioid carcinoma of ovary,4,40,24,Endometrioid carcinoma of ovary,human,APA
257033,DataSet_370,human,USP39,A2780,ACSL4,Endometrioid carcinoma of ovary,4,36,36,Endometrioid carcinoma of ovary,human,APA
257426,DataSet_370,human,USP39,A2780,ENSG00000254665,Endometrioid carcinoma of ovary,4,0,0,Endometrioid carcinoma of ovary,human,APA
257871,DataSet_370,human,USP39,A2780,MPPE1,Endometrioid carcinoma of ovary,4,56,0,Endometrioid carcinoma of ovary,human,APA
257832,DataSet_370,human,USP39,A2780,MEF2A,Endometrioid carcinoma of ovary,4,40,36,Endometrioid carcinoma of ovary,human,APA
257846,DataSet_370,human,USP39,A2780,MIA-RAB4B,Endometrioid carcinoma of ovary,4,0,0,Endometrioid carcinoma of ovary,human,APA
257728,DataSet_370,human,USP39,A2780,ITPR1,Endometrioid carcinoma of ovary,26,442,442,Endometrioid carcinoma of ovary,human,APA
257525,DataSet_370,human,USP39,A2780,ENSG00000288550,Endometrioid carcinoma of ovary,17,0,0,Endometrioid carcinoma of ovary,human,APA
257278,DataSet_370,human,USP39,A2780,CRELD1,Endometrioid carcinoma of ovary,17,221,221,Endometrioid carcinoma of ovary,human,APA
257880,DataSet_370,human,USP39,A2780,MSL3,Endometrioid carcinoma of ovary,17,272,272,Endometrioid carcinoma of ovary,human,APA
258004,DataSet_370,human,USP39,A2780,PGAP2,Endometrioid carcinoma of ovary,14,173,143,Endometrioid carcinoma of ovary,human,APA
257252,DataSet_370,human,USP39,A2780,CLIP4,Endometrioid carcinoma of ovary,13,195,121,Endometrioid carcinoma of ovary,human,APA
257352,DataSet_370,human,USP39,A2780,DMPK,Endometrioid carcinoma of ovary,12,82,67,Endometrioid carcinoma of ovary,human,APA
257659,DataSet_370,human,USP39,A2780,HDAC8,Endometrioid carcinoma of ovary,12,159,125,Endometrioid carcinoma of ovary,human,APA
257316,DataSet_370,human,USP39,A2780,DCAKD,Endometrioid carcinoma of ovary,11,132,132,Endometrioid carcinoma of ovary,human,APA
257857,DataSet_370,human,USP39,A2780,MIR9-3HG,Endometrioid carcinoma of ovary,11,0,0,Endometrioid carcinoma of ovary,human,APA
257119,DataSet_370,human,USP39,A2780,ATP6AP2,Endometrioid carcinoma of ovary,11,165,165,Endometrioid carcinoma of ovary,human,APA
258321,DataSet_370,human,USP39,A2780,STRADA,Endometrioid carcinoma of ovary,10,110,110,Endometrioid carcinoma of ovary,human,APA
257398,DataSet_370,human,USP39,A2780,ENSG00000125695,Endometrioid carcinoma of ovary,10,0,0,Endometrioid carcinoma of ovary,human,APA
