Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
168861,DataSet_250,human,METTL14,EC109,KRAS,Esophageal squamous cell carcinoma,9,54,54,Esophageal squamous cell carcinoma,human,APA
167981,DataSet_250,human,METTL14,EC109,ARID1B,Esophageal squamous cell carcinoma,9,99,77,Esophageal squamous cell carcinoma,human,APA
168236,DataSet_250,human,METTL14,EC109,COPS7A,Esophageal squamous cell carcinoma,9,54,54,Esophageal squamous cell carcinoma,human,APA
169819,DataSet_250,human,METTL14,EC109,TPD52L1,Esophageal squamous cell carcinoma,8,72,72,Esophageal squamous cell carcinoma,human,APA
168651,DataSet_250,human,METTL14,EC109,GARS1,Esophageal squamous cell carcinoma,8,56,56,Esophageal squamous cell carcinoma,human,APA
168273,DataSet_250,human,METTL14,EC109,CUL4B,Esophageal squamous cell carcinoma,8,96,96,Esophageal squamous cell carcinoma,human,APA
169155,DataSet_250,human,METTL14,EC109,OAS3,Esophageal squamous cell carcinoma,8,48,48,Esophageal squamous cell carcinoma,human,APA
168162,DataSet_250,human,METTL14,EC109,CDON,Esophageal squamous cell carcinoma,8,38,20,Esophageal squamous cell carcinoma,human,APA
169741,DataSet_250,human,METTL14,EC109,TCTN1,Esophageal squamous cell carcinoma,8,104,16,Esophageal squamous cell carcinoma,human,APA
169653,DataSet_250,human,METTL14,EC109,SPIDR,Esophageal squamous cell carcinoma,7,35,24,Esophageal squamous cell carcinoma,human,APA
169682,DataSet_250,human,METTL14,EC109,STAT1,Esophageal squamous cell carcinoma,7,42,42,Esophageal squamous cell carcinoma,human,APA
169686,DataSet_250,human,METTL14,EC109,STING1,Esophageal squamous cell carcinoma,7,49,49,Esophageal squamous cell carcinoma,human,APA
169261,DataSet_250,human,METTL14,EC109,PITRM1,Esophageal squamous cell carcinoma,7,70,70,Esophageal squamous cell carcinoma,human,APA
169072,DataSet_250,human,METTL14,EC109,MYO5A,Esophageal squamous cell carcinoma,7,70,70,Esophageal squamous cell carcinoma,human,APA
167891,DataSet_250,human,METTL14,EC109,ACADM,Esophageal squamous cell carcinoma,7,42,42,Esophageal squamous cell carcinoma,human,APA
168990,DataSet_250,human,METTL14,EC109,MGAT1,Esophageal squamous cell carcinoma,7,14,5,Esophageal squamous cell carcinoma,human,APA
168009,DataSet_250,human,METTL14,EC109,ATG16L2,Esophageal squamous cell carcinoma,7,36,21,Esophageal squamous cell carcinoma,human,APA
169982,DataSet_250,human,METTL14,EC109,ZEB1,Esophageal squamous cell carcinoma,7,25,25,Esophageal squamous cell carcinoma,human,APA
169001,DataSet_250,human,METTL14,EC109,MIR193BHG,Esophageal squamous cell carcinoma,7,0,0,Esophageal squamous cell carcinoma,human,APA
169585,DataSet_250,human,METTL14,EC109,SLC35A3,Esophageal squamous cell carcinoma,7,62,62,Esophageal squamous cell carcinoma,human,APA
168691,DataSet_250,human,METTL14,EC109,GOLT1B,Esophageal squamous cell carcinoma,6,12,12,Esophageal squamous cell carcinoma,human,APA
169380,DataSet_250,human,METTL14,EC109,RAB18,Esophageal squamous cell carcinoma,6,78,60,Esophageal squamous cell carcinoma,human,APA
168641,DataSet_250,human,METTL14,EC109,FUT8,Esophageal squamous cell carcinoma,6,66,0,Esophageal squamous cell carcinoma,human,APA
170038,DataSet_250,human,METTL14,EC109,ZNF706,Esophageal squamous cell carcinoma,6,6,6,Esophageal squamous cell carcinoma,human,APA
169352,DataSet_250,human,METTL14,EC109,PSMD9,Esophageal squamous cell carcinoma,6,18,18,Esophageal squamous cell carcinoma,human,APA
168779,DataSet_250,human,METTL14,EC109,IFITM2,Esophageal squamous cell carcinoma,6,56,56,Esophageal squamous cell carcinoma,human,APA
169273,DataSet_250,human,METTL14,EC109,PLEKHJ1,Esophageal squamous cell carcinoma,6,16,16,Esophageal squamous cell carcinoma,human,APA
168560,DataSet_250,human,METTL14,EC109,ERAP1,Esophageal squamous cell carcinoma,6,0,0,Esophageal squamous cell carcinoma,human,APA
169159,DataSet_250,human,METTL14,EC109,OCIAD1,Esophageal squamous cell carcinoma,6,48,48,Esophageal squamous cell carcinoma,human,APA
168585,DataSet_250,human,METTL14,EC109,FAM120AOS,Esophageal squamous cell carcinoma,6,24,18,Esophageal squamous cell carcinoma,human,APA
169521,DataSet_250,human,METTL14,EC109,SDCBP,Esophageal squamous cell carcinoma,6,48,48,Esophageal squamous cell carcinoma,human,APA
169429,DataSet_250,human,METTL14,EC109,REPS1,Esophageal squamous cell carcinoma,6,42,42,Esophageal squamous cell carcinoma,human,APA
168240,DataSet_250,human,METTL14,EC109,CORO6,Esophageal squamous cell carcinoma,6,24,24,Esophageal squamous cell carcinoma,human,APA
169995,DataSet_250,human,METTL14,EC109,ZNF138,Esophageal squamous cell carcinoma,6,30,30,Esophageal squamous cell carcinoma,human,APA
169961,DataSet_250,human,METTL14,EC109,YIF1B,Esophageal squamous cell carcinoma,6,42,42,Esophageal squamous cell carcinoma,human,APA
169960,DataSet_250,human,METTL14,EC109,YARS1,Esophageal squamous cell carcinoma,6,12,12,Esophageal squamous cell carcinoma,human,APA
168138,DataSet_250,human,METTL14,EC109,CCNDBP1,Esophageal squamous cell carcinoma,6,6,6,Esophageal squamous cell carcinoma,human,APA
169903,DataSet_250,human,METTL14,EC109,USP19,Esophageal squamous cell carcinoma,6,25,25,Esophageal squamous cell carcinoma,human,APA
