Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
131175,DataSet_205,human,HNRNPK,A673,STAT1,Ewing sarcoma,9,70,48,Ewing sarcoma,human,APA
130697,DataSet_205,human,HNRNPK,A673,CHN1,Ewing sarcoma,9,108,90,Ewing sarcoma,human,APA
130661,DataSet_205,human,HNRNPK,A673,CALML4,Ewing sarcoma,8,32,32,Ewing sarcoma,human,APA
130779,DataSet_205,human,HNRNPK,A673,ENSG00000260007,Ewing sarcoma,8,8,8,Ewing sarcoma,human,APA
131111,DataSet_205,human,HNRNPK,A673,SAT2,Ewing sarcoma,8,16,16,Ewing sarcoma,human,APA
130678,DataSet_205,human,HNRNPK,A673,CDK13,Ewing sarcoma,8,40,40,Ewing sarcoma,human,APA
131003,DataSet_205,human,HNRNPK,A673,PARP1,Ewing sarcoma,7,14,14,Ewing sarcoma,human,APA
131021,DataSet_205,human,HNRNPK,A673,PICALM,Ewing sarcoma,6,54,54,Ewing sarcoma,human,APA
130937,DataSet_205,human,HNRNPK,A673,MDK,Ewing sarcoma,6,36,36,Ewing sarcoma,human,APA
131023,DataSet_205,human,HNRNPK,A673,PIK3CB,Ewing sarcoma,6,30,30,Ewing sarcoma,human,APA
131080,DataSet_205,human,HNRNPK,A673,REPS1,Ewing sarcoma,6,42,42,Ewing sarcoma,human,APA
130850,DataSet_205,human,HNRNPK,A673,G3BP2,Ewing sarcoma,6,222,222,Ewing sarcoma,human,APA
130961,DataSet_205,human,HNRNPK,A673,MSC-AS1,Ewing sarcoma,5,0,0,Ewing sarcoma,human,APA
130888,DataSet_205,human,HNRNPK,A673,HNRNPAB,Ewing sarcoma,5,35,35,Ewing sarcoma,human,APA
130986,DataSet_205,human,HNRNPK,A673,NME4,Ewing sarcoma,5,35,30,Ewing sarcoma,human,APA
131146,DataSet_205,human,HNRNPK,A673,SNF8,Ewing sarcoma,5,10,10,Ewing sarcoma,human,APA
130698,DataSet_205,human,HNRNPK,A673,CHRM4,Ewing sarcoma,5,0,0,Ewing sarcoma,human,APA
131066,DataSet_205,human,HNRNPK,A673,RAB4B-EGLN2,Ewing sarcoma,5,0,0,Ewing sarcoma,human,APA
131047,DataSet_205,human,HNRNPK,A673,PRKRIP1,Ewing sarcoma,5,10,10,Ewing sarcoma,human,APA
130759,DataSet_205,human,HNRNPK,A673,EGLN2,Ewing sarcoma,5,30,30,Ewing sarcoma,human,APA
131084,DataSet_205,human,HNRNPK,A673,REXO2,Ewing sarcoma,5,25,25,Ewing sarcoma,human,APA
131020,DataSet_205,human,HNRNPK,A673,PHYKPL,Ewing sarcoma,5,0,0,Ewing sarcoma,human,APA
131002,DataSet_205,human,HNRNPK,A673,PARN,Ewing sarcoma,5,35,35,Ewing sarcoma,human,APA
131221,DataSet_205,human,HNRNPK,A673,TRPA1,Ewing sarcoma,5,10,0,Ewing sarcoma,human,APA
130887,DataSet_205,human,HNRNPK,A673,HMBOX1,Ewing sarcoma,4,14,14,Ewing sarcoma,human,APA
130926,DataSet_205,human,HNRNPK,A673,LYRM4,Ewing sarcoma,4,8,8,Ewing sarcoma,human,APA
130876,DataSet_205,human,HNRNPK,A673,GPX4,Ewing sarcoma,4,20,17,Ewing sarcoma,human,APA
130882,DataSet_205,human,HNRNPK,A673,HBS1L,Ewing sarcoma,4,20,20,Ewing sarcoma,human,APA
130966,DataSet_205,human,HNRNPK,A673,MTHFD1,Ewing sarcoma,4,4,4,Ewing sarcoma,human,APA
130595,DataSet_205,human,HNRNPK,A673,ACAT1,Ewing sarcoma,4,24,24,Ewing sarcoma,human,APA
130967,DataSet_205,human,HNRNPK,A673,MTMR2,Ewing sarcoma,4,148,148,Ewing sarcoma,human,APA
130989,DataSet_205,human,HNRNPK,A673,NOMO3,Ewing sarcoma,4,32,32,Ewing sarcoma,human,APA
130998,DataSet_205,human,HNRNPK,A673,OPA1,Ewing sarcoma,4,0,0,Ewing sarcoma,human,APA
130864,DataSet_205,human,HNRNPK,A673,GLT8D1,Ewing sarcoma,4,16,16,Ewing sarcoma,human,APA
131083,DataSet_205,human,HNRNPK,A673,REV3L,Ewing sarcoma,4,12,12,Ewing sarcoma,human,APA
131107,DataSet_205,human,HNRNPK,A673,SAP130,Ewing sarcoma,4,16,16,Ewing sarcoma,human,APA
131114,DataSet_205,human,HNRNPK,A673,SDCBP,Ewing sarcoma,4,32,32,Ewing sarcoma,human,APA
131162,DataSet_205,human,HNRNPK,A673,SPAST,Ewing sarcoma,4,36,32,Ewing sarcoma,human,APA
131185,DataSet_205,human,HNRNPK,A673,TCF4,Ewing sarcoma,4,0,0,Ewing sarcoma,human,APA
130869,DataSet_205,human,HNRNPK,A673,GNB2,Ewing sarcoma,4,28,28,Ewing sarcoma,human,APA
130902,DataSet_205,human,HNRNPK,A673,ITGAE,Ewing sarcoma,4,4,4,Ewing sarcoma,human,APA
130722,DataSet_205,human,HNRNPK,A673,CSNK1D,Ewing sarcoma,4,4,4,Ewing sarcoma,human,APA
130795,DataSet_205,human,HNRNPK,A673,ENSG00000275888,Ewing sarcoma,4,0,0,Ewing sarcoma,human,APA
130599,DataSet_205,human,HNRNPK,A673,ADAM9,Ewing sarcoma,4,16,16,Ewing sarcoma,human,APA
130694,DataSet_205,human,HNRNPK,A673,CHCHD7,Ewing sarcoma,4,20,20,Ewing sarcoma,human,APA
130708,DataSet_205,human,HNRNPK,A673,CMC2,Ewing sarcoma,4,24,24,Ewing sarcoma,human,APA
130711,DataSet_205,human,HNRNPK,A673,COMMD10,Ewing sarcoma,4,16,16,Ewing sarcoma,human,APA
130720,DataSet_205,human,HNRNPK,A673,CRYZ,Ewing sarcoma,4,16,16,Ewing sarcoma,human,APA
130729,DataSet_205,human,HNRNPK,A673,CXXC1,Ewing sarcoma,4,20,20,Ewing sarcoma,human,APA
130763,DataSet_205,human,HNRNPK,A673,EIF4A2,Ewing sarcoma,4,12,7,Ewing sarcoma,human,APA
131222,DataSet_205,human,HNRNPK,A673,TRPC4,Ewing sarcoma,4,28,21,Ewing sarcoma,human,APA
130843,DataSet_205,human,HNRNPK,A673,FIGNL1,Ewing sarcoma,4,56,27,Ewing sarcoma,human,APA
131030,DataSet_205,human,HNRNPK,A673,POGLUT2,Ewing sarcoma,3,3,3,Ewing sarcoma,human,APA
131039,DataSet_205,human,HNRNPK,A673,PPP2R2D,Ewing sarcoma,3,3,3,Ewing sarcoma,human,APA
130849,DataSet_205,human,HNRNPK,A673,FXR1,Ewing sarcoma,3,21,18,Ewing sarcoma,human,APA
131055,DataSet_205,human,HNRNPK,A673,PTGES3,Ewing sarcoma,3,18,18,Ewing sarcoma,human,APA
131059,DataSet_205,human,HNRNPK,A673,PVR,Ewing sarcoma,3,9,7,Ewing sarcoma,human,APA
130699,DataSet_205,human,HNRNPK,A673,CHSY1,Ewing sarcoma,3,3,1,Ewing sarcoma,human,APA
131068,DataSet_205,human,HNRNPK,A673,RABGEF1,Ewing sarcoma,3,9,9,Ewing sarcoma,human,APA
130875,DataSet_205,human,HNRNPK,A673,GPI,Ewing sarcoma,3,12,12,Ewing sarcoma,human,APA
130683,DataSet_205,human,HNRNPK,A673,CDKN3,Ewing sarcoma,3,12,12,Ewing sarcoma,human,APA
130679,DataSet_205,human,HNRNPK,A673,CDK14,Ewing sarcoma,3,0,0,Ewing sarcoma,human,APA
131085,DataSet_205,human,HNRNPK,A673,RFC4,Ewing sarcoma,3,0,0,Ewing sarcoma,human,APA
131102,DataSet_205,human,HNRNPK,A673,RPS6KB1,Ewing sarcoma,3,11,11,Ewing sarcoma,human,APA
130645,DataSet_205,human,HNRNPK,A673,AUH,Ewing sarcoma,3,6,6,Ewing sarcoma,human,APA
130638,DataSet_205,human,HNRNPK,A673,ASPH,Ewing sarcoma,3,24,24,Ewing sarcoma,human,APA
130635,DataSet_205,human,HNRNPK,A673,ARPP19,Ewing sarcoma,3,36,33,Ewing sarcoma,human,APA
131116,DataSet_205,human,HNRNPK,A673,SDF2,Ewing sarcoma,3,6,6,Ewing sarcoma,human,APA
131132,DataSet_205,human,HNRNPK,A673,SLC16A1,Ewing sarcoma,3,18,18,Ewing sarcoma,human,APA
130631,DataSet_205,human,HNRNPK,A673,ARID4A,Ewing sarcoma,3,12,12,Ewing sarcoma,human,APA
130625,DataSet_205,human,HNRNPK,A673,APTX,Ewing sarcoma,3,39,39,Ewing sarcoma,human,APA
130619,DataSet_205,human,HNRNPK,A673,AP2S1,Ewing sarcoma,3,21,21,Ewing sarcoma,human,APA
130607,DataSet_205,human,HNRNPK,A673,AKAP8,Ewing sarcoma,3,6,6,Ewing sarcoma,human,APA
130857,DataSet_205,human,HNRNPK,A673,GCSH,Ewing sarcoma,3,12,12,Ewing sarcoma,human,APA
131038,DataSet_205,human,HNRNPK,A673,PPP2R2A,Ewing sarcoma,3,15,12,Ewing sarcoma,human,APA
130906,DataSet_205,human,HNRNPK,A673,KCTD6,Ewing sarcoma,3,12,9,Ewing sarcoma,human,APA
130917,DataSet_205,human,HNRNPK,A673,LAMTOR4,Ewing sarcoma,3,21,18,Ewing sarcoma,human,APA
130717,DataSet_205,human,HNRNPK,A673,CREM,Ewing sarcoma,3,54,51,Ewing sarcoma,human,APA
130918,DataSet_205,human,HNRNPK,A673,LANCL1,Ewing sarcoma,3,18,15,Ewing sarcoma,human,APA
130807,DataSet_205,human,HNRNPK,A673,ENSG00000285982,Ewing sarcoma,3,3,3,Ewing sarcoma,human,APA
130928,DataSet_205,human,HNRNPK,A673,MACROH2A1,Ewing sarcoma,3,15,15,Ewing sarcoma,human,APA
130934,DataSet_205,human,HNRNPK,A673,MATR3,Ewing sarcoma,3,36,0,Ewing sarcoma,human,APA
130935,DataSet_205,human,HNRNPK,A673,MBNL1,Ewing sarcoma,3,14,0,Ewing sarcoma,human,APA
130800,DataSet_205,human,HNRNPK,A673,ENSG00000284461,Ewing sarcoma,3,0,0,Ewing sarcoma,human,APA
