Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
249043,DataSet_36,human,ADAR,MKN45,ENSG00000283189,Gastric adenocarcinoma,41,37,36,Gastric adenocarcinoma,human,APA
247150,DataSet_36,human,ADAR,MKN45,AMT,Gastric adenocarcinoma,40,482,433,Gastric adenocarcinoma,human,APA
227625,DataSet_34,human,ADAR,AGS,ADGRG1,Gastric adenocarcinoma,36,2284,92,Gastric adenocarcinoma,human,APA
227888,DataSet_34,human,ADAR,AGS,ASAH1,Gastric adenocarcinoma,35,650,535,Gastric adenocarcinoma,human,APA
252671,DataSet_36,human,ADAR,MKN45,SPG7,Gastric adenocarcinoma,33,409,325,Gastric adenocarcinoma,human,APA
229594,DataSet_34,human,ADAR,AGS,ENSG00000288550,Gastric adenocarcinoma,27,4,0,Gastric adenocarcinoma,human,APA
228673,DataSet_34,human,ADAR,AGS,CRELD1,Gastric adenocarcinoma,27,438,336,Gastric adenocarcinoma,human,APA
248294,DataSet_36,human,ADAR,MKN45,DDX3X,Gastric adenocarcinoma,26,539,487,Gastric adenocarcinoma,human,APA
229834,DataSet_34,human,ADAR,AGS,FIG4,Gastric adenocarcinoma,25,275,275,Gastric adenocarcinoma,human,APA
230760,DataSet_34,human,ADAR,AGS,MAN1B1,Gastric adenocarcinoma,22,213,193,Gastric adenocarcinoma,human,APA
231711,DataSet_34,human,ADAR,AGS,PIGN,Gastric adenocarcinoma,22,374,374,Gastric adenocarcinoma,human,APA
230549,DataSet_34,human,ADAR,AGS,KMT2C,Gastric adenocarcinoma,22,251,220,Gastric adenocarcinoma,human,APA
233413,DataSet_34,human,ADAR,AGS,TPP1,Gastric adenocarcinoma,22,205,163,Gastric adenocarcinoma,human,APA
232784,DataSet_34,human,ADAR,AGS,SMARCA4,Gastric adenocarcinoma,21,588,588,Gastric adenocarcinoma,human,APA
248750,DataSet_36,human,ADAR,MKN45,ENSG00000256028,Gastric adenocarcinoma,21,0,0,Gastric adenocarcinoma,human,APA
233496,DataSet_34,human,ADAR,AGS,TSC2,Gastric adenocarcinoma,21,370,309,Gastric adenocarcinoma,human,APA
250187,DataSet_36,human,ADAR,MKN45,KMT2C,Gastric adenocarcinoma,20,240,184,Gastric adenocarcinoma,human,APA
229392,DataSet_34,human,ADAR,AGS,ENSG00000264058,Gastric adenocarcinoma,20,0,0,Gastric adenocarcinoma,human,APA
228290,DataSet_34,human,ADAR,AGS,CCDC88A,Gastric adenocarcinoma,20,51,17,Gastric adenocarcinoma,human,APA
247509,DataSet_36,human,ADAR,MKN45,BIVM-ERCC5,Gastric adenocarcinoma,20,40,22,Gastric adenocarcinoma,human,APA
230651,DataSet_34,human,ADAR,AGS,LMBRD1,Gastric adenocarcinoma,20,260,260,Gastric adenocarcinoma,human,APA
232792,DataSet_34,human,ADAR,AGS,SMARCE1,Gastric adenocarcinoma,20,161,161,Gastric adenocarcinoma,human,APA
247235,DataSet_36,human,ADAR,MKN45,APTX,Gastric adenocarcinoma,20,264,264,Gastric adenocarcinoma,human,APA
248178,DataSet_36,human,ADAR,MKN45,CTSH,Gastric adenocarcinoma,19,209,209,Gastric adenocarcinoma,human,APA
248319,DataSet_36,human,ADAR,MKN45,DENND5A,Gastric adenocarcinoma,19,138,126,Gastric adenocarcinoma,human,APA
249644,DataSet_36,human,ADAR,MKN45,GOSR2,Gastric adenocarcinoma,19,576,268,Gastric adenocarcinoma,human,APA
232215,DataSet_34,human,ADAR,AGS,RBPJ,Gastric adenocarcinoma,19,380,323,Gastric adenocarcinoma,human,APA
250605,DataSet_36,human,ADAR,MKN45,MFSD8,Gastric adenocarcinoma,19,298,210,Gastric adenocarcinoma,human,APA
228046,DataSet_34,human,ADAR,AGS,BIVM-ERCC5,Gastric adenocarcinoma,19,38,22,Gastric adenocarcinoma,human,APA
230840,DataSet_34,human,ADAR,AGS,MCCC2,Gastric adenocarcinoma,18,216,216,Gastric adenocarcinoma,human,APA
251976,DataSet_36,human,ADAR,MKN45,RBPJ,Gastric adenocarcinoma,18,360,272,Gastric adenocarcinoma,human,APA
247755,DataSet_36,human,ADAR,MKN45,CCDC88A,Gastric adenocarcinoma,18,39,1,Gastric adenocarcinoma,human,APA
233764,DataSet_34,human,ADAR,AGS,VRK1,Gastric adenocarcinoma,18,342,342,Gastric adenocarcinoma,human,APA
231095,DataSet_34,human,ADAR,AGS,MSL3,Gastric adenocarcinoma,18,288,288,Gastric adenocarcinoma,human,APA
248863,DataSet_36,human,ADAR,MKN45,ENSG00000262633,Gastric adenocarcinoma,18,18,0,Gastric adenocarcinoma,human,APA
249140,DataSet_36,human,ADAR,MKN45,ENSG00000288550,Gastric adenocarcinoma,18,6,0,Gastric adenocarcinoma,human,APA
230688,DataSet_34,human,ADAR,AGS,LRPPRC,Gastric adenocarcinoma,18,235,174,Gastric adenocarcinoma,human,APA
230820,DataSet_34,human,ADAR,AGS,MATR3,Gastric adenocarcinoma,18,195,90,Gastric adenocarcinoma,human,APA
249481,DataSet_36,human,ADAR,MKN45,FTX,Gastric adenocarcinoma,18,0,0,Gastric adenocarcinoma,human,APA
231275,DataSet_34,human,ADAR,AGS,NECAP1,Gastric adenocarcinoma,17,85,85,Gastric adenocarcinoma,human,APA
247394,DataSet_36,human,ADAR,MKN45,ATP6AP2,Gastric adenocarcinoma,17,255,255,Gastric adenocarcinoma,human,APA
231501,DataSet_34,human,ADAR,AGS,OPA1,Gastric adenocarcinoma,17,0,0,Gastric adenocarcinoma,human,APA
250782,DataSet_36,human,ADAR,MKN45,MSL3,Gastric adenocarcinoma,17,272,247,Gastric adenocarcinoma,human,APA
247091,DataSet_36,human,ADAR,MKN45,AHI1,Gastric adenocarcinoma,17,136,145,Gastric adenocarcinoma,human,APA
227557,DataSet_34,human,ADAR,AGS,ABHD14A-ACY1,Gastric adenocarcinoma,17,36,16,Gastric adenocarcinoma,human,APA
229539,DataSet_34,human,ADAR,AGS,ENSG00000285130,Gastric adenocarcinoma,17,17,14,Gastric adenocarcinoma,human,APA
250121,DataSet_36,human,ADAR,MKN45,KDM5B,Gastric adenocarcinoma,17,118,110,Gastric adenocarcinoma,human,APA
228464,DataSet_34,human,ADAR,AGS,CHD1L,Gastric adenocarcinoma,17,102,102,Gastric adenocarcinoma,human,APA
227610,DataSet_34,human,ADAR,AGS,ACY1,Gastric adenocarcinoma,17,105,97,Gastric adenocarcinoma,human,APA
250348,DataSet_36,human,ADAR,MKN45,LRP8,Gastric adenocarcinoma,17,240,240,Gastric adenocarcinoma,human,APA
233235,DataSet_34,human,ADAR,AGS,TJP2,Gastric adenocarcinoma,17,170,124,Gastric adenocarcinoma,human,APA
229528,DataSet_34,human,ADAR,AGS,ENSG00000284697,Gastric adenocarcinoma,17,0,0,Gastric adenocarcinoma,human,APA
229206,DataSet_34,human,ADAR,AGS,ENSG00000237188,Gastric adenocarcinoma,17,0,0,Gastric adenocarcinoma,human,APA
234127,DataSet_34,human,ADAR,AGS,ZNF692,Gastric adenocarcinoma,16,97,54,Gastric adenocarcinoma,human,APA
228969,DataSet_34,human,ADAR,AGS,DPAGT1,Gastric adenocarcinoma,16,81,76,Gastric adenocarcinoma,human,APA
229025,DataSet_34,human,ADAR,AGS,DYNC1H1,Gastric adenocarcinoma,16,48,49,Gastric adenocarcinoma,human,APA
247138,DataSet_36,human,ADAR,MKN45,ALS2,Gastric adenocarcinoma,16,294,130,Gastric adenocarcinoma,human,APA
231745,DataSet_34,human,ADAR,AGS,PKD1,Gastric adenocarcinoma,16,12,6,Gastric adenocarcinoma,human,APA
228861,DataSet_34,human,ADAR,AGS,DENND5A,Gastric adenocarcinoma,16,112,112,Gastric adenocarcinoma,human,APA
229319,DataSet_34,human,ADAR,AGS,ENSG00000258959,Gastric adenocarcinoma,16,0,0,Gastric adenocarcinoma,human,APA
248365,DataSet_36,human,ADAR,MKN45,DLG1,Gastric adenocarcinoma,16,592,592,Gastric adenocarcinoma,human,APA
252556,DataSet_36,human,ADAR,MKN45,SMARCA4,Gastric adenocarcinoma,16,448,448,Gastric adenocarcinoma,human,APA
233501,DataSet_34,human,ADAR,AGS,TSEN2,Gastric adenocarcinoma,15,327,293,Gastric adenocarcinoma,human,APA
227710,DataSet_34,human,ADAR,AGS,ALS2,Gastric adenocarcinoma,15,332,129,Gastric adenocarcinoma,human,APA
231872,DataSet_34,human,ADAR,AGS,POT1,Gastric adenocarcinoma,15,105,105,Gastric adenocarcinoma,human,APA
249884,DataSet_36,human,ADAR,MKN45,HSD17B4,Gastric adenocarcinoma,15,122,112,Gastric adenocarcinoma,human,APA
251703,DataSet_36,human,ADAR,MKN45,PRKAG2,Gastric adenocarcinoma,15,152,140,Gastric adenocarcinoma,human,APA
230279,DataSet_34,human,ADAR,AGS,HSD17B4,Gastric adenocarcinoma,15,120,120,Gastric adenocarcinoma,human,APA
251391,DataSet_36,human,ADAR,MKN45,PGAP2,Gastric adenocarcinoma,15,196,126,Gastric adenocarcinoma,human,APA
247424,DataSet_36,human,ADAR,MKN45,B3GALNT1,Gastric adenocarcinoma,15,613,515,Gastric adenocarcinoma,human,APA
248123,DataSet_36,human,ADAR,MKN45,CRELD1,Gastric adenocarcinoma,15,204,202,Gastric adenocarcinoma,human,APA
