Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
256391,DataSet_365,human,DDX42,U87MG,PPIL2,Glioblastoma,9,88,88,Glioblastoma,human,APA
262251,DataSet_376,human,DDX42,U87MG,ENSG00000269987,Glioblastoma,9,0,0,Glioblastoma,human,APA
263246,DataSet_376,human,DDX42,U87MG,TUG1,Glioblastoma,9,0,0,Glioblastoma,human,APA
270796,DataSet_387,human,DDX42,U87MG,MXI1,Glioblastoma,9,216,216,Glioblastoma,human,APA
262075,DataSet_376,human,DDX42,U87MG,CREM,Glioblastoma,9,234,225,Glioblastoma,human,APA
270580,DataSet_387,human,DDX42,U87MG,IFTAP,Glioblastoma,9,117,117,Glioblastoma,human,APA
262090,DataSet_376,human,DDX42,U87MG,CUL1,Glioblastoma,9,99,99,Glioblastoma,human,APA
256521,DataSet_365,human,DDX42,U87MG,SEC16A,Glioblastoma,9,81,81,Glioblastoma,human,APA
256014,DataSet_365,human,DDX42,U87MG,IFTAP,Glioblastoma,9,117,117,Glioblastoma,human,APA
256233,DataSet_365,human,DDX42,U87MG,NECAP1,Glioblastoma,9,45,45,Glioblastoma,human,APA
256828,DataSet_365,human,DDX42,U87MG,YPEL1,Glioblastoma,9,0,0,Glioblastoma,human,APA
270216,DataSet_387,human,DDX42,U87MG,DDX10,Glioblastoma,9,18,18,Glioblastoma,human,APA
255837,DataSet_365,human,DDX42,U87MG,ENSG00000284697,Glioblastoma,9,0,0,Glioblastoma,human,APA
262761,DataSet_376,human,DDX42,U87MG,PAM,Glioblastoma,8,120,120,Glioblastoma,human,APA
270752,DataSet_387,human,DDX42,U87MG,MIR4435-2HG,Glioblastoma,8,0,0,Glioblastoma,human,APA
255757,DataSet_365,human,DDX42,U87MG,ELP4,Glioblastoma,8,56,56,Glioblastoma,human,APA
270253,DataSet_387,human,DDX42,U87MG,DPH5,Glioblastoma,8,32,32,Glioblastoma,human,APA
262274,DataSet_376,human,DDX42,U87MG,ENSG00000285130,Glioblastoma,8,8,8,Glioblastoma,human,APA
262288,DataSet_376,human,DDX42,U87MG,ENSG00000287856,Glioblastoma,8,8,8,Glioblastoma,human,APA
262175,DataSet_376,human,DDX42,U87MG,EGLN1,Glioblastoma,8,24,24,Glioblastoma,human,APA
263179,DataSet_376,human,DDX42,U87MG,TJP2,Glioblastoma,8,64,64,Glioblastoma,human,APA
255718,DataSet_365,human,DDX42,U87MG,DPH5,Glioblastoma,8,32,32,Glioblastoma,human,APA
255619,DataSet_365,human,DDX42,U87MG,CIZ1,Glioblastoma,8,88,72,Glioblastoma,human,APA
256259,DataSet_365,human,DDX42,U87MG,NPR2,Glioblastoma,8,56,56,Glioblastoma,human,APA
262606,DataSet_376,human,DDX42,U87MG,MCPH1,Glioblastoma,8,112,32,Glioblastoma,human,APA
255432,DataSet_365,human,DDX42,U87MG,ALS2,Glioblastoma,8,85,85,Glioblastoma,human,APA
255451,DataSet_365,human,DDX42,U87MG,AP2A2,Glioblastoma,8,24,24,Glioblastoma,human,APA
256608,DataSet_365,human,DDX42,U87MG,SPAG8,Glioblastoma,8,8,0,Glioblastoma,human,APA
271271,DataSet_387,human,DDX42,U87MG,SSR2,Glioblastoma,8,32,32,Glioblastoma,human,APA
262943,DataSet_376,human,DDX42,U87MG,RMND1,Glioblastoma,8,32,32,Glioblastoma,human,APA
271160,DataSet_387,human,DDX42,U87MG,SENP3-EIF4A1,Glioblastoma,8,6,0,Glioblastoma,human,APA
270899,DataSet_387,human,DDX42,U87MG,PAM,Glioblastoma,8,120,120,Glioblastoma,human,APA
256474,DataSet_365,human,DDX42,U87MG,RMND1,Glioblastoma,8,32,32,Glioblastoma,human,APA
255941,DataSet_365,human,DDX42,U87MG,GMPPB,Glioblastoma,7,42,42,Glioblastoma,human,APA
262306,DataSet_376,human,DDX42,U87MG,ETFA,Glioblastoma,7,84,84,Glioblastoma,human,APA
262973,DataSet_376,human,DDX42,U87MG,RTTN,Glioblastoma,7,28,28,Glioblastoma,human,APA
262291,DataSet_376,human,DDX42,U87MG,ENSG00000288678,Glioblastoma,7,7,7,Glioblastoma,human,APA
263011,DataSet_376,human,DDX42,U87MG,SGK1,Glioblastoma,7,43,42,Glioblastoma,human,APA
262183,DataSet_376,human,DDX42,U87MG,ELP1,Glioblastoma,7,63,70,Glioblastoma,human,APA
262594,DataSet_376,human,DDX42,U87MG,MARK3,Glioblastoma,7,175,175,Glioblastoma,human,APA
262177,DataSet_376,human,DDX42,U87MG,EIF2AK3,Glioblastoma,7,28,28,Glioblastoma,human,APA
270094,DataSet_387,human,DDX42,U87MG,CCDC82,Glioblastoma,7,161,161,Glioblastoma,human,APA
270290,DataSet_387,human,DDX42,U87MG,EIF2AK3,Glioblastoma,7,28,28,Glioblastoma,human,APA
