Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
295163,DataSet_41,human,ADAR,HepG2,ACTG1,Hepatocellular carcinoma,9,136,136,Hepatocellular carcinoma,human,APA
295498,DataSet_41,human,ADAR,HepG2,PGAP2,Hepatocellular carcinoma,9,113,88,Hepatocellular carcinoma,human,APA
295261,DataSet_41,human,ADAR,HepG2,CTNNB1,Hepatocellular carcinoma,8,320,312,Hepatocellular carcinoma,human,APA
295286,DataSet_41,human,ADAR,HepG2,DPAGT1,Hepatocellular carcinoma,8,32,40,Hepatocellular carcinoma,human,APA
295437,DataSet_41,human,ADAR,HepG2,MED17,Hepatocellular carcinoma,8,24,24,Hepatocellular carcinoma,human,APA
295336,DataSet_41,human,ADAR,HepG2,ENSG00000284057,Hepatocellular carcinoma,8,8,8,Hepatocellular carcinoma,human,APA
295585,DataSet_41,human,ADAR,HepG2,SKP2,Hepatocellular carcinoma,8,46,43,Hepatocellular carcinoma,human,APA
295324,DataSet_41,human,ADAR,HepG2,ENSG00000264324,Hepatocellular carcinoma,6,6,6,Hepatocellular carcinoma,human,APA
295272,DataSet_41,human,ADAR,HepG2,DCTN1,Hepatocellular carcinoma,6,54,54,Hepatocellular carcinoma,human,APA
295247,DataSet_41,human,ADAR,HepG2,CLN6,Hepatocellular carcinoma,6,36,25,Hepatocellular carcinoma,human,APA
295645,DataSet_41,human,ADAR,HepG2,TERF1,Hepatocellular carcinoma,6,30,30,Hepatocellular carcinoma,human,APA
295671,DataSet_41,human,ADAR,HepG2,TPD52L1,Hepatocellular carcinoma,6,54,54,Hepatocellular carcinoma,human,APA
295161,DataSet_41,human,ADAR,HepG2,ACSL4,Hepatocellular carcinoma,6,54,54,Hepatocellular carcinoma,human,APA
295514,DataSet_41,human,ADAR,HepG2,PPCS,Hepatocellular carcinoma,5,10,15,Hepatocellular carcinoma,human,APA
295317,DataSet_41,human,ADAR,HepG2,ENSG00000254536,Hepatocellular carcinoma,5,0,0,Hepatocellular carcinoma,human,APA
295456,DataSet_41,human,ADAR,HepG2,MTG1,Hepatocellular carcinoma,5,15,15,Hepatocellular carcinoma,human,APA
295389,DataSet_41,human,ADAR,HepG2,HSD17B4,Hepatocellular carcinoma,5,40,40,Hepatocellular carcinoma,human,APA
295399,DataSet_41,human,ADAR,HepG2,IP6K2,Hepatocellular carcinoma,5,120,58,Hepatocellular carcinoma,human,APA
295409,DataSet_41,human,ADAR,HepG2,KDM1A,Hepatocellular carcinoma,5,65,60,Hepatocellular carcinoma,human,APA
295512,DataSet_41,human,ADAR,HepG2,PON2,Hepatocellular carcinoma,5,20,20,Hepatocellular carcinoma,human,APA
295166,DataSet_41,human,ADAR,HepG2,AGTRAP,Hepatocellular carcinoma,5,25,25,Hepatocellular carcinoma,human,APA
295544,DataSet_41,human,ADAR,HepG2,RAB3GAP1,Hepatocellular carcinoma,5,20,15,Hepatocellular carcinoma,human,APA
295649,DataSet_41,human,ADAR,HepG2,TIMM9,Hepatocellular carcinoma,5,35,35,Hepatocellular carcinoma,human,APA
295197,DataSet_41,human,ADAR,HepG2,BCAT2,Hepatocellular carcinoma,5,25,25,Hepatocellular carcinoma,human,APA
295535,DataSet_41,human,ADAR,HepG2,PTPRF,Hepatocellular carcinoma,5,30,30,Hepatocellular carcinoma,human,APA
295533,DataSet_41,human,ADAR,HepG2,PTK2,Hepatocellular carcinoma,4,52,48,Hepatocellular carcinoma,human,APA
295458,DataSet_41,human,ADAR,HepG2,MTUS1,Hepatocellular carcinoma,4,32,32,Hepatocellular carcinoma,human,APA
295688,DataSet_41,human,ADAR,HepG2,UNKL,Hepatocellular carcinoma,4,0,0,Hepatocellular carcinoma,human,APA
295418,DataSet_41,human,ADAR,HepG2,LNPK,Hepatocellular carcinoma,4,12,9,Hepatocellular carcinoma,human,APA
295420,DataSet_41,human,ADAR,HepG2,LRP8,Hepatocellular carcinoma,4,64,64,Hepatocellular carcinoma,human,APA
295651,DataSet_41,human,ADAR,HepG2,TLE3,Hepatocellular carcinoma,4,52,52,Hepatocellular carcinoma,human,APA
295444,DataSet_41,human,ADAR,HepG2,MINK1,Hepatocellular carcinoma,4,12,12,Hepatocellular carcinoma,human,APA
295470,DataSet_41,human,ADAR,HepG2,NEK9,Hepatocellular carcinoma,4,16,16,Hepatocellular carcinoma,human,APA
