Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
362525,DataSet_454,human,ACIN1,Hela,SNX14,Human papillomavirus-related cervical carcinoma,9,252,252,Human papillomavirus-related cervical carcinoma,human,APA
360736,DataSet_454,human,ACIN1,Hela,ALDH3A2,Human papillomavirus-related cervical carcinoma,9,63,79,Human papillomavirus-related cervical carcinoma,human,APA
361516,DataSet_454,human,ACIN1,Hela,FMR1,Human papillomavirus-related cervical carcinoma,9,149,149,Human papillomavirus-related cervical carcinoma,human,APA
361361,DataSet_454,human,ACIN1,Hela,ENSG00000271793,Human papillomavirus-related cervical carcinoma,9,0,0,Human papillomavirus-related cervical carcinoma,human,APA
362656,DataSet_454,human,ACIN1,Hela,TEX264,Human papillomavirus-related cervical carcinoma,9,42,42,Human papillomavirus-related cervical carcinoma,human,APA
360925,DataSet_454,human,ACIN1,Hela,CBWD3,Human papillomavirus-related cervical carcinoma,9,27,18,Human papillomavirus-related cervical carcinoma,human,APA
361838,DataSet_454,human,ACIN1,Hela,MCPH1,Human papillomavirus-related cervical carcinoma,9,126,36,Human papillomavirus-related cervical carcinoma,human,APA
361001,DataSet_454,human,ACIN1,Hela,CHCHD7,Human papillomavirus-related cervical carcinoma,9,45,45,Human papillomavirus-related cervical carcinoma,human,APA
361104,DataSet_454,human,ACIN1,Hela,CYTOR,Human papillomavirus-related cervical carcinoma,9,0,0,Human papillomavirus-related cervical carcinoma,human,APA
362513,DataSet_454,human,ACIN1,Hela,SNHG14,Human papillomavirus-related cervical carcinoma,9,0,0,Human papillomavirus-related cervical carcinoma,human,APA
361065,DataSet_454,human,ACIN1,Hela,CRIP2,Human papillomavirus-related cervical carcinoma,8,32,28,Human papillomavirus-related cervical carcinoma,human,APA
361269,DataSet_454,human,ACIN1,Hela,ENSG00000243107,Human papillomavirus-related cervical carcinoma,8,0,0,Human papillomavirus-related cervical carcinoma,human,APA
362018,DataSet_454,human,ACIN1,Hela,NNT,Human papillomavirus-related cervical carcinoma,8,80,80,Human papillomavirus-related cervical carcinoma,human,APA
361133,DataSet_454,human,ACIN1,Hela,DENND3,Human papillomavirus-related cervical carcinoma,8,43,32,Human papillomavirus-related cervical carcinoma,human,APA
361124,DataSet_454,human,ACIN1,Hela,DDX10,Human papillomavirus-related cervical carcinoma,8,16,16,Human papillomavirus-related cervical carcinoma,human,APA
361216,DataSet_454,human,ACIN1,Hela,EIF2B5,Human papillomavirus-related cervical carcinoma,8,16,16,Human papillomavirus-related cervical carcinoma,human,APA
361075,DataSet_454,human,ACIN1,Hela,CSPP1,Human papillomavirus-related cervical carcinoma,8,184,184,Human papillomavirus-related cervical carcinoma,human,APA
361425,DataSet_454,human,ACIN1,Hela,ENSG00000289027,Human papillomavirus-related cervical carcinoma,8,8,1,Human papillomavirus-related cervical carcinoma,human,APA
361797,DataSet_454,human,ACIN1,Hela,LYRM2,Human papillomavirus-related cervical carcinoma,8,10,10,Human papillomavirus-related cervical carcinoma,human,APA
360867,DataSet_454,human,ACIN1,Hela,BRIP1,Human papillomavirus-related cervical carcinoma,8,48,44,Human papillomavirus-related cervical carcinoma,human,APA
362757,DataSet_454,human,ACIN1,Hela,TRIQK,Human papillomavirus-related cervical carcinoma,8,120,104,Human papillomavirus-related cervical carcinoma,human,APA
362189,DataSet_454,human,ACIN1,Hela,POMT2,Human papillomavirus-related cervical carcinoma,7,61,45,Human papillomavirus-related cervical carcinoma,human,APA
361986,DataSet_454,human,ACIN1,Hela,NDRG2,Human papillomavirus-related cervical carcinoma,7,119,119,Human papillomavirus-related cervical carcinoma,human,APA
361408,DataSet_454,human,ACIN1,Hela,ENSG00000285953,Human papillomavirus-related cervical carcinoma,7,21,0,Human papillomavirus-related cervical carcinoma,human,APA
361478,DataSet_454,human,ACIN1,Hela,FAN1,Human papillomavirus-related cervical carcinoma,7,83,36,Human papillomavirus-related cervical carcinoma,human,APA
361631,DataSet_454,human,ACIN1,Hela,HNRNPH1,Human papillomavirus-related cervical carcinoma,7,78,2,Human papillomavirus-related cervical carcinoma,human,APA
