Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
11010,DataSet_114,human,CCNA1,FaDu,ANKRD11,Hypopharyngeal squamous cell carcinoma,9,90,35,Hypopharyngeal squamous cell carcinoma,human,APA
12368,DataSet_114,human,CCNA1,FaDu,STAT2,Hypopharyngeal squamous cell carcinoma,9,27,27,Hypopharyngeal squamous cell carcinoma,human,APA
11041,DataSet_114,human,CCNA1,FaDu,ARMC9,Hypopharyngeal squamous cell carcinoma,9,152,120,Hypopharyngeal squamous cell carcinoma,human,APA
11693,DataSet_114,human,CCNA1,FaDu,INTS14,Hypopharyngeal squamous cell carcinoma,8,56,56,Hypopharyngeal squamous cell carcinoma,human,APA
12345,DataSet_114,human,CCNA1,FaDu,SPECC1,Hypopharyngeal squamous cell carcinoma,8,80,80,Hypopharyngeal squamous cell carcinoma,human,APA
12364,DataSet_114,human,CCNA1,FaDu,ST3GAL4,Hypopharyngeal squamous cell carcinoma,8,104,96,Hypopharyngeal squamous cell carcinoma,human,APA
11671,DataSet_114,human,CCNA1,FaDu,HSF4,Hypopharyngeal squamous cell carcinoma,7,42,28,Hypopharyngeal squamous cell carcinoma,human,APA
12012,DataSet_114,human,CCNA1,FaDu,PC,Hypopharyngeal squamous cell carcinoma,7,42,42,Hypopharyngeal squamous cell carcinoma,human,APA
11351,DataSet_114,human,CCNA1,FaDu,ELP4,Hypopharyngeal squamous cell carcinoma,7,49,49,Hypopharyngeal squamous cell carcinoma,human,APA
11639,DataSet_114,human,CCNA1,FaDu,HECTD1,Hypopharyngeal squamous cell carcinoma,7,42,42,Hypopharyngeal squamous cell carcinoma,human,APA
11513,DataSet_114,human,CCNA1,FaDu,ERCC3,Hypopharyngeal squamous cell carcinoma,7,25,19,Hypopharyngeal squamous cell carcinoma,human,APA
11003,DataSet_114,human,CCNA1,FaDu,ALS2,Hypopharyngeal squamous cell carcinoma,7,115,11,Hypopharyngeal squamous cell carcinoma,human,APA
12019,DataSet_114,human,CCNA1,FaDu,PDCD2,Hypopharyngeal squamous cell carcinoma,7,32,18,Hypopharyngeal squamous cell carcinoma,human,APA
11309,DataSet_114,human,CCNA1,FaDu,DNAJC19,Hypopharyngeal squamous cell carcinoma,7,35,28,Hypopharyngeal squamous cell carcinoma,human,APA
11620,DataSet_114,human,CCNA1,FaDu,GSTZ1,Hypopharyngeal squamous cell carcinoma,6,54,54,Hypopharyngeal squamous cell carcinoma,human,APA
11481,DataSet_114,human,CCNA1,FaDu,ENSG00000286128,Hypopharyngeal squamous cell carcinoma,6,0,0,Hypopharyngeal squamous cell carcinoma,human,APA
12069,DataSet_114,human,CCNA1,FaDu,PLAGL1,Hypopharyngeal squamous cell carcinoma,6,126,14,Hypopharyngeal squamous cell carcinoma,human,APA
11766,DataSet_114,human,CCNA1,FaDu,LINC00847,Hypopharyngeal squamous cell carcinoma,6,0,0,Hypopharyngeal squamous cell carcinoma,human,APA
12286,DataSet_114,human,CCNA1,FaDu,SLC12A6,Hypopharyngeal squamous cell carcinoma,6,54,28,Hypopharyngeal squamous cell carcinoma,human,APA
11852,DataSet_114,human,CCNA1,FaDu,MFF,Hypopharyngeal squamous cell carcinoma,6,60,60,Hypopharyngeal squamous cell carcinoma,human,APA
11214,DataSet_114,human,CCNA1,FaDu,COG4,Hypopharyngeal squamous cell carcinoma,6,24,24,Hypopharyngeal squamous cell carcinoma,human,APA
11774,DataSet_114,human,CCNA1,FaDu,LINC01748,Hypopharyngeal squamous cell carcinoma,6,0,0,Hypopharyngeal squamous cell carcinoma,human,APA
12324,DataSet_114,human,CCNA1,FaDu,SMPD1,Hypopharyngeal squamous cell carcinoma,6,21,15,Hypopharyngeal squamous cell carcinoma,human,APA
11089,DataSet_114,human,CCNA1,FaDu,BCAP31,Hypopharyngeal squamous cell carcinoma,6,30,30,Hypopharyngeal squamous cell carcinoma,human,APA
11072,DataSet_114,human,CCNA1,FaDu,ATP9B,Hypopharyngeal squamous cell carcinoma,6,16,12,Hypopharyngeal squamous cell carcinoma,human,APA
12384,DataSet_114,human,CCNA1,FaDu,SYBU,Hypopharyngeal squamous cell carcinoma,6,108,102,Hypopharyngeal squamous cell carcinoma,human,APA
11478,DataSet_114,human,CCNA1,FaDu,ENSG00000285920,Hypopharyngeal squamous cell carcinoma,5,5,5,Hypopharyngeal squamous cell carcinoma,human,APA
12637,DataSet_114,human,CCNA1,FaDu,ZNF707,Hypopharyngeal squamous cell carcinoma,5,40,25,Hypopharyngeal squamous cell carcinoma,human,APA
11723,DataSet_114,human,CCNA1,FaDu,KDM1A,Hypopharyngeal squamous cell carcinoma,5,65,60,Hypopharyngeal squamous cell carcinoma,human,APA
12002,DataSet_114,human,CCNA1,FaDu,PAM,Hypopharyngeal squamous cell carcinoma,5,75,75,Hypopharyngeal squamous cell carcinoma,human,APA
11982,DataSet_114,human,CCNA1,FaDu,NUSAP1,Hypopharyngeal squamous cell carcinoma,5,35,35,Hypopharyngeal squamous cell carcinoma,human,APA
11975,DataSet_114,human,CCNA1,FaDu,NSMCE2,Hypopharyngeal squamous cell carcinoma,5,23,13,Hypopharyngeal squamous cell carcinoma,human,APA
11974,DataSet_114,human,CCNA1,FaDu,NSD2,Hypopharyngeal squamous cell carcinoma,5,21,15,Hypopharyngeal squamous cell carcinoma,human,APA
12055,DataSet_114,human,CCNA1,FaDu,PIGQ,Hypopharyngeal squamous cell carcinoma,5,20,20,Hypopharyngeal squamous cell carcinoma,human,APA
11421,DataSet_114,human,CCNA1,FaDu,ENSG00000267110,Hypopharyngeal squamous cell carcinoma,5,5,0,Hypopharyngeal squamous cell carcinoma,human,APA
12085,DataSet_114,human,CCNA1,FaDu,PNKD,Hypopharyngeal squamous cell carcinoma,5,45,45,Hypopharyngeal squamous cell carcinoma,human,APA
11303,DataSet_114,human,CCNA1,FaDu,DNAAF3,Hypopharyngeal squamous cell carcinoma,5,25,25,Hypopharyngeal squamous cell carcinoma,human,APA
12203,DataSet_114,human,CCNA1,FaDu,RIPK1,Hypopharyngeal squamous cell carcinoma,5,10,8,Hypopharyngeal squamous cell carcinoma,human,APA
11194,DataSet_114,human,CCNA1,FaDu,CIRBP,Hypopharyngeal squamous cell carcinoma,5,107,73,Hypopharyngeal squamous cell carcinoma,human,APA
11219,DataSet_114,human,CCNA1,FaDu,COPS7A,Hypopharyngeal squamous cell carcinoma,5,30,30,Hypopharyngeal squamous cell carcinoma,human,APA
12296,DataSet_114,human,CCNA1,FaDu,SLC25A37,Hypopharyngeal squamous cell carcinoma,5,14,8,Hypopharyngeal squamous cell carcinoma,human,APA
11333,DataSet_114,human,CCNA1,FaDu,EDRF1,Hypopharyngeal squamous cell carcinoma,5,10,10,Hypopharyngeal squamous cell carcinoma,human,APA
11318,DataSet_114,human,CCNA1,FaDu,DPF2,Hypopharyngeal squamous cell carcinoma,5,20,20,Hypopharyngeal squamous cell carcinoma,human,APA
11249,DataSet_114,human,CCNA1,FaDu,CUX1,Hypopharyngeal squamous cell carcinoma,5,32,32,Hypopharyngeal squamous cell carcinoma,human,APA
12244,DataSet_114,human,CCNA1,FaDu,SBF2-AS1,Hypopharyngeal squamous cell carcinoma,5,0,0,Hypopharyngeal squamous cell carcinoma,human,APA
11304,DataSet_114,human,CCNA1,FaDu,DNAAF3-AS1,Hypopharyngeal squamous cell carcinoma,5,0,0,Hypopharyngeal squamous cell carcinoma,human,APA
12243,DataSet_114,human,CCNA1,FaDu,SBF2,Hypopharyngeal squamous cell carcinoma,5,0,0,Hypopharyngeal squamous cell carcinoma,human,APA
11896,DataSet_114,human,CCNA1,FaDu,MRE11,Hypopharyngeal squamous cell carcinoma,4,13,13,Hypopharyngeal squamous cell carcinoma,human,APA
11909,DataSet_114,human,CCNA1,FaDu,MTFR2,Hypopharyngeal squamous cell carcinoma,4,10,6,Hypopharyngeal squamous cell carcinoma,human,APA
11973,DataSet_114,human,CCNA1,FaDu,NRP1,Hypopharyngeal squamous cell carcinoma,4,20,20,Hypopharyngeal squamous cell carcinoma,human,APA
