Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
5642,DataSet_110,human,DDX1,A549-Ace2,AMPD2,Lung adenocarcinoma,9,90,90,Lung adenocarcinoma,human,APA
5876,DataSet_110,human,DDX1,A549-Ace2,DNMT1,Lung adenocarcinoma,9,36,36,Lung adenocarcinoma,human,APA
5668,DataSet_110,human,DDX1,A549-Ace2,ARID1B,Lung adenocarcinoma,9,99,77,Lung adenocarcinoma,human,APA
6047,DataSet_110,human,DDX1,A549-Ace2,GNAI1,Lung adenocarcinoma,8,136,136,Lung adenocarcinoma,human,APA
6126,DataSet_110,human,DDX1,A549-Ace2,KAT6B,Lung adenocarcinoma,7,132,0,Lung adenocarcinoma,human,APA
5791,DataSet_110,human,DDX1,A549-Ace2,CLIP4,Lung adenocarcinoma,7,105,91,Lung adenocarcinoma,human,APA
6568,DataSet_110,human,DDX1,A549-Ace2,SLMAP,Lung adenocarcinoma,7,35,35,Lung adenocarcinoma,human,APA
6413,DataSet_110,human,DDX1,A549-Ace2,POLR1D,Lung adenocarcinoma,6,42,42,Lung adenocarcinoma,human,APA
6693,DataSet_110,human,DDX1,A549-Ace2,TRAPPC4,Lung adenocarcinoma,6,30,30,Lung adenocarcinoma,human,APA
5900,DataSet_110,human,DDX1,A549-Ace2,EIF4A2,Lung adenocarcinoma,6,22,4,Lung adenocarcinoma,human,APA
5973,DataSet_110,human,DDX1,A549-Ace2,ENSG00000285245,Lung adenocarcinoma,6,6,6,Lung adenocarcinoma,human,APA
5628,DataSet_110,human,DDX1,A549-Ace2,AFG3L1P,Lung adenocarcinoma,6,0,0,Lung adenocarcinoma,human,APA
6023,DataSet_110,human,DDX1,A549-Ace2,FKTN,Lung adenocarcinoma,6,36,21,Lung adenocarcinoma,human,APA
6463,DataSet_110,human,DDX1,A549-Ace2,RALGDS,Lung adenocarcinoma,6,30,30,Lung adenocarcinoma,human,APA
