Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
347138,DataSet_447,human,ZFP36L1,CORL47,EDEM3,Lung small cell carcinoma,9,56,56,Lung small cell carcinoma,human,APA
363000,DataSet_455,human,ZFP36L1,NCI-H1876,AATF,Lung small cell carcinoma,9,54,54,Lung small cell carcinoma,human,APA
347472,DataSet_447,human,ZFP36L1,CORL47,HARS2,Lung small cell carcinoma,9,90,90,Lung small cell carcinoma,human,APA
324115,DataSet_436,human,ZFP36L1,CORL47,CITED1,Lung small cell carcinoma,9,99,42,Lung small cell carcinoma,human,APA
324427,DataSet_436,human,ZFP36L1,CORL47,ENSG00000285547,Lung small cell carcinoma,9,9,0,Lung small cell carcinoma,human,APA
325580,DataSet_436,human,ZFP36L1,CORL47,THRB,Lung small cell carcinoma,9,90,90,Lung small cell carcinoma,human,APA
347401,DataSet_447,human,ZFP36L1,CORL47,FUT8,Lung small cell carcinoma,9,84,18,Lung small cell carcinoma,human,APA
348140,DataSet_447,human,ZFP36L1,CORL47,RTTN,Lung small cell carcinoma,9,40,32,Lung small cell carcinoma,human,APA
348601,DataSet_447,human,ZFP36L1,CORL47,ZMAT2,Lung small cell carcinoma,9,0,0,Lung small cell carcinoma,human,APA
323911,DataSet_436,human,ZFP36L1,CORL47,ARL13B,Lung small cell carcinoma,9,117,117,Lung small cell carcinoma,human,APA
324611,DataSet_436,human,ZFP36L1,CORL47,HEXA,Lung small cell carcinoma,9,88,56,Lung small cell carcinoma,human,APA
363282,DataSet_455,human,ZFP36L1,NCI-H1876,CDK5RAP2,Lung small cell carcinoma,9,81,81,Lung small cell carcinoma,human,APA
363410,DataSet_455,human,ZFP36L1,NCI-H1876,DENND2B,Lung small cell carcinoma,9,189,0,Lung small cell carcinoma,human,APA
325323,DataSet_436,human,ZFP36L1,CORL47,RTTN,Lung small cell carcinoma,9,36,36,Lung small cell carcinoma,human,APA
364870,DataSet_455,human,ZFP36L1,NCI-H1876,TSEN2,Lung small cell carcinoma,9,171,171,Lung small cell carcinoma,human,APA
364101,DataSet_455,human,ZFP36L1,NCI-H1876,MLST8,Lung small cell carcinoma,9,45,45,Lung small cell carcinoma,human,APA
363862,DataSet_455,human,ZFP36L1,NCI-H1876,HSF4,Lung small cell carcinoma,9,57,28,Lung small cell carcinoma,human,APA
364505,DataSet_455,human,ZFP36L1,NCI-H1876,RNASEH2B,Lung small cell carcinoma,8,88,88,Lung small cell carcinoma,human,APA
346716,DataSet_447,human,ZFP36L1,CORL47,ACVR1,Lung small cell carcinoma,8,128,128,Lung small cell carcinoma,human,APA
324548,DataSet_436,human,ZFP36L1,CORL47,GMPPB,Lung small cell carcinoma,8,48,48,Lung small cell carcinoma,human,APA
325872,DataSet_436,human,ZFP36L1,CORL47,ZNF544,Lung small cell carcinoma,8,80,74,Lung small cell carcinoma,human,APA
324869,DataSet_436,human,ZFP36L1,CORL47,MIR9-3HG,Lung small cell carcinoma,8,0,0,Lung small cell carcinoma,human,APA
324369,DataSet_436,human,ZFP36L1,CORL47,ENSG00000260729,Lung small cell carcinoma,8,8,0,Lung small cell carcinoma,human,APA
324371,DataSet_436,human,ZFP36L1,CORL47,ENSG00000261460,Lung small cell carcinoma,8,0,0,Lung small cell carcinoma,human,APA
325622,DataSet_436,human,ZFP36L1,CORL47,TMEM254,Lung small cell carcinoma,8,24,24,Lung small cell carcinoma,human,APA
346834,DataSet_447,human,ZFP36L1,CORL47,ATR,Lung small cell carcinoma,8,16,16,Lung small cell carcinoma,human,APA
324116,DataSet_436,human,ZFP36L1,CORL47,CLCC1,Lung small cell carcinoma,8,528,528,Lung small cell carcinoma,human,APA
364556,DataSet_455,human,ZFP36L1,NCI-H1876,SBF2,Lung small cell carcinoma,8,0,0,Lung small cell carcinoma,human,APA
347826,DataSet_447,human,ZFP36L1,CORL47,NEDD4L,Lung small cell carcinoma,8,192,192,Lung small cell carcinoma,human,APA
364557,DataSet_455,human,ZFP36L1,NCI-H1876,SBF2-AS1,Lung small cell carcinoma,8,0,0,Lung small cell carcinoma,human,APA
323960,DataSet_436,human,ZFP36L1,CORL47,AZIN1,Lung small cell carcinoma,8,80,80,Lung small cell carcinoma,human,APA
348435,DataSet_447,human,ZFP36L1,CORL47,TMUB2,Lung small cell carcinoma,8,88,88,Lung small cell carcinoma,human,APA
364820,DataSet_455,human,ZFP36L1,NCI-H1876,TMEM231,Lung small cell carcinoma,8,48,48,Lung small cell carcinoma,human,APA
363131,DataSet_455,human,ZFP36L1,NCI-H1876,ASAH1,Lung small cell carcinoma,8,191,76,Lung small cell carcinoma,human,APA
363156,DataSet_455,human,ZFP36L1,NCI-H1876,ATR,Lung small cell carcinoma,8,16,16,Lung small cell carcinoma,human,APA
363199,DataSet_455,human,ZFP36L1,NCI-H1876,BRICD5,Lung small cell carcinoma,8,0,0,Lung small cell carcinoma,human,APA
364153,DataSet_455,human,ZFP36L1,NCI-H1876,NAA60,Lung small cell carcinoma,7,90,87,Lung small cell carcinoma,human,APA
325436,DataSet_436,human,ZFP36L1,CORL47,SMPD3,Lung small cell carcinoma,7,4,4,Lung small cell carcinoma,human,APA
363987,DataSet_455,human,ZFP36L1,NCI-H1876,LETMD1,Lung small cell carcinoma,7,63,56,Lung small cell carcinoma,human,APA
364190,DataSet_455,human,ZFP36L1,NCI-H1876,NFE2L1,Lung small cell carcinoma,7,91,53,Lung small cell carcinoma,human,APA
363274,DataSet_455,human,ZFP36L1,NCI-H1876,CDIN1,Lung small cell carcinoma,7,63,63,Lung small cell carcinoma,human,APA
364952,DataSet_455,human,ZFP36L1,NCI-H1876,WDR20,Lung small cell carcinoma,7,33,21,Lung small cell carcinoma,human,APA
323822,DataSet_436,human,ZFP36L1,CORL47,ACER3,Lung small cell carcinoma,7,35,35,Lung small cell carcinoma,human,APA
363878,DataSet_455,human,ZFP36L1,NCI-H1876,IFT22,Lung small cell carcinoma,7,42,42,Lung small cell carcinoma,human,APA
347042,DataSet_447,human,ZFP36L1,CORL47,CTSH,Lung small cell carcinoma,7,77,77,Lung small cell carcinoma,human,APA
347098,DataSet_447,human,ZFP36L1,CORL47,DISP1,Lung small cell carcinoma,7,24,0,Lung small cell carcinoma,human,APA
363448,DataSet_455,human,ZFP36L1,NCI-H1876,DPH5,Lung small cell carcinoma,7,28,28,Lung small cell carcinoma,human,APA
347148,DataSet_447,human,ZFP36L1,CORL47,EIF2AK3,Lung small cell carcinoma,7,28,28,Lung small cell carcinoma,human,APA
363407,DataSet_455,human,ZFP36L1,NCI-H1876,DEAF1,Lung small cell carcinoma,7,28,28,Lung small cell carcinoma,human,APA
347318,DataSet_447,human,ZFP36L1,CORL47,EPS8,Lung small cell carcinoma,7,98,98,Lung small cell carcinoma,human,APA
347527,DataSet_447,human,ZFP36L1,CORL47,IFT22,Lung small cell carcinoma,7,42,42,Lung small cell carcinoma,human,APA
347623,DataSet_447,human,ZFP36L1,CORL47,LGALS3BP,Lung small cell carcinoma,7,21,11,Lung small cell carcinoma,human,APA
347782,DataSet_447,human,ZFP36L1,CORL47,MTO1,Lung small cell carcinoma,7,56,56,Lung small cell carcinoma,human,APA
347802,DataSet_447,human,ZFP36L1,CORL47,NAMPT,Lung small cell carcinoma,7,84,84,Lung small cell carcinoma,human,APA
348605,DataSet_447,human,ZFP36L1,CORL47,ZNF138,Lung small cell carcinoma,7,35,32,Lung small cell carcinoma,human,APA
363068,DataSet_455,human,ZFP36L1,NCI-H1876,ALG8,Lung small cell carcinoma,7,182,124,Lung small cell carcinoma,human,APA
363142,DataSet_455,human,ZFP36L1,NCI-H1876,ATE1,Lung small cell carcinoma,7,182,182,Lung small cell carcinoma,human,APA
364232,DataSet_455,human,ZFP36L1,NCI-H1876,NR3C1,Lung small cell carcinoma,7,58,58,Lung small cell carcinoma,human,APA
363933,DataSet_455,human,ZFP36L1,NCI-H1876,KBTBD11-OT1,Lung small cell carcinoma,7,6,0,Lung small cell carcinoma,human,APA
324070,DataSet_436,human,ZFP36L1,CORL47,CDK13,Lung small cell carcinoma,7,35,35,Lung small cell carcinoma,human,APA
