Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
205789,DataSet_301,human,PCF11,DAOY,KDM5B,Medulloblastoma,9,54,54,Medulloblastoma,human,APA
205510,DataSet_301,human,PCF11,DAOY,ENSG00000260007,Medulloblastoma,9,8,8,Medulloblastoma,human,APA
205291,DataSet_301,human,PCF11,DAOY,CALML4,Medulloblastoma,9,32,32,Medulloblastoma,human,APA
206518,DataSet_301,human,PCF11,DAOY,XPO1,Medulloblastoma,9,225,225,Medulloblastoma,human,APA
205345,DataSet_301,human,PCF11,DAOY,CHD8,Medulloblastoma,8,56,49,Medulloblastoma,human,APA
205689,DataSet_301,human,PCF11,DAOY,GRB10,Medulloblastoma,8,104,104,Medulloblastoma,human,APA
205573,DataSet_301,human,PCF11,DAOY,EPS8,Medulloblastoma,8,112,98,Medulloblastoma,human,APA
206553,DataSet_301,human,PCF11,DAOY,ZNF195,Medulloblastoma,7,77,0,Medulloblastoma,human,APA
205188,DataSet_301,human,PCF11,DAOY,ALMS1,Medulloblastoma,7,57,48,Medulloblastoma,human,APA
205225,DataSet_301,human,PCF11,DAOY,ASCC1,Medulloblastoma,6,54,54,Medulloblastoma,human,APA
205724,DataSet_301,human,PCF11,DAOY,HNRNPA3,Medulloblastoma,6,0,0,Medulloblastoma,human,APA
206024,DataSet_301,human,PCF11,DAOY,P4HA2,Medulloblastoma,6,36,36,Medulloblastoma,human,APA
205246,DataSet_301,human,PCF11,DAOY,BARD1,Medulloblastoma,6,36,19,Medulloblastoma,human,APA
206285,DataSet_301,human,PCF11,DAOY,SLC8B1,Medulloblastoma,6,36,36,Medulloblastoma,human,APA
206082,DataSet_301,human,PCF11,DAOY,PKN1,Medulloblastoma,6,24,12,Medulloblastoma,human,APA
205783,DataSet_301,human,PCF11,DAOY,KCNMA1,Medulloblastoma,6,237,195,Medulloblastoma,human,APA
205798,DataSet_301,human,PCF11,DAOY,KIF1A,Medulloblastoma,5,70,70,Medulloblastoma,human,APA
206449,DataSet_301,human,PCF11,DAOY,TRPA1,Medulloblastoma,5,10,0,Medulloblastoma,human,APA
205770,DataSet_301,human,PCF11,DAOY,JADE2,Medulloblastoma,5,30,24,Medulloblastoma,human,APA
205866,DataSet_301,human,PCF11,DAOY,MCRS1,Medulloblastoma,5,20,20,Medulloblastoma,human,APA
206355,DataSet_301,human,PCF11,DAOY,TAFAZZIN,Medulloblastoma,5,65,52,Medulloblastoma,human,APA
206438,DataSet_301,human,PCF11,DAOY,TRAPPC4,Medulloblastoma,5,5,0,Medulloblastoma,human,APA
206559,DataSet_301,human,PCF11,DAOY,ZNF252P,Medulloblastoma,5,0,0,Medulloblastoma,human,APA
205879,DataSet_301,human,PCF11,DAOY,METTL23,Medulloblastoma,5,55,45,Medulloblastoma,human,APA
205921,DataSet_301,human,PCF11,DAOY,MSC-AS1,Medulloblastoma,5,0,0,Medulloblastoma,human,APA
205931,DataSet_301,human,PCF11,DAOY,MTHFR,Medulloblastoma,5,35,35,Medulloblastoma,human,APA
205633,DataSet_301,human,PCF11,DAOY,FLG-AS1,Medulloblastoma,5,0,0,Medulloblastoma,human,APA
206036,DataSet_301,human,PCF11,DAOY,PCBP4,Medulloblastoma,5,30,30,Medulloblastoma,human,APA
206071,DataSet_301,human,PCF11,DAOY,PIGG,Medulloblastoma,5,20,16,Medulloblastoma,human,APA
206091,DataSet_301,human,PCF11,DAOY,PLEKHG2,Medulloblastoma,5,50,50,Medulloblastoma,human,APA
206107,DataSet_301,human,PCF11,DAOY,POMGNT1,Medulloblastoma,5,10,8,Medulloblastoma,human,APA
206188,DataSet_301,human,PCF11,DAOY,RNASE1,Medulloblastoma,5,25,25,Medulloblastoma,human,APA
206228,DataSet_301,human,PCF11,DAOY,SALL2,Medulloblastoma,5,26,16,Medulloblastoma,human,APA
206253,DataSet_301,human,PCF11,DAOY,SH3D19,Medulloblastoma,5,35,35,Medulloblastoma,human,APA
206277,DataSet_301,human,PCF11,DAOY,SLC37A4,Medulloblastoma,5,0,0,Medulloblastoma,human,APA
205970,DataSet_301,human,PCF11,DAOY,NFAT5,Medulloblastoma,5,0,0,Medulloblastoma,human,APA
205725,DataSet_301,human,PCF11,DAOY,HOOK2,Medulloblastoma,5,16,4,Medulloblastoma,human,APA
206403,DataSet_301,human,PCF11,DAOY,TMEM161A,Medulloblastoma,5,15,15,Medulloblastoma,human,APA
205602,DataSet_301,human,PCF11,DAOY,FAM219B,Medulloblastoma,5,25,20,Medulloblastoma,human,APA
205179,DataSet_301,human,PCF11,DAOY,AGK,Medulloblastoma,5,30,30,Medulloblastoma,human,APA
205183,DataSet_301,human,PCF11,DAOY,AKAP9,Medulloblastoma,5,65,65,Medulloblastoma,human,APA
206476,DataSet_301,human,PCF11,DAOY,USP19,Medulloblastoma,5,24,24,Medulloblastoma,human,APA
205343,DataSet_301,human,PCF11,DAOY,CHCHD7,Medulloblastoma,5,25,25,Medulloblastoma,human,APA
205233,DataSet_301,human,PCF11,DAOY,ATG12,Medulloblastoma,5,5,5,Medulloblastoma,human,APA
206101,DataSet_301,human,PCF11,DAOY,POLA1,Medulloblastoma,4,8,8,Medulloblastoma,human,APA
205346,DataSet_301,human,PCF11,DAOY,CHD9,Medulloblastoma,4,24,24,Medulloblastoma,human,APA
205983,DataSet_301,human,PCF11,DAOY,NME3,Medulloblastoma,4,9,9,Medulloblastoma,human,APA
205332,DataSet_301,human,PCF11,DAOY,CELF1,Medulloblastoma,4,8,8,Medulloblastoma,human,APA
206026,DataSet_301,human,PCF11,DAOY,PAFAH1B1,Medulloblastoma,4,40,40,Medulloblastoma,human,APA
205325,DataSet_301,human,PCF11,DAOY,CDK11A,Medulloblastoma,4,24,18,Medulloblastoma,human,APA
205316,DataSet_301,human,PCF11,DAOY,CCDC88A,Medulloblastoma,4,34,34,Medulloblastoma,human,APA
205304,DataSet_301,human,PCF11,DAOY,CBLB,Medulloblastoma,4,4,4,Medulloblastoma,human,APA
205281,DataSet_301,human,PCF11,DAOY,C7orf50,Medulloblastoma,4,24,20,Medulloblastoma,human,APA
206140,DataSet_301,human,PCF11,DAOY,PTPDC1,Medulloblastoma,4,16,16,Medulloblastoma,human,APA
205260,DataSet_301,human,PCF11,DAOY,BNIP1,Medulloblastoma,4,16,16,Medulloblastoma,human,APA
206120,DataSet_301,human,PCF11,DAOY,PPP6R3,Medulloblastoma,4,4,4,Medulloblastoma,human,APA
205357,DataSet_301,human,PCF11,DAOY,CLN8,Medulloblastoma,4,28,28,Medulloblastoma,human,APA
205242,DataSet_301,human,PCF11,DAOY,AZI2,Medulloblastoma,4,12,12,Medulloblastoma,human,APA
206206,DataSet_301,human,PCF11,DAOY,RPE,Medulloblastoma,4,44,40,Medulloblastoma,human,APA
206215,DataSet_301,human,PCF11,DAOY,RPS6KL1,Medulloblastoma,4,23,20,Medulloblastoma,human,APA
205190,DataSet_301,human,PCF11,DAOY,AMD1,Medulloblastoma,4,24,24,Medulloblastoma,human,APA
206261,DataSet_301,human,PCF11,DAOY,SIGMAR1,Medulloblastoma,4,28,28,Medulloblastoma,human,APA
206265,DataSet_301,human,PCF11,DAOY,SIPA1L2,Medulloblastoma,4,28,28,Medulloblastoma,human,APA
206267,DataSet_301,human,PCF11,DAOY,SLAIN1,Medulloblastoma,4,28,28,Medulloblastoma,human,APA
205924,DataSet_301,human,PCF11,DAOY,MSTO1,Medulloblastoma,4,12,12,Medulloblastoma,human,APA
205614,DataSet_301,human,PCF11,DAOY,FBXL12,Medulloblastoma,4,24,17,Medulloblastoma,human,APA
205888,DataSet_301,human,PCF11,DAOY,MIA2,Medulloblastoma,4,40,40,Medulloblastoma,human,APA
205620,DataSet_301,human,PCF11,DAOY,FER,Medulloblastoma,4,12,12,Medulloblastoma,human,APA
205652,DataSet_301,human,PCF11,DAOY,GABRB3,Medulloblastoma,4,36,36,Medulloblastoma,human,APA
205656,DataSet_301,human,PCF11,DAOY,GALT,Medulloblastoma,4,9,7,Medulloblastoma,human,APA
205669,DataSet_301,human,PCF11,DAOY,GLA,Medulloblastoma,4,16,16,Medulloblastoma,human,APA
205705,DataSet_301,human,PCF11,DAOY,HARS2,Medulloblastoma,4,40,40,Medulloblastoma,human,APA
205531,DataSet_301,human,PCF11,DAOY,ENSG00000268575,Medulloblastoma,4,0,0,Medulloblastoma,human,APA
205508,DataSet_301,human,PCF11,DAOY,ENSG00000258728,Medulloblastoma,4,2,0,Medulloblastoma,human,APA
205741,DataSet_301,human,PCF11,DAOY,IFITM3,Medulloblastoma,4,23,19,Medulloblastoma,human,APA
205744,DataSet_301,human,PCF11,DAOY,IFT140,Medulloblastoma,4,4,4,Medulloblastoma,human,APA
205746,DataSet_301,human,PCF11,DAOY,IFT80,Medulloblastoma,4,12,12,Medulloblastoma,human,APA
205503,DataSet_301,human,PCF11,DAOY,ENSG00000257390,Medulloblastoma,4,16,0,Medulloblastoma,human,APA
205494,DataSet_301,human,PCF11,DAOY,ENSG00000250379,Medulloblastoma,4,0,0,Medulloblastoma,human,APA
205779,DataSet_301,human,PCF11,DAOY,KAT6B,Medulloblastoma,4,64,0,Medulloblastoma,human,APA
205493,DataSet_301,human,PCF11,DAOY,ENSG00000248710,Medulloblastoma,4,4,4,Medulloblastoma,human,APA
205785,DataSet_301,human,PCF11,DAOY,KCTD2,Medulloblastoma,4,8,8,Medulloblastoma,human,APA
205491,DataSet_301,human,PCF11,DAOY,ENSG00000246203,Medulloblastoma,4,0,0,Medulloblastoma,human,APA
205430,DataSet_301,human,PCF11,DAOY,DNAJC14,Medulloblastoma,4,20,20,Medulloblastoma,human,APA
205422,DataSet_301,human,PCF11,DAOY,DHX30,Medulloblastoma,4,20,20,Medulloblastoma,human,APA
205845,DataSet_301,human,PCF11,DAOY,MADD,Medulloblastoma,4,40,16,Medulloblastoma,human,APA
205857,DataSet_301,human,PCF11,DAOY,MAPKBP1,Medulloblastoma,4,12,12,Medulloblastoma,human,APA
205393,DataSet_301,human,PCF11,DAOY,CYP2J2,Medulloblastoma,4,4,4,Medulloblastoma,human,APA
205870,DataSet_301,human,PCF11,DAOY,MDM4,Medulloblastoma,4,27,20,Medulloblastoma,human,APA
205872,DataSet_301,human,PCF11,DAOY,ME2,Medulloblastoma,4,20,20,Medulloblastoma,human,APA
205371,DataSet_301,human,PCF11,DAOY,COMMD5,Medulloblastoma,4,28,20,Medulloblastoma,human,APA
205883,DataSet_301,human,PCF11,DAOY,MFF,Medulloblastoma,4,40,40,Medulloblastoma,human,APA
205768,DataSet_301,human,PCF11,DAOY,ITPR1,Medulloblastoma,26,442,442,Medulloblastoma,human,APA
205577,DataSet_301,human,PCF11,DAOY,ERCC5,Medulloblastoma,14,28,22,Medulloblastoma,human,APA
205257,DataSet_301,human,PCF11,DAOY,BIVM-ERCC5,Medulloblastoma,14,28,22,Medulloblastoma,human,APA
206309,DataSet_301,human,PCF11,DAOY,SPG7,Medulloblastoma,13,169,169,Medulloblastoma,human,APA
205172,DataSet_301,human,PCF11,DAOY,ACY1,Medulloblastoma,12,72,72,Medulloblastoma,human,APA
205160,DataSet_301,human,PCF11,DAOY,ABHD14A-ACY1,Medulloblastoma,12,24,12,Medulloblastoma,human,APA
205444,DataSet_301,human,PCF11,DAOY,DST,Medulloblastoma,11,112,89,Medulloblastoma,human,APA
205818,DataSet_301,human,PCF11,DAOY,LGALS8,Medulloblastoma,10,90,90,Medulloblastoma,human,APA
