Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
358816,DataSet_452,human,RBM47,H358,TBK1,Minimally invasive lung adenocarcinoma,9,99,99,Minimally invasive lung adenocarcinoma,human,APA
358236,DataSet_452,human,RBM47,H358,ME2,Minimally invasive lung adenocarcinoma,9,45,45,Minimally invasive lung adenocarcinoma,human,APA
358206,DataSet_452,human,RBM47,H358,MACROH2A1,Minimally invasive lung adenocarcinoma,9,40,40,Minimally invasive lung adenocarcinoma,human,APA
358751,DataSet_452,human,RBM47,H358,SPAG8,Minimally invasive lung adenocarcinoma,8,8,0,Minimally invasive lung adenocarcinoma,human,APA
358717,DataSet_452,human,RBM47,H358,SLMAP,Minimally invasive lung adenocarcinoma,8,41,41,Minimally invasive lung adenocarcinoma,human,APA
358657,DataSet_452,human,RBM47,H358,SEPTIN9,Minimally invasive lung adenocarcinoma,8,81,0,Minimally invasive lung adenocarcinoma,human,APA
357589,DataSet_452,human,RBM47,H358,CCDC82,Minimally invasive lung adenocarcinoma,8,161,161,Minimally invasive lung adenocarcinoma,human,APA
358242,DataSet_452,human,RBM47,H358,MED17,Minimally invasive lung adenocarcinoma,8,24,24,Minimally invasive lung adenocarcinoma,human,APA
357512,DataSet_452,human,RBM47,H358,BBIP1,Minimally invasive lung adenocarcinoma,8,80,80,Minimally invasive lung adenocarcinoma,human,APA
358225,DataSet_452,human,RBM47,H358,MATR3,Minimally invasive lung adenocarcinoma,8,105,0,Minimally invasive lung adenocarcinoma,human,APA
358872,DataSet_452,human,RBM47,H358,TMEM231,Minimally invasive lung adenocarcinoma,8,48,48,Minimally invasive lung adenocarcinoma,human,APA
358131,DataSet_452,human,RBM47,H358,KDM5B,Minimally invasive lung adenocarcinoma,8,48,48,Minimally invasive lung adenocarcinoma,human,APA
358941,DataSet_452,human,RBM47,H358,UBE2F,Minimally invasive lung adenocarcinoma,8,64,48,Minimally invasive lung adenocarcinoma,human,APA
357891,DataSet_452,human,RBM47,H358,ENSG00000284057,Minimally invasive lung adenocarcinoma,8,8,8,Minimally invasive lung adenocarcinoma,human,APA
358364,DataSet_452,human,RBM47,H358,NPR2,Minimally invasive lung adenocarcinoma,8,56,56,Minimally invasive lung adenocarcinoma,human,APA
358721,DataSet_452,human,RBM47,H358,SMARCA2,Minimally invasive lung adenocarcinoma,8,104,78,Minimally invasive lung adenocarcinoma,human,APA
