Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
66791,DataSet_167,human,FAM120A,SH-SY5Y,EIF4A2,Neuroblastoma,9,49,4,Neuroblastoma,human,APA
67913,DataSet_167,human,FAM120A,SH-SY5Y,RAB18,Neuroblastoma,9,117,90,Neuroblastoma,human,APA
66566,DataSet_167,human,FAM120A,SH-SY5Y,CDK13,Neuroblastoma,9,45,37,Neuroblastoma,human,APA
68368,DataSet_167,human,FAM120A,SH-SY5Y,THUMPD3-AS1,Neuroblastoma,9,0,0,Neuroblastoma,human,APA
67810,DataSet_167,human,FAM120A,SH-SY5Y,PLEKHG4,Neuroblastoma,8,75,15,Neuroblastoma,human,APA
66945,DataSet_167,human,FAM120A,SH-SY5Y,ENSG00000271793,Neuroblastoma,8,0,0,Neuroblastoma,human,APA
67792,DataSet_167,human,FAM120A,SH-SY5Y,PIGQ,Neuroblastoma,8,38,27,Neuroblastoma,human,APA
67233,DataSet_167,human,FAM120A,SH-SY5Y,HOOK2,Neuroblastoma,8,28,4,Neuroblastoma,human,APA
66612,DataSet_167,human,FAM120A,SH-SY5Y,CIZ1,Neuroblastoma,8,88,72,Neuroblastoma,human,APA
66341,DataSet_167,human,FAM120A,SH-SY5Y,ALS2,Neuroblastoma,8,123,90,Neuroblastoma,human,APA
67702,DataSet_167,human,FAM120A,SH-SY5Y,OAS3,Neuroblastoma,8,48,48,Neuroblastoma,human,APA
66383,DataSet_167,human,FAM120A,SH-SY5Y,ARHGAP4,Neuroblastoma,8,32,32,Neuroblastoma,human,APA
67585,DataSet_167,human,FAM120A,SH-SY5Y,MYO5A,Neuroblastoma,7,70,70,Neuroblastoma,human,APA
67745,DataSet_167,human,FAM120A,SH-SY5Y,PCBP1-AS1,Neuroblastoma,7,0,0,Neuroblastoma,human,APA
67648,DataSet_167,human,FAM120A,SH-SY5Y,NFYC,Neuroblastoma,7,70,70,Neuroblastoma,human,APA
66681,DataSet_167,human,FAM120A,SH-SY5Y,CUL7,Neuroblastoma,7,35,35,Neuroblastoma,human,APA
67789,DataSet_167,human,FAM120A,SH-SY5Y,PIGG,Neuroblastoma,7,28,24,Neuroblastoma,human,APA
68203,DataSet_167,human,FAM120A,SH-SY5Y,SNORD50B,Neuroblastoma,7,0,0,Neuroblastoma,human,APA
66563,DataSet_167,human,FAM120A,SH-SY5Y,CDIPT,Neuroblastoma,7,42,42,Neuroblastoma,human,APA
67830,DataSet_167,human,FAM120A,SH-SY5Y,PNISR,Neuroblastoma,7,34,34,Neuroblastoma,human,APA
67276,DataSet_167,human,FAM120A,SH-SY5Y,IRF7,Neuroblastoma,7,35,35,Neuroblastoma,human,APA
66393,DataSet_167,human,FAM120A,SH-SY5Y,ARMC8,Neuroblastoma,7,84,35,Neuroblastoma,human,APA
66342,DataSet_167,human,FAM120A,SH-SY5Y,ALS2CL,Neuroblastoma,7,14,14,Neuroblastoma,human,APA
66302,DataSet_167,human,FAM120A,SH-SY5Y,ADGRG1,Neuroblastoma,7,0,0,Neuroblastoma,human,APA
67429,DataSet_167,human,FAM120A,SH-SY5Y,MAGI1,Neuroblastoma,7,48,27,Neuroblastoma,human,APA
67583,DataSet_167,human,FAM120A,SH-SY5Y,MYH10,Neuroblastoma,6,54,54,Neuroblastoma,human,APA
67576,DataSet_167,human,FAM120A,SH-SY5Y,MUS81,Neuroblastoma,6,14,14,Neuroblastoma,human,APA
67081,DataSet_167,human,FAM120A,SH-SY5Y,FAN1,Neuroblastoma,6,78,36,Neuroblastoma,human,APA
67567,DataSet_167,human,FAM120A,SH-SY5Y,MTERF4,Neuroblastoma,6,6,6,Neuroblastoma,human,APA
67343,DataSet_167,human,FAM120A,SH-SY5Y,KMT2C,Neuroblastoma,6,66,66,Neuroblastoma,human,APA
67365,DataSet_167,human,FAM120A,SH-SY5Y,LGALS8,Neuroblastoma,6,67,52,Neuroblastoma,human,APA
67043,DataSet_167,human,FAM120A,SH-SY5Y,ERP44,Neuroblastoma,6,24,24,Neuroblastoma,human,APA
67794,DataSet_167,human,FAM120A,SH-SY5Y,PIK3CA,Neuroblastoma,6,6,6,Neuroblastoma,human,APA
67493,DataSet_167,human,FAM120A,SH-SY5Y,MFSD4B,Neuroblastoma,6,0,0,Neuroblastoma,human,APA
68640,DataSet_167,human,FAM120A,SH-SY5Y,ZNF211,Neuroblastoma,6,42,42,Neuroblastoma,human,APA
67452,DataSet_167,human,FAM120A,SH-SY5Y,MARK3,Neuroblastoma,6,150,150,Neuroblastoma,human,APA
67843,DataSet_167,human,FAM120A,SH-SY5Y,POLR2H,Neuroblastoma,6,42,36,Neuroblastoma,human,APA
67851,DataSet_167,human,FAM120A,SH-SY5Y,POMT2,Neuroblastoma,6,48,42,Neuroblastoma,human,APA
66277,DataSet_167,human,FAM120A,SH-SY5Y,ABI2,Neuroblastoma,6,48,42,Neuroblastoma,human,APA
66294,DataSet_167,human,FAM120A,SH-SY5Y,ACVR1,Neuroblastoma,6,96,96,Neuroblastoma,human,APA
66323,DataSet_167,human,FAM120A,SH-SY5Y,AHRR,Neuroblastoma,6,20,13,Neuroblastoma,human,APA
66333,DataSet_167,human,FAM120A,SH-SY5Y,ALDH5A1,Neuroblastoma,6,24,24,Neuroblastoma,human,APA
68630,DataSet_167,human,FAM120A,SH-SY5Y,ZNF138,Neuroblastoma,6,30,30,Neuroblastoma,human,APA
68456,DataSet_167,human,FAM120A,SH-SY5Y,TRIQK,Neuroblastoma,6,90,78,Neuroblastoma,human,APA
68439,DataSet_167,human,FAM120A,SH-SY5Y,TRAPPC4,Neuroblastoma,6,6,0,Neuroblastoma,human,APA
68366,DataSet_167,human,FAM120A,SH-SY5Y,THRB,Neuroblastoma,6,60,60,Neuroblastoma,human,APA
68312,DataSet_167,human,FAM120A,SH-SY5Y,TACC2,Neuroblastoma,6,90,90,Neuroblastoma,human,APA
66614,DataSet_167,human,FAM120A,SH-SY5Y,CLCC1,Neuroblastoma,6,396,396,Neuroblastoma,human,APA
66626,DataSet_167,human,FAM120A,SH-SY5Y,CLN8,Neuroblastoma,6,45,35,Neuroblastoma,human,APA
68185,DataSet_167,human,FAM120A,SH-SY5Y,SNAP47,Neuroblastoma,6,64,28,Neuroblastoma,human,APA
68151,DataSet_167,human,FAM120A,SH-SY5Y,SLC37A4,Neuroblastoma,6,0,0,Neuroblastoma,human,APA
67965,DataSet_167,human,FAM120A,SH-SY5Y,REPS1,Neuroblastoma,6,42,42,Neuroblastoma,human,APA
66687,DataSet_167,human,FAM120A,SH-SY5Y,CXXC5,Neuroblastoma,6,84,0,Neuroblastoma,human,APA
67869,DataSet_167,human,FAM120A,SH-SY5Y,PRCP,Neuroblastoma,6,102,102,Neuroblastoma,human,APA
66813,DataSet_167,human,FAM120A,SH-SY5Y,ENSG00000189229,Neuroblastoma,6,0,0,Neuroblastoma,human,APA
67736,DataSet_167,human,FAM120A,SH-SY5Y,PARP10,Neuroblastoma,5,16,12,Neuroblastoma,human,APA
67507,DataSet_167,human,FAM120A,SH-SY5Y,MIR100HG,Neuroblastoma,5,0,0,Neuroblastoma,human,APA
