Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
357119,DataSet_451,human,ADAR,HUVEC,RARB,Normal,9,99,99,Normal,human,APA
350146,DataSet_449,human,ADAR,HUVEC,HARS1,Normal,9,108,108,Normal,human,APA
349851,DataSet_449,human,ADAR,HUVEC,CCDC82,Normal,9,207,207,Normal,human,APA
349876,DataSet_449,human,ADAR,HUVEC,CHN1,Normal,8,96,80,Normal,human,APA
349859,DataSet_449,human,ADAR,HUVEC,CDK13,Normal,8,40,40,Normal,human,APA
356706,DataSet_451,human,ADAR,HUVEC,DNMT1,Normal,8,32,32,Normal,human,APA
349960,DataSet_449,human,ADAR,HUVEC,DPAGT1,Normal,8,32,40,Normal,human,APA
356963,DataSet_451,human,ADAR,HUVEC,MIR100HG,Normal,8,0,0,Normal,human,APA
349747,DataSet_449,human,ADAR,HUVEC,AKAP9,Normal,8,104,104,Normal,human,APA
357005,DataSet_451,human,ADAR,HUVEC,NOL8,Normal,7,35,35,Normal,human,APA
349871,DataSet_449,human,ADAR,HUVEC,CHCHD7,Normal,7,35,35,Normal,human,APA
350179,DataSet_449,human,ADAR,HUVEC,INO80B-WBP1,Normal,7,0,0,Normal,human,APA
350764,DataSet_449,human,ADAR,HUVEC,UROS,Normal,7,28,28,Normal,human,APA
350785,DataSet_449,human,ADAR,HUVEC,WBP1,Normal,7,28,18,Normal,human,APA
356546,DataSet_451,human,ADAR,HUVEC,ARHGAP17,Normal,6,18,18,Normal,human,APA
357391,DataSet_451,human,ADAR,HUVEC,ZNF266,Normal,6,36,36,Normal,human,APA
356690,DataSet_451,human,ADAR,HUVEC,DENND3,Normal,6,30,30,Normal,human,APA
356994,DataSet_451,human,ADAR,HUVEC,NDUFA10,Normal,6,66,60,Normal,human,APA
349726,DataSet_449,human,ADAR,HUVEC,ABI2,Normal,6,48,42,Normal,human,APA
350331,DataSet_449,human,ADAR,HUVEC,NDUFS2,Normal,6,96,96,Normal,human,APA
350332,DataSet_449,human,ADAR,HUVEC,NDUFS3,Normal,6,6,6,Normal,human,APA
350204,DataSet_449,human,ADAR,HUVEC,KIFC3,Normal,6,12,12,Normal,human,APA
349852,DataSet_449,human,ADAR,HUVEC,CCDC88A,Normal,6,17,17,Normal,human,APA
350348,DataSet_449,human,ADAR,HUVEC,NPHP3-ACAD11,Normal,6,3,0,Normal,human,APA
350698,DataSet_449,human,ADAR,HUVEC,TIMM9,Normal,6,42,42,Normal,human,APA
349842,DataSet_449,human,ADAR,HUVEC,CBFB,Normal,6,24,24,Normal,human,APA
350361,DataSet_449,human,ADAR,HUVEC,OAS1,Normal,6,82,72,Normal,human,APA
356754,DataSet_451,human,ADAR,HUVEC,ENSG00000260669,Normal,6,0,0,Normal,human,APA
350170,DataSet_449,human,ADAR,HUVEC,IFT22,Normal,6,36,36,Normal,human,APA
357253,DataSet_451,human,ADAR,HUVEC,SUN1,Normal,6,35,35,Normal,human,APA
357217,DataSet_451,human,ADAR,HUVEC,SNHG14,Normal,6,0,0,Normal,human,APA
349757,DataSet_449,human,ADAR,HUVEC,ANKRD11,Normal,6,60,30,Normal,human,APA
356796,DataSet_451,human,ADAR,HUVEC,FAM214B,Normal,5,35,35,Normal,human,APA
350104,DataSet_449,human,ADAR,HUVEC,G3BP1,Normal,5,59,58,Normal,human,APA
356709,DataSet_451,human,ADAR,HUVEC,DPF2,Normal,5,20,20,Normal,human,APA
350198,DataSet_449,human,ADAR,HUVEC,KBTBD11-OT1,Normal,5,0,0,Normal,human,APA
350051,DataSet_449,human,ADAR,HUVEC,ENSG00000285957,Normal,5,0,0,Normal,human,APA
350289,DataSet_449,human,ADAR,HUVEC,MORN2,Normal,5,25,25,Normal,human,APA
350291,DataSet_449,human,ADAR,HUVEC,MPDU1,Normal,5,13,13,Normal,human,APA
356678,DataSet_451,human,ADAR,HUVEC,CYB561,Normal,5,58,53,Normal,human,APA
356810,DataSet_451,human,ADAR,HUVEC,FKRP,Normal,5,91,0,Normal,human,APA
356675,DataSet_451,human,ADAR,HUVEC,CTSL,Normal,5,90,90,Normal,human,APA
356659,DataSet_451,human,ADAR,HUVEC,COPG2,Normal,5,0,0,Normal,human,APA
356641,DataSet_451,human,ADAR,HUVEC,CHMP4A,Normal,5,10,10,Normal,human,APA
356615,DataSet_451,human,ADAR,HUVEC,CCND3,Normal,5,40,40,Normal,human,APA
356568,DataSet_451,human,ADAR,HUVEC,ATR,Normal,5,10,10,Normal,human,APA
350576,DataSet_449,human,ADAR,HUVEC,SETD2,Normal,5,35,35,Normal,human,APA
350634,DataSet_449,human,ADAR,HUVEC,SNX14,Normal,5,140,140,Normal,human,APA
356562,DataSet_451,human,ADAR,HUVEC,ATG12,Normal,5,5,5,Normal,human,APA
350101,DataSet_449,human,ADAR,HUVEC,FUT8,Normal,5,55,0,Normal,human,APA
350808,DataSet_449,human,ADAR,HUVEC,ZFAND6,Normal,5,55,50,Normal,human,APA
349931,DataSet_449,human,ADAR,HUVEC,DDX10,Normal,5,10,10,Normal,human,APA
356957,DataSet_451,human,ADAR,HUVEC,MGAT1,Normal,5,70,0,Normal,human,APA
357186,DataSet_451,human,ADAR,HUVEC,SLC11A2,Normal,5,55,30,Normal,human,APA
349888,DataSet_449,human,ADAR,HUVEC,CLN3,Normal,5,70,52,Normal,human,APA
349890,DataSet_449,human,ADAR,HUVEC,CLN6,Normal,5,30,25,Normal,human,APA
356980,DataSet_451,human,ADAR,HUVEC,MYD88,Normal,5,35,35,Normal,human,APA
349771,DataSet_449,human,ADAR,HUVEC,ARHGEF10,Normal,5,25,25,Normal,human,APA
357243,DataSet_451,human,ADAR,HUVEC,STARD4,Normal,5,30,20,Normal,human,APA
357275,DataSet_451,human,ADAR,HUVEC,TEX264,Normal,5,35,35,Normal,human,APA
349793,DataSet_449,human,ADAR,HUVEC,ATP6V0A1,Normal,5,40,35,Normal,human,APA
356953,DataSet_451,human,ADAR,HUVEC,MEST,Normal,5,45,45,Normal,human,APA
350033,DataSet_449,human,ADAR,HUVEC,ENSG00000271793,Normal,5,0,0,Normal,human,APA
356926,DataSet_451,human,ADAR,HUVEC,M6PR,Normal,5,9,9,Normal,human,APA
349942,DataSet_449,human,ADAR,HUVEC,DENND3,Normal,5,25,25,Normal,human,APA
350023,DataSet_449,human,ADAR,HUVEC,ENSG00000261832,Normal,5,25,20,Normal,human,APA
356537,DataSet_451,human,ADAR,HUVEC,ANKRD11,Normal,4,28,18,Normal,human,APA
356564,DataSet_451,human,ADAR,HUVEC,ATP6V0E2,Normal,4,12,12,Normal,human,APA
356590,DataSet_451,human,ADAR,HUVEC,BPHL,Normal,4,15,16,Normal,human,APA
356589,DataSet_451,human,ADAR,HUVEC,BOLA2-SMG1P6,Normal,4,4,4,Normal,human,APA
356565,DataSet_451,human,ADAR,HUVEC,ATP6V0E2-AS1,Normal,4,0,0,Normal,human,APA
357195,DataSet_451,human,ADAR,HUVEC,SLC35A2,Normal,4,43,24,Normal,human,APA
349723,DataSet_449,human,ADAR,HUVEC,ABCB9,Normal,4,0,0,Normal,human,APA
357394,DataSet_451,human,ADAR,HUVEC,ZNF438,Normal,4,32,32,Normal,human,APA
357209,DataSet_451,human,ADAR,HUVEC,SMG1P6,Normal,4,0,0,Normal,human,APA
357242,DataSet_451,human,ADAR,HUVEC,STARD3,Normal,4,16,16,Normal,human,APA
356640,DataSet_451,human,ADAR,HUVEC,CHD8,Normal,4,28,28,Normal,human,APA
356528,DataSet_451,human,ADAR,HUVEC,AGTRAP,Normal,4,20,20,Normal,human,APA
356816,DataSet_451,human,ADAR,HUVEC,FOXJ3,Normal,4,25,19,Normal,human,APA
357046,DataSet_451,human,ADAR,HUVEC,PCAT19,Normal,4,0,0,Normal,human,APA
357169,DataSet_451,human,ADAR,HUVEC,SCPEP1,Normal,4,8,8,Normal,human,APA
356647,DataSet_451,human,ADAR,HUVEC,CIRBP,Normal,4,84,33,Normal,human,APA
356776,DataSet_451,human,ADAR,HUVEC,ENSG00000288632,Normal,4,0,0,Normal,human,APA
356852,DataSet_451,human,ADAR,HUVEC,GTF2IRD1,Normal,4,12,12,Normal,human,APA
356941,DataSet_451,human,ADAR,HUVEC,MCCC2,Normal,4,48,48,Normal,human,APA
356736,DataSet_451,human,ADAR,HUVEC,ENSG00000228170,Normal,4,0,0,Normal,human,APA
356730,DataSet_451,human,ADAR,HUVEC,ELP4,Normal,4,28,28,Normal,human,APA
356715,DataSet_451,human,ADAR,HUVEC,DUSP22,Normal,4,20,18,Normal,human,APA
356975,DataSet_451,human,ADAR,HUVEC,MSANTD2,Normal,4,16,12,Normal,human,APA
356705,DataSet_451,human,ADAR,HUVEC,DNASE1L1,Normal,4,28,24,Normal,human,APA
356977,DataSet_451,human,ADAR,HUVEC,MTERF3,Normal,4,12,12,Normal,human,APA
357015,DataSet_451,human,ADAR,HUVEC,NTHL1,Normal,4,20,20,Normal,human,APA
357027,DataSet_451,human,ADAR,HUVEC,OPA1,Normal,4,0,0,Normal,human,APA
350825,DataSet_449,human,ADAR,HUVEC,ZNF92,Normal,4,16,16,Normal,human,APA
357088,DataSet_451,human,ADAR,HUVEC,POMGNT1,Normal,4,8,8,Normal,human,APA
357109,DataSet_451,human,ADAR,HUVEC,PVT1,Normal,4,0,0,Normal,human,APA
357115,DataSet_451,human,ADAR,HUVEC,RAB3IP,Normal,4,20,20,Normal,human,APA
349720,DataSet_449,human,ADAR,HUVEC,AASS,Normal,4,28,28,Normal,human,APA
356518,DataSet_451,human,ADAR,HUVEC,ACSF3,Normal,4,20,20,Normal,human,APA
350813,DataSet_449,human,ADAR,HUVEC,ZNF195,Normal,4,44,0,Normal,human,APA
151367,DataSet_23,human,ADAR1,IMR90,ENSG00000288550,Normal,29,4,0,Normal,human,APA
150161,DataSet_23,human,ADAR1,IMR90,CRELD1,Normal,29,506,338,Normal,human,APA
155321,DataSet_23,human,ADAR1,IMR90,SPG7,Normal,28,328,328,Normal,human,APA
153319,DataSet_23,human,ADAR1,IMR90,NBEA,Normal,27,514,501,Normal,human,APA
152720,DataSet_23,human,ADAR1,IMR90,LRPPRC,Normal,27,324,324,Normal,human,APA
151814,DataSet_23,human,ADAR1,IMR90,GDAP1,Normal,27,485,470,Normal,human,APA
154055,DataSet_23,human,ADAR1,IMR90,POMT1,Normal,25,372,352,Normal,human,APA
155169,DataSet_23,human,ADAR1,IMR90,SMARCE1,Normal,23,187,187,Normal,human,APA
149736,DataSet_23,human,ADAR1,IMR90,CCDC88A,Normal,23,53,34,Normal,human,APA
151738,DataSet_23,human,ADAR1,IMR90,FTX,Normal,23,0,0,Normal,human,APA
