Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
368315,DataSet_459,human,KHDRBS1,U2OS,LETMD1,Osteosarcoma,8,72,64,Osteosarcoma,human,APA
368264,DataSet_459,human,KHDRBS1,U2OS,GORAB,Osteosarcoma,8,16,16,Osteosarcoma,human,APA
368377,DataSet_459,human,KHDRBS1,U2OS,NAA60,Osteosarcoma,6,90,90,Osteosarcoma,human,APA
368294,DataSet_459,human,KHDRBS1,U2OS,ITGB1,Osteosarcoma,6,102,102,Osteosarcoma,human,APA
368545,DataSet_459,human,KHDRBS1,U2OS,STAT2,Osteosarcoma,6,18,18,Osteosarcoma,human,APA
368637,DataSet_459,human,KHDRBS1,U2OS,ZNF707,Osteosarcoma,5,40,25,Osteosarcoma,human,APA
368363,DataSet_459,human,KHDRBS1,U2OS,MTFR1L,Osteosarcoma,5,15,0,Osteosarcoma,human,APA
368103,DataSet_459,human,KHDRBS1,U2OS,BCAR3,Osteosarcoma,5,25,25,Osteosarcoma,human,APA
368096,DataSet_459,human,KHDRBS1,U2OS,ATXN2,Osteosarcoma,5,75,75,Osteosarcoma,human,APA
368491,DataSet_459,human,KHDRBS1,U2OS,RNH1,Osteosarcoma,5,45,45,Osteosarcoma,human,APA
368544,DataSet_459,human,KHDRBS1,U2OS,STAT1,Osteosarcoma,5,70,15,Osteosarcoma,human,APA
368073,DataSet_459,human,KHDRBS1,U2OS,ANKZF1,Osteosarcoma,5,15,0,Osteosarcoma,human,APA
368557,DataSet_459,human,KHDRBS1,U2OS,TCF4,Osteosarcoma,5,0,0,Osteosarcoma,human,APA
368260,DataSet_459,human,KHDRBS1,U2OS,GNAI1,Osteosarcoma,5,85,85,Osteosarcoma,human,APA
368626,DataSet_459,human,KHDRBS1,U2OS,ZMYND11,Osteosarcoma,5,60,60,Osteosarcoma,human,APA
368349,DataSet_459,human,KHDRBS1,U2OS,MIR6126,Osteosarcoma,5,0,0,Osteosarcoma,human,APA
368220,DataSet_459,human,KHDRBS1,U2OS,ENSG00000283580,Osteosarcoma,4,0,0,Osteosarcoma,human,APA
