Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
89679,DataSet_179,human,PUM1,SGC7901,ATXN2L,Papillomavirus-related endocervical adenocarcinoma,9,79,66,Papillomavirus-related endocervical adenocarcinoma,human,APA
91312,DataSet_179,human,PUM1,SGC7901,TUG1,Papillomavirus-related endocervical adenocarcinoma,9,0,0,Papillomavirus-related endocervical adenocarcinoma,human,APA
90217,DataSet_179,human,PUM1,SGC7901,GNAS,Papillomavirus-related endocervical adenocarcinoma,9,259,259,Papillomavirus-related endocervical adenocarcinoma,human,APA
90065,DataSet_179,human,PUM1,SGC7901,ENSG00000269987,Papillomavirus-related endocervical adenocarcinoma,9,0,0,Papillomavirus-related endocervical adenocarcinoma,human,APA
91399,DataSet_179,human,PUM1,SGC7901,XPO1,Papillomavirus-related endocervical adenocarcinoma,8,200,200,Papillomavirus-related endocervical adenocarcinoma,human,APA
89809,DataSet_179,human,PUM1,SGC7901,CFAP92,Papillomavirus-related endocervical adenocarcinoma,8,0,0,Papillomavirus-related endocervical adenocarcinoma,human,APA
89717,DataSet_179,human,PUM1,SGC7901,BSG,Papillomavirus-related endocervical adenocarcinoma,8,19,7,Papillomavirus-related endocervical adenocarcinoma,human,APA
90044,DataSet_179,human,PUM1,SGC7901,ENSG00000260570,Papillomavirus-related endocervical adenocarcinoma,8,0,0,Papillomavirus-related endocervical adenocarcinoma,human,APA
90776,DataSet_179,human,PUM1,SGC7901,PPP1CA,Papillomavirus-related endocervical adenocarcinoma,7,35,35,Papillomavirus-related endocervical adenocarcinoma,human,APA
90267,DataSet_179,human,PUM1,SGC7901,HEATR3,Papillomavirus-related endocervical adenocarcinoma,7,7,7,Papillomavirus-related endocervical adenocarcinoma,human,APA
91243,DataSet_179,human,PUM1,SGC7901,TMEM205,Papillomavirus-related endocervical adenocarcinoma,7,91,36,Papillomavirus-related endocervical adenocarcinoma,human,APA
91197,DataSet_179,human,PUM1,SGC7901,TCTN1,Papillomavirus-related endocervical adenocarcinoma,7,91,14,Papillomavirus-related endocervical adenocarcinoma,human,APA
90391,DataSet_179,human,PUM1,SGC7901,LETMD1,Papillomavirus-related endocervical adenocarcinoma,7,63,56,Papillomavirus-related endocervical adenocarcinoma,human,APA
90397,DataSet_179,human,PUM1,SGC7901,LIMCH1,Papillomavirus-related endocervical adenocarcinoma,7,91,91,Papillomavirus-related endocervical adenocarcinoma,human,APA
90126,DataSet_179,human,PUM1,SGC7901,ERAP1,Papillomavirus-related endocervical adenocarcinoma,7,1,1,Papillomavirus-related endocervical adenocarcinoma,human,APA
89944,DataSet_179,human,PUM1,SGC7901,DLG1,Papillomavirus-related endocervical adenocarcinoma,7,259,259,Papillomavirus-related endocervical adenocarcinoma,human,APA
90477,DataSet_179,human,PUM1,SGC7901,METTL23,Papillomavirus-related endocervical adenocarcinoma,7,80,59,Papillomavirus-related endocervical adenocarcinoma,human,APA
