Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
65504,DataSet_165,human,LOXHD1,SK-N-MC,DPAGT1,Peripheral primitive neuroectodermal tumor,8,32,40,Peripheral primitive neuroectodermal tumor,human,APA
65732,DataSet_165,human,LOXHD1,SK-N-MC,IRF3,Peripheral primitive neuroectodermal tumor,8,113,88,Peripheral primitive neuroectodermal tumor,human,APA
65430,DataSet_165,human,LOXHD1,SK-N-MC,CHD1L,Peripheral primitive neuroectodermal tumor,8,48,48,Peripheral primitive neuroectodermal tumor,human,APA
65543,DataSet_165,human,LOXHD1,SK-N-MC,ENSG00000237188,Peripheral primitive neuroectodermal tumor,8,0,0,Peripheral primitive neuroectodermal tumor,human,APA
66116,DataSet_165,human,LOXHD1,SK-N-MC,ST3GAL4,Peripheral primitive neuroectodermal tumor,7,91,84,Peripheral primitive neuroectodermal tumor,human,APA
66015,DataSet_165,human,LOXHD1,SK-N-MC,RMND5B,Peripheral primitive neuroectodermal tumor,7,21,21,Peripheral primitive neuroectodermal tumor,human,APA
65767,DataSet_165,human,LOXHD1,SK-N-MC,LINC00667,Peripheral primitive neuroectodermal tumor,7,0,0,Peripheral primitive neuroectodermal tumor,human,APA
66190,DataSet_165,human,LOXHD1,SK-N-MC,TSSC4,Peripheral primitive neuroectodermal tumor,6,54,8,Peripheral primitive neuroectodermal tumor,human,APA
65860,DataSet_165,human,LOXHD1,SK-N-MC,NDRG2,Peripheral primitive neuroectodermal tumor,6,102,102,Peripheral primitive neuroectodermal tumor,human,APA
65696,DataSet_165,human,LOXHD1,SK-N-MC,HECTD1,Peripheral primitive neuroectodermal tumor,6,36,36,Peripheral primitive neuroectodermal tumor,human,APA
65505,DataSet_165,human,LOXHD1,SK-N-MC,DTX3,Peripheral primitive neuroectodermal tumor,5,21,21,Peripheral primitive neuroectodermal tumor,human,APA
65575,DataSet_165,human,LOXHD1,SK-N-MC,ENSG00000271793,Peripheral primitive neuroectodermal tumor,5,8,8,Peripheral primitive neuroectodermal tumor,human,APA
65287,DataSet_165,human,LOXHD1,SK-N-MC,AAMP,Peripheral primitive neuroectodermal tumor,5,20,20,Peripheral primitive neuroectodermal tumor,human,APA
65651,DataSet_165,human,LOXHD1,SK-N-MC,FUT8,Peripheral primitive neuroectodermal tumor,5,55,0,Peripheral primitive neuroectodermal tumor,human,APA
65286,DataSet_165,human,LOXHD1,SK-N-MC,AAAS,Peripheral primitive neuroectodermal tumor,5,20,15,Peripheral primitive neuroectodermal tumor,human,APA
65764,DataSet_165,human,LOXHD1,SK-N-MC,LGALS8,Peripheral primitive neuroectodermal tumor,5,50,50,Peripheral primitive neuroectodermal tumor,human,APA
65469,DataSet_165,human,LOXHD1,SK-N-MC,CTSC,Peripheral primitive neuroectodermal tumor,5,30,30,Peripheral primitive neuroectodermal tumor,human,APA
65786,DataSet_165,human,LOXHD1,SK-N-MC,MAP2K1,Peripheral primitive neuroectodermal tumor,5,5,5,Peripheral primitive neuroectodermal tumor,human,APA
65853,DataSet_165,human,LOXHD1,SK-N-MC,NARF,Peripheral primitive neuroectodermal tumor,5,25,20,Peripheral primitive neuroectodermal tumor,human,APA
65883,DataSet_165,human,LOXHD1,SK-N-MC,NT5C,Peripheral primitive neuroectodermal tumor,5,25,25,Peripheral primitive neuroectodermal tumor,human,APA
66028,DataSet_165,human,LOXHD1,SK-N-MC,RPS6KA3,Peripheral primitive neuroectodermal tumor,5,60,55,Peripheral primitive neuroectodermal tumor,human,APA
66117,DataSet_165,human,LOXHD1,SK-N-MC,ST6GAL1,Peripheral primitive neuroectodermal tumor,5,67,0,Peripheral primitive neuroectodermal tumor,human,APA
66157,DataSet_165,human,LOXHD1,SK-N-MC,TMEM126B,Peripheral primitive neuroectodermal tumor,5,16,11,Peripheral primitive neuroectodermal tumor,human,APA
65782,DataSet_165,human,LOXHD1,SK-N-MC,MAD1L1,Peripheral primitive neuroectodermal tumor,5,20,20,Peripheral primitive neuroectodermal tumor,human,APA
65597,DataSet_165,human,LOXHD1,SK-N-MC,ENSG00000286192,Peripheral primitive neuroectodermal tumor,5,0,0,Peripheral primitive neuroectodermal tumor,human,APA
65397,DataSet_165,human,LOXHD1,SK-N-MC,CAP2,Peripheral primitive neuroectodermal tumor,5,25,25,Peripheral primitive neuroectodermal tumor,human,APA
65368,DataSet_165,human,LOXHD1,SK-N-MC,ATXN2,Peripheral primitive neuroectodermal tumor,4,66,63,Peripheral primitive neuroectodermal tumor,human,APA
65957,DataSet_165,human,LOXHD1,SK-N-MC,PREPL,Peripheral primitive neuroectodermal tumor,4,0,0,Peripheral primitive neuroectodermal tumor,human,APA
65592,DataSet_165,human,LOXHD1,SK-N-MC,ENSG00000285542,Peripheral primitive neuroectodermal tumor,4,0,0,Peripheral primitive neuroectodermal tumor,human,APA
65956,DataSet_165,human,LOXHD1,SK-N-MC,PREB,Peripheral primitive neuroectodermal tumor,4,16,16,Peripheral primitive neuroectodermal tumor,human,APA
65329,DataSet_165,human,LOXHD1,SK-N-MC,ANKRD13D,Peripheral primitive neuroectodermal tumor,4,8,8,Peripheral primitive neuroectodermal tumor,human,APA
65607,DataSet_165,human,LOXHD1,SK-N-MC,EPS8,Peripheral primitive neuroectodermal tumor,4,56,56,Peripheral primitive neuroectodermal tumor,human,APA
65616,DataSet_165,human,LOXHD1,SK-N-MC,ESYT2,Peripheral primitive neuroectodermal tumor,4,12,12,Peripheral primitive neuroectodermal tumor,human,APA
65872,DataSet_165,human,LOXHD1,SK-N-MC,NNT,Peripheral primitive neuroectodermal tumor,4,40,40,Peripheral primitive neuroectodermal tumor,human,APA
65642,DataSet_165,human,LOXHD1,SK-N-MC,FN1,Peripheral primitive neuroectodermal tumor,4,44,44,Peripheral primitive neuroectodermal tumor,human,APA
65350,DataSet_165,human,LOXHD1,SK-N-MC,ARL6IP4,Peripheral primitive neuroectodermal tumor,4,32,32,Peripheral primitive neuroectodermal tumor,human,APA
