Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
291067,DataSet_403,human,SMAD2,RV1,LCOR,prostate carcinoma,9,117,117,prostate carcinoma,human,APA
291488,DataSet_403,human,SMAD2,RV1,PIGV,prostate carcinoma,9,153,153,prostate carcinoma,human,APA
291921,DataSet_403,human,SMAD2,RV1,STX4,prostate carcinoma,9,16,7,prostate carcinoma,human,APA
290368,DataSet_403,human,SMAD2,RV1,CSPP1,prostate carcinoma,9,207,207,prostate carcinoma,human,APA
290078,DataSet_403,human,SMAD2,RV1,ARMC8,prostate carcinoma,9,96,47,prostate carcinoma,human,APA
291867,DataSet_403,human,SMAD2,RV1,SNX14,prostate carcinoma,9,252,252,prostate carcinoma,human,APA
291100,DataSet_403,human,SMAD2,RV1,LMBRD1,prostate carcinoma,8,104,104,prostate carcinoma,human,APA
291756,DataSet_403,human,SMAD2,RV1,SELENBP1,prostate carcinoma,8,24,24,prostate carcinoma,human,APA
291091,DataSet_403,human,SMAD2,RV1,LINC01980,prostate carcinoma,8,0,0,prostate carcinoma,human,APA
291559,DataSet_403,human,SMAD2,RV1,PPP2R2A,prostate carcinoma,8,40,32,prostate carcinoma,human,APA
291321,DataSet_403,human,SMAD2,RV1,NME3,prostate carcinoma,8,24,24,prostate carcinoma,human,APA
291360,DataSet_403,human,SMAD2,RV1,OAS3,prostate carcinoma,8,48,48,prostate carcinoma,human,APA
290075,DataSet_403,human,SMAD2,RV1,ARMC10,prostate carcinoma,8,64,56,prostate carcinoma,human,APA
291945,DataSet_403,human,SMAD2,RV1,TAF1C,prostate carcinoma,8,48,35,prostate carcinoma,human,APA
291117,DataSet_403,human,SMAD2,RV1,LRSAM1,prostate carcinoma,8,96,96,prostate carcinoma,human,APA
291251,DataSet_403,human,SMAD2,RV1,MYADM,prostate carcinoma,7,70,20,prostate carcinoma,human,APA
290731,DataSet_403,human,SMAD2,RV1,FAM126A,prostate carcinoma,7,21,21,prostate carcinoma,human,APA
291240,DataSet_403,human,SMAD2,RV1,MTERF4,prostate carcinoma,7,12,10,prostate carcinoma,human,APA
291396,DataSet_403,human,SMAD2,RV1,PCDHA1,prostate carcinoma,7,10,8,prostate carcinoma,human,APA
291397,DataSet_403,human,SMAD2,RV1,PCDHA10,prostate carcinoma,7,10,8,prostate carcinoma,human,APA
291398,DataSet_403,human,SMAD2,RV1,PCDHA11,prostate carcinoma,7,12,8,prostate carcinoma,human,APA
291399,DataSet_403,human,SMAD2,RV1,PCDHA12,prostate carcinoma,7,5,4,prostate carcinoma,human,APA
291400,DataSet_403,human,SMAD2,RV1,PCDHA13,prostate carcinoma,7,12,8,prostate carcinoma,human,APA
291401,DataSet_403,human,SMAD2,RV1,PCDHA2,prostate carcinoma,7,5,4,prostate carcinoma,human,APA
291402,DataSet_403,human,SMAD2,RV1,PCDHA3,prostate carcinoma,7,5,4,prostate carcinoma,human,APA
291403,DataSet_403,human,SMAD2,RV1,PCDHA4,prostate carcinoma,7,12,8,prostate carcinoma,human,APA
292269,DataSet_403,human,SMAD2,RV1,ZNF561-AS1,prostate carcinoma,7,0,0,prostate carcinoma,human,APA
291404,DataSet_403,human,SMAD2,RV1,PCDHA5,prostate carcinoma,7,12,8,prostate carcinoma,human,APA
291405,DataSet_403,human,SMAD2,RV1,PCDHA6,prostate carcinoma,7,10,8,prostate carcinoma,human,APA
291406,DataSet_403,human,SMAD2,RV1,PCDHA7,prostate carcinoma,7,5,4,prostate carcinoma,human,APA
291407,DataSet_403,human,SMAD2,RV1,PCDHA8,prostate carcinoma,7,5,4,prostate carcinoma,human,APA
291409,DataSet_403,human,SMAD2,RV1,PCDHAC1,prostate carcinoma,7,5,4,prostate carcinoma,human,APA
291410,DataSet_403,human,SMAD2,RV1,PCDHAC2,prostate carcinoma,7,5,4,prostate carcinoma,human,APA
290333,DataSet_403,human,SMAD2,RV1,COPS7A,prostate carcinoma,7,42,42,prostate carcinoma,human,APA
291747,DataSet_403,human,SMAD2,RV1,SEC14L1,prostate carcinoma,7,42,32,prostate carcinoma,human,APA
291941,DataSet_403,human,SMAD2,RV1,TACC2,prostate carcinoma,7,105,105,prostate carcinoma,human,APA
291408,DataSet_403,human,SMAD2,RV1,PCDHA9,prostate carcinoma,7,5,4,prostate carcinoma,human,APA
291442,DataSet_403,human,SMAD2,RV1,PDCD6-AHRR,prostate carcinoma,6,0,0,prostate carcinoma,human,APA
291534,DataSet_403,human,SMAD2,RV1,POLR2E,prostate carcinoma,6,3,3,prostate carcinoma,human,APA
291910,DataSet_403,human,SMAD2,RV1,STAU2,prostate carcinoma,6,78,36,prostate carcinoma,human,APA
291177,DataSet_403,human,SMAD2,RV1,MFF,prostate carcinoma,6,60,60,prostate carcinoma,human,APA
292059,DataSet_403,human,SMAD2,RV1,TP73-AS1,prostate carcinoma,6,0,0,prostate carcinoma,human,APA
292220,DataSet_403,human,SMAD2,RV1,ZNF138,prostate carcinoma,6,30,30,prostate carcinoma,human,APA
291184,DataSet_403,human,SMAD2,RV1,MGAT1,prostate carcinoma,6,0,0,prostate carcinoma,human,APA
291082,DataSet_403,human,SMAD2,RV1,LINC00467,prostate carcinoma,6,0,0,prostate carcinoma,human,APA
290979,DataSet_403,human,SMAD2,RV1,INTS11,prostate carcinoma,6,69,4,prostate carcinoma,human,APA
290763,DataSet_403,human,SMAD2,RV1,FDFT1,prostate carcinoma,6,78,78,prostate carcinoma,human,APA
290804,DataSet_403,human,SMAD2,RV1,G3BP2,prostate carcinoma,6,222,222,prostate carcinoma,human,APA
290862,DataSet_403,human,SMAD2,RV1,GRB10,prostate carcinoma,6,78,78,prostate carcinoma,human,APA
290578,DataSet_403,human,SMAD2,RV1,ENSG00000258529,prostate carcinoma,6,6,6,prostate carcinoma,human,APA
290951,DataSet_403,human,SMAD2,RV1,IAH1,prostate carcinoma,6,24,24,prostate carcinoma,human,APA
290438,DataSet_403,human,SMAD2,RV1,DNAJA4,prostate carcinoma,6,24,24,prostate carcinoma,human,APA
290705,DataSet_403,human,SMAD2,RV1,ERBB3,prostate carcinoma,6,42,42,prostate carcinoma,human,APA
290236,DataSet_403,human,SMAD2,RV1,CDC73,prostate carcinoma,6,12,12,prostate carcinoma,human,APA
290021,DataSet_403,human,SMAD2,RV1,ALG9,prostate carcinoma,6,30,24,prostate carcinoma,human,APA
290007,DataSet_403,human,SMAD2,RV1,AHRR,prostate carcinoma,6,24,15,prostate carcinoma,human,APA
290299,DataSet_403,human,SMAD2,RV1,CKMT2-AS1,prostate carcinoma,5,0,0,prostate carcinoma,human,APA
291633,DataSet_403,human,SMAD2,RV1,RAD51,prostate carcinoma,5,30,30,prostate carcinoma,human,APA
291620,DataSet_403,human,SMAD2,RV1,RAB2A,prostate carcinoma,5,15,15,prostate carcinoma,human,APA
290651,DataSet_403,human,SMAD2,RV1,ENSG00000280607,prostate carcinoma,5,0,0,prostate carcinoma,human,APA
291608,DataSet_403,human,SMAD2,RV1,PTPRF,prostate carcinoma,5,30,30,prostate carcinoma,human,APA
290403,DataSet_403,human,SMAD2,RV1,DCAF7,prostate carcinoma,5,42,40,prostate carcinoma,human,APA
290184,DataSet_403,human,SMAD2,RV1,CALM2,prostate carcinoma,5,35,35,prostate carcinoma,human,APA
290538,DataSet_403,human,SMAD2,RV1,ENSG00000238045,prostate carcinoma,5,0,0,prostate carcinoma,human,APA
290144,DataSet_403,human,SMAD2,RV1,BRAF,prostate carcinoma,5,20,10,prostate carcinoma,human,APA
290069,DataSet_403,human,SMAD2,RV1,ARL16,prostate carcinoma,5,30,30,prostate carcinoma,human,APA
290034,DataSet_403,human,SMAD2,RV1,ANKRD13D,prostate carcinoma,5,10,10,prostate carcinoma,human,APA
291077,DataSet_403,human,SMAD2,RV1,LIMCH1,prostate carcinoma,5,65,65,prostate carcinoma,human,APA
291618,DataSet_403,human,SMAD2,RV1,RAB24,prostate carcinoma,5,15,15,prostate carcinoma,human,APA
290580,DataSet_403,human,SMAD2,RV1,ENSG00000259132,prostate carcinoma,5,5,5,prostate carcinoma,human,APA
291248,DataSet_403,human,SMAD2,RV1,MXD3,prostate carcinoma,5,0,0,prostate carcinoma,human,APA
290987,DataSet_403,human,SMAD2,RV1,IQSEC2,prostate carcinoma,5,18,18,prostate carcinoma,human,APA
291068,DataSet_403,human,SMAD2,RV1,LCORL,prostate carcinoma,5,20,20,prostate carcinoma,human,APA
290899,DataSet_403,human,SMAD2,RV1,HAUS4,prostate carcinoma,5,35,35,prostate carcinoma,human,APA
291148,DataSet_403,human,SMAD2,RV1,MAZ,prostate carcinoma,5,40,38,prostate carcinoma,human,APA
290967,DataSet_403,human,SMAD2,RV1,IKBKB,prostate carcinoma,5,15,15,prostate carcinoma,human,APA
291174,DataSet_403,human,SMAD2,RV1,METTL21A,prostate carcinoma,5,35,35,prostate carcinoma,human,APA
291395,DataSet_403,human,SMAD2,RV1,PCBP4,prostate carcinoma,5,30,30,prostate carcinoma,human,APA
291028,DataSet_403,human,SMAD2,RV1,KIAA0895,prostate carcinoma,5,30,30,prostate carcinoma,human,APA
291380,DataSet_403,human,SMAD2,RV1,PACS2,prostate carcinoma,5,22,13,prostate carcinoma,human,APA
290980,DataSet_403,human,SMAD2,RV1,INTS14,prostate carcinoma,5,35,35,prostate carcinoma,human,APA
289996,DataSet_403,human,SMAD2,RV1,ADGRG6,prostate carcinoma,5,20,20,prostate carcinoma,human,APA
290026,DataSet_403,human,SMAD2,RV1,AMT,prostate carcinoma,29,406,405,prostate carcinoma,human,APA
290656,DataSet_403,human,SMAD2,RV1,ENSG00000283189,prostate carcinoma,29,29,29,prostate carcinoma,human,APA
292069,DataSet_403,human,SMAD2,RV1,TPP1,prostate carcinoma,19,171,171,prostate carcinoma,human,APA
290820,DataSet_403,human,SMAD2,RV1,GDAP1,prostate carcinoma,19,341,331,prostate carcinoma,human,APA
292169,DataSet_403,human,SMAD2,RV1,VRK1,prostate carcinoma,18,342,342,prostate carcinoma,human,APA
291650,DataSet_403,human,SMAD2,RV1,RBPJ,prostate carcinoma,15,300,255,prostate carcinoma,human,APA
290627,DataSet_403,human,SMAD2,RV1,ENSG00000271793,prostate carcinoma,14,40,40,prostate carcinoma,human,APA
291495,DataSet_403,human,SMAD2,RV1,PKD1,prostate carcinoma,12,3,0,prostate carcinoma,human,APA
289979,DataSet_403,human,SMAD2,RV1,ACER3,prostate carcinoma,12,60,60,prostate carcinoma,human,APA
