Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
99691,DataSet_191,human,FUS,786-O,GOSR2,Renal cell carcinoma,9,297,162,Renal cell carcinoma,human,APA
99222,DataSet_191,human,FUS,786-O,AP5Z1,Renal cell carcinoma,9,27,27,Renal cell carcinoma,human,APA
99562,DataSet_191,human,FUS,786-O,ENSG00000262633,Renal cell carcinoma,9,9,0,Renal cell carcinoma,human,APA
99433,DataSet_191,human,FUS,786-O,CZIB,Renal cell carcinoma,8,3,3,Renal cell carcinoma,human,APA
99366,DataSet_191,human,FUS,786-O,CFAP92,Renal cell carcinoma,8,0,0,Renal cell carcinoma,human,APA
99418,DataSet_191,human,FUS,786-O,CSPP1,Renal cell carcinoma,8,184,184,Renal cell carcinoma,human,APA
100050,DataSet_191,human,FUS,786-O,PIGV,Renal cell carcinoma,8,136,136,Renal cell carcinoma,human,APA
100411,DataSet_191,human,FUS,786-O,TMEM67,Renal cell carcinoma,7,91,91,Renal cell carcinoma,human,APA
100406,DataSet_191,human,FUS,786-O,TMEM256-PLSCR3,Renal cell carcinoma,7,3,0,Renal cell carcinoma,human,APA
99255,DataSet_191,human,FUS,786-O,ATF2,Renal cell carcinoma,7,56,56,Renal cell carcinoma,human,APA
99196,DataSet_191,human,FUS,786-O,ALDH3B1,Renal cell carcinoma,7,31,25,Renal cell carcinoma,human,APA
99890,DataSet_191,human,FUS,786-O,MIR4435-2HG,Renal cell carcinoma,7,0,0,Renal cell carcinoma,human,APA
99448,DataSet_191,human,FUS,786-O,DEAF1,Renal cell carcinoma,7,28,28,Renal cell carcinoma,human,APA
100466,DataSet_191,human,FUS,786-O,UBE2F-SCLY,Renal cell carcinoma,7,5,5,Renal cell carcinoma,human,APA
99639,DataSet_191,human,FUS,786-O,FBXO34,Renal cell carcinoma,7,45,45,Renal cell carcinoma,human,APA
99653,DataSet_191,human,FUS,786-O,FKTN,Renal cell carcinoma,6,52,23,Renal cell carcinoma,human,APA
99732,DataSet_191,human,FUS,786-O,IAH1,Renal cell carcinoma,6,24,24,Renal cell carcinoma,human,APA
99534,DataSet_191,human,FUS,786-O,ENSG00000237807,Renal cell carcinoma,6,0,0,Renal cell carcinoma,human,APA
99500,DataSet_191,human,FUS,786-O,EGLN2,Renal cell carcinoma,6,36,36,Renal cell carcinoma,human,APA
99878,DataSet_191,human,FUS,786-O,MEIS2,Renal cell carcinoma,6,12,12,Renal cell carcinoma,human,APA
100012,DataSet_191,human,FUS,786-O,PAM,Renal cell carcinoma,6,90,90,Renal cell carcinoma,human,APA
99652,DataSet_191,human,FUS,786-O,FKBP7,Renal cell carcinoma,6,24,24,Renal cell carcinoma,human,APA
99161,DataSet_191,human,FUS,786-O,AAMP,Renal cell carcinoma,6,24,24,Renal cell carcinoma,human,APA
100066,DataSet_191,human,FUS,786-O,PLSCR3,Renal cell carcinoma,6,36,36,Renal cell carcinoma,human,APA
100115,DataSet_191,human,FUS,786-O,PSMD13,Renal cell carcinoma,6,24,24,Renal cell carcinoma,human,APA
100142,DataSet_191,human,FUS,786-O,RAB4B-EGLN2,Renal cell carcinoma,6,0,0,Renal cell carcinoma,human,APA
99270,DataSet_191,human,FUS,786-O,ATXN2,Renal cell carcinoma,6,90,90,Renal cell carcinoma,human,APA
100173,DataSet_191,human,FUS,786-O,REPS1,Renal cell carcinoma,6,42,42,Renal cell carcinoma,human,APA
99173,DataSet_191,human,FUS,786-O,ABCD4,Renal cell carcinoma,5,20,11,Renal cell carcinoma,human,APA
99815,DataSet_191,human,FUS,786-O,LINC01002,Renal cell carcinoma,5,0,0,Renal cell carcinoma,human,APA
100499,DataSet_191,human,FUS,786-O,VPS53,Renal cell carcinoma,5,40,40,Renal cell carcinoma,human,APA
100465,DataSet_191,human,FUS,786-O,UBE2F,Renal cell carcinoma,5,40,30,Renal cell carcinoma,human,APA
100376,DataSet_191,human,FUS,786-O,TCEAL4,Renal cell carcinoma,5,55,30,Renal cell carcinoma,human,APA
99706,DataSet_191,human,FUS,786-O,HAGHL,Renal cell carcinoma,5,26,14,Renal cell carcinoma,human,APA
100361,DataSet_191,human,FUS,786-O,TACC1,Renal cell carcinoma,5,45,45,Renal cell carcinoma,human,APA
99763,DataSet_191,human,FUS,786-O,KANSL2,Renal cell carcinoma,5,20,20,Renal cell carcinoma,human,APA
100354,DataSet_191,human,FUS,786-O,SUMF2,Renal cell carcinoma,5,60,47,Renal cell carcinoma,human,APA
100290,DataSet_191,human,FUS,786-O,SLC39A8,Renal cell carcinoma,5,25,25,Renal cell carcinoma,human,APA
99840,DataSet_191,human,FUS,786-O,MAN2A2,Renal cell carcinoma,5,30,25,Renal cell carcinoma,human,APA
100032,DataSet_191,human,FUS,786-O,PELI3,Renal cell carcinoma,5,20,16,Renal cell carcinoma,human,APA
100253,DataSet_191,human,FUS,786-O,SH3YL1,Renal cell carcinoma,5,35,35,Renal cell carcinoma,human,APA
99937,DataSet_191,human,FUS,786-O,MYO9B,Renal cell carcinoma,5,20,13,Renal cell carcinoma,human,APA
