Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
216421,DataSet_317,human,FASTK,H9,NCAPD3,Sezary syndrome,9,45,45,Sezary syndrome,human,APA
216663,DataSet_317,human,FASTK,H9,SERPING1,Sezary syndrome,9,72,72,Sezary syndrome,human,APA
216241,DataSet_317,human,FASTK,H9,HEXA,Sezary syndrome,8,80,56,Sezary syndrome,human,APA
216750,DataSet_317,human,FASTK,H9,TAF1C,Sezary syndrome,8,48,32,Sezary syndrome,human,APA
216067,DataSet_317,human,FASTK,H9,ENSG00000260729,Sezary syndrome,8,8,0,Sezary syndrome,human,APA
216069,DataSet_317,human,FASTK,H9,ENSG00000261460,Sezary syndrome,8,0,0,Sezary syndrome,human,APA
216452,DataSet_317,human,FASTK,H9,NT5C,Sezary syndrome,7,35,35,Sezary syndrome,human,APA
216924,DataSet_317,human,FASTK,H9,ZNF827,Sezary syndrome,7,15,10,Sezary syndrome,human,APA
216877,DataSet_317,human,FASTK,H9,WFS1,Sezary syndrome,7,49,49,Sezary syndrome,human,APA
215767,DataSet_317,human,FASTK,H9,AIFM1,Sezary syndrome,7,84,84,Sezary syndrome,human,APA
215759,DataSet_317,human,FASTK,H9,ADAM15,Sezary syndrome,7,49,49,Sezary syndrome,human,APA
216263,DataSet_317,human,FASTK,H9,IL32,Sezary syndrome,6,174,162,Sezary syndrome,human,APA
216296,DataSet_317,human,FASTK,H9,KIF1A,Sezary syndrome,6,84,84,Sezary syndrome,human,APA
216106,DataSet_317,human,FASTK,H9,ENSG00000283189,Sezary syndrome,6,6,6,Sezary syndrome,human,APA
216085,DataSet_317,human,FASTK,H9,ENSG00000267755,Sezary syndrome,6,0,0,Sezary syndrome,human,APA
216298,DataSet_317,human,FASTK,H9,KLC1,Sezary syndrome,6,6,6,Sezary syndrome,human,APA
216057,DataSet_317,human,FASTK,H9,ENSG00000256500,Sezary syndrome,6,0,0,Sezary syndrome,human,APA
216565,DataSet_317,human,FASTK,H9,PWWP3A,Sezary syndrome,6,18,18,Sezary syndrome,human,APA
216652,DataSet_317,human,FASTK,H9,SEC14L1,Sezary syndrome,6,48,36,Sezary syndrome,human,APA
216319,DataSet_317,human,FASTK,H9,LINC01002,Sezary syndrome,6,0,0,Sezary syndrome,human,APA
215793,DataSet_317,human,FASTK,H9,AP2A2,Sezary syndrome,6,18,18,Sezary syndrome,human,APA
215762,DataSet_317,human,FASTK,H9,ADK,Sezary syndrome,6,48,48,Sezary syndrome,human,APA
215779,DataSet_317,human,FASTK,H9,AMT,Sezary syndrome,6,84,84,Sezary syndrome,human,APA
216477,DataSet_317,human,FASTK,H9,PARPBP,Sezary syndrome,5,30,30,Sezary syndrome,human,APA
215812,DataSet_317,human,FASTK,H9,ATF6,Sezary syndrome,5,50,50,Sezary syndrome,human,APA
216102,DataSet_317,human,FASTK,H9,ENSG00000279765,Sezary syndrome,5,0,0,Sezary syndrome,human,APA
216847,DataSet_317,human,FASTK,H9,USF2,Sezary syndrome,5,35,30,Sezary syndrome,human,APA
216374,DataSet_317,human,FASTK,H9,MIB2,Sezary syndrome,5,45,45,Sezary syndrome,human,APA
216676,DataSet_317,human,FASTK,H9,SHFL,Sezary syndrome,5,20,20,Sezary syndrome,human,APA
