Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
380120,DataSet_469,human,ELAVL1,Jurkat,CHCHD7,T-cell acute lymphoblastic leukemia,9,45,45,T-cell acute lymphoblastic leukemia,human,APA
380019,DataSet_469,human,ELAVL1,Jurkat,ALG8,T-cell acute lymphoblastic leukemia,9,234,172,T-cell acute lymphoblastic leukemia,human,APA
380313,DataSet_469,human,ELAVL1,Jurkat,GLE1,T-cell acute lymphoblastic leukemia,7,0,0,T-cell acute lymphoblastic leukemia,human,APA
380355,DataSet_469,human,ELAVL1,Jurkat,IFITM1,T-cell acute lymphoblastic leukemia,7,66,66,T-cell acute lymphoblastic leukemia,human,APA
380163,DataSet_469,human,ELAVL1,Jurkat,CYTOR,T-cell acute lymphoblastic leukemia,7,0,0,T-cell acute lymphoblastic leukemia,human,APA
380390,DataSet_469,human,ELAVL1,Jurkat,LARP7,T-cell acute lymphoblastic leukemia,7,49,49,T-cell acute lymphoblastic leukemia,human,APA
380030,DataSet_469,human,ELAVL1,Jurkat,ANP32E,T-cell acute lymphoblastic leukemia,7,49,49,T-cell acute lymphoblastic leukemia,human,APA
380618,DataSet_469,human,ELAVL1,Jurkat,SCFD1,T-cell acute lymphoblastic leukemia,7,126,126,T-cell acute lymphoblastic leukemia,human,APA
380269,DataSet_469,human,ELAVL1,Jurkat,ENSG00000288681,T-cell acute lymphoblastic leukemia,7,7,7,T-cell acute lymphoblastic leukemia,human,APA
380273,DataSet_469,human,ELAVL1,Jurkat,ERCC3,T-cell acute lymphoblastic leukemia,7,26,20,T-cell acute lymphoblastic leukemia,human,APA
380772,DataSet_469,human,ELAVL1,Jurkat,UGP2,T-cell acute lymphoblastic leukemia,7,42,42,T-cell acute lymphoblastic leukemia,human,APA
380055,DataSet_469,human,ELAVL1,Jurkat,ATG4B,T-cell acute lymphoblastic leukemia,6,18,6,T-cell acute lymphoblastic leukemia,human,APA
380321,DataSet_469,human,ELAVL1,Jurkat,GORAB,T-cell acute lymphoblastic leukemia,6,12,12,T-cell acute lymphoblastic leukemia,human,APA
380195,DataSet_469,human,ELAVL1,Jurkat,DYNC1LI2,T-cell acute lymphoblastic leukemia,6,23,21,T-cell acute lymphoblastic leukemia,human,APA
380316,DataSet_469,human,ELAVL1,Jurkat,GNG2,T-cell acute lymphoblastic leukemia,6,40,40,T-cell acute lymphoblastic leukemia,human,APA
380579,DataSet_469,human,ELAVL1,Jurkat,RARS2,T-cell acute lymphoblastic leukemia,6,114,114,T-cell acute lymphoblastic leukemia,human,APA
380234,DataSet_469,human,ELAVL1,Jurkat,ENSG00000259007,T-cell acute lymphoblastic leukemia,6,0,0,T-cell acute lymphoblastic leukemia,human,APA
380001,DataSet_469,human,ELAVL1,Jurkat,ACADVL,T-cell acute lymphoblastic leukemia,6,31,20,T-cell acute lymphoblastic leukemia,human,APA
380054,DataSet_469,human,ELAVL1,Jurkat,ATG16L2,T-cell acute lymphoblastic leukemia,6,20,20,T-cell acute lymphoblastic leukemia,human,APA
380711,DataSet_469,human,ELAVL1,Jurkat,TEDC1,T-cell acute lymphoblastic leukemia,6,50,35,T-cell acute lymphoblastic leukemia,human,APA
380018,DataSet_469,human,ELAVL1,Jurkat,ALG5,T-cell acute lymphoblastic leukemia,6,48,48,T-cell acute lymphoblastic leukemia,human,APA
380021,DataSet_469,human,ELAVL1,Jurkat,AMMECR1L,T-cell acute lymphoblastic leukemia,6,24,24,T-cell acute lymphoblastic leukemia,human,APA
380768,DataSet_469,human,ELAVL1,Jurkat,UBE2V2,T-cell acute lymphoblastic leukemia,6,30,30,T-cell acute lymphoblastic leukemia,human,APA
380032,DataSet_469,human,ELAVL1,Jurkat,AP2A2,T-cell acute lymphoblastic leukemia,6,18,18,T-cell acute lymphoblastic leukemia,human,APA
380209,DataSet_469,human,ELAVL1,Jurkat,EML3,T-cell acute lymphoblastic leukemia,5,34,28,T-cell acute lymphoblastic leukemia,human,APA
380200,DataSet_469,human,ELAVL1,Jurkat,EGLN2,T-cell acute lymphoblastic leukemia,5,30,30,T-cell acute lymphoblastic leukemia,human,APA
380199,DataSet_469,human,ELAVL1,Jurkat,EEF1D,T-cell acute lymphoblastic leukemia,5,107,0,T-cell acute lymphoblastic leukemia,human,APA
380439,DataSet_469,human,ELAVL1,Jurkat,MGAT1,T-cell acute lymphoblastic leukemia,5,70,0,T-cell acute lymphoblastic leukemia,human,APA
380531,DataSet_469,human,ELAVL1,Jurkat,PIGQ,T-cell acute lymphoblastic leukemia,5,20,20,T-cell acute lymphoblastic leukemia,human,APA
380098,DataSet_469,human,ELAVL1,Jurkat,CC2D1A,T-cell acute lymphoblastic leukemia,5,20,20,T-cell acute lymphoblastic leukemia,human,APA
380543,DataSet_469,human,ELAVL1,Jurkat,POLR2E,T-cell acute lymphoblastic leukemia,5,0,0,T-cell acute lymphoblastic leukemia,human,APA
380049,DataSet_469,human,ELAVL1,Jurkat,ARMCX6,T-cell acute lymphoblastic leukemia,5,12,6,T-cell acute lymphoblastic leukemia,human,APA
380310,DataSet_469,human,ELAVL1,Jurkat,GDAP1,T-cell acute lymphoblastic leukemia,5,85,85,T-cell acute lymphoblastic leukemia,human,APA
380568,DataSet_469,human,ELAVL1,Jurkat,RAB4B-EGLN2,T-cell acute lymphoblastic leukemia,5,0,0,T-cell acute lymphoblastic leukemia,human,APA
380559,DataSet_469,human,ELAVL1,Jurkat,PSME3IP1,T-cell acute lymphoblastic leukemia,5,35,35,T-cell acute lymphoblastic leukemia,human,APA
380534,DataSet_469,human,ELAVL1,Jurkat,PLEKHG2,T-cell acute lymphoblastic leukemia,5,50,50,T-cell acute lymphoblastic leukemia,human,APA
380771,DataSet_469,human,ELAVL1,Jurkat,UBXN11,T-cell acute lymphoblastic leukemia,4,24,18,T-cell acute lymphoblastic leukemia,human,APA
380706,DataSet_469,human,ELAVL1,Jurkat,TARS1,T-cell acute lymphoblastic leukemia,4,12,12,T-cell acute lymphoblastic leukemia,human,APA
380318,DataSet_469,human,ELAVL1,Jurkat,GOLGA3,T-cell acute lymphoblastic leukemia,4,28,28,T-cell acute lymphoblastic leukemia,human,APA
380755,DataSet_469,human,ELAVL1,Jurkat,TRAPPC12,T-cell acute lymphoblastic leukemia,4,16,16,T-cell acute lymphoblastic leukemia,human,APA
380352,DataSet_469,human,ELAVL1,Jurkat,HYAL2,T-cell acute lymphoblastic leukemia,4,16,16,T-cell acute lymphoblastic leukemia,human,APA
380354,DataSet_469,human,ELAVL1,Jurkat,IFFO1,T-cell acute lymphoblastic leukemia,4,20,20,T-cell acute lymphoblastic leukemia,human,APA
380747,DataSet_469,human,ELAVL1,Jurkat,TOLLIP,T-cell acute lymphoblastic leukemia,4,24,20,T-cell acute lymphoblastic leukemia,human,APA
380508,DataSet_469,human,ELAVL1,Jurkat,P2RX5,T-cell acute lymphoblastic leukemia,4,20,20,T-cell acute lymphoblastic leukemia,human,APA
380507,DataSet_469,human,ELAVL1,Jurkat,OXLD1,T-cell acute lymphoblastic leukemia,4,4,4,T-cell acute lymphoblastic leukemia,human,APA
380726,DataSet_469,human,ELAVL1,Jurkat,TK2,T-cell acute lymphoblastic leukemia,4,92,92,T-cell acute lymphoblastic leukemia,human,APA
380392,DataSet_469,human,ELAVL1,Jurkat,LEMD2,T-cell acute lymphoblastic leukemia,4,16,16,T-cell acute lymphoblastic leukemia,human,APA
380409,DataSet_469,human,ELAVL1,Jurkat,LY6E,T-cell acute lymphoblastic leukemia,4,36,36,T-cell acute lymphoblastic leukemia,human,APA
380413,DataSet_469,human,ELAVL1,Jurkat,MACROH2A1,T-cell acute lymphoblastic leukemia,4,20,20,T-cell acute lymphoblastic leukemia,human,APA
380695,DataSet_469,human,ELAVL1,Jurkat,STRADA,T-cell acute lymphoblastic leukemia,4,44,44,T-cell acute lymphoblastic leukemia,human,APA
380723,DataSet_469,human,ELAVL1,Jurkat,TIMM44,T-cell acute lymphoblastic leukemia,4,8,8,T-cell acute lymphoblastic leukemia,human,APA
