Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
225922,DataSet_337,human,QKI,CAL27,ABCB9,Tongue adenosquamous carcinoma,9,24,20,Tongue adenosquamous carcinoma,human,APA
227138,DataSet_337,human,QKI,CAL27,UBE2F,Tongue adenosquamous carcinoma,9,72,54,Tongue adenosquamous carcinoma,human,APA
226250,DataSet_337,human,QKI,CAL27,ELP4,Tongue adenosquamous carcinoma,9,63,63,Tongue adenosquamous carcinoma,human,APA
226341,DataSet_337,human,QKI,CAL27,EPS8L2,Tongue adenosquamous carcinoma,9,39,39,Tongue adenosquamous carcinoma,human,APA
226165,DataSet_337,human,QKI,CAL27,CUL7,Tongue adenosquamous carcinoma,9,51,37,Tongue adenosquamous carcinoma,human,APA
227139,DataSet_337,human,QKI,CAL27,UBE2F-SCLY,Tongue adenosquamous carcinoma,9,9,9,Tongue adenosquamous carcinoma,human,APA
226757,DataSet_337,human,QKI,CAL27,PIGN,Tongue adenosquamous carcinoma,7,119,119,Tongue adenosquamous carcinoma,human,APA
226127,DataSet_337,human,QKI,CAL27,CLK1,Tongue adenosquamous carcinoma,7,21,21,Tongue adenosquamous carcinoma,human,APA
226364,DataSet_337,human,QKI,CAL27,FAM3A,Tongue adenosquamous carcinoma,7,49,49,Tongue adenosquamous carcinoma,human,APA
225999,DataSet_337,human,QKI,CAL27,ARMC6,Tongue adenosquamous carcinoma,7,61,49,Tongue adenosquamous carcinoma,human,APA
227125,DataSet_337,human,QKI,CAL27,TWF2,Tongue adenosquamous carcinoma,6,24,24,Tongue adenosquamous carcinoma,human,APA
226940,DataSet_337,human,QKI,CAL27,SLC25A29,Tongue adenosquamous carcinoma,6,36,15,Tongue adenosquamous carcinoma,human,APA
226769,DataSet_337,human,QKI,CAL27,PKN1,Tongue adenosquamous carcinoma,6,24,12,Tongue adenosquamous carcinoma,human,APA
226696,DataSet_337,human,QKI,CAL27,NSD2,Tongue adenosquamous carcinoma,6,36,36,Tongue adenosquamous carcinoma,human,APA
226531,DataSet_337,human,QKI,CAL27,LARP7,Tongue adenosquamous carcinoma,6,42,42,Tongue adenosquamous carcinoma,human,APA
226477,DataSet_337,human,QKI,CAL27,IFITM1,Tongue adenosquamous carcinoma,6,58,58,Tongue adenosquamous carcinoma,human,APA
