Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
11772,DataSet_289,human,CD33,OCI-AML3,ODF3B,Acute myeloid leukemia,5,4,0,Acute myeloid leukemia,human,AS
11810,DataSet_289,human,CD33,OCI-AML3,PXK,Acute myeloid leukemia,5,0,0,Acute myeloid leukemia,human,AS
11850,DataSet_289,human,CD33,OCI-AML3,STAG3L3,Acute myeloid leukemia,5,0,0,Acute myeloid leukemia,human,AS
11734,DataSet_289,human,CD33,OCI-AML3,MBNL1,Acute myeloid leukemia,5,0,0,Acute myeloid leukemia,human,AS
11768,DataSet_289,human,CD33,OCI-AML3,NOP9,Acute myeloid leukemia,4,0,0,Acute myeloid leukemia,human,AS
11725,DataSet_289,human,CD33,OCI-AML3,LTB4R2,Acute myeloid leukemia,4,1,0,Acute myeloid leukemia,human,AS
11616,DataSet_289,human,CD33,OCI-AML3,COPS5,Acute myeloid leukemia,4,0,0,Acute myeloid leukemia,human,AS
11815,DataSet_289,human,CD33,OCI-AML3,RBM25,Acute myeloid leukemia,4,2,0,Acute myeloid leukemia,human,AS
11612,DataSet_289,human,CD33,OCI-AML3,CIDEB,Acute myeloid leukemia,4,2,0,Acute myeloid leukemia,human,AS
11566,DataSet_289,human,CD33,OCI-AML3,ADAM15,Acute myeloid leukemia,4,2,0,Acute myeloid leukemia,human,AS
11702,DataSet_289,human,CD33,OCI-AML3,HMGN3,Acute myeloid leukemia,4,3,0,Acute myeloid leukemia,human,AS
11750,DataSet_289,human,CD33,OCI-AML3,MRPL55,Acute myeloid leukemia,3,1,0,Acute myeloid leukemia,human,AS
11697,DataSet_289,human,CD33,OCI-AML3,GTF2H1,Acute myeloid leukemia,3,0,0,Acute myeloid leukemia,human,AS
11739,DataSet_289,human,CD33,OCI-AML3,MIF4GD,Acute myeloid leukemia,3,2,0,Acute myeloid leukemia,human,AS
11796,DataSet_289,human,CD33,OCI-AML3,PPA2,Acute myeloid leukemia,3,0,0,Acute myeloid leukemia,human,AS
11598,DataSet_289,human,CD33,OCI-AML3,CD33,Acute myeloid leukemia,3,0,0,Acute myeloid leukemia,human,AS
11689,DataSet_289,human,CD33,OCI-AML3,GGT1,Acute myeloid leukemia,3,0,0,Acute myeloid leukemia,human,AS
11638,DataSet_289,human,CD33,OCI-AML3,EIF3H,Acute myeloid leukemia,3,0,0,Acute myeloid leukemia,human,AS
11641,DataSet_289,human,CD33,OCI-AML3,ELOC,Acute myeloid leukemia,3,0,0,Acute myeloid leukemia,human,AS
