Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
268,DataSet_113,human,DDX17,MHCC97H,ZNF207,Adult hepatocellular carcinoma,2,1,0,Adult hepatocellular carcinoma,human,AS
252,DataSet_113,human,DDX17,MHCC97H,AFMID,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
267,DataSet_113,human,DDX17,MHCC97H,WRAP73,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
266,DataSet_113,human,DDX17,MHCC97H,UBXN6,Adult hepatocellular carcinoma,1,0,0,Adult hepatocellular carcinoma,human,AS
265,DataSet_113,human,DDX17,MHCC97H,TBC1D20,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
264,DataSet_113,human,DDX17,MHCC97H,SLC22A5,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
263,DataSet_113,human,DDX17,MHCC97H,RBMX,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
262,DataSet_113,human,DDX17,MHCC97H,RBM6,Adult hepatocellular carcinoma,1,0,0,Adult hepatocellular carcinoma,human,AS
261,DataSet_113,human,DDX17,MHCC97H,RBM5-AS1,Adult hepatocellular carcinoma,1,0,0,Adult hepatocellular carcinoma,human,AS
251,DataSet_113,human,DDX17,MHCC97H,AAAS,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
259,DataSet_113,human,DDX17,MHCC97H,MIR4746,Adult hepatocellular carcinoma,1,0,0,Adult hepatocellular carcinoma,human,AS
258,DataSet_113,human,DDX17,MHCC97H,LRRC37A,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
257,DataSet_113,human,DDX17,MHCC97H,HNRNPU,Adult hepatocellular carcinoma,1,0,0,Adult hepatocellular carcinoma,human,AS
256,DataSet_113,human,DDX17,MHCC97H,COX20,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
255,DataSet_113,human,DDX17,MHCC97H,CLK1,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
254,DataSet_113,human,DDX17,MHCC97H,CHAF1A,Adult hepatocellular carcinoma,1,0,0,Adult hepatocellular carcinoma,human,AS
253,DataSet_113,human,DDX17,MHCC97H,ARL17B,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
260,DataSet_113,human,DDX17,MHCC97H,RBM5,Adult hepatocellular carcinoma,1,1,0,Adult hepatocellular carcinoma,human,AS
47357,DataSet_603,human,HNRNPC,MHCC97H,SNHG17,Adult hepatocellular carcinoma,8,0,0,Adult hepatocellular carcinoma,human,AS
47373,DataSet_603,human,HNRNPC,MHCC97H,STEAP3,Adult hepatocellular carcinoma,8,0,0,Adult hepatocellular carcinoma,human,AS
47355,DataSet_603,human,HNRNPC,MHCC97H,SMUG1,Adult hepatocellular carcinoma,7,1,0,Adult hepatocellular carcinoma,human,AS
47153,DataSet_603,human,HNRNPC,MHCC97H,ELOC,Adult hepatocellular carcinoma,5,0,0,Adult hepatocellular carcinoma,human,AS
47318,DataSet_603,human,HNRNPC,MHCC97H,RANGAP1,Adult hepatocellular carcinoma,5,0,0,Adult hepatocellular carcinoma,human,AS
47277,DataSet_603,human,HNRNPC,MHCC97H,NSUN5P2,Adult hepatocellular carcinoma,5,0,0,Adult hepatocellular carcinoma,human,AS
47366,DataSet_603,human,HNRNPC,MHCC97H,SPG7,Adult hepatocellular carcinoma,5,1,0,Adult hepatocellular carcinoma,human,AS
47142,DataSet_603,human,HNRNPC,MHCC97H,DNAJC8,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,AS
47151,DataSet_603,human,HNRNPC,MHCC97H,EIF4A2,Adult hepatocellular carcinoma,4,2,0,Adult hepatocellular carcinoma,human,AS
47312,DataSet_603,human,HNRNPC,MHCC97H,PSPH,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,AS
47186,DataSet_603,human,HNRNPC,MHCC97H,FBXL12,Adult hepatocellular carcinoma,4,2,0,Adult hepatocellular carcinoma,human,AS
47198,DataSet_603,human,HNRNPC,MHCC97H,GAPVD1,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,AS
47427,DataSet_603,human,HNRNPC,MHCC97H,ZNF707,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,AS
47389,DataSet_603,human,HNRNPC,MHCC97H,TMEM161B-DT,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,AS
47390,DataSet_603,human,HNRNPC,MHCC97H,TMEM230,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,AS
47416,DataSet_603,human,HNRNPC,MHCC97H,UTP6,Adult hepatocellular carcinoma,4,4,0,Adult hepatocellular carcinoma,human,AS
47303,DataSet_603,human,HNRNPC,MHCC97H,PPP1R35,Adult hepatocellular carcinoma,4,4,0,Adult hepatocellular carcinoma,human,AS
47300,DataSet_603,human,HNRNPC,MHCC97H,POLR2D,Adult hepatocellular carcinoma,3,2,0,Adult hepatocellular carcinoma,human,AS
47287,DataSet_603,human,HNRNPC,MHCC97H,PDAP1,Adult hepatocellular carcinoma,3,0,0,Adult hepatocellular carcinoma,human,AS
47194,DataSet_603,human,HNRNPC,MHCC97H,FXR1,Adult hepatocellular carcinoma,3,3,0,Adult hepatocellular carcinoma,human,AS
47279,DataSet_603,human,HNRNPC,MHCC97H,NUBP2,Adult hepatocellular carcinoma,3,2,0,Adult hepatocellular carcinoma,human,AS
47191,DataSet_603,human,HNRNPC,MHCC97H,FDPS,Adult hepatocellular carcinoma,3,1,0,Adult hepatocellular carcinoma,human,AS
47228,DataSet_603,human,HNRNPC,MHCC97H,LCMT1,Adult hepatocellular carcinoma,3,0,0,Adult hepatocellular carcinoma,human,AS
47233,DataSet_603,human,HNRNPC,MHCC97H,LINC01184,Adult hepatocellular carcinoma,3,0,0,Adult hepatocellular carcinoma,human,AS
47235,DataSet_603,human,HNRNPC,MHCC97H,LRR1,Adult hepatocellular carcinoma,3,1,0,Adult hepatocellular carcinoma,human,AS
47242,DataSet_603,human,HNRNPC,MHCC97H,MACROH2A1,Adult hepatocellular carcinoma,3,0,0,Adult hepatocellular carcinoma,human,AS
47261,DataSet_603,human,HNRNPC,MHCC97H,MTIF3,Adult hepatocellular carcinoma,3,0,0,Adult hepatocellular carcinoma,human,AS
47133,DataSet_603,human,HNRNPC,MHCC97H,CREBZF,Adult hepatocellular carcinoma,3,1,0,Adult hepatocellular carcinoma,human,AS
47367,DataSet_603,human,HNRNPC,MHCC97H,SPIN1,Adult hepatocellular carcinoma,3,0,0,Adult hepatocellular carcinoma,human,AS
47069,DataSet_603,human,HNRNPC,MHCC97H,ABHD11,Adult hepatocellular carcinoma,3,3,0,Adult hepatocellular carcinoma,human,AS
47401,DataSet_603,human,HNRNPC,MHCC97H,TSC2,Adult hepatocellular carcinoma,3,0,0,Adult hepatocellular carcinoma,human,AS
47098,DataSet_603,human,HNRNPC,MHCC97H,BECN1,Adult hepatocellular carcinoma,3,1,0,Adult hepatocellular carcinoma,human,AS
47374,DataSet_603,human,HNRNPC,MHCC97H,STEAP3-AS1,Adult hepatocellular carcinoma,3,0,0,Adult hepatocellular carcinoma,human,AS
47090,DataSet_603,human,HNRNPC,MHCC97H,ATG13,Adult hepatocellular carcinoma,3,0,0,Adult hepatocellular carcinoma,human,AS
47362,DataSet_603,human,HNRNPC,MHCC97H,SNORD49B,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47310,DataSet_603,human,HNRNPC,MHCC97H,PSMD11,Adult hepatocellular carcinoma,2,1,0,Adult hepatocellular carcinoma,human,AS
47267,DataSet_603,human,HNRNPC,MHCC97H,NAPRT,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47270,DataSet_603,human,HNRNPC,MHCC97H,NDUFAF2,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47265,DataSet_603,human,HNRNPC,MHCC97H,MYO9B,Adult hepatocellular carcinoma,2,2,0,Adult hepatocellular carcinoma,human,AS
47273,DataSet_603,human,HNRNPC,MHCC97H,NMRAL1,Adult hepatocellular carcinoma,2,2,0,Adult hepatocellular carcinoma,human,AS
47274,DataSet_603,human,HNRNPC,MHCC97H,NRBP2,Adult hepatocellular carcinoma,2,2,0,Adult hepatocellular carcinoma,human,AS
47275,DataSet_603,human,HNRNPC,MHCC97H,NSMCE2,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47276,DataSet_603,human,HNRNPC,MHCC97H,NSUN2,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47413,DataSet_603,human,HNRNPC,MHCC97H,UNKL,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47402,DataSet_603,human,HNRNPC,MHCC97H,TSPAN17,Adult hepatocellular carcinoma,2,1,0,Adult hepatocellular carcinoma,human,AS
47345,DataSet_603,human,HNRNPC,MHCC97H,SHARPIN,Adult hepatocellular carcinoma,2,1,0,Adult hepatocellular carcinoma,human,AS
47399,DataSet_603,human,HNRNPC,MHCC97H,TRIP12,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47384,DataSet_603,human,HNRNPC,MHCC97H,TCF25,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47381,DataSet_603,human,HNRNPC,MHCC97H,TAF6,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47296,DataSet_603,human,HNRNPC,MHCC97H,PITX1-AS1,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47356,DataSet_603,human,HNRNPC,MHCC97H,SNAP47,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47377,DataSet_603,human,HNRNPC,MHCC97H,STRN4,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47343,DataSet_603,human,HNRNPC,MHCC97H,SF3B3,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47332,DataSet_603,human,HNRNPC,MHCC97H,RUSC1-AS1,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47370,DataSet_603,human,HNRNPC,MHCC97H,SPOP,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47309,DataSet_603,human,HNRNPC,MHCC97H,PRRC2C,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47358,DataSet_603,human,HNRNPC,MHCC97H,SNHG29,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47346,DataSet_603,human,HNRNPC,MHCC97H,SHC1,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47236,DataSet_603,human,HNRNPC,MHCC97H,LRRC14,Adult hepatocellular carcinoma,2,1,0,Adult hepatocellular carcinoma,human,AS
47251,DataSet_603,human,HNRNPC,MHCC97H,MFSD12,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47114,DataSet_603,human,HNRNPC,MHCC97H,CELF1,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47157,DataSet_603,human,HNRNPC,MHCC97H,ENDOV,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47243,DataSet_603,human,HNRNPC,MHCC97H,MANBAL,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
47128,DataSet_603,human,HNRNPC,MHCC97H,COPS7B,Adult hepatocellular carcinoma,2,1,0,Adult hepatocellular carcinoma,human,AS
47125,DataSet_603,human,HNRNPC,MHCC97H,CNOT1,Adult hepatocellular carcinoma,2,0,0,Adult hepatocellular carcinoma,human,AS
