Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
20066,DataSet_396,human,FAM120A,LAM 621-101,CD44,Angiomyolipoma,9,8,0,Angiomyolipoma,human,AS
20121,DataSet_396,human,FAM120A,LAM 621-101,FAM189B,Angiomyolipoma,6,0,0,Angiomyolipoma,human,AS
20270,DataSet_396,human,FAM120A,LAM 621-101,THOC6,Angiomyolipoma,5,5,0,Angiomyolipoma,human,AS
20234,DataSet_396,human,FAM120A,LAM 621-101,SEC31A,Angiomyolipoma,5,4,0,Angiomyolipoma,human,AS
20285,DataSet_396,human,FAM120A,LAM 621-101,UBE3A,Angiomyolipoma,5,0,0,Angiomyolipoma,human,AS
20283,DataSet_396,human,FAM120A,LAM 621-101,TYMP,Angiomyolipoma,4,4,0,Angiomyolipoma,human,AS
20261,DataSet_396,human,FAM120A,LAM 621-101,STUB1,Angiomyolipoma,4,4,0,Angiomyolipoma,human,AS
20204,DataSet_396,human,FAM120A,LAM 621-101,PI4KB,Angiomyolipoma,3,2,0,Angiomyolipoma,human,AS
20152,DataSet_396,human,FAM120A,LAM 621-101,JMJD8,Angiomyolipoma,3,0,0,Angiomyolipoma,human,AS
20246,DataSet_396,human,FAM120A,LAM 621-101,SNHG1,Angiomyolipoma,3,0,0,Angiomyolipoma,human,AS
20249,DataSet_396,human,FAM120A,LAM 621-101,SNORD22,Angiomyolipoma,3,0,0,Angiomyolipoma,human,AS
20215,DataSet_396,human,FAM120A,LAM 621-101,PXK,Angiomyolipoma,3,0,0,Angiomyolipoma,human,AS
20252,DataSet_396,human,FAM120A,LAM 621-101,SNORD28,Angiomyolipoma,3,0,0,Angiomyolipoma,human,AS
20055,DataSet_396,human,FAM120A,LAM 621-101,C1RL,Angiomyolipoma,3,3,0,Angiomyolipoma,human,AS
20223,DataSet_396,human,FAM120A,LAM 621-101,RFXANK,Angiomyolipoma,3,3,0,Angiomyolipoma,human,AS
20051,DataSet_396,human,FAM120A,LAM 621-101,APOBEC3D,Angiomyolipoma,3,3,0,Angiomyolipoma,human,AS
20050,DataSet_396,human,FAM120A,LAM 621-101,AP1G2-AS1,Angiomyolipoma,3,0,0,Angiomyolipoma,human,AS
20049,DataSet_396,human,FAM120A,LAM 621-101,AP1G2,Angiomyolipoma,3,3,0,Angiomyolipoma,human,AS
20114,DataSet_396,human,FAM120A,LAM 621-101,ENSG00000284554,Angiomyolipoma,3,3,0,Angiomyolipoma,human,AS
20045,DataSet_396,human,FAM120A,LAM 621-101,ADCY6,Angiomyolipoma,3,0,0,Angiomyolipoma,human,AS
20291,DataSet_396,human,FAM120A,LAM 621-101,WARS1,Angiomyolipoma,3,1,0,Angiomyolipoma,human,AS
20199,DataSet_396,human,FAM120A,LAM 621-101,PBRM1,Angiomyolipoma,3,3,0,Angiomyolipoma,human,AS
20147,DataSet_396,human,FAM120A,LAM 621-101,INF2,Angiomyolipoma,3,3,0,Angiomyolipoma,human,AS
20149,DataSet_396,human,FAM120A,LAM 621-101,IRF7,Angiomyolipoma,2,2,0,Angiomyolipoma,human,AS
20190,DataSet_396,human,FAM120A,LAM 621-101,ODF3B,Angiomyolipoma,2,0,0,Angiomyolipoma,human,AS
20180,DataSet_396,human,FAM120A,LAM 621-101,NAP1L1,Angiomyolipoma,2,2,0,Angiomyolipoma,human,AS
20179,DataSet_396,human,FAM120A,LAM 621-101,NABP1,Angiomyolipoma,2,0,0,Angiomyolipoma,human,AS
20169,DataSet_396,human,FAM120A,LAM 621-101,METTL26,Angiomyolipoma,2,2,0,Angiomyolipoma,human,AS
20294,DataSet_396,human,FAM120A,LAM 621-101,WNK1,Angiomyolipoma,2,2,0,Angiomyolipoma,human,AS
20140,DataSet_396,human,FAM120A,LAM 621-101,HCFC1R1,Angiomyolipoma,2,2,0,Angiomyolipoma,human,AS
20139,DataSet_396,human,FAM120A,LAM 621-101,GTPBP2,Angiomyolipoma,2,2,0,Angiomyolipoma,human,AS
20137,DataSet_396,human,FAM120A,LAM 621-101,GLT8D1,Angiomyolipoma,2,0,0,Angiomyolipoma,human,AS
20132,DataSet_396,human,FAM120A,LAM 621-101,GAS5-AS1,Angiomyolipoma,2,0,0,Angiomyolipoma,human,AS
20094,DataSet_396,human,FAM120A,LAM 621-101,EIF4A2,Angiomyolipoma,2,2,0,Angiomyolipoma,human,AS
20104,DataSet_396,human,FAM120A,LAM 621-101,ENSG00000263798,Angiomyolipoma,2,0,0,Angiomyolipoma,human,AS
20097,DataSet_396,human,FAM120A,LAM 621-101,ENOSF1,Angiomyolipoma,2,2,0,Angiomyolipoma,human,AS
