Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
67428,DataSet_834,human,GRWD1,UMUC3,NAP1L1,Bladder carcinoma,2,2,0,Bladder carcinoma,human,AS
67422,DataSet_833,human,GRWD1,J82,HNRNPA2B1,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
67423,DataSet_833,human,GRWD1,J82,IDH3B,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
67424,DataSet_834,human,GRWD1,UMUC3,ATP5F1C,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
67425,DataSet_834,human,GRWD1,UMUC3,ENSG00000271793,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
67426,DataSet_834,human,GRWD1,UMUC3,GLIPR1,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
67427,DataSet_834,human,GRWD1,UMUC3,KRR1,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
67429,DataSet_834,human,GRWD1,UMUC3,RAB2A,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
67430,DataSet_834,human,GRWD1,UMUC3,SNHG5,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
67431,DataSet_834,human,GRWD1,UMUC3,SNORD50B,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
63041,DataSet_76,human,IFIT2,UMUC3,ACADVL,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
63042,DataSet_76,human,IFIT2,UMUC3,AGBL5,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
63043,DataSet_76,human,IFIT2,UMUC3,CFAP410,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
63044,DataSet_76,human,IFIT2,UMUC3,ECI1,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
63045,DataSet_76,human,IFIT2,UMUC3,ENSG00000184441,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
63046,DataSet_76,human,IFIT2,UMUC3,MEN1,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
63047,DataSet_76,human,IFIT2,UMUC3,MGME1,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
63048,DataSet_76,human,IFIT2,UMUC3,NSUN5P1,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
63049,DataSet_76,human,IFIT2,UMUC3,RBM5,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
63050,DataSet_76,human,IFIT2,UMUC3,RBM5-AS1,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
63051,DataSet_76,human,IFIT2,UMUC3,RBM6,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
63052,DataSet_76,human,IFIT2,UMUC3,RPRD2,Bladder carcinoma,1,0,0,Bladder carcinoma,human,AS
63053,DataSet_76,human,IFIT2,UMUC3,THYN1,Bladder carcinoma,1,1,0,Bladder carcinoma,human,AS
