Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
53977,DataSet_714,human,BCDIN3D,MDA-MB-231,SZT2,Breast Adenocarcinoma,3,3,0,Breast adenocarcinoma,human,AS
53973,DataSet_714,human,BCDIN3D,MDA-MB-231,MIR6735,Breast Adenocarcinoma,2,0,0,Breast adenocarcinoma,human,AS
53978,DataSet_714,human,BCDIN3D,MDA-MB-231,SZT2-AS1,Breast Adenocarcinoma,2,0,0,Breast adenocarcinoma,human,AS
53969,DataSet_714,human,BCDIN3D,MDA-MB-231,FOS,Breast Adenocarcinoma,1,1,0,Breast adenocarcinoma,human,AS
53970,DataSet_714,human,BCDIN3D,MDA-MB-231,KRT18,Breast Adenocarcinoma,1,1,0,Breast adenocarcinoma,human,AS
53971,DataSet_714,human,BCDIN3D,MDA-MB-231,KRT8,Breast Adenocarcinoma,1,1,0,Breast adenocarcinoma,human,AS
53972,DataSet_714,human,BCDIN3D,MDA-MB-231,LSR,Breast Adenocarcinoma,1,1,0,Breast adenocarcinoma,human,AS
53974,DataSet_714,human,BCDIN3D,MDA-MB-231,NAT9,Breast Adenocarcinoma,1,1,0,Breast adenocarcinoma,human,AS
53975,DataSet_714,human,BCDIN3D,MDA-MB-231,NSUN5P2,Breast Adenocarcinoma,1,0,0,Breast adenocarcinoma,human,AS
53976,DataSet_714,human,BCDIN3D,MDA-MB-231,POM121,Breast Adenocarcinoma,1,1,0,Breast adenocarcinoma,human,AS
28294,DataSet_477,human,LARP7,MDA-MB-231,AP1G2,Breast Adenocarcinoma,5,4,0,Breast adenocarcinoma,human,AS
28796,DataSet_477,human,LARP7,MDA-MB-231,ROBO3,Breast Adenocarcinoma,5,5,0,Breast adenocarcinoma,human,AS
28295,DataSet_477,human,LARP7,MDA-MB-231,AP1G2-AS1,Breast Adenocarcinoma,4,0,0,Breast adenocarcinoma,human,AS
28748,DataSet_477,human,LARP7,MDA-MB-231,PPIL2,Breast Adenocarcinoma,4,4,0,Breast adenocarcinoma,human,AS
28628,DataSet_477,human,LARP7,MDA-MB-231,MACROD1,Breast Adenocarcinoma,4,4,0,Breast adenocarcinoma,human,AS
28369,DataSet_477,human,LARP7,MDA-MB-231,CIZ1,Breast Adenocarcinoma,4,4,0,Breast adenocarcinoma,human,AS
28961,DataSet_477,human,LARP7,MDA-MB-231,XIST,Breast Adenocarcinoma,3,0,0,Breast adenocarcinoma,human,AS
28747,DataSet_477,human,LARP7,MDA-MB-231,POMT1,Breast Adenocarcinoma,3,3,0,Breast adenocarcinoma,human,AS
28527,DataSet_477,human,LARP7,MDA-MB-231,FMNL3,Breast Adenocarcinoma,3,0,0,Breast adenocarcinoma,human,AS
28762,DataSet_477,human,LARP7,MDA-MB-231,PTOV1,Breast Adenocarcinoma,3,3,0,Breast adenocarcinoma,human,AS
28763,DataSet_477,human,LARP7,MDA-MB-231,PTOV1-AS2,Breast Adenocarcinoma,3,0,0,Breast adenocarcinoma,human,AS
28782,DataSet_477,human,LARP7,MDA-MB-231,RECQL4,Breast Adenocarcinoma,3,1,0,Breast adenocarcinoma,human,AS
