Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
3191,DataSet_15,human,MAGOHB,ChagoK1,SMC4,Bronchogenic carcinoma,9,1,0,Bronchogenic carcinoma,human,AS
2922,DataSet_15,human,MAGOHB,ChagoK1,PPIA,Bronchogenic carcinoma,8,0,0,Bronchogenic carcinoma,human,AS
1995,DataSet_15,human,MAGOHB,ChagoK1,CEP95,Bronchogenic carcinoma,8,0,0,Bronchogenic carcinoma,human,AS
2461,DataSet_15,human,MAGOHB,ChagoK1,HGSNAT,Bronchogenic carcinoma,8,2,0,Bronchogenic carcinoma,human,AS
2507,DataSet_15,human,MAGOHB,ChagoK1,IMMP1L,Bronchogenic carcinoma,8,0,0,Bronchogenic carcinoma,human,AS
2618,DataSet_15,human,MAGOHB,ChagoK1,MARS1,Bronchogenic carcinoma,8,0,0,Bronchogenic carcinoma,human,AS
2340,DataSet_15,human,MAGOHB,ChagoK1,FANCA,Bronchogenic carcinoma,7,3,0,Bronchogenic carcinoma,human,AS
2524,DataSet_15,human,MAGOHB,ChagoK1,IRF3,Bronchogenic carcinoma,7,3,0,Bronchogenic carcinoma,human,AS
2775,DataSet_15,human,MAGOHB,ChagoK1,NQO2,Bronchogenic carcinoma,7,1,0,Bronchogenic carcinoma,human,AS
2093,DataSet_15,human,MAGOHB,ChagoK1,DCAF8,Bronchogenic carcinoma,7,4,0,Bronchogenic carcinoma,human,AS
3196,DataSet_15,human,MAGOHB,ChagoK1,SNHG1,Bronchogenic carcinoma,7,0,0,Bronchogenic carcinoma,human,AS
1947,DataSet_15,human,MAGOHB,ChagoK1,CAST,Bronchogenic carcinoma,7,0,0,Bronchogenic carcinoma,human,AS
2192,DataSet_15,human,MAGOHB,ChagoK1,EIF3H,Bronchogenic carcinoma,7,0,0,Bronchogenic carcinoma,human,AS
3212,DataSet_15,human,MAGOHB,ChagoK1,SNORD22,Bronchogenic carcinoma,7,0,0,Bronchogenic carcinoma,human,AS
2134,DataSet_15,human,MAGOHB,ChagoK1,DMTF1,Bronchogenic carcinoma,7,0,0,Bronchogenic carcinoma,human,AS
3515,DataSet_15,human,MAGOHB,ChagoK1,WSB1,Bronchogenic carcinoma,7,0,0,Bronchogenic carcinoma,human,AS
3217,DataSet_15,human,MAGOHB,ChagoK1,SNORD30,Bronchogenic carcinoma,7,0,0,Bronchogenic carcinoma,human,AS
2123,DataSet_15,human,MAGOHB,ChagoK1,DHRS2,Bronchogenic carcinoma,7,0,0,Bronchogenic carcinoma,human,AS
3151,DataSet_15,human,MAGOHB,ChagoK1,SLC25A1,Bronchogenic carcinoma,6,0,0,Bronchogenic carcinoma,human,AS
2357,DataSet_15,human,MAGOHB,ChagoK1,FDPS,Bronchogenic carcinoma,6,0,0,Bronchogenic carcinoma,human,AS
2837,DataSet_15,human,MAGOHB,ChagoK1,PBK,Bronchogenic carcinoma,6,2,0,Bronchogenic carcinoma,human,AS
2382,DataSet_15,human,MAGOHB,ChagoK1,GABARAPL1,Bronchogenic carcinoma,6,3,0,Bronchogenic carcinoma,human,AS
2086,DataSet_15,human,MAGOHB,ChagoK1,DALRD3,Bronchogenic carcinoma,6,5,0,Bronchogenic carcinoma,human,AS
3316,DataSet_15,human,MAGOHB,ChagoK1,TCF25,Bronchogenic carcinoma,6,2,1,Bronchogenic carcinoma,human,AS
1971,DataSet_15,human,MAGOHB,ChagoK1,CDCA3,Bronchogenic carcinoma,6,3,0,Bronchogenic carcinoma,human,AS
3520,DataSet_15,human,MAGOHB,ChagoK1,XPOT,Bronchogenic carcinoma,6,3,1,Bronchogenic carcinoma,human,AS
3332,DataSet_15,human,MAGOHB,ChagoK1,THOC2,Bronchogenic carcinoma,6,2,0,Bronchogenic carcinoma,human,AS
3358,DataSet_15,human,MAGOHB,ChagoK1,TMPO,Bronchogenic carcinoma,6,6,0,Bronchogenic carcinoma,human,AS
2693,DataSet_15,human,MAGOHB,ChagoK1,MRPL48,Bronchogenic carcinoma,6,0,0,Bronchogenic carcinoma,human,AS
2521,DataSet_15,human,MAGOHB,ChagoK1,IQCB1,Bronchogenic carcinoma,5,4,0,Bronchogenic carcinoma,human,AS
2576,DataSet_15,human,MAGOHB,ChagoK1,LINC01184,Bronchogenic carcinoma,5,0,0,Bronchogenic carcinoma,human,AS
2405,DataSet_15,human,MAGOHB,ChagoK1,GMPR2,Bronchogenic carcinoma,5,5,2,Bronchogenic carcinoma,human,AS
2636,DataSet_15,human,MAGOHB,ChagoK1,MEGF6,Bronchogenic carcinoma,5,4,0,Bronchogenic carcinoma,human,AS
2430,DataSet_15,human,MAGOHB,ChagoK1,GTF2H1,Bronchogenic carcinoma,5,0,0,Bronchogenic carcinoma,human,AS
2412,DataSet_15,human,MAGOHB,ChagoK1,GPAA1,Bronchogenic carcinoma,5,5,1,Bronchogenic carcinoma,human,AS
2419,DataSet_15,human,MAGOHB,ChagoK1,GPR89A,Bronchogenic carcinoma,5,1,0,Bronchogenic carcinoma,human,AS
2799,DataSet_15,human,MAGOHB,ChagoK1,NUP85,Bronchogenic carcinoma,5,3,0,Bronchogenic carcinoma,human,AS
2716,DataSet_15,human,MAGOHB,ChagoK1,MYNN,Bronchogenic carcinoma,5,0,0,Bronchogenic carcinoma,human,AS
2719,DataSet_15,human,MAGOHB,ChagoK1,NADK,Bronchogenic carcinoma,5,1,0,Bronchogenic carcinoma,human,AS
2743,DataSet_15,human,MAGOHB,ChagoK1,NDUFS3,Bronchogenic carcinoma,5,1,0,Bronchogenic carcinoma,human,AS
2737,DataSet_15,human,MAGOHB,ChagoK1,NCSTN,Bronchogenic carcinoma,5,1,0,Bronchogenic carcinoma,human,AS
3555,DataSet_15,human,MAGOHB,ChagoK1,ZNF276,Bronchogenic carcinoma,5,1,0,Bronchogenic carcinoma,human,AS
2828,DataSet_15,human,MAGOHB,ChagoK1,PAN2,Bronchogenic carcinoma,5,4,0,Bronchogenic carcinoma,human,AS
2845,DataSet_15,human,MAGOHB,ChagoK1,PDE10A,Bronchogenic carcinoma,5,0,0,Bronchogenic carcinoma,human,AS
3507,DataSet_15,human,MAGOHB,ChagoK1,WDR62,Bronchogenic carcinoma,5,5,0,Bronchogenic carcinoma,human,AS
3451,DataSet_15,human,MAGOHB,ChagoK1,UBE4A,Bronchogenic carcinoma,5,0,0,Bronchogenic carcinoma,human,AS
3450,DataSet_15,human,MAGOHB,ChagoK1,UBE3C,Bronchogenic carcinoma,5,0,0,Bronchogenic carcinoma,human,AS
1787,DataSet_15,human,MAGOHB,ChagoK1,ADAM15,Bronchogenic carcinoma,5,1,0,Bronchogenic carcinoma,human,AS
3427,DataSet_15,human,MAGOHB,ChagoK1,TXNL4A,Bronchogenic carcinoma,5,2,0,Bronchogenic carcinoma,human,AS
1809,DataSet_15,human,MAGOHB,ChagoK1,AKR1A1,Bronchogenic carcinoma,5,0,0,Bronchogenic carcinoma,human,AS
1818,DataSet_15,human,MAGOHB,ChagoK1,AMZ2P1,Bronchogenic carcinoma,5,0,0,Bronchogenic carcinoma,human,AS
1911,DataSet_15,human,MAGOHB,ChagoK1,BRD8,Bronchogenic carcinoma,5,3,0,Bronchogenic carcinoma,human,AS
3017,DataSet_15,human,MAGOHB,ChagoK1,RBM3,Bronchogenic carcinoma,5,3,0,Bronchogenic carcinoma,human,AS
3245,DataSet_15,human,MAGOHB,ChagoK1,SRRM1,Bronchogenic carcinoma,5,1,0,Bronchogenic carcinoma,human,AS
2031,DataSet_15,human,MAGOHB,ChagoK1,COMMD4,Bronchogenic carcinoma,5,2,0,Bronchogenic carcinoma,human,AS
3201,DataSet_15,human,MAGOHB,ChagoK1,SNHG29,Bronchogenic carcinoma,5,0,0,Bronchogenic carcinoma,human,AS
3102,DataSet_15,human,MAGOHB,ChagoK1,SAT1,Bronchogenic carcinoma,5,2,0,Bronchogenic carcinoma,human,AS
2609,DataSet_15,human,MAGOHB,ChagoK1,MAPK12,Bronchogenic carcinoma,5,1,0,Bronchogenic carcinoma,human,AS
3000,DataSet_15,human,MAGOHB,ChagoK1,RAD23A,Bronchogenic carcinoma,5,1,0,Bronchogenic carcinoma,human,AS
2942,DataSet_15,human,MAGOHB,ChagoK1,PRKRA,Bronchogenic carcinoma,5,2,0,Bronchogenic carcinoma,human,AS
2733,DataSet_15,human,MAGOHB,ChagoK1,NCBP1,Bronchogenic carcinoma,4,0,0,Bronchogenic carcinoma,human,AS
2761,DataSet_15,human,MAGOHB,ChagoK1,NLRP2,Bronchogenic carcinoma,4,0,0,Bronchogenic carcinoma,human,AS
2643,DataSet_15,human,MAGOHB,ChagoK1,METTL22,Bronchogenic carcinoma,4,0,0,Bronchogenic carcinoma,human,AS
2625,DataSet_15,human,MAGOHB,ChagoK1,MBD4,Bronchogenic carcinoma,4,4,2,Bronchogenic carcinoma,human,AS
2731,DataSet_15,human,MAGOHB,ChagoK1,NCAPG2,Bronchogenic carcinoma,4,2,1,Bronchogenic carcinoma,human,AS
2471,DataSet_15,human,MAGOHB,ChagoK1,HNRNPC,Bronchogenic carcinoma,4,0,0,Bronchogenic carcinoma,human,AS
2583,DataSet_15,human,MAGOHB,ChagoK1,LMF2,Bronchogenic carcinoma,4,0,0,Bronchogenic carcinoma,human,AS
2330,DataSet_15,human,MAGOHB,ChagoK1,FAM126A,Bronchogenic carcinoma,4,0,0,Bronchogenic carcinoma,human,AS
