Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
9847,DataSet_25,human,ADAR1,THP-1,ELOC,Childhood acute monocytic leukemia,3,0,0,Childhood acute monocytic leukemia,human,AS
9844,DataSet_25,human,ADAR1,THP-1,ACAA1,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9845,DataSet_25,human,ADAR1,THP-1,AZU1,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9846,DataSet_25,human,ADAR1,THP-1,CCNL1,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9848,DataSet_25,human,ADAR1,THP-1,ENG,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9849,DataSet_25,human,ADAR1,THP-1,INO80E,Childhood acute monocytic leukemia,1,0,0,Childhood acute monocytic leukemia,human,AS
9850,DataSet_25,human,ADAR1,THP-1,IP6K2,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9851,DataSet_25,human,ADAR1,THP-1,MED24,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9852,DataSet_25,human,ADAR1,THP-1,MYO9B,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9853,DataSet_25,human,ADAR1,THP-1,PCGF3,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9854,DataSet_25,human,ADAR1,THP-1,PIEZO1,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9855,DataSet_25,human,ADAR1,THP-1,TTC14,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
9856,DataSet_25,human,ADAR1,THP-1,USP36,Childhood acute monocytic leukemia,1,1,0,Childhood acute monocytic leukemia,human,AS
45136,DataSet_57,human,ALKBH5,THP-1,ECHDC2,Childhood acute monocytic leukemia,9,9,0,Childhood acute monocytic leukemia,human,AS
45266,DataSet_57,human,ALKBH5,THP-1,HNRNPA2B1,Childhood acute monocytic leukemia,7,0,0,Childhood acute monocytic leukemia,human,AS
45320,DataSet_57,human,ALKBH5,THP-1,MAPK12,Childhood acute monocytic leukemia,7,3,0,Childhood acute monocytic leukemia,human,AS
45072,DataSet_57,human,ALKBH5,THP-1,CHKB-CPT1B,Childhood acute monocytic leukemia,7,0,0,Childhood acute monocytic leukemia,human,AS
45282,DataSet_57,human,ALKBH5,THP-1,INTS11,Childhood acute monocytic leukemia,6,6,0,Childhood acute monocytic leukemia,human,AS
45317,DataSet_57,human,ALKBH5,THP-1,MAN2C1,Childhood acute monocytic leukemia,6,6,0,Childhood acute monocytic leukemia,human,AS
45570,DataSet_57,human,ALKBH5,THP-1,TBC1D17,Childhood acute monocytic leukemia,6,6,0,Childhood acute monocytic leukemia,human,AS
45119,DataSet_57,human,ALKBH5,THP-1,DGKZ,Childhood acute monocytic leukemia,5,5,0,Childhood acute monocytic leukemia,human,AS
45056,DataSet_57,human,ALKBH5,THP-1,CD47,Childhood acute monocytic leukemia,5,0,0,Childhood acute monocytic leukemia,human,AS
45429,DataSet_57,human,ALKBH5,THP-1,PNKP,Childhood acute monocytic leukemia,5,5,0,Childhood acute monocytic leukemia,human,AS
45433,DataSet_57,human,ALKBH5,THP-1,POLR1C,Childhood acute monocytic leukemia,5,5,0,Childhood acute monocytic leukemia,human,AS
45181,DataSet_57,human,ALKBH5,THP-1,ENSG00000271754,Childhood acute monocytic leukemia,5,0,0,Childhood acute monocytic leukemia,human,AS
45573,DataSet_57,human,ALKBH5,THP-1,TCF25,Childhood acute monocytic leukemia,5,3,0,Childhood acute monocytic leukemia,human,AS
45613,DataSet_57,human,ALKBH5,THP-1,U2AF1L5,Childhood acute monocytic leukemia,5,5,0,Childhood acute monocytic leukemia,human,AS
45017,DataSet_57,human,ALKBH5,THP-1,ARMH1,Childhood acute monocytic leukemia,5,3,0,Childhood acute monocytic leukemia,human,AS
45218,DataSet_57,human,ALKBH5,THP-1,FBXL6,Childhood acute monocytic leukemia,4,4,0,Childhood acute monocytic leukemia,human,AS
45258,DataSet_57,human,ALKBH5,THP-1,HDAC10,Childhood acute monocytic leukemia,4,4,0,Childhood acute monocytic leukemia,human,AS
45058,DataSet_57,human,ALKBH5,THP-1,CDK10,Childhood acute monocytic leukemia,4,4,0,Childhood acute monocytic leukemia,human,AS
45043,DataSet_57,human,ALKBH5,THP-1,CARD9,Childhood acute monocytic leukemia,4,3,0,Childhood acute monocytic leukemia,human,AS
45071,DataSet_57,human,ALKBH5,THP-1,CHKB,Childhood acute monocytic leukemia,4,4,0,Childhood acute monocytic leukemia,human,AS
45324,DataSet_57,human,ALKBH5,THP-1,MAT2A,Childhood acute monocytic leukemia,4,4,0,Childhood acute monocytic leukemia,human,AS
45335,DataSet_57,human,ALKBH5,THP-1,MICAL1,Childhood acute monocytic leukemia,4,4,0,Childhood acute monocytic leukemia,human,AS
45230,DataSet_57,human,ALKBH5,THP-1,FUBP1,Childhood acute monocytic leukemia,4,1,0,Childhood acute monocytic leukemia,human,AS
45413,DataSet_57,human,ALKBH5,THP-1,PI4KAP1,Childhood acute monocytic leukemia,4,0,0,Childhood acute monocytic leukemia,human,AS
