Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
31861,DataSet_497,human,CELF2,JSL1,CD3D,Childhood T acute lymphoblastic leukemia,9,1,0,Childhood T acute lymphoblastic leukemia,human,AS
31391,DataSet_496,human,CELF2,JSL1,SEMA4G,Childhood T acute lymphoblastic leukemia,9,9,0,Childhood T acute lymphoblastic leukemia,human,AS
30841,DataSet_496,human,CELF2,JSL1,FAM193B,Childhood T acute lymphoblastic leukemia,9,4,0,Childhood T acute lymphoblastic leukemia,human,AS
32326,DataSet_497,human,CELF2,JSL1,GRB10,Childhood T acute lymphoblastic leukemia,8,0,0,Childhood T acute lymphoblastic leukemia,human,AS
32101,DataSet_497,human,CELF2,JSL1,ENSG00000258728,Childhood T acute lymphoblastic leukemia,8,5,0,Childhood T acute lymphoblastic leukemia,human,AS
30637,DataSet_496,human,CELF2,JSL1,CYBC1,Childhood T acute lymphoblastic leukemia,8,6,0,Childhood T acute lymphoblastic leukemia,human,AS
32008,DataSet_497,human,CELF2,JSL1,DNHD1,Childhood T acute lymphoblastic leukemia,8,1,0,Childhood T acute lymphoblastic leukemia,human,AS
33124,DataSet_497,human,CELF2,JSL1,TBRG1,Childhood T acute lymphoblastic leukemia,8,4,0,Childhood T acute lymphoblastic leukemia,human,AS
33136,DataSet_497,human,CELF2,JSL1,THBS3,Childhood T acute lymphoblastic leukemia,8,6,0,Childhood T acute lymphoblastic leukemia,human,AS
33137,DataSet_497,human,CELF2,JSL1,THBS3-AS1,Childhood T acute lymphoblastic leukemia,8,0,0,Childhood T acute lymphoblastic leukemia,human,AS
32411,DataSet_497,human,CELF2,JSL1,IP6K2,Childhood T acute lymphoblastic leukemia,8,3,0,Childhood T acute lymphoblastic leukemia,human,AS
33274,DataSet_497,human,CELF2,JSL1,WDR73,Childhood T acute lymphoblastic leukemia,8,5,0,Childhood T acute lymphoblastic leukemia,human,AS
33319,DataSet_497,human,CELF2,JSL1,ZNF263,Childhood T acute lymphoblastic leukemia,8,6,0,Childhood T acute lymphoblastic leukemia,human,AS
32288,DataSet_497,human,CELF2,JSL1,GALT,Childhood T acute lymphoblastic leukemia,8,8,0,Childhood T acute lymphoblastic leukemia,human,AS
32800,DataSet_497,human,CELF2,JSL1,PPA2,Childhood T acute lymphoblastic leukemia,7,4,0,Childhood T acute lymphoblastic leukemia,human,AS
32241,DataSet_497,human,CELF2,JSL1,FAM193B,Childhood T acute lymphoblastic leukemia,7,1,0,Childhood T acute lymphoblastic leukemia,human,AS
30647,DataSet_496,human,CELF2,JSL1,DDB2,Childhood T acute lymphoblastic leukemia,7,1,0,Childhood T acute lymphoblastic leukemia,human,AS
31842,DataSet_497,human,CELF2,JSL1,CCDC136,Childhood T acute lymphoblastic leukemia,7,2,0,Childhood T acute lymphoblastic leukemia,human,AS
32791,DataSet_497,human,CELF2,JSL1,POLL,Childhood T acute lymphoblastic leukemia,7,1,0,Childhood T acute lymphoblastic leukemia,human,AS
32395,DataSet_497,human,CELF2,JSL1,IL18BP,Childhood T acute lymphoblastic leukemia,7,0,0,Childhood T acute lymphoblastic leukemia,human,AS
33222,DataSet_497,human,CELF2,JSL1,TTC31,Childhood T acute lymphoblastic leukemia,7,2,0,Childhood T acute lymphoblastic leukemia,human,AS
31260,DataSet_496,human,CELF2,JSL1,POM121,Childhood T acute lymphoblastic leukemia,7,1,0,Childhood T acute lymphoblastic leukemia,human,AS
32946,DataSet_497,human,CELF2,JSL1,SCAND2P,Childhood T acute lymphoblastic leukemia,7,0,0,Childhood T acute lymphoblastic leukemia,human,AS
30466,DataSet_496,human,CELF2,JSL1,AP1G2,Childhood T acute lymphoblastic leukemia,7,7,0,Childhood T acute lymphoblastic leukemia,human,AS
31444,DataSet_496,human,CELF2,JSL1,SNX32,Childhood T acute lymphoblastic leukemia,7,4,0,Childhood T acute lymphoblastic leukemia,human,AS
