Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
33652,DataSet_501,human,CHD9,K562,MICALL2,Chronic myelogenous leukemia,4,4,0,Chronic myelogenous leukemia,human,AS
33674,DataSet_501,human,CHD9,K562,RBM5,Chronic myelogenous leukemia,4,4,0,Chronic myelogenous leukemia,human,AS
33676,DataSet_501,human,CHD9,K562,RBM6,Chronic myelogenous leukemia,4,0,0,Chronic myelogenous leukemia,human,AS
33675,DataSet_501,human,CHD9,K562,RBM5-AS1,Chronic myelogenous leukemia,4,0,0,Chronic myelogenous leukemia,human,AS
33615,DataSet_501,human,CHD9,K562,EIF4A2,Chronic myelogenous leukemia,4,4,0,Chronic myelogenous leukemia,human,AS
33694,DataSet_501,human,CHD9,K562,SUGP2,Chronic myelogenous leukemia,3,1,0,Chronic myelogenous leukemia,human,AS
33597,DataSet_501,human,CHD9,K562,AP1G2,Chronic myelogenous leukemia,3,3,0,Chronic myelogenous leukemia,human,AS
33598,DataSet_501,human,CHD9,K562,AP1G2-AS1,Chronic myelogenous leukemia,3,0,0,Chronic myelogenous leukemia,human,AS
33655,DataSet_501,human,CHD9,K562,MRPL32,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33640,DataSet_501,human,CHD9,K562,HNRNPU,Chronic myelogenous leukemia,2,0,0,Chronic myelogenous leukemia,human,AS
33681,DataSet_501,human,CHD9,K562,RTL10,Chronic myelogenous leukemia,2,0,0,Chronic myelogenous leukemia,human,AS
33637,DataSet_501,human,CHD9,K562,GNB1L,Chronic myelogenous leukemia,2,0,0,Chronic myelogenous leukemia,human,AS
33631,DataSet_501,human,CHD9,K562,FADS3,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33630,DataSet_501,human,CHD9,K562,EZH2,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33621,DataSet_501,human,CHD9,K562,ENSG00000272647,Chronic myelogenous leukemia,2,0,0,Chronic myelogenous leukemia,human,AS
33647,DataSet_501,human,CHD9,K562,MAN2C1,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33661,DataSet_501,human,CHD9,K562,ORC6,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33709,DataSet_501,human,CHD9,K562,ZNF655,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33707,DataSet_501,human,CHD9,K562,ZMYND8,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33700,DataSet_501,human,CHD9,K562,TMEM63A,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33684,DataSet_501,human,CHD9,K562,SEC31A,Chronic myelogenous leukemia,2,0,0,Chronic myelogenous leukemia,human,AS
33609,DataSet_501,human,CHD9,K562,COX20,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33699,DataSet_501,human,CHD9,K562,TMEM138,Chronic myelogenous leukemia,2,2,0,Chronic myelogenous leukemia,human,AS
33690,DataSet_501,human,CHD9,K562,SREBF1,Chronic myelogenous leukemia,2,1,0,Chronic myelogenous leukemia,human,AS
33697,DataSet_501,human,CHD9,K562,THAP9-AS1,Chronic myelogenous leukemia,2,0,0,Chronic myelogenous leukemia,human,AS
33680,DataSet_501,human,CHD9,K562,RSRP1,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33659,DataSet_501,human,CHD9,K562,MTERF2,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33662,DataSet_501,human,CHD9,K562,OTUD5,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33688,DataSet_501,human,CHD9,K562,SNHG8,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33660,DataSet_501,human,CHD9,K562,NBEAL2,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33656,DataSet_501,human,CHD9,K562,MRPS6,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33658,DataSet_501,human,CHD9,K562,MSTO2P,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33657,DataSet_501,human,CHD9,K562,MSTO1,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33664,DataSet_501,human,CHD9,K562,PGGHG,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33654,DataSet_501,human,CHD9,K562,MOV10,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33653,DataSet_501,human,CHD9,K562,MLLT6,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33663,DataSet_501,human,CHD9,K562,PAXBP1,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33666,DataSet_501,human,CHD9,K562,PLEKHG4,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33665,DataSet_501,human,CHD9,K562,PI4KAP2,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33672,DataSet_501,human,CHD9,K562,PSMG4,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33679,DataSet_501,human,CHD9,K562,RSRC2,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33678,DataSet_501,human,CHD9,K562,RHOBTB1,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33677,DataSet_501,human,CHD9,K562,RBMX,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33683,DataSet_501,human,CHD9,K562,SCARB1,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33685,DataSet_501,human,CHD9,K562,SLC5A3,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33651,DataSet_501,human,CHD9,K562,METTL26,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33671,DataSet_501,human,CHD9,K562,PRPF40B,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33682,DataSet_501,human,CHD9,K562,SAFB2,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33670,DataSet_501,human,CHD9,K562,PRPF39,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33669,DataSet_501,human,CHD9,K562,PRAME,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33668,DataSet_501,human,CHD9,K562,PPM1F-AS1,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33667,DataSet_501,human,CHD9,K562,PPIL2,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33686,DataSet_501,human,CHD9,K562,SMPD4BP,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33687,DataSet_501,human,CHD9,K562,SNHG29,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33673,DataSet_501,human,CHD9,K562,RBM39,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33596,DataSet_501,human,CHD9,K562,ACAP3,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33650,DataSet_501,human,CHD9,K562,MAX,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33649,DataSet_501,human,CHD9,K562,MAT2A,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33619,DataSet_501,human,CHD9,K562,ENSG00000263620,Chronic myelogenous leukemia,1,1,0,Chronic myelogenous leukemia,human,AS
33618,DataSet_501,human,CHD9,K562,ENSG00000258465,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
33617,DataSet_501,human,CHD9,K562,ENSG00000207751,Chronic myelogenous leukemia,1,0,0,Chronic myelogenous leukemia,human,AS
