Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
30406,DataSet_495,human,ASXL1,HAP1,ECI1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
30407,DataSet_495,human,ASXL1,HAP1,RPS2,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
30408,DataSet_495,human,ASXL1,HAP1,TOMM40,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
49200,DataSet_66,human,BCDIN3D,HAP1,SMN1,Chronic myeloid leukemia,2,2,0,Chronic myeloid leukemia,human,AS
49198,DataSet_66,human,BCDIN3D,HAP1,ECI1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
49199,DataSet_66,human,BCDIN3D,HAP1,IVNS1ABP,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
49201,DataSet_66,human,BCDIN3D,HAP1,TCIRG1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34172,DataSet_504,human,CREBBP,HAP1,PRPF4B,Chronic myeloid leukemia,2,2,0,Chronic myeloid leukemia,human,AS
34162,DataSet_504,human,CREBBP,HAP1,GRB10,Chronic myeloid leukemia,2,1,0,Chronic myeloid leukemia,human,AS
34176,DataSet_504,human,CREBBP,HAP1,SLC25A36,Chronic myeloid leukemia,2,0,0,Chronic myeloid leukemia,human,AS
34148,DataSet_504,human,CREBBP,HAP1,ATXN2L,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34168,DataSet_504,human,CREBBP,HAP1,NAP1L1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34170,DataSet_504,human,CREBBP,HAP1,PHTF1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34171,DataSet_504,human,CREBBP,HAP1,POLR3C,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34173,DataSet_504,human,CREBBP,HAP1,PYGO1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34174,DataSet_504,human,CREBBP,HAP1,RPS23,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34175,DataSet_504,human,CREBBP,HAP1,SARNP,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34177,DataSet_504,human,CREBBP,HAP1,SNHG4,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34178,DataSet_504,human,CREBBP,HAP1,STAG3,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34179,DataSet_504,human,CREBBP,HAP1,TIAL1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34180,DataSet_504,human,CREBBP,HAP1,TMEM33,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34181,DataSet_504,human,CREBBP,HAP1,TROAP,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34182,DataSet_504,human,CREBBP,HAP1,TROAP-AS1,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34183,DataSet_504,human,CREBBP,HAP1,TRPT1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34184,DataSet_504,human,CREBBP,HAP1,UBE2Q2P1,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34185,DataSet_504,human,CREBBP,HAP1,ZNF207,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34169,DataSet_504,human,CREBBP,HAP1,PAXIP1-DT,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34167,DataSet_504,human,CREBBP,HAP1,MATR3,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34149,DataSet_504,human,CREBBP,HAP1,C8orf82,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34166,DataSet_504,human,CREBBP,HAP1,LUC7L3,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34150,DataSet_504,human,CREBBP,HAP1,CASTOR3,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34151,DataSet_504,human,CREBBP,HAP1,CELSR2,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34152,DataSet_504,human,CREBBP,HAP1,CHEK1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34153,DataSet_504,human,CREBBP,HAP1,DMXL1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34154,DataSet_504,human,CREBBP,HAP1,ENSG00000288606,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34155,DataSet_504,human,CREBBP,HAP1,EPM2AIP1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34156,DataSet_504,human,CREBBP,HAP1,FAM200B,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34157,DataSet_504,human,CREBBP,HAP1,FAM219B,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34158,DataSet_504,human,CREBBP,HAP1,FBXO44,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34159,DataSet_504,human,CREBBP,HAP1,FERMT3,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34160,DataSet_504,human,CREBBP,HAP1,GDF11,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34161,DataSet_504,human,CREBBP,HAP1,GIGYF1,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34163,DataSet_504,human,CREBBP,HAP1,HNRNPA3,Chronic myeloid leukemia,1,1,0,Chronic myeloid leukemia,human,AS
34164,DataSet_504,human,CREBBP,HAP1,KIFC2,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34165,DataSet_504,human,CREBBP,HAP1,LRRC24,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
34186,DataSet_504,human,CREBBP,HAP1,ZNF587,Chronic myeloid leukemia,1,0,0,Chronic myeloid leukemia,human,AS
37969,DataSet_520,human,RPS25,HAP1,TRMT2A,Chronic myeloid leukemia,5,2,0,Chronic myeloid leukemia,human,AS
37933,DataSet_520,human,RPS25,HAP1,FOXM1,Chronic myeloid leukemia,3,1,0,Chronic myeloid leukemia,human,AS
37963,DataSet_520,human,RPS25,HAP1,SNORD49B,Chronic myeloid leukemia,2,0,0,Chronic myeloid leukemia,human,AS
37959,DataSet_520,human,RPS25,HAP1,SNORD22,Chronic myeloid leukemia,2,0,0,Chronic myeloid leukemia,human,AS
37930,DataSet_520,human,RPS25,HAP1,EXOSC9,Chronic myeloid leukemia,2,0,0,Chronic myeloid leukemia,human,AS
37958,DataSet_520,human,RPS25,HAP1,SNHG29,Chronic myeloid leukemia,2,0,0,Chronic myeloid leukemia,human,AS
