Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
3866,DataSet_162,human,ESRP2,OS-RC-2,NAP1L1,Clear cell renal cell carcinoma,2,2,0,Clear cell renal cell carcinoma,human,AS
3850,DataSet_162,human,ESRP2,OS-RC-2,ACTG1,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3879,DataSet_162,human,ESRP2,OS-RC-2,TRMT2A,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3878,DataSet_162,human,ESRP2,OS-RC-2,SPATA20,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3877,DataSet_162,human,ESRP2,OS-RC-2,SNHG8,Clear cell renal cell carcinoma,1,0,0,Clear cell renal cell carcinoma,human,AS
3876,DataSet_162,human,ESRP2,OS-RC-2,SLC48A1,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3875,DataSet_162,human,ESRP2,OS-RC-2,SLC39A13,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3874,DataSet_162,human,ESRP2,OS-RC-2,SCAND1,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3873,DataSet_162,human,ESRP2,OS-RC-2,RPL41,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3872,DataSet_162,human,ESRP2,OS-RC-2,RPL38,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3871,DataSet_162,human,ESRP2,OS-RC-2,PIN1,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3870,DataSet_162,human,ESRP2,OS-RC-2,OXLD1,Clear cell renal cell carcinoma,1,0,0,Clear cell renal cell carcinoma,human,AS
3869,DataSet_162,human,ESRP2,OS-RC-2,NT5C,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3868,DataSet_162,human,ESRP2,OS-RC-2,NELFCD,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3867,DataSet_162,human,ESRP2,OS-RC-2,NCOR2,Clear cell renal cell carcinoma,1,1,1,Clear cell renal cell carcinoma,human,AS
3865,DataSet_162,human,ESRP2,OS-RC-2,MYL6,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3851,DataSet_162,human,ESRP2,OS-RC-2,AP1G2,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3864,DataSet_162,human,ESRP2,OS-RC-2,MRPS12,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
3863,DataSet_162,human,ESRP2,OS-RC-2,KRT8,Clear cell renal cell carcinoma,1,1,0,Clear cell renal cell carcinoma,human,AS
