Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
5814,DataSet_169,human,DHX36,NTERA-2,CD47,Embryonal carcinoma,4,0,0,Embryonal carcinoma,human,AS
5846,DataSet_169,human,DHX36,NTERA-2,PXN,Embryonal carcinoma,4,0,0,Embryonal carcinoma,human,AS
5826,DataSet_169,human,DHX36,NTERA-2,GPR89A,Embryonal carcinoma,3,0,0,Embryonal carcinoma,human,AS
5825,DataSet_169,human,DHX36,NTERA-2,GIGYF2,Embryonal carcinoma,2,0,0,Embryonal carcinoma,human,AS
5845,DataSet_169,human,DHX36,NTERA-2,PLOD2,Embryonal carcinoma,2,0,0,Embryonal carcinoma,human,AS
5811,DataSet_169,human,DHX36,NTERA-2,ACIN1,Embryonal carcinoma,1,1,0,Embryonal carcinoma,human,AS
5840,DataSet_169,human,DHX36,NTERA-2,MRPL35,Embryonal carcinoma,1,1,0,Embryonal carcinoma,human,AS
5841,DataSet_169,human,DHX36,NTERA-2,MXD3,Embryonal carcinoma,1,1,1,Embryonal carcinoma,human,AS
5842,DataSet_169,human,DHX36,NTERA-2,MYO9B,Embryonal carcinoma,1,1,0,Embryonal carcinoma,human,AS
5843,DataSet_169,human,DHX36,NTERA-2,NAGA,Embryonal carcinoma,1,1,0,Embryonal carcinoma,human,AS
5844,DataSet_169,human,DHX36,NTERA-2,NR2C1,Embryonal carcinoma,1,1,0,Embryonal carcinoma,human,AS
5847,DataSet_169,human,DHX36,NTERA-2,RAB3GAP1,Embryonal carcinoma,1,1,0,Embryonal carcinoma,human,AS
5848,DataSet_169,human,DHX36,NTERA-2,RASSF7,Embryonal carcinoma,1,1,0,Embryonal carcinoma,human,AS
5849,DataSet_169,human,DHX36,NTERA-2,RNF114,Embryonal carcinoma,1,0,0,Embryonal carcinoma,human,AS
5838,DataSet_169,human,DHX36,NTERA-2,MED12,Embryonal carcinoma,1,1,0,Embryonal carcinoma,human,AS
5850,DataSet_169,human,DHX36,NTERA-2,RNF34,Embryonal carcinoma,1,1,0,Embryonal carcinoma,human,AS
