Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
19324,DataSet_370,human,USP39,A2780,UBE3A,Endometrioid carcinoma of ovary,9,0,0,Endometrioid carcinoma of ovary,human,AS
19252,DataSet_370,human,USP39,A2780,SNAP91,Endometrioid carcinoma of ovary,8,0,0,Endometrioid carcinoma of ovary,human,AS
19188,DataSet_370,human,USP39,A2780,RANBP3,Endometrioid carcinoma of ovary,7,0,0,Endometrioid carcinoma of ovary,human,AS
19210,DataSet_370,human,USP39,A2780,RPS11,Endometrioid carcinoma of ovary,5,0,0,Endometrioid carcinoma of ovary,human,AS
19111,DataSet_370,human,USP39,A2780,MXRA8,Endometrioid carcinoma of ovary,5,5,0,Endometrioid carcinoma of ovary,human,AS
18930,DataSet_370,human,USP39,A2780,EME2,Endometrioid carcinoma of ovary,4,0,0,Endometrioid carcinoma of ovary,human,AS
18989,DataSet_370,human,USP39,A2780,FBXL6,Endometrioid carcinoma of ovary,4,4,0,Endometrioid carcinoma of ovary,human,AS
19200,DataSet_370,human,USP39,A2780,RHPN1,Endometrioid carcinoma of ovary,4,3,0,Endometrioid carcinoma of ovary,human,AS
19121,DataSet_370,human,USP39,A2780,NDOR1,Endometrioid carcinoma of ovary,4,3,0,Endometrioid carcinoma of ovary,human,AS
19108,DataSet_370,human,USP39,A2780,MRPL55,Endometrioid carcinoma of ovary,4,0,0,Endometrioid carcinoma of ovary,human,AS
19155,DataSet_370,human,USP39,A2780,PLEKHG2,Endometrioid carcinoma of ovary,4,4,0,Endometrioid carcinoma of ovary,human,AS
19267,DataSet_370,human,USP39,A2780,SPSB3,Endometrioid carcinoma of ovary,4,2,0,Endometrioid carcinoma of ovary,human,AS
19130,DataSet_370,human,USP39,A2780,NPAS1,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19043,DataSet_370,human,USP39,A2780,ISYNA1,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19040,DataSet_370,human,USP39,A2780,INTS11,Endometrioid carcinoma of ovary,3,3,0,Endometrioid carcinoma of ovary,human,AS
19035,DataSet_370,human,USP39,A2780,IGFN1,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19030,DataSet_370,human,USP39,A2780,HSD3B7,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19129,DataSet_370,human,USP39,A2780,NIT1,Endometrioid carcinoma of ovary,3,2,0,Endometrioid carcinoma of ovary,human,AS
19046,DataSet_370,human,USP39,A2780,ITGB1BP1,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
18797,DataSet_370,human,USP39,A2780,ABCB8,Endometrioid carcinoma of ovary,3,3,0,Endometrioid carcinoma of ovary,human,AS
19134,DataSet_370,human,USP39,A2780,NSUN5P1,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19174,DataSet_370,human,USP39,A2780,PRPF40B,Endometrioid carcinoma of ovary,3,2,0,Endometrioid carcinoma of ovary,human,AS
19220,DataSet_370,human,USP39,A2780,SAT2,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19224,DataSet_370,human,USP39,A2780,SDR39U1,Endometrioid carcinoma of ovary,3,1,0,Endometrioid carcinoma of ovary,human,AS
19232,DataSet_370,human,USP39,A2780,SIRT7,Endometrioid carcinoma of ovary,3,1,0,Endometrioid carcinoma of ovary,human,AS
19238,DataSet_370,human,USP39,A2780,SLC27A2,Endometrioid carcinoma of ovary,3,1,0,Endometrioid carcinoma of ovary,human,AS
19241,DataSet_370,human,USP39,A2780,SLC52A2,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19256,DataSet_370,human,USP39,A2780,SNHG5,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19282,DataSet_370,human,USP39,A2780,TANGO2,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19307,DataSet_370,human,USP39,A2780,TONSL,Endometrioid carcinoma of ovary,3,3,0,Endometrioid carcinoma of ovary,human,AS
19312,DataSet_370,human,USP39,A2780,TRIM41,Endometrioid carcinoma of ovary,3,2,0,Endometrioid carcinoma of ovary,human,AS
18996,DataSet_370,human,USP39,A2780,FMNL3,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
19338,DataSet_370,human,USP39,A2780,WDR24,Endometrioid carcinoma of ovary,3,3,0,Endometrioid carcinoma of ovary,human,AS
18851,DataSet_370,human,USP39,A2780,C1orf43,Endometrioid carcinoma of ovary,3,1,0,Endometrioid carcinoma of ovary,human,AS
18855,DataSet_370,human,USP39,A2780,CAND2,Endometrioid carcinoma of ovary,3,2,0,Endometrioid carcinoma of ovary,human,AS
18817,DataSet_370,human,USP39,A2780,ANKRD10,Endometrioid carcinoma of ovary,3,1,0,Endometrioid carcinoma of ovary,human,AS
18964,DataSet_370,human,USP39,A2780,ENSG00000279196,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
18876,DataSet_370,human,USP39,A2780,CENPI,Endometrioid carcinoma of ovary,3,0,0,Endometrioid carcinoma of ovary,human,AS
18951,DataSet_370,human,USP39,A2780,ENSG00000258728,Endometrioid carcinoma of ovary,3,3,0,Endometrioid carcinoma of ovary,human,AS
18889,DataSet_370,human,USP39,A2780,CNOT8,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
19170,DataSet_370,human,USP39,A2780,PRDX1,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
19168,DataSet_370,human,USP39,A2780,PPRC1,Endometrioid carcinoma of ovary,2,1,0,Endometrioid carcinoma of ovary,human,AS
19166,DataSet_370,human,USP39,A2780,PPP1R15B,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
19158,DataSet_370,human,USP39,A2780,PNKP,Endometrioid carcinoma of ovary,2,1,0,Endometrioid carcinoma of ovary,human,AS
18968,DataSet_370,human,USP39,A2780,ENSG00000285589,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
19184,DataSet_370,human,USP39,A2780,RAB34,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
19156,DataSet_370,human,USP39,A2780,PLPP5,Endometrioid carcinoma of ovary,2,2,0,Endometrioid carcinoma of ovary,human,AS
18892,DataSet_370,human,USP39,A2780,COPS3,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
19146,DataSet_370,human,USP39,A2780,PGGHG,Endometrioid carcinoma of ovary,2,2,0,Endometrioid carcinoma of ovary,human,AS
19142,DataSet_370,human,USP39,A2780,OXSM,Endometrioid carcinoma of ovary,2,1,0,Endometrioid carcinoma of ovary,human,AS
18896,DataSet_370,human,USP39,A2780,COX7A2,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18906,DataSet_370,human,USP39,A2780,DALRD3,Endometrioid carcinoma of ovary,2,2,0,Endometrioid carcinoma of ovary,human,AS
19178,DataSet_370,human,USP39,A2780,PSRC1,Endometrioid carcinoma of ovary,2,1,0,Endometrioid carcinoma of ovary,human,AS
18881,DataSet_370,human,USP39,A2780,CHKB-CPT1B,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18882,DataSet_370,human,USP39,A2780,CHN1,Endometrioid carcinoma of ovary,2,1,0,Endometrioid carcinoma of ovary,human,AS
19189,DataSet_370,human,USP39,A2780,RANGRF,Endometrioid carcinoma of ovary,2,1,0,Endometrioid carcinoma of ovary,human,AS
19128,DataSet_370,human,USP39,A2780,NIPA1,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18874,DataSet_370,human,USP39,A2780,CDK10,Endometrioid carcinoma of ovary,2,1,0,Endometrioid carcinoma of ovary,human,AS
18868,DataSet_370,human,USP39,A2780,CCNL2,Endometrioid carcinoma of ovary,2,2,0,Endometrioid carcinoma of ovary,human,AS
18858,DataSet_370,human,USP39,A2780,CARD8,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18843,DataSet_370,human,USP39,A2780,BOK,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18839,DataSet_370,human,USP39,A2780,BAG4,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18827,DataSet_370,human,USP39,A2780,APEX1,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18825,DataSet_370,human,USP39,A2780,AP5Z1,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18823,DataSet_370,human,USP39,A2780,AP1G2,Endometrioid carcinoma of ovary,2,2,0,Endometrioid carcinoma of ovary,human,AS
18815,DataSet_370,human,USP39,A2780,ANAPC7,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18907,DataSet_370,human,USP39,A2780,DCXR,Endometrioid carcinoma of ovary,2,2,0,Endometrioid carcinoma of ovary,human,AS
18920,DataSet_370,human,USP39,A2780,DPH5,Endometrioid carcinoma of ovary,2,1,0,Endometrioid carcinoma of ovary,human,AS
19122,DataSet_370,human,USP39,A2780,NEBL,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
18976,DataSet_370,human,USP39,A2780,ERI2,Endometrioid carcinoma of ovary,2,1,0,Endometrioid carcinoma of ovary,human,AS
18967,DataSet_370,human,USP39,A2780,ENSG00000285583,Endometrioid carcinoma of ovary,2,0,0,Endometrioid carcinoma of ovary,human,AS
