Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
41528,DataSet_544,human,ZRSR2,TF-1,DYNC1LI2,Erythroleukemia,2,2,0,Erythroleukemia,human,AS
41552,DataSet_544,human,ZRSR2,TF-1,INO80E,Erythroleukemia,2,2,0,Erythroleukemia,human,AS
41573,DataSet_544,human,ZRSR2,TF-1,PPP2R2D,Erythroleukemia,2,0,0,Erythroleukemia,human,AS
41596,DataSet_545,human,ZRSR2,TF-1,AFMID,Erythroleukemia,2,2,0,Erythroleukemia,human,AS
41507,DataSet_544,human,ZRSR2,TF-1,ACADM,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41571,DataSet_544,human,ZRSR2,TF-1,POLG2,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41580,DataSet_544,human,ZRSR2,TF-1,SNORD45B,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41579,DataSet_544,human,ZRSR2,TF-1,SNORD45A,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41578,DataSet_544,human,ZRSR2,TF-1,RNF121,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41577,DataSet_544,human,ZRSR2,TF-1,RDH13,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41576,DataSet_544,human,ZRSR2,TF-1,RABGGTB,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41575,DataSet_544,human,ZRSR2,TF-1,PRANCR,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41574,DataSet_544,human,ZRSR2,TF-1,PQBP1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41572,DataSet_544,human,ZRSR2,TF-1,PPP1R16A,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41570,DataSet_544,human,ZRSR2,TF-1,PNRC1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41582,DataSet_544,human,ZRSR2,TF-1,SRSF1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41569,DataSet_544,human,ZRSR2,TF-1,PNISR,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41568,DataSet_544,human,ZRSR2,TF-1,PIDD1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41567,DataSet_544,human,ZRSR2,TF-1,P2RY1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41566,DataSet_544,human,ZRSR2,TF-1,NUF2,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41565,DataSet_544,human,ZRSR2,TF-1,NOSIP,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41564,DataSet_544,human,ZRSR2,TF-1,NCAPD3,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41563,DataSet_544,human,ZRSR2,TF-1,NBR2,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41562,DataSet_544,human,ZRSR2,TF-1,MSL1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41561,DataSet_544,human,ZRSR2,TF-1,MRPL16,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41581,DataSet_544,human,ZRSR2,TF-1,SPCS2,Erythroleukemia,1,1,1,Erythroleukemia,human,AS
41584,DataSet_544,human,ZRSR2,TF-1,TAF1C,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41583,DataSet_544,human,ZRSR2,TF-1,SRSF11,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41559,DataSet_544,human,ZRSR2,TF-1,MFSD10,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41606,DataSet_545,human,ZRSR2,TF-1,SCARNA13,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41605,DataSet_545,human,ZRSR2,TF-1,RSRP1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41604,DataSet_545,human,ZRSR2,TF-1,OGT,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41603,DataSet_545,human,ZRSR2,TF-1,MIR3064,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41602,DataSet_545,human,ZRSR2,TF-1,MAPK12,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41601,DataSet_545,human,ZRSR2,TF-1,LUC7L3,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41600,DataSet_545,human,ZRSR2,TF-1,IVNS1ABP,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41599,DataSet_545,human,ZRSR2,TF-1,GLRX5,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41598,DataSet_545,human,ZRSR2,TF-1,EXOSC7,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41597,DataSet_545,human,ZRSR2,TF-1,DDX5,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41595,DataSet_544,human,ZRSR2,TF-1,ZNF706,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41594,DataSet_544,human,ZRSR2,TF-1,ZDHHC5,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41593,DataSet_544,human,ZRSR2,TF-1,XPO1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41592,DataSet_544,human,ZRSR2,TF-1,WSB1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41591,DataSet_544,human,ZRSR2,TF-1,VPS29,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41590,DataSet_544,human,ZRSR2,TF-1,TXLNGY,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41589,DataSet_544,human,ZRSR2,TF-1,TUG1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41588,DataSet_544,human,ZRSR2,TF-1,TNK2,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41587,DataSet_544,human,ZRSR2,TF-1,TNFSF13,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41586,DataSet_544,human,ZRSR2,TF-1,TNFSF12-TNFSF13,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41585,DataSet_544,human,ZRSR2,TF-1,TMEM258,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41560,DataSet_544,human,ZRSR2,TF-1,MROCKI,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41557,DataSet_544,human,ZRSR2,TF-1,LRATD1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41558,DataSet_544,human,ZRSR2,TF-1,LSM8,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41532,DataSet_544,human,ZRSR2,TF-1,ENSG00000255182,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41530,DataSet_544,human,ZRSR2,TF-1,ENSG00000206567,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41529,DataSet_544,human,ZRSR2,TF-1,EMC3-AS1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41527,DataSet_544,human,ZRSR2,TF-1,DNASE1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41526,DataSet_544,human,ZRSR2,TF-1,DMTF1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41525,DataSet_544,human,ZRSR2,TF-1,COX20,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41524,DataSet_544,human,ZRSR2,TF-1,COPS7B,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41523,DataSet_544,human,ZRSR2,TF-1,CLDND1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41522,DataSet_544,human,ZRSR2,TF-1,CIRBP,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41521,DataSet_544,human,ZRSR2,TF-1,CHROMR,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41520,DataSet_544,human,ZRSR2,TF-1,CDCA7,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41519,DataSet_544,human,ZRSR2,TF-1,CD47,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41518,DataSet_544,human,ZRSR2,TF-1,C1QTNF6,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41517,DataSet_544,human,ZRSR2,TF-1,BRWD1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41516,DataSet_544,human,ZRSR2,TF-1,BORCS7-ASMT,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41515,DataSet_544,human,ZRSR2,TF-1,BORCS7,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41514,DataSet_544,human,ZRSR2,TF-1,ATG3,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41513,DataSet_544,human,ZRSR2,TF-1,ARHGEF1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41512,DataSet_544,human,ZRSR2,TF-1,ANKRD42-DT,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41511,DataSet_544,human,ZRSR2,TF-1,ALG3,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41510,DataSet_544,human,ZRSR2,TF-1,ACTL6A,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41509,DataSet_544,human,ZRSR2,TF-1,ACIN1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41531,DataSet_544,human,ZRSR2,TF-1,ENSG00000228506,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41533,DataSet_544,human,ZRSR2,TF-1,ENSG00000266086,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41508,DataSet_544,human,ZRSR2,TF-1,ACCS,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41534,DataSet_544,human,ZRSR2,TF-1,ENSG00000267149,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41556,DataSet_544,human,ZRSR2,TF-1,LLGL1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41555,DataSet_544,human,ZRSR2,TF-1,KXD1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41554,DataSet_544,human,ZRSR2,TF-1,KHSRP,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41553,DataSet_544,human,ZRSR2,TF-1,INTS10,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41551,DataSet_544,human,ZRSR2,TF-1,HNRNPU,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41550,DataSet_544,human,ZRSR2,TF-1,HNRNPDL,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41549,DataSet_544,human,ZRSR2,TF-1,HINT1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41548,DataSet_544,human,ZRSR2,TF-1,HEMK1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41547,DataSet_544,human,ZRSR2,TF-1,GP6-AS1,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41546,DataSet_544,human,ZRSR2,TF-1,GATA2,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41545,DataSet_544,human,ZRSR2,TF-1,FPGT-TNNI3K,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41544,DataSet_544,human,ZRSR2,TF-1,FPGT,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41543,DataSet_544,human,ZRSR2,TF-1,EPM2AIP1,Erythroleukemia,1,1,0,Erythroleukemia,human,AS
41542,DataSet_544,human,ZRSR2,TF-1,ENSG00000289514,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41541,DataSet_544,human,ZRSR2,TF-1,ENSG00000287721,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41540,DataSet_544,human,ZRSR2,TF-1,ENSG00000279088,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41539,DataSet_544,human,ZRSR2,TF-1,ENSG00000276965,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41538,DataSet_544,human,ZRSR2,TF-1,ENSG00000276057,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41537,DataSet_544,human,ZRSR2,TF-1,ENSG00000275307,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41536,DataSet_544,human,ZRSR2,TF-1,ENSG00000272991,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
41535,DataSet_544,human,ZRSR2,TF-1,ENSG00000268030,Erythroleukemia,1,0,0,Erythroleukemia,human,AS
