Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
9879,DataSet_250,human,METTL14,EC109,MUC12,Esophageal squamous cell carcinoma,2,1,0,Esophageal squamous cell carcinoma,human,AS
9870,DataSet_250,human,METTL14,EC109,FANCA,Esophageal squamous cell carcinoma,2,2,0,Esophageal squamous cell carcinoma,human,AS
9895,DataSet_250,human,METTL14,EC109,TCFL5,Esophageal squamous cell carcinoma,2,0,0,Esophageal squamous cell carcinoma,human,AS
9882,DataSet_250,human,METTL14,EC109,OAS1,Esophageal squamous cell carcinoma,2,2,0,Esophageal squamous cell carcinoma,human,AS
9880,DataSet_250,human,METTL14,EC109,MUC12-AS1,Esophageal squamous cell carcinoma,2,0,0,Esophageal squamous cell carcinoma,human,AS
9900,DataSet_250,human,METTL14,EC109,ZNF276,Esophageal squamous cell carcinoma,2,2,0,Esophageal squamous cell carcinoma,human,AS
9863,DataSet_250,human,METTL14,EC109,CZIB,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9891,DataSet_250,human,METTL14,EC109,REV1,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9884,DataSet_250,human,METTL14,EC109,PLEKHN1,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9885,DataSet_250,human,METTL14,EC109,PPP6R2,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9886,DataSet_250,human,METTL14,EC109,PRPF4B,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9887,DataSet_250,human,METTL14,EC109,PSRC1,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9888,DataSet_250,human,METTL14,EC109,RASSF7,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9889,DataSet_250,human,METTL14,EC109,RBM4,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9890,DataSet_250,human,METTL14,EC109,RBM4B,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9892,DataSet_250,human,METTL14,EC109,SBF1,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9864,DataSet_250,human,METTL14,EC109,EML2,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9893,DataSet_250,human,METTL14,EC109,SPIN2B,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9894,DataSet_250,human,METTL14,EC109,TCF3,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9859,DataSet_250,human,METTL14,EC109,ARGLU1,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9896,DataSet_250,human,METTL14,EC109,TFAP2A,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9897,DataSet_250,human,METTL14,EC109,TMEM139,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9898,DataSet_250,human,METTL14,EC109,TROAP,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9899,DataSet_250,human,METTL14,EC109,UCKL1,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9883,DataSet_250,human,METTL14,EC109,PCOLCE,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9860,DataSet_250,human,METTL14,EC109,ATP5F1D,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9881,DataSet_250,human,METTL14,EC109,MYO9B,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9861,DataSet_250,human,METTL14,EC109,CDK5RAP3,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9865,DataSet_250,human,METTL14,EC109,EML2-AS1,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9866,DataSet_250,human,METTL14,EC109,ENSG00000263798,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9867,DataSet_250,human,METTL14,EC109,ENSG00000272779,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9868,DataSet_250,human,METTL14,EC109,ENSG00000286129,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9869,DataSet_250,human,METTL14,EC109,EXD3,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9862,DataSet_250,human,METTL14,EC109,CDK6,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9871,DataSet_250,human,METTL14,EC109,FBXO44,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9872,DataSet_250,human,METTL14,EC109,GPS1,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9873,DataSet_250,human,METTL14,EC109,HNRNPA3,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9874,DataSet_250,human,METTL14,EC109,IVNS1ABP,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9875,DataSet_250,human,METTL14,EC109,KDM1A,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9876,DataSet_250,human,METTL14,EC109,LPIN3,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9877,DataSet_250,human,METTL14,EC109,MROH6,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
9878,DataSet_250,human,METTL14,EC109,MSTO2P,Esophageal squamous cell carcinoma,1,0,0,Esophageal squamous cell carcinoma,human,AS
9858,DataSet_250,human,METTL14,EC109,ANKRD10,Esophageal squamous cell carcinoma,1,1,0,Esophageal squamous cell carcinoma,human,AS
