Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
7868,DataSet_205,human,HNRNPK,A673,FAM111A,Ewing sarcoma,4,1,0,Ewing sarcoma,human,AS
7888,DataSet_205,human,HNRNPK,A673,PPHLN1,Ewing sarcoma,3,0,0,Ewing sarcoma,human,AS
7902,DataSet_205,human,HNRNPK,A673,UBE2Q2,Ewing sarcoma,3,3,0,Ewing sarcoma,human,AS
7890,DataSet_205,human,HNRNPK,A673,PSMD4,Ewing sarcoma,2,0,0,Ewing sarcoma,human,AS
7882,DataSet_205,human,HNRNPK,A673,MYCBP2,Ewing sarcoma,2,2,0,Ewing sarcoma,human,AS
7880,DataSet_205,human,HNRNPK,A673,LSM12,Ewing sarcoma,2,0,0,Ewing sarcoma,human,AS
7887,DataSet_205,human,HNRNPK,A673,POLE2,Ewing sarcoma,2,0,0,Ewing sarcoma,human,AS
7901,DataSet_205,human,HNRNPK,A673,TP63,Ewing sarcoma,2,2,0,Ewing sarcoma,human,AS
7861,DataSet_205,human,HNRNPK,A673,ATP6V0A2,Ewing sarcoma,2,0,0,Ewing sarcoma,human,AS
7874,DataSet_205,human,HNRNPK,A673,HSDL2,Ewing sarcoma,2,0,0,Ewing sarcoma,human,AS
7864,DataSet_205,human,HNRNPK,A673,DICER1,Ewing sarcoma,2,0,0,Ewing sarcoma,human,AS
7893,DataSet_205,human,HNRNPK,A673,SEMA3F-AS1,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7889,DataSet_205,human,HNRNPK,A673,PRPF4B,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7906,DataSet_205,human,HNRNPK,A673,ZC3H13,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7891,DataSet_205,human,HNRNPK,A673,PTMS,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7892,DataSet_205,human,HNRNPK,A673,RBM5,Ewing sarcoma,1,1,0,Ewing sarcoma,human,AS
7905,DataSet_205,human,HNRNPK,A673,ZBTB24,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7903,DataSet_205,human,HNRNPK,A673,UBE2Z,Ewing sarcoma,1,1,0,Ewing sarcoma,human,AS
7900,DataSet_205,human,HNRNPK,A673,TENT2,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7895,DataSet_205,human,HNRNPK,A673,SNHG29,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7896,DataSet_205,human,HNRNPK,A673,SNORA61,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7897,DataSet_205,human,HNRNPK,A673,SNORD49B,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7904,DataSet_205,human,HNRNPK,A673,YEATS2,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7898,DataSet_205,human,HNRNPK,A673,SRSF5,Ewing sarcoma,1,1,0,Ewing sarcoma,human,AS
7899,DataSet_205,human,HNRNPK,A673,STIL,Ewing sarcoma,1,1,0,Ewing sarcoma,human,AS
7894,DataSet_205,human,HNRNPK,A673,SNHG12,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7884,DataSet_205,human,HNRNPK,A673,PAM,Ewing sarcoma,1,1,0,Ewing sarcoma,human,AS
7886,DataSet_205,human,HNRNPK,A673,PHC3,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7885,DataSet_205,human,HNRNPK,A673,PCAT1,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
7863,DataSet_205,human,HNRNPK,A673,CSRNP3,Ewing sarcoma,1,0,0,Ewing sarcoma,human,AS
