Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
18592,DataSet_36,human,ADAR,MKN45,MUC1,Gastric adenocarcinoma,6,6,0,Gastric adenocarcinoma,human,AS
18639,DataSet_36,human,ADAR,MKN45,SNHG12,Gastric adenocarcinoma,4,0,0,Gastric adenocarcinoma,human,AS
18646,DataSet_36,human,ADAR,MKN45,SNORA61,Gastric adenocarcinoma,4,0,0,Gastric adenocarcinoma,human,AS
18645,DataSet_36,human,ADAR,MKN45,SNORA44,Gastric adenocarcinoma,3,0,0,Gastric adenocarcinoma,human,AS
18657,DataSet_36,human,ADAR,MKN45,SNORD50B,Gastric adenocarcinoma,3,0,0,Gastric adenocarcinoma,human,AS
18641,DataSet_36,human,ADAR,MKN45,SNHG5,Gastric adenocarcinoma,3,0,0,Gastric adenocarcinoma,human,AS
18664,DataSet_36,human,ADAR,MKN45,SYTL1,Gastric adenocarcinoma,3,2,0,Gastric adenocarcinoma,human,AS
18542,DataSet_36,human,ADAR,MKN45,ENSG00000271793,Gastric adenocarcinoma,3,0,0,Gastric adenocarcinoma,human,AS
18555,DataSet_36,human,ADAR,MKN45,FUS,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18510,DataSet_36,human,ADAR,MKN45,ANKZF1,Gastric adenocarcinoma,2,1,0,Gastric adenocarcinoma,human,AS
18581,DataSet_36,human,ADAR,MKN45,MAT2A,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18579,DataSet_36,human,ADAR,MKN45,LRRC24,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18578,DataSet_36,human,ADAR,MKN45,LRRC14,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18570,DataSet_36,human,ADAR,MKN45,HNRNPH1,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18569,DataSet_36,human,ADAR,MKN45,HNRNPDL,Gastric adenocarcinoma,2,1,0,Gastric adenocarcinoma,human,AS
18568,DataSet_36,human,ADAR,MKN45,HNRNPD,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18543,DataSet_36,human,ADAR,MKN45,ENSG00000273088,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18525,DataSet_36,human,ADAR,MKN45,CLK1,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18503,DataSet_36,human,ADAR,MKN45,ACADVL,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18526,DataSet_36,human,ADAR,MKN45,COQ6,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18551,DataSet_36,human,ADAR,MKN45,ENTPD5,Gastric adenocarcinoma,2,1,0,Gastric adenocarcinoma,human,AS
18584,DataSet_36,human,ADAR,MKN45,MIR631,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18516,DataSet_36,human,ADAR,MKN45,ATF7IP2,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18558,DataSet_36,human,ADAR,MKN45,GAS5-AS1,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18557,DataSet_36,human,ADAR,MKN45,GAS5,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18544,DataSet_36,human,ADAR,MKN45,ENSG00000274655,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18679,DataSet_36,human,ADAR,MKN45,ZMIZ2,Gastric adenocarcinoma,2,1,0,Gastric adenocarcinoma,human,AS
18598,DataSet_36,human,ADAR,MKN45,NEIL1,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18647,DataSet_36,human,ADAR,MKN45,SNORD22,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18674,DataSet_36,human,ADAR,MKN45,XIST,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18668,DataSet_36,human,ADAR,MKN45,TSIX,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18663,DataSet_36,human,ADAR,MKN45,SYNGR2,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18659,DataSet_36,human,ADAR,MKN45,SPATA20,Gastric adenocarcinoma,2,1,0,Gastric adenocarcinoma,human,AS
18656,DataSet_36,human,ADAR,MKN45,SNORD49B,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18652,DataSet_36,human,ADAR,MKN45,SNORD30,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18651,DataSet_36,human,ADAR,MKN45,SNORD28,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18604,DataSet_36,human,ADAR,MKN45,PAN2,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18650,DataSet_36,human,ADAR,MKN45,SNORD27,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
17187,DataSet_34,human,ADAR,AGS,ACADVL,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18625,DataSet_36,human,ADAR,MKN45,RHPN1,Gastric adenocarcinoma,2,2,0,Gastric adenocarcinoma,human,AS
18643,DataSet_36,human,ADAR,MKN45,SNORA16A,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18640,DataSet_36,human,ADAR,MKN45,SNHG29,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18638,DataSet_36,human,ADAR,MKN45,SNHG1,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18627,DataSet_36,human,ADAR,MKN45,RPS24,Gastric adenocarcinoma,2,1,0,Gastric adenocarcinoma,human,AS
18634,DataSet_36,human,ADAR,MKN45,SHMT2,Gastric adenocarcinoma,2,0,0,Gastric adenocarcinoma,human,AS
18536,DataSet_36,human,ADAR,MKN45,ECHDC2,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18541,DataSet_36,human,ADAR,MKN45,ENSG00000268083,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18540,DataSet_36,human,ADAR,MKN45,ENSG00000263798,Gastric adenocarcinoma,1,0,0,Gastric adenocarcinoma,human,AS
18539,DataSet_36,human,ADAR,MKN45,ENSG00000259529,Gastric adenocarcinoma,1,0,0,Gastric adenocarcinoma,human,AS
18538,DataSet_36,human,ADAR,MKN45,ENSG00000255108,Gastric adenocarcinoma,1,0,0,Gastric adenocarcinoma,human,AS
18537,DataSet_36,human,ADAR,MKN45,EML3,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18528,DataSet_36,human,ADAR,MKN45,CRNDE,Gastric adenocarcinoma,1,0,0,Gastric adenocarcinoma,human,AS
18529,DataSet_36,human,ADAR,MKN45,CSNK1E,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18534,DataSet_36,human,ADAR,MKN45,DPAGT1,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18533,DataSet_36,human,ADAR,MKN45,DHX15,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18527,DataSet_36,human,ADAR,MKN45,CRACR2B,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18532,DataSet_36,human,ADAR,MKN45,DDX5,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18531,DataSet_36,human,ADAR,MKN45,DDB2,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18530,DataSet_36,human,ADAR,MKN45,CYP4F12,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18535,DataSet_36,human,ADAR,MKN45,E4F1,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18560,DataSet_36,human,ADAR,MKN45,GGCX,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18545,DataSet_36,human,ADAR,MKN45,ENSG00000283155,Gastric adenocarcinoma,1,0,0,Gastric adenocarcinoma,human,AS
18523,DataSet_36,human,ADAR,MKN45,CEP170B,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18571,DataSet_36,human,ADAR,MKN45,HNRNPL,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
18567,DataSet_36,human,ADAR,MKN45,HNRNPC,Gastric adenocarcinoma,1,1,0,Gastric adenocarcinoma,human,AS
