Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
66008,DataSet_813,human,ADAR,Glioblastom Stem Cells,CTSA,Glioblastoma,4,4,0,Glioblastoma,human,AS
66056,DataSet_813,human,ADAR,Glioblastom Stem Cells,SRSF2,Glioblastoma,2,1,0,Glioblastoma,human,AS
66018,DataSet_813,human,ADAR,Glioblastom Stem Cells,ENSG00000274655,Glioblastoma,2,0,0,Glioblastoma,human,AS
66074,DataSet_813,human,ADAR,Glioblastom Stem Cells,ZFAND2A-DT,Glioblastoma,2,0,0,Glioblastoma,human,AS
66073,DataSet_813,human,ADAR,Glioblastom Stem Cells,ZFAND2A,Glioblastoma,2,0,0,Glioblastoma,human,AS
66034,DataSet_813,human,ADAR,Glioblastom Stem Cells,LINC02609,Glioblastoma,2,0,0,Glioblastoma,human,AS
66070,DataSet_813,human,ADAR,Glioblastom Stem Cells,XIST,Glioblastoma,2,0,0,Glioblastoma,human,AS
66052,DataSet_813,human,ADAR,Glioblastom Stem Cells,RPS6KB2,Glioblastoma,2,2,0,Glioblastoma,human,AS
66066,DataSet_813,human,ADAR,Glioblastom Stem Cells,TSIX,Glioblastoma,2,0,0,Glioblastoma,human,AS
66049,DataSet_813,human,ADAR,Glioblastom Stem Cells,RAD52,Glioblastoma,1,1,0,Glioblastoma,human,AS
66055,DataSet_813,human,ADAR,Glioblastom Stem Cells,SLC4A3,Glioblastoma,1,0,0,Glioblastoma,human,AS
66054,DataSet_813,human,ADAR,Glioblastom Stem Cells,SETD6,Glioblastoma,1,1,0,Glioblastoma,human,AS
66053,DataSet_813,human,ADAR,Glioblastom Stem Cells,RPS6KB2-AS1,Glioblastoma,1,0,0,Glioblastoma,human,AS
66051,DataSet_813,human,ADAR,Glioblastom Stem Cells,REV3L,Glioblastoma,1,1,0,Glioblastoma,human,AS
66050,DataSet_813,human,ADAR,Glioblastom Stem Cells,RBM39,Glioblastoma,1,1,0,Glioblastoma,human,AS
65998,DataSet_813,human,ADAR,Glioblastom Stem Cells,AKT1,Glioblastoma,1,0,0,Glioblastoma,human,AS
66048,DataSet_813,human,ADAR,Glioblastom Stem Cells,PRPF4B,Glioblastoma,1,1,0,Glioblastoma,human,AS
66057,DataSet_813,human,ADAR,Glioblastom Stem Cells,STK25,Glioblastoma,1,0,0,Glioblastoma,human,AS
66046,DataSet_813,human,ADAR,Glioblastom Stem Cells,OBSL1,Glioblastoma,1,1,0,Glioblastoma,human,AS
66045,DataSet_813,human,ADAR,Glioblastom Stem Cells,NRP2,Glioblastoma,1,1,0,Glioblastoma,human,AS
66044,DataSet_813,human,ADAR,Glioblastom Stem Cells,NISCH,Glioblastoma,1,1,0,Glioblastoma,human,AS
66043,DataSet_813,human,ADAR,Glioblastom Stem Cells,NFE2L1-DT,Glioblastoma,1,0,0,Glioblastoma,human,AS
66042,DataSet_813,human,ADAR,Glioblastom Stem Cells,NCBP3,Glioblastoma,1,1,0,Glioblastoma,human,AS
66047,DataSet_813,human,ADAR,Glioblastom Stem Cells,PPP1R16A,Glioblastoma,1,1,0,Glioblastoma,human,AS
66060,DataSet_813,human,ADAR,Glioblastom Stem Cells,THAP2,Glioblastoma,1,1,0,Glioblastoma,human,AS
66058,DataSet_813,human,ADAR,Glioblastom Stem Cells,STK36,Glioblastoma,1,0,0,Glioblastoma,human,AS
66068,DataSet_813,human,ADAR,Glioblastom Stem Cells,UBE3B,Glioblastoma,1,0,0,Glioblastoma,human,AS
66077,DataSet_813,human,ADAR,Glioblastom Stem Cells,ZNF646,Glioblastoma,1,1,0,Glioblastoma,human,AS
66076,DataSet_813,human,ADAR,Glioblastom Stem Cells,ZNF252P,Glioblastoma,1,0,0,Glioblastoma,human,AS
66075,DataSet_813,human,ADAR,Glioblastom Stem Cells,ZNF207,Glioblastoma,1,1,0,Glioblastoma,human,AS
66072,DataSet_813,human,ADAR,Glioblastom Stem Cells,YWHAZ,Glioblastoma,1,0,0,Glioblastoma,human,AS
66071,DataSet_813,human,ADAR,Glioblastom Stem Cells,YPEL4,Glioblastoma,1,1,0,Glioblastoma,human,AS
66069,DataSet_813,human,ADAR,Glioblastom Stem Cells,WDR55,Glioblastoma,1,0,0,Glioblastoma,human,AS
66067,DataSet_813,human,ADAR,Glioblastom Stem Cells,TTC28,Glioblastoma,1,1,0,Glioblastoma,human,AS
66059,DataSet_813,human,ADAR,Glioblastom Stem Cells,TAFAZZIN,Glioblastoma,1,1,0,Glioblastoma,human,AS
66065,DataSet_813,human,ADAR,Glioblastom Stem Cells,TRMT2A,Glioblastoma,1,1,0,Glioblastoma,human,AS
66064,DataSet_813,human,ADAR,Glioblastom Stem Cells,TRAF3IP2-AS1,Glioblastoma,1,0,0,Glioblastoma,human,AS
66063,DataSet_813,human,ADAR,Glioblastom Stem Cells,TMEM219,Glioblastoma,1,0,0,Glioblastoma,human,AS
66062,DataSet_813,human,ADAR,Glioblastom Stem Cells,TMED10P1,Glioblastoma,1,0,0,Glioblastoma,human,AS
66061,DataSet_813,human,ADAR,Glioblastom Stem Cells,TINF2,Glioblastoma,1,1,0,Glioblastoma,human,AS
66040,DataSet_813,human,ADAR,Glioblastom Stem Cells,MTERF2,Glioblastoma,1,0,0,Glioblastoma,human,AS
66041,DataSet_813,human,ADAR,Glioblastom Stem Cells,MUS81,Glioblastoma,1,1,0,Glioblastoma,human,AS
66038,DataSet_813,human,ADAR,Glioblastom Stem Cells,MFSD11,Glioblastoma,1,0,0,Glioblastoma,human,AS
66039,DataSet_813,human,ADAR,Glioblastom Stem Cells,MIR636,Glioblastoma,1,0,0,Glioblastoma,human,AS
66009,DataSet_813,human,ADAR,Glioblastom Stem Cells,DNASE1L1,Glioblastoma,1,0,0,Glioblastoma,human,AS
66016,DataSet_813,human,ADAR,Glioblastom Stem Cells,ENSG00000268362,Glioblastoma,1,0,0,Glioblastoma,human,AS
66015,DataSet_813,human,ADAR,Glioblastom Stem Cells,ENSG00000256546,Glioblastoma,1,0,0,Glioblastoma,human,AS
66014,DataSet_813,human,ADAR,Glioblastom Stem Cells,ENSG00000255182,Glioblastoma,1,0,0,Glioblastoma,human,AS
66013,DataSet_813,human,ADAR,Glioblastom Stem Cells,ENSG00000255164,Glioblastoma,1,0,0,Glioblastoma,human,AS
66012,DataSet_813,human,ADAR,Glioblastom Stem Cells,ENSG00000254602,Glioblastoma,1,0,0,Glioblastoma,human,AS
66011,DataSet_813,human,ADAR,Glioblastom Stem Cells,ELK4,Glioblastoma,1,0,0,Glioblastoma,human,AS
66010,DataSet_813,human,ADAR,Glioblastom Stem Cells,EIF4G2,Glioblastoma,1,1,0,Glioblastoma,human,AS
66007,DataSet_813,human,ADAR,Glioblastom Stem Cells,COQ4,Glioblastoma,1,1,0,Glioblastoma,human,AS
65999,DataSet_813,human,ADAR,Glioblastom Stem Cells,ATG4D,Glioblastoma,1,1,0,Glioblastoma,human,AS
