Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
33477,DataSet_50,human,ALKBH5,UM-SCC-1,SNHG29,Head and neck squamous cell carcinoma,3,0,0,Head and neck squamous cell carcinoma,human,AS
37081,DataSet_51,human,ALKBH5,UM-SCC-1,ENTR1,Head and neck squamous cell carcinoma,3,3,0,Head and neck squamous cell carcinoma,human,AS
33485,DataSet_50,human,ALKBH5,UM-SCC-1,SNORD49B,Head and neck squamous cell carcinoma,3,0,0,Head and neck squamous cell carcinoma,human,AS
37075,DataSet_51,human,ALKBH5,UM-SCC-1,EIF3M,Head and neck squamous cell carcinoma,3,3,0,Head and neck squamous cell carcinoma,human,AS
37128,DataSet_51,human,ALKBH5,UM-SCC-1,WDR74,Head and neck squamous cell carcinoma,2,2,0,Head and neck squamous cell carcinoma,human,AS
37106,DataSet_51,human,ALKBH5,UM-SCC-1,SNHG1,Head and neck squamous cell carcinoma,2,0,0,Head and neck squamous cell carcinoma,human,AS
33487,DataSet_50,human,ALKBH5,UM-SCC-1,SRRM2,Head and neck squamous cell carcinoma,2,2,0,Head and neck squamous cell carcinoma,human,AS
33490,DataSet_50,human,ALKBH5,UM-SCC-1,STX5-DT,Head and neck squamous cell carcinoma,2,0,0,Head and neck squamous cell carcinoma,human,AS
33491,DataSet_50,human,ALKBH5,UM-SCC-1,TCF3,Head and neck squamous cell carcinoma,2,2,0,Head and neck squamous cell carcinoma,human,AS
37115,DataSet_51,human,ALKBH5,UM-SCC-1,SNORD27,Head and neck squamous cell carcinoma,2,0,0,Head and neck squamous cell carcinoma,human,AS
37116,DataSet_51,human,ALKBH5,UM-SCC-1,SNORD28,Head and neck squamous cell carcinoma,2,0,0,Head and neck squamous cell carcinoma,human,AS
37069,DataSet_51,human,ALKBH5,UM-SCC-1,CBS,Head and neck squamous cell carcinoma,2,1,0,Head and neck squamous cell carcinoma,human,AS
33494,DataSet_50,human,ALKBH5,UM-SCC-1,WDR74,Head and neck squamous cell carcinoma,2,2,0,Head and neck squamous cell carcinoma,human,AS
37120,DataSet_51,human,ALKBH5,UM-SCC-1,SRRM2,Head and neck squamous cell carcinoma,2,2,0,Head and neck squamous cell carcinoma,human,AS
37122,DataSet_51,human,ALKBH5,UM-SCC-1,STX5-DT,Head and neck squamous cell carcinoma,2,0,0,Head and neck squamous cell carcinoma,human,AS
37076,DataSet_51,human,ALKBH5,UM-SCC-1,EIF4A2,Head and neck squamous cell carcinoma,2,2,0,Head and neck squamous cell carcinoma,human,AS
37100,DataSet_51,human,ALKBH5,UM-SCC-1,RO60,Head and neck squamous cell carcinoma,2,1,0,Head and neck squamous cell carcinoma,human,AS
37066,DataSet_51,human,ALKBH5,UM-SCC-1,ANKRD36,Head and neck squamous cell carcinoma,18,0,0,Head and neck squamous cell carcinoma,human,AS
37091,DataSet_51,human,ALKBH5,UM-SCC-1,METTL26,Head and neck squamous cell carcinoma,1,0,0,Head and neck squamous cell carcinoma,human,AS
37092,DataSet_51,human,ALKBH5,UM-SCC-1,MRRF,Head and neck squamous cell carcinoma,1,0,0,Head and neck squamous cell carcinoma,human,AS
37090,DataSet_51,human,ALKBH5,UM-SCC-1,LSM7,Head and neck squamous cell carcinoma,1,1,0,Head and neck squamous cell carcinoma,human,AS
37089,DataSet_51,human,ALKBH5,UM-SCC-1,IRS4,Head and neck squamous cell carcinoma,1,0,0,Head and neck squamous cell carcinoma,human,AS
37093,DataSet_51,human,ALKBH5,UM-SCC-1,PAFAH1B2,Head and neck squamous cell carcinoma,1,0,0,Head and neck squamous cell carcinoma,human,AS
37088,DataSet_51,human,ALKBH5,UM-SCC-1,IP6K2,Head and neck squamous cell carcinoma,1,1,0,Head and neck squamous cell carcinoma,human,AS
37087,DataSet_51,human,ALKBH5,UM-SCC-1,HSPA8,Head and neck squamous cell carcinoma,1,1,0,Head and neck squamous cell carcinoma,human,AS
