Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
22213,DataSet_41,human,ADAR,HepG2,SNHG1,Hepatocellular carcinoma,1,0,0,Hepatocellular carcinoma,human,AS
22214,DataSet_41,human,ADAR,HepG2,SNORD22,Hepatocellular carcinoma,1,0,0,Hepatocellular carcinoma,human,AS
8186,DataSet_213,human,CDYL,HepG2,METTL5,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
8187,DataSet_213,human,CDYL,HepG2,SSB,Hepatocellular carcinoma,1,0,0,Hepatocellular carcinoma,human,AS
6201,DataSet_184,human,FTO,HepG2,LTB4R2,Hepatocellular carcinoma,2,0,0,Hepatocellular carcinoma,human,AS
6205,DataSet_184,human,FTO,HepG2,NOP9,Hepatocellular carcinoma,2,0,0,Hepatocellular carcinoma,human,AS
6199,DataSet_184,human,FTO,HepG2,CIDEB,Hepatocellular carcinoma,2,2,0,Hepatocellular carcinoma,human,AS
6198,DataSet_184,human,FTO,HepG2,AKAP8L,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
6208,DataSet_184,human,FTO,HepG2,RANGRF,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
6213,DataSet_184,human,FTO,HepG2,SRSF2,Hepatocellular carcinoma,1,0,0,Hepatocellular carcinoma,human,AS
6212,DataSet_184,human,FTO,HepG2,SOD2,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
6211,DataSet_184,human,FTO,HepG2,SNX5,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
6210,DataSet_184,human,FTO,HepG2,SLC25A35,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
6209,DataSet_184,human,FTO,HepG2,RPL41,Hepatocellular carcinoma,1,0,0,Hepatocellular carcinoma,human,AS
6206,DataSet_184,human,FTO,HepG2,PYCR1,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
6207,DataSet_184,human,FTO,HepG2,RAB11FIP5,Hepatocellular carcinoma,1,0,0,Hepatocellular carcinoma,human,AS
6204,DataSet_184,human,FTO,HepG2,MKNK2,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
6203,DataSet_184,human,FTO,HepG2,MFSD11,Hepatocellular carcinoma,1,0,0,Hepatocellular carcinoma,human,AS
6202,DataSet_184,human,FTO,HepG2,LUC7L3,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
6200,DataSet_184,human,FTO,HepG2,DUSP22,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
6214,DataSet_184,human,FTO,HepG2,TSPAN17,Hepatocellular carcinoma,1,1,0,Hepatocellular carcinoma,human,AS
9684,DataSet_231,human,MARS,HepG2,SEC14L1,Hepatocellular carcinoma,7,0,0,Hepatocellular carcinoma,human,AS
9631,DataSet_231,human,MARS,HepG2,LINC01128,Hepatocellular carcinoma,6,0,0,Hepatocellular carcinoma,human,AS
9642,DataSet_231,human,MARS,HepG2,MOV10,Hepatocellular carcinoma,3,1,0,Hepatocellular carcinoma,human,AS
9687,DataSet_231,human,MARS,HepG2,SHMT2,Hepatocellular carcinoma,3,0,0,Hepatocellular carcinoma,human,AS
9657,DataSet_231,human,MARS,HepG2,PCBP1-AS1,Hepatocellular carcinoma,3,0,0,Hepatocellular carcinoma,human,AS
9647,DataSet_231,human,MARS,HepG2,NASP,Hepatocellular carcinoma,3,1,0,Hepatocellular carcinoma,human,AS
