Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
26967,DataSet_454,human,ACIN1,Hela,FASTK,Human papillomavirus-related cervical carcinoma,9,1,0,Human papillomavirus-related cervical carcinoma,human,AS
27350,DataSet_454,human,ACIN1,Hela,SDR39U1,Human papillomavirus-related cervical carcinoma,7,4,0,Human papillomavirus-related cervical carcinoma,human,AS
27076,DataSet_454,human,ACIN1,Hela,KHNYN,Human papillomavirus-related cervical carcinoma,6,0,0,Human papillomavirus-related cervical carcinoma,human,AS
27432,DataSet_454,human,ACIN1,Hela,TAF1,Human papillomavirus-related cervical carcinoma,6,4,0,Human papillomavirus-related cervical carcinoma,human,AS
27132,DataSet_454,human,ACIN1,Hela,MEGF6,Human papillomavirus-related cervical carcinoma,6,2,0,Human papillomavirus-related cervical carcinoma,human,AS
27238,DataSet_454,human,ACIN1,Hela,PDE10A,Human papillomavirus-related cervical carcinoma,6,0,0,Human papillomavirus-related cervical carcinoma,human,AS
26927,DataSet_454,human,ACIN1,Hela,ENSG00000279382,Human papillomavirus-related cervical carcinoma,6,0,0,Human papillomavirus-related cervical carcinoma,human,AS
27304,DataSet_454,human,ACIN1,Hela,RABL6,Human papillomavirus-related cervical carcinoma,6,6,0,Human papillomavirus-related cervical carcinoma,human,AS
26954,DataSet_454,human,ACIN1,Hela,EXOC7,Human papillomavirus-related cervical carcinoma,6,6,0,Human papillomavirus-related cervical carcinoma,human,AS
27384,DataSet_454,human,ACIN1,Hela,SNHG17,Human papillomavirus-related cervical carcinoma,6,0,0,Human papillomavirus-related cervical carcinoma,human,AS
27088,DataSet_454,human,ACIN1,Hela,LAMB2,Human papillomavirus-related cervical carcinoma,6,6,0,Human papillomavirus-related cervical carcinoma,human,AS
27495,DataSet_454,human,ACIN1,Hela,TUG1,Human papillomavirus-related cervical carcinoma,6,1,0,Human papillomavirus-related cervical carcinoma,human,AS
27422,DataSet_454,human,ACIN1,Hela,STUB1,Human papillomavirus-related cervical carcinoma,5,3,0,Human papillomavirus-related cervical carcinoma,human,AS
27121,DataSet_454,human,ACIN1,Hela,MAPK12,Human papillomavirus-related cervical carcinoma,5,0,0,Human papillomavirus-related cervical carcinoma,human,AS
