Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
536,DataSet_114,human,CCNA1,FaDu,SNHG16,Hypopharyngeal squamous cell carcinoma,5,0,0,Hypopharyngeal squamous cell carcinoma,human,AS
291,DataSet_114,human,CCNA1,FaDu,ATXN2L,Hypopharyngeal squamous cell carcinoma,5,3,0,Hypopharyngeal squamous cell carcinoma,human,AS
537,DataSet_114,human,CCNA1,FaDu,SNHG29,Hypopharyngeal squamous cell carcinoma,4,0,0,Hypopharyngeal squamous cell carcinoma,human,AS
524,DataSet_114,human,CCNA1,FaDu,SEC31A,Hypopharyngeal squamous cell carcinoma,4,0,0,Hypopharyngeal squamous cell carcinoma,human,AS
380,DataSet_114,human,CCNA1,FaDu,FLNB,Hypopharyngeal squamous cell carcinoma,3,3,0,Hypopharyngeal squamous cell carcinoma,human,AS
305,DataSet_114,human,CCNA1,FaDu,CHPF2,Hypopharyngeal squamous cell carcinoma,3,1,0,Hypopharyngeal squamous cell carcinoma,human,AS
493,DataSet_114,human,CCNA1,FaDu,PRC1-AS1,Hypopharyngeal squamous cell carcinoma,3,0,0,Hypopharyngeal squamous cell carcinoma,human,AS
505,DataSet_114,human,CCNA1,FaDu,RBM39,Hypopharyngeal squamous cell carcinoma,3,1,0,Hypopharyngeal squamous cell carcinoma,human,AS
308,DataSet_114,human,CCNA1,FaDu,CLIC3,Hypopharyngeal squamous cell carcinoma,3,3,0,Hypopharyngeal squamous cell carcinoma,human,AS
512,DataSet_114,human,CCNA1,FaDu,REX1BD,Hypopharyngeal squamous cell carcinoma,3,2,0,Hypopharyngeal squamous cell carcinoma,human,AS
492,DataSet_114,human,CCNA1,FaDu,PRC1,Hypopharyngeal squamous cell carcinoma,3,3,0,Hypopharyngeal squamous cell carcinoma,human,AS
444,DataSet_114,human,CCNA1,FaDu,MRPS18C,Hypopharyngeal squamous cell carcinoma,3,3,0,Hypopharyngeal squamous cell carcinoma,human,AS
363,DataSet_114,human,CCNA1,FaDu,ENSG00000284946,Hypopharyngeal squamous cell carcinoma,3,0,0,Hypopharyngeal squamous cell carcinoma,human,AS
372,DataSet_114,human,CCNA1,FaDu,FAM193B,Hypopharyngeal squamous cell carcinoma,3,0,0,Hypopharyngeal squamous cell carcinoma,human,AS
374,DataSet_114,human,CCNA1,FaDu,FANCL,Hypopharyngeal squamous cell carcinoma,3,2,0,Hypopharyngeal squamous cell carcinoma,human,AS
399,DataSet_114,human,CCNA1,FaDu,HEXD,Hypopharyngeal squamous cell carcinoma,3,3,0,Hypopharyngeal squamous cell carcinoma,human,AS
