Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
16194,DataSet_32,human,ADAR,ZR-75-1,CHD3,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
16195,DataSet_32,human,ADAR,ZR-75-1,ENSG00000260729,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
16196,DataSet_32,human,ADAR,ZR-75-1,ENSG00000261460,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
16197,DataSet_32,human,ADAR,ZR-75-1,HEXA,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
61524,DataSet_74,human,CLP1,MCF7,HNRNPM,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
61525,DataSet_74,human,CLP1,MCF7,MRPS31,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
61526,DataSet_74,human,CLP1,MCF7,PRR11,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
5,DataSet_1,human,DDX54,MCF7,NAP1L1,Invasive breast carcinoma of no special type,2,2,0,Invasive breast carcinoma of no special type,human,AS
1,DataSet_1,human,DDX54,MCF7,ATP5F1C,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
25,DataSet_107,human,DDX54,MCF7,HGS,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
37,DataSet_107,human,DDX54,MCF7,SUMO1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
36,DataSet_107,human,DDX54,MCF7,SNORD22,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
35,DataSet_107,human,DDX54,MCF7,SNHG1,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
34,DataSet_107,human,DDX54,MCF7,PTDSS2,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
33,DataSet_107,human,DDX54,MCF7,PQBP1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
32,DataSet_107,human,DDX54,MCF7,PFDN5,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
31,DataSet_107,human,DDX54,MCF7,OTUB1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
30,DataSet_107,human,DDX54,MCF7,METAP2,Invasive breast carcinoma of no special type,1,1,1,Invasive breast carcinoma of no special type,human,AS
29,DataSet_107,human,DDX54,MCF7,MALAT1,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
28,DataSet_107,human,DDX54,MCF7,HNRNPM,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
27,DataSet_107,human,DDX54,MCF7,HNRNPA2B1,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
26,DataSet_107,human,DDX54,MCF7,HNRNPA1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
24,DataSet_107,human,DDX54,MCF7,GATD3A,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
2,DataSet_1,human,DDX54,MCF7,ENSG00000271793,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
23,DataSet_107,human,DDX54,MCF7,FBL,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
22,DataSet_107,human,DDX54,MCF7,EXD3,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
21,DataSet_107,human,DDX54,MCF7,ENSG00000288663,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
20,DataSet_107,human,DDX54,MCF7,ENSG00000274072,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
19,DataSet_107,human,DDX54,MCF7,DMKN,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
18,DataSet_107,human,DDX54,MCF7,ACADVL,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
8,DataSet_1,human,DDX54,MCF7,SNORD50B,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
7,DataSet_1,human,DDX54,MCF7,SNHG5,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
6,DataSet_1,human,DDX54,MCF7,RAB2A,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
4,DataSet_1,human,DDX54,MCF7,KRR1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3,DataSet_1,human,DDX54,MCF7,GLIPR1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
38,DataSet_107,human,DDX54,MCF7,THOC2,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
38206,DataSet_525,human,EPRS,MCF7 TamR,ADARB1,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,AS
38211,DataSet_525,human,EPRS,MCF7 TamR,KLHL28,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,AS
38207,DataSet_525,human,EPRS,MCF7 TamR,ENSG00000261884,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
38208,DataSet_525,human,EPRS,MCF7 TamR,ENSG00000279861,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
38209,DataSet_525,human,EPRS,MCF7 TamR,ENSG00000282988,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
38210,DataSet_525,human,EPRS,MCF7 TamR,H3C4,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
38212,DataSet_525,human,EPRS,MCF7 TamR,LRRC14,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
38213,DataSet_525,human,EPRS,MCF7 TamR,NAPA,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
38214,DataSet_525,human,EPRS,MCF7 TamR,PSMB10,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3847,DataSet_161,human,ESRP1 and ESRP2,MCF7,UAP1,Invasive breast carcinoma of no special type,2,2,1,Invasive breast carcinoma of no special type,human,AS
3836,DataSet_161,human,ESRP1 and ESRP2,MCF7,GOLGB1,Invasive breast carcinoma of no special type,2,1,0,Invasive breast carcinoma of no special type,human,AS
3828,DataSet_161,human,ESRP1 and ESRP2,MCF7,ARFGAP2,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3840,DataSet_161,human,ESRP1 and ESRP2,MCF7,NF2,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3848,DataSet_161,human,ESRP1 and ESRP2,MCF7,VN1R81P,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
3846,DataSet_161,human,ESRP1 and ESRP2,MCF7,TRIM37,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
3845,DataSet_161,human,ESRP1 and ESRP2,MCF7,SULF2,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3844,DataSet_161,human,ESRP1 and ESRP2,MCF7,SLK,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3843,DataSet_161,human,ESRP1 and ESRP2,MCF7,SCRIB,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3842,DataSet_161,human,ESRP1 and ESRP2,MCF7,RHOT2,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3841,DataSet_161,human,ESRP1 and ESRP2,MCF7,RALGPS2,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3839,DataSet_161,human,ESRP1 and ESRP2,MCF7,MPZL1,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
3829,DataSet_161,human,ESRP1 and ESRP2,MCF7,ARHGEF10L,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3838,DataSet_161,human,ESRP1 and ESRP2,MCF7,MLPH,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3837,DataSet_161,human,ESRP1 and ESRP2,MCF7,HMGN1,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
3835,DataSet_161,human,ESRP1 and ESRP2,MCF7,FLNB,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3834,DataSet_161,human,ESRP1 and ESRP2,MCF7,EPB41,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3833,DataSet_161,human,ESRP1 and ESRP2,MCF7,ECI1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3832,DataSet_161,human,ESRP1 and ESRP2,MCF7,CYB561A3,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
3831,DataSet_161,human,ESRP1 and ESRP2,MCF7,CREBZF,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
3830,DataSet_161,human,ESRP1 and ESRP2,MCF7,COA1,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
3849,DataSet_161,human,ESRP1 and ESRP2,MCF7,ZNF714,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
7001,DataSet_198,human,HNRNPC,MCF7,ZC3H11A,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,AS
7000,DataSet_198,human,HNRNPC,MCF7,ZBED6,Invasive breast carcinoma of no special type,2,2,0,Invasive breast carcinoma of no special type,human,AS
6995,DataSet_198,human,HNRNPC,MCF7,MVD,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,AS
7002,DataSet_199,human,HNRNPC,T47D,AHNAK2,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
7003,DataSet_199,human,HNRNPC,T47D,ANKRD13D,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
7004,DataSet_199,human,HNRNPC,T47D,ELOC,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
7005,DataSet_199,human,HNRNPC,T47D,ENSG00000288656,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
7006,DataSet_199,human,HNRNPC,T47D,GREB1,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
7007,DataSet_199,human,HNRNPC,T47D,HNRNPA2B1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
6981,DataSet_197,human,HNRNPC,MCF7,CELF1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
7009,DataSet_199,human,HNRNPC,T47D,NOP56,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
7010,DataSet_199,human,HNRNPC,T47D,NUMA1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
7011,DataSet_199,human,HNRNPC,T47D,PLD4,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
7012,DataSet_199,human,HNRNPC,T47D,RAB24,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
7013,DataSet_199,human,HNRNPC,T47D,SNHG29,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
7014,DataSet_199,human,HNRNPC,T47D,SNORD49B,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
7015,DataSet_199,human,HNRNPC,T47D,SULT1A1,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
7008,DataSet_199,human,HNRNPC,T47D,MXD3,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
6999,DataSet_198,human,HNRNPC,MCF7,PSMG3,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
6982,DataSet_197,human,HNRNPC,MCF7,EIF4A2,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
6989,DataSet_198,human,HNRNPC,MCF7,HES4,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
6983,DataSet_197,human,HNRNPC,MCF7,HNRNPA2B1,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
6984,DataSet_197,human,HNRNPC,MCF7,SNORD2,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
6985,DataSet_198,human,HNRNPC,MCF7,ABHD11,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
6986,DataSet_198,human,HNRNPC,MCF7,CNOT2,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
6987,DataSet_198,human,HNRNPC,MCF7,ENSG00000288644,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
6988,DataSet_198,human,HNRNPC,MCF7,H2AX,Invasive breast carcinoma of no special type,1,1,0,Invasive breast carcinoma of no special type,human,AS
6990,DataSet_198,human,HNRNPC,MCF7,MALAT1,Invasive breast carcinoma of no special type,1,0,0,Invasive breast carcinoma of no special type,human,AS
