Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
229,DataSet_110,human,DDX1,A549-Ace2,SCML1,Lung adenocarcinoma,2,2,0,Lung adenocarcinoma,human,AS
225,DataSet_110,human,DDX1,A549-Ace2,ENSG00000277599,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
226,DataSet_110,human,DDX1,A549-Ace2,ENSG00000278050,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
227,DataSet_110,human,DDX1,A549-Ace2,ENSG00000278144,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
228,DataSet_110,human,DDX1,A549-Ace2,NEAT1,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18277,DataSet_354,human,DDX42,A549,EPB41,Lung adenocarcinoma,7,0,0,Lung adenocarcinoma,human,AS
17277,DataSet_343,human,DDX42,A549,RNF167,Lung adenocarcinoma,5,3,0,Lung adenocarcinoma,human,AS
18270,DataSet_354,human,DDX42,A549,COA1,Lung adenocarcinoma,4,0,0,Lung adenocarcinoma,human,AS
18272,DataSet_354,human,DDX42,A549,CREBZF,Lung adenocarcinoma,4,1,0,Lung adenocarcinoma,human,AS
18303,DataSet_354,human,DDX42,A549,TFPI,Lung adenocarcinoma,4,0,0,Lung adenocarcinoma,human,AS
18285,DataSet_354,human,DDX42,A549,NCOA6,Lung adenocarcinoma,3,0,0,Lung adenocarcinoma,human,AS
18304,DataSet_354,human,DDX42,A549,TNRC6A,Lung adenocarcinoma,3,0,0,Lung adenocarcinoma,human,AS
17268,DataSet_343,human,DDX42,A549,MAP2K7,Lung adenocarcinoma,2,0,0,Lung adenocarcinoma,human,AS
17284,DataSet_343,human,DDX42,A549,SRGAP1,Lung adenocarcinoma,2,2,0,Lung adenocarcinoma,human,AS
18289,DataSet_354,human,DDX42,A549,PIN1,Lung adenocarcinoma,2,0,0,Lung adenocarcinoma,human,AS
17288,DataSet_343,human,DDX42,A549,UBA1,Lung adenocarcinoma,2,0,0,Lung adenocarcinoma,human,AS
18294,DataSet_354,human,DDX42,A549,RNF167,Lung adenocarcinoma,2,2,0,Lung adenocarcinoma,human,AS
17259,DataSet_343,human,DDX42,A549,EPB41,Lung adenocarcinoma,10,3,0,Lung adenocarcinoma,human,AS
18282,DataSet_354,human,DDX42,A549,KIAA0930,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18281,DataSet_354,human,DDX42,A549,IMPDH2,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18280,DataSet_354,human,DDX42,A549,HNRNPDL,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18283,DataSet_354,human,DDX42,A549,KIF18B,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17249,DataSet_343,human,DDX42,A549,AAAS,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18279,DataSet_354,human,DDX42,A549,GNB1L,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18278,DataSet_354,human,DDX42,A549,GGCX,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18276,DataSet_354,human,DDX42,A549,ENSG00000278713,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18275,DataSet_354,human,DDX42,A549,ENSG00000230084,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18274,DataSet_354,human,DDX42,A549,DUXAP8,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18273,DataSet_354,human,DDX42,A549,CRYZ,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18271,DataSet_354,human,DDX42,A549,CPSF6,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18284,DataSet_354,human,DDX42,A549,LRFN4,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18288,DataSet_354,human,DDX42,A549,PCDH9,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18286,DataSet_354,human,DDX42,A549,NKTR,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18298,DataSet_354,human,DDX42,A549,SLC25A35,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18307,DataSet_354,human,DDX42,A549,ZNF518A,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18306,DataSet_354,human,DDX42,A549,ZMIZ2,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18305,DataSet_354,human,DDX42,A549,VPS29,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18302,DataSet_354,human,DDX42,A549,TFAP2A,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18301,DataSet_354,human,DDX42,A549,STRADB,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18300,DataSet_354,human,DDX42,A549,STK17A,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18299,DataSet_354,human,DDX42,A549,SREBF1,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18297,DataSet_354,human,DDX42,A549,SBNO2,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18287,DataSet_354,human,DDX42,A549,PAXX,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18296,DataSet_354,human,DDX42,A549,RTL10,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18295,DataSet_354,human,DDX42,A549,RPS23,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18293,DataSet_354,human,DDX42,A549,RANGRF,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18292,DataSet_354,human,DDX42,A549,RAI1,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
18291,DataSet_354,human,DDX42,A549,QTRT1,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18290,DataSet_354,human,DDX42,A549,PPP1R12C,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18268,DataSet_354,human,DDX42,A549,CDIPT,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18269,DataSet_354,human,DDX42,A549,CENPT,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18265,DataSet_354,human,DDX42,A549,ACIN1,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18267,DataSet_354,human,DDX42,A549,AURKB,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17271,DataSet_343,human,DDX42,A549,NCDN,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17269,DataSet_343,human,DDX42,A549,MAP3K15,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17267,DataSet_343,human,DDX42,A549,KIF18B,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17266,DataSet_343,human,DDX42,A549,KIAA0930,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17265,DataSet_343,human,DDX42,A549,KIAA0319L,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
17264,DataSet_343,human,DDX42,A549,IP6K2,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17263,DataSet_343,human,DDX42,A549,IMPDH2,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17262,DataSet_343,human,DDX42,A549,HNRNPDL,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
17261,DataSet_343,human,DDX42,A549,HNRNPA2B1,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
17260,DataSet_343,human,DDX42,A549,FAM135A,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17258,DataSet_343,human,DDX42,A549,ENSG00000279605,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
17257,DataSet_343,human,DDX42,A549,EEF1D,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17256,DataSet_343,human,DDX42,A549,DUXAP8,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
17255,DataSet_343,human,DDX42,A549,CTSZ,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17254,DataSet_343,human,DDX42,A549,CSE1L,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
17253,DataSet_343,human,DDX42,A549,CREBZF,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
17252,DataSet_343,human,DDX42,A549,CHMP2A,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17251,DataSet_343,human,DDX42,A549,ACIN1,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17270,DataSet_343,human,DDX42,A549,MCRIP1,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17272,DataSet_343,human,DDX42,A549,NELFCD,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
18266,DataSet_354,human,DDX42,A549,ACLY,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17273,DataSet_343,human,DDX42,A549,PDHA1,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
17250,DataSet_343,human,DDX42,A549,ACBD5,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17292,DataSet_343,human,DDX42,A549,ZNF655,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17291,DataSet_343,human,DDX42,A549,ZMIZ2,Lung adenocarcinoma,1,1,0,Lung adenocarcinoma,human,AS
17290,DataSet_343,human,DDX42,A549,XPO1,Lung adenocarcinoma,1,0,0,Lung adenocarcinoma,human,AS
