Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
27581,DataSet_455,human,ZFP36L1,NCI-H1876,DDX3X,Lung small cell carcinoma,5,0,0,Lung small cell carcinoma,human,AS
25387,DataSet_436,human,ZFP36L1,CORL47,TBL3,Lung small cell carcinoma,3,0,0,Lung small cell carcinoma,human,AS
25361,DataSet_436,human,ZFP36L1,CORL47,NOXO1,Lung small cell carcinoma,3,3,0,Lung small cell carcinoma,human,AS
25881,DataSet_447,human,ZFP36L1,CORL47,AP1G2,Lung small cell carcinoma,3,3,0,Lung small cell carcinoma,human,AS
25882,DataSet_447,human,ZFP36L1,CORL47,AP1G2-AS1,Lung small cell carcinoma,3,0,0,Lung small cell carcinoma,human,AS
27563,DataSet_455,human,ZFP36L1,NCI-H1876,ATG7,Lung small cell carcinoma,3,0,0,Lung small cell carcinoma,human,AS
25889,DataSet_447,human,ZFP36L1,CORL47,CDS1,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
25902,DataSet_447,human,ZFP36L1,CORL47,ENSG00000259668,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
25354,DataSet_436,human,ZFP36L1,CORL47,MRPL55,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
27608,DataSet_455,human,ZFP36L1,NCI-H1876,GPAT4,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
25397,DataSet_436,human,ZFP36L1,CORL47,ZNF276,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
25339,DataSet_436,human,ZFP36L1,CORL47,FANCA,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
25329,DataSet_436,human,ZFP36L1,CORL47,ENSG00000259668,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
25957,DataSet_447,human,ZFP36L1,CORL47,TBL3,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
25897,DataSet_447,human,ZFP36L1,CORL47,DMXL2,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
25341,DataSet_436,human,ZFP36L1,CORL47,FUBP1,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
25348,DataSet_436,human,ZFP36L1,CORL47,LRRC14,Lung small cell carcinoma,2,1,0,Lung small cell carcinoma,human,AS
25323,DataSet_436,human,ZFP36L1,CORL47,DMXL2,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
25322,DataSet_436,human,ZFP36L1,CORL47,DELE1,Lung small cell carcinoma,2,1,0,Lung small cell carcinoma,human,AS
25917,DataSet_447,human,ZFP36L1,CORL47,IP6K2,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
25933,DataSet_447,human,ZFP36L1,CORL47,PACS2,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
27591,DataSet_455,human,ZFP36L1,NCI-H1876,ENSG00000264578,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
27646,DataSet_455,human,ZFP36L1,NCI-H1876,SLC9A3,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
25930,DataSet_447,human,ZFP36L1,CORL47,NOXO1,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
25924,DataSet_447,human,ZFP36L1,CORL47,MED24,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
25372,DataSet_436,human,ZFP36L1,CORL47,RBCK1,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
27658,DataSet_455,human,ZFP36L1,NCI-H1876,TROAP,Lung small cell carcinoma,2,1,0,Lung small cell carcinoma,human,AS
27647,DataSet_455,human,ZFP36L1,NCI-H1876,SLC9A3-AS1,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
27659,DataSet_455,human,ZFP36L1,NCI-H1876,TROAP-AS1,Lung small cell carcinoma,2,0,0,Lung small cell carcinoma,human,AS
25296,DataSet_436,human,ZFP36L1,CORL47,ACTN4,Lung small cell carcinoma,2,2,0,Lung small cell carcinoma,human,AS
27568,DataSet_455,human,ZFP36L1,NCI-H1876,C11orf80,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27583,DataSet_455,human,ZFP36L1,NCI-H1876,EIF2B4,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27565,DataSet_455,human,ZFP36L1,NCI-H1876,BCS1L,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
27584,DataSet_455,human,ZFP36L1,NCI-H1876,EIF4A2,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27566,DataSet_455,human,ZFP36L1,NCI-H1876,BICD2,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27564,DataSet_455,human,ZFP36L1,NCI-H1876,B4GALNT1,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
27567,DataSet_455,human,ZFP36L1,NCI-H1876,C10orf82,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27582,DataSet_455,human,ZFP36L1,NCI-H1876,EIF1,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27576,DataSet_455,human,ZFP36L1,NCI-H1876,CKAP2,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
27569,DataSet_455,human,ZFP36L1,NCI-H1876,C17orf58,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27577,DataSet_455,human,ZFP36L1,NCI-H1876,CLK1,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27580,DataSet_455,human,ZFP36L1,NCI-H1876,DCAF8,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
27570,DataSet_455,human,ZFP36L1,NCI-H1876,CAPRIN2,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27579,DataSet_455,human,ZFP36L1,NCI-H1876,CUTALP,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
27578,DataSet_455,human,ZFP36L1,NCI-H1876,CLK4,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27571,DataSet_455,human,ZFP36L1,NCI-H1876,CDK11A,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27572,DataSet_455,human,ZFP36L1,NCI-H1876,CDK20,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25970,DataSet_447,human,ZFP36L1,CORL47,ZNF300,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27574,DataSet_455,human,ZFP36L1,NCI-H1876,CEBPZOS,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27575,DataSet_455,human,ZFP36L1,NCI-H1876,CHD8,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
27573,DataSet_455,human,ZFP36L1,NCI-H1876,CEBPZ,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25964,DataSet_447,human,ZFP36L1,CORL47,U2AF1L4,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25969,DataSet_447,human,ZFP36L1,CORL47,WNK2,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25942,DataSet_447,human,ZFP36L1,CORL47,RAD52,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25948,DataSet_447,human,ZFP36L1,CORL47,SELENOP,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25947,DataSet_447,human,ZFP36L1,CORL47,SBF1,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25946,DataSet_447,human,ZFP36L1,CORL47,RHOF,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25945,DataSet_447,human,ZFP36L1,CORL47,RHBDD3,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25944,DataSet_447,human,ZFP36L1,CORL47,RANGAP1,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
25943,DataSet_447,human,ZFP36L1,CORL47,RALY-AS1,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
25941,DataSet_447,human,ZFP36L1,CORL47,RAB30-DT,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
25950,DataSet_447,human,ZFP36L1,CORL47,SNHG29,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
25940,DataSet_447,human,ZFP36L1,CORL47,PTPRZ1,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25939,DataSet_447,human,ZFP36L1,CORL47,PSMC3IP,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25938,DataSet_447,human,ZFP36L1,CORL47,PPIL2,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25937,DataSet_447,human,ZFP36L1,CORL47,PHKG2,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25936,DataSet_447,human,ZFP36L1,CORL47,PFKP,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25935,DataSet_447,human,ZFP36L1,CORL47,PCLO,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25949,DataSet_447,human,ZFP36L1,CORL47,SLC9A7,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
25951,DataSet_447,human,ZFP36L1,CORL47,SNORD49B,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
25968,DataSet_447,human,ZFP36L1,CORL47,VSIG10,Lung small cell carcinoma,1,0,0,Lung small cell carcinoma,human,AS
25961,DataSet_447,human,ZFP36L1,CORL47,TRA2A,Lung small cell carcinoma,1,1,0,Lung small cell carcinoma,human,AS
