Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
33547,DataSet_500,human,CHD7,ICB1299,MPPED2,Medulloblastoma,3,0,0,Medulloblastoma,human,AS
33594,DataSet_500,human,CHD7,ICB1299,ZCWPW1,Medulloblastoma,3,0,0,Medulloblastoma,human,AS
33550,DataSet_500,human,CHD7,ICB1299,NDST1,Medulloblastoma,3,0,0,Medulloblastoma,human,AS
33562,DataSet_500,human,CHD7,ICB1299,PTDSS2,Medulloblastoma,3,1,0,Medulloblastoma,human,AS
33532,DataSet_500,human,CHD7,ICB1299,HEXD,Medulloblastoma,3,0,0,Medulloblastoma,human,AS
33590,DataSet_500,human,CHD7,ICB1299,VPS9D1-AS1,Medulloblastoma,2,0,0,Medulloblastoma,human,AS
33589,DataSet_500,human,CHD7,ICB1299,VPS9D1,Medulloblastoma,2,2,0,Medulloblastoma,human,AS
33554,DataSet_500,human,CHD7,ICB1299,OXLD1,Medulloblastoma,2,2,0,Medulloblastoma,human,AS
33555,DataSet_500,human,CHD7,ICB1299,PEX5L,Medulloblastoma,2,2,0,Medulloblastoma,human,AS
33533,DataSet_500,human,CHD7,ICB1299,HPCA,Medulloblastoma,2,0,0,Medulloblastoma,human,AS
33561,DataSet_500,human,CHD7,ICB1299,PRPF4B,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33567,DataSet_500,human,CHD7,ICB1299,RBM4,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33566,DataSet_500,human,CHD7,ICB1299,RABGGTA,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33565,DataSet_500,human,CHD7,ICB1299,PVRIG2P,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33564,DataSet_500,human,CHD7,ICB1299,PTOV1-AS2,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33563,DataSet_500,human,CHD7,ICB1299,PTOV1,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33557,DataSet_500,human,CHD7,ICB1299,PIGO,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33560,DataSet_500,human,CHD7,ICB1299,POMT1,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33559,DataSet_500,human,CHD7,ICB1299,PLEKHG4,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33558,DataSet_500,human,CHD7,ICB1299,PILRB,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33569,DataSet_500,human,CHD7,ICB1299,RHOF,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33556,DataSet_500,human,CHD7,ICB1299,PEX5L-AS2,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33553,DataSet_500,human,CHD7,ICB1299,NR2C2,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33552,DataSet_500,human,CHD7,ICB1299,NR2C1,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33551,DataSet_500,human,CHD7,ICB1299,NELL2,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33549,DataSet_500,human,CHD7,ICB1299,MRPS25,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33568,DataSet_500,human,CHD7,ICB1299,RBM4B,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33497,DataSet_500,human,CHD7,ICB1299,ABCC5,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33570,DataSet_500,human,CHD7,ICB1299,RNASEH2C,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33582,DataSet_500,human,CHD7,ICB1299,STAT2,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33593,DataSet_500,human,CHD7,ICB1299,XIST,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33592,DataSet_500,human,CHD7,ICB1299,WDR6,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33591,DataSet_500,human,CHD7,ICB1299,WDR55,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33588,DataSet_500,human,CHD7,ICB1299,USP20,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33587,DataSet_500,human,CHD7,ICB1299,UNK,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33586,DataSet_500,human,CHD7,ICB1299,ULK3,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33585,DataSet_500,human,CHD7,ICB1299,TNPO3,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33584,DataSet_500,human,CHD7,ICB1299,TMEM41B,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33583,DataSet_500,human,CHD7,ICB1299,TMEM120B,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33581,DataSet_500,human,CHD7,ICB1299,STAG3L5P-PVRIG2P-PILRB,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33548,DataSet_500,human,CHD7,ICB1299,MRPL43,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33580,DataSet_500,human,CHD7,ICB1299,STAG3,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33579,DataSet_500,human,CHD7,ICB1299,SRRT,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33578,DataSet_500,human,CHD7,ICB1299,SNORA71,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33577,DataSet_500,human,CHD7,ICB1299,SNHG17,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33576,DataSet_500,human,CHD7,ICB1299,SMUG1,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33575,DataSet_500,human,CHD7,ICB1299,SKA3,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33574,DataSet_500,human,CHD7,ICB1299,SH2B1,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33573,DataSet_500,human,CHD7,ICB1299,SEMA4G,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33572,DataSet_500,human,CHD7,ICB1299,RPL7L1,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33571,DataSet_500,human,CHD7,ICB1299,RNF167,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33546,DataSet_500,human,CHD7,ICB1299,MMP24OS,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33498,DataSet_500,human,CHD7,ICB1299,ACBD5,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33509,DataSet_500,human,CHD7,ICB1299,CCDC14,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33518,DataSet_500,human,CHD7,ICB1299,DCAF8,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33517,DataSet_500,human,CHD7,ICB1299,DAPK3,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33516,DataSet_500,human,CHD7,ICB1299,DALRD3,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33515,DataSet_500,human,CHD7,ICB1299,CTIF,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33514,DataSet_500,human,CHD7,ICB1299,CRYZ,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33513,DataSet_500,human,CHD7,ICB1299,CREB3,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33512,DataSet_500,human,CHD7,ICB1299,CLK2,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33511,DataSet_500,human,CHD7,ICB1299,CERCAM,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33510,DataSet_500,human,CHD7,ICB1299,CELF1,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33508,DataSet_500,human,CHD7,ICB1299,CASTOR3,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33520,DataSet_500,human,CHD7,ICB1299,ENSG00000228606,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33507,DataSet_500,human,CHD7,ICB1299,CACTIN-AS1,Medulloblastoma,1,0,0,Medulloblastoma,human,AS
33506,DataSet_500,human,CHD7,ICB1299,CACTIN,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33505,DataSet_500,human,CHD7,ICB1299,C12orf73,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33504,DataSet_500,human,CHD7,ICB1299,ATAT1,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33503,DataSet_500,human,CHD7,ICB1299,ASIC3,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
33502,DataSet_500,human,CHD7,ICB1299,APBB3,Medulloblastoma,1,1,0,Medulloblastoma,human,AS
